




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_bg.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	arabidopsis_bg.txt - REFLIST (14244)	upload_1 (773)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
lipoate biosynthetic process (GO:0009107)	1	0	.05	-	 < 0.01	9.47E-01
lipoate metabolic process (GO:0009106)	1	0	.05	-	 < 0.01	9.47E-01
biotin biosynthetic process (GO:0009102)	4	0	.22	-	 < 0.01	8.05E-01
camalexin metabolic process (GO:0052317)	10	0	.54	-	 < 0.01	5.81E-01
phytoalexin biosynthetic process (GO:0052315)	12	0	.65	-	 < 0.01	5.21E-01
phytoalexin metabolic process (GO:0052314)	12	0	.65	-	 < 0.01	5.21E-01
symbiont intracellular protein transport in host (GO:0030581)	1	0	.05	-	 < 0.01	9.47E-01
regulation of establishment or maintenance of cell polarity regulating cell shape (GO:2000769)	2	0	.11	-	 < 0.01	8.97E-01
hypotonic salinity response (GO:0042539)	2	0	.11	-	 < 0.01	8.97E-01
regulation of phenylpropanoid metabolic process (GO:2000762)	14	0	.76	-	 < 0.01	4.68E-01
cellular response to freezing (GO:0071497)	2	0	.11	-	 < 0.01	8.97E-01
cellular response to UV-C (GO:0071494)	3	0	.16	-	 < 0.01	8.50E-01
cellular response to UV-B (GO:0071493)	5	0	.27	-	 < 0.01	7.62E-01
collagen catabolic process (GO:0030574)	5	0	.27	-	 < 0.01	7.62E-01
positive regulation of peptidyl-lysine acetylation (GO:2000758)	3	0	.16	-	 < 0.01	8.50E-01
negative regulation of peptidyl-lysine acetylation (GO:2000757)	6	0	.33	-	 < 0.01	7.22E-01
regulation of peptidyl-lysine acetylation (GO:2000756)	10	0	.54	-	 < 0.01	5.81E-01
cellular response to high light intensity (GO:0071486)	1	0	.05	-	 < 0.01	9.47E-01
cellular response to absence of light (GO:0071485)	2	0	.11	-	 < 0.01	8.97E-01
cellular response to light intensity (GO:0071484)	5	0	.27	-	 < 0.01	7.62E-01
cellular response to X-ray (GO:0071481)	2	0	.11	-	 < 0.01	8.97E-01
cellular response to gamma radiation (GO:0071480)	4	0	.22	-	 < 0.01	8.05E-01
cellular response to ionizing radiation (GO:0071479)	5	0	.27	-	 < 0.01	7.62E-01
cellular hyperosmotic salinity response (GO:0071475)	2	0	.11	-	 < 0.01	8.97E-01
cellular hyperosmotic response (GO:0071474)	3	0	.16	-	 < 0.01	8.50E-01
cellular response to salt stress (GO:0071472)	31	0	1.68	-	 < 0.01	1.86E-01
cellular response to osmotic stress (GO:0071470)	42	0	2.28	-	 < 0.01	1.02E-01
cellular response to acidic pH (GO:0071468)	1	0	.05	-	 < 0.01	9.47E-01
cellular response to pH (GO:0071467)	1	0	.05	-	 < 0.01	9.47E-01
cellular response to redox state (GO:0071461)	2	0	.11	-	 < 0.01	8.97E-01
detoxification of inorganic compound (GO:0061687)	9	0	.49	-	 < 0.01	6.14E-01
protein localization to chromosome, centromeric region (GO:0071459)	2	0	.11	-	 < 0.01	8.97E-01
cellular response to ozone (GO:0071457)	3	0	.16	-	 < 0.01	8.50E-01
cellular response to anoxia (GO:0071454)	2	0	.11	-	 < 0.01	8.97E-01
cellular response to superoxide (GO:0071451)	10	0	.54	-	 < 0.01	5.81E-01
cellular response to oxygen radical (GO:0071450)	10	0	.54	-	 < 0.01	5.81E-01
regulation of cell wall macromolecule metabolic process (GO:0010981)	3	0	.16	-	 < 0.01	8.50E-01
mitochondrial ribosome assembly (GO:0061668)	1	0	.05	-	 < 0.01	9.47E-01
positive regulation of G2/M transition of mitotic cell cycle (GO:0010971)	4	0	.22	-	 < 0.01	8.05E-01
transport along microtubule (GO:0010970)	1	0	.05	-	 < 0.01	9.47E-01
N-terminal protein myristoylation (GO:0006499)	2	0	.11	-	 < 0.01	8.97E-01
N-terminal protein lipidation (GO:0006498)	2	0	.11	-	 < 0.01	8.97E-01
protein O-linked glycosylation (GO:0006493)	10	0	.54	-	 < 0.01	5.81E-01
N-glycan processing (GO:0006491)	9	0	.49	-	 < 0.01	6.14E-01
oligosaccharide-lipid intermediate biosynthetic process (GO:0006490)	9	0	.49	-	 < 0.01	6.14E-01
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431)	1	0	.05	-	 < 0.01	9.47E-01
regulation of microtubule nucleation (GO:0010968)	2	0	.11	-	 < 0.01	8.97E-01
regulation of phosphate transport (GO:0010966)	2	0	.11	-	 < 0.01	8.97E-01
magnesium ion homeostasis (GO:0010960)	1	0	.05	-	 < 0.01	9.47E-01
dolichol-linked oligosaccharide biosynthetic process (GO:0006488)	5	0	.27	-	 < 0.01	7.62E-01
positive regulation of hydroxymethylglutaryl-CoA reductase (NADPH) activity (GO:1900490)	1	0	.05	-	 < 0.01	9.47E-01
protein demethylation (GO:0006482)	5	0	.27	-	 < 0.01	7.62E-01
C-terminal protein methylation (GO:0006481)	2	0	.11	-	 < 0.01	8.97E-01
N-terminal protein amino acid methylation (GO:0006480)	1	0	.05	-	 < 0.01	9.47E-01
rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428)	15	0	.81	-	 < 0.01	4.43E-01
succinate transmembrane transport (GO:0071422)	3	0	.16	-	 < 0.01	8.50E-01
regulation of metal ion transport (GO:0010959)	3	0	.16	-	 < 0.01	8.50E-01
manganese ion transmembrane transport (GO:0071421)	8	0	.43	-	 < 0.01	6.48E-01
attachment of GPI anchor to protein (GO:0016255)	1	0	.05	-	 < 0.01	9.47E-01
positive regulation of glucose mediated signaling pathway (GO:1902661)	1	0	.05	-	 < 0.01	9.47E-01
histone H3-K9 modification (GO:0061647)	9	0	.49	-	 < 0.01	6.14E-01
negative regulation of endopeptidase activity (GO:0010951)	7	0	.38	-	 < 0.01	6.84E-01
response to purine-containing compound (GO:0014074)	6	0	.33	-	 < 0.01	7.22E-01
protein deacetylation (GO:0006476)	19	0	1.03	-	 < 0.01	3.56E-01
N-terminal protein amino acid acetylation (GO:0006474)	7	0	.38	-	 < 0.01	6.84E-01
protein ADP-ribosylation (GO:0006471)	3	0	.16	-	 < 0.01	8.50E-01
protein dephosphorylation (GO:0006470)	36	0	1.95	-	 < 0.01	1.41E-01
regulation of glucose mediated signaling pathway (GO:1902659)	1	0	.05	-	 < 0.01	9.47E-01
negative regulation of macroautophagy (GO:0016242)	1	0	.05	-	 < 0.01	9.47E-01
regulation of macroautophagy (GO:0016241)	3	0	.16	-	 < 0.01	8.50E-01
hexose transmembrane transport (GO:0008645)	7	0	.38	-	 < 0.01	6.84E-01
negative regulation of protein kinase activity (GO:0006469)	11	0	.60	-	 < 0.01	5.50E-01
signal peptide processing (GO:0006465)	11	0	.60	-	 < 0.01	5.50E-01
protein localization to microtubule plus-end (GO:1904825)	3	0	.16	-	 < 0.01	8.50E-01
purine nucleobase transmembrane transport (GO:1904823)	2	0	.11	-	 < 0.01	8.97E-01
chloroplast disassembly (GO:1904821)	3	0	.16	-	 < 0.01	8.50E-01
positive regulation of macroautophagy (GO:0016239)	1	0	.05	-	 < 0.01	9.47E-01
lysosomal microautophagy (GO:0016237)	5	0	.27	-	 < 0.01	7.62E-01
C-terminal protein amino acid modification (GO:0018410)	6	0	.33	-	 < 0.01	7.22E-01
macroautophagy (GO:0016236)	25	0	1.36	-	 < 0.01	2.57E-01
telomere capping (GO:0016233)	6	0	.33	-	 < 0.01	7.22E-01
negative regulation of auxin mediated signaling pathway (GO:0010930)	2	0	.11	-	 < 0.01	8.97E-01
regulation of translational fidelity (GO:0006450)	6	0	.33	-	 < 0.01	7.22E-01
tRNA wobble uridine modification (GO:0002098)	12	0	.65	-	 < 0.01	5.21E-01
tRNA wobble base modification (GO:0002097)	14	0	.76	-	 < 0.01	4.68E-01
rRNA acetylation involved in maturation of SSU-rRNA (GO:1904812)	2	0	.11	-	 < 0.01	8.97E-01
positive regulation of auxin mediated signaling pathway (GO:0010929)	1	0	.05	-	 < 0.01	9.47E-01
iron-sulfur cluster assembly (GO:0016226)	32	0	1.74	-	 < 0.01	1.76E-01
positive regulation of brassinosteroid mediated signaling pathway (GO:1900459)	8	0	.43	-	 < 0.01	6.48E-01
negative regulation of phosphatase activity (GO:0010923)	1	0	.05	-	 < 0.01	9.47E-01
positive regulation of phosphatase activity (GO:0010922)	1	0	.05	-	 < 0.01	9.47E-01
regulation of phosphatase activity (GO:0010921)	19	0	1.03	-	 < 0.01	3.56E-01
dsDNA loop formation (GO:0090579)	1	0	.05	-	 < 0.01	9.47E-01
regulation of translational termination (GO:0006449)	4	0	.22	-	 < 0.01	8.05E-01
regulation of translational elongation (GO:0006448)	5	0	.27	-	 < 0.01	7.62E-01
regulation of translational initiation (GO:0006446)	7	0	.38	-	 < 0.01	6.84E-01
protein depalmitoylation (GO:0002084)	2	0	.11	-	 < 0.01	8.97E-01
assembly of large subunit precursor of preribosome (GO:1902626)	5	0	.27	-	 < 0.01	7.62E-01
apical protein localization (GO:0045176)	1	0	.05	-	 < 0.01	9.47E-01
pyridoxine biosynthetic process (GO:0008615)	5	0	.27	-	 < 0.01	7.62E-01
pyridoxine metabolic process (GO:0008614)	6	0	.33	-	 < 0.01	7.22E-01
peptidyl-lysine modification to peptidyl-hypusine (GO:0008612)	2	0	.11	-	 < 0.01	8.97E-01
valyl-tRNA aminoacylation (GO:0006438)	2	0	.11	-	 < 0.01	8.97E-01
ether lipid biosynthetic process (GO:0008611)	1	0	.05	-	 < 0.01	9.47E-01
tyrosyl-tRNA aminoacylation (GO:0006437)	1	0	.05	-	 < 0.01	9.47E-01
tryptophanyl-tRNA aminoacylation (GO:0006436)	2	0	.11	-	 < 0.01	8.97E-01
threonyl-tRNA aminoacylation (GO:0006435)	2	0	.11	-	 < 0.01	8.97E-01
seryl-tRNA aminoacylation (GO:0006434)	2	0	.11	-	 < 0.01	8.97E-01
prolyl-tRNA aminoacylation (GO:0006433)	2	0	.11	-	 < 0.01	8.97E-01
phenylalanyl-tRNA aminoacylation (GO:0006432)	3	0	.16	-	 < 0.01	8.50E-01
methionyl-tRNA aminoacylation (GO:0006431)	2	0	.11	-	 < 0.01	8.97E-01
lysyl-tRNA aminoacylation (GO:0006430)	2	0	.11	-	 < 0.01	8.97E-01
regulation of glucose metabolic process (GO:0010906)	2	0	.11	-	 < 0.01	8.97E-01
attachment of spindle microtubules to kinetochore (GO:0008608)	5	0	.27	-	 < 0.01	7.62E-01
leucyl-tRNA aminoacylation (GO:0006429)	2	0	.11	-	 < 0.01	8.97E-01
isoleucyl-tRNA aminoacylation (GO:0006428)	2	0	.11	-	 < 0.01	8.97E-01
histidyl-tRNA aminoacylation (GO:0006427)	2	0	.11	-	 < 0.01	8.97E-01
glycyl-tRNA aminoacylation (GO:0006426)	2	0	.11	-	 < 0.01	8.97E-01
glutaminyl-tRNA aminoacylation (GO:0006425)	2	0	.11	-	 < 0.01	8.97E-01
glutamyl-tRNA aminoacylation (GO:0006424)	3	0	.16	-	 < 0.01	8.50E-01
cysteinyl-tRNA aminoacylation (GO:0006423)	3	0	.16	-	 < 0.01	8.50E-01
aspartyl-tRNA aminoacylation (GO:0006422)	2	0	.11	-	 < 0.01	8.97E-01
asparaginyl-tRNA aminoacylation (GO:0006421)	4	0	.22	-	 < 0.01	8.05E-01
acquisition of nutrients from other organism during symbiotic interaction (GO:0051816)	1	0	.05	-	 < 0.01	9.47E-01
arginyl-tRNA aminoacylation (GO:0006420)	2	0	.11	-	 < 0.01	8.97E-01
detection of oxidative stress (GO:0070994)	1	0	.05	-	 < 0.01	9.47E-01
response to carbon starvation (GO:0090549)	5	0	.27	-	 < 0.01	7.62E-01
response to nitrate starvation (GO:0090548)	3	0	.16	-	 < 0.01	8.50E-01
response to low humidity (GO:0090547)	1	0	.05	-	 < 0.01	9.47E-01
alanyl-tRNA aminoacylation (GO:0006419)	2	0	.11	-	 < 0.01	8.97E-01
tRNA aminoacylation for protein translation (GO:0006418)	45	0	2.44	-	 < 0.01	8.66E-02
translational termination (GO:0006415)	11	0	.60	-	 < 0.01	5.50E-01
translational elongation (GO:0006414)	27	0	1.47	-	 < 0.01	2.31E-01
protein localization to microtubule (GO:0035372)	3	0	.16	-	 < 0.01	8.50E-01
response to ATP (GO:0033198)	5	0	.27	-	 < 0.01	7.62E-01
response to hydroperoxide (GO:0033194)	2	0	.11	-	 < 0.01	8.97E-01
oxidative demethylation (GO:0070989)	3	0	.16	-	 < 0.01	8.50E-01
demethylation (GO:0070988)	15	0	.81	-	 < 0.01	4.43E-01
error-free translesion synthesis (GO:0070987)	1	0	.05	-	 < 0.01	9.47E-01
L-asparagine metabolic process (GO:0070982)	3	0	.16	-	 < 0.01	8.50E-01
homologous chromosome segregation (GO:0045143)	26	0	1.41	-	 < 0.01	2.44E-01
L-asparagine biosynthetic process (GO:0070981)	3	0	.16	-	 < 0.01	8.50E-01
tRNA export from nucleus (GO:0006409)	1	0	.05	-	 < 0.01	9.47E-01
meiotic telomere clustering (GO:0045141)	2	0	.11	-	 < 0.01	8.97E-01
mRNA catabolic process (GO:0006402)	61	0	3.31	-	 < 0.01	3.62E-02
RNA catabolic process (GO:0006401)	75	0	4.07	-	 < 0.01	1.69E-02
tRNA modification (GO:0006400)	41	0	2.23	-	 < 0.01	1.08E-01
positive regulation of histone ubiquitination (GO:0033184)	1	0	.05	-	 < 0.01	9.47E-01
regulation of histone ubiquitination (GO:0033182)	2	0	.11	-	 < 0.01	8.97E-01
positive regulation of cellular response to oxidative stress (GO:1900409)	2	0	.11	-	 < 0.01	8.97E-01
regulation of cellular response to oxidative stress (GO:1900407)	3	0	.16	-	 < 0.01	8.50E-01
negative regulation of reciprocal meiotic recombination (GO:0045128)	3	0	.16	-	 < 0.01	8.50E-01
nuclear-transcribed mRNA catabolic process, no-go decay (GO:0070966)	2	0	.11	-	 < 0.01	8.97E-01
coenzyme A transmembrane transport (GO:0035349)	2	0	.11	-	 < 0.01	8.97E-01
hypoxanthine transport (GO:0035344)	2	0	.11	-	 < 0.01	8.97E-01
histone H3-K9 demethylation (GO:0033169)	2	0	.11	-	 < 0.01	8.97E-01
regulation of cellular response to phosphate starvation (GO:0140255)	2	0	.11	-	 < 0.01	8.97E-01
azole transmembrane transport (GO:0045117)	2	0	.11	-	 < 0.01	8.97E-01
protein neddylation (GO:0045116)	7	0	.38	-	 < 0.01	6.84E-01
UDP-glucose transmembrane transport (GO:0015786)	4	0	.22	-	 < 0.01	8.05E-01
GDP-fucose transmembrane transport (GO:0015783)	2	0	.11	-	 < 0.01	8.97E-01
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	6	0	.33	-	 < 0.01	7.22E-01
fatty-acyl-CoA metabolic process (GO:0035337)	9	0	.49	-	 < 0.01	6.14E-01
long-chain fatty-acyl-CoA metabolic process (GO:0035336)	8	0	.43	-	 < 0.01	6.48E-01
peptidyl-tyrosine dephosphorylation (GO:0035335)	4	0	.22	-	 < 0.01	8.05E-01
regulation of intracellular protein transport (GO:0033157)	4	0	.22	-	 < 0.01	8.05E-01
dephosphorylation of RNA polymerase II C-terminal domain (GO:0070940)	7	0	.38	-	 < 0.01	6.84E-01
polysaccharide transport (GO:0015774)	2	0	.11	-	 < 0.01	8.97E-01
xylulose metabolic process (GO:0005997)	1	0	.05	-	 < 0.01	9.47E-01
morphogenesis of an epithelium (GO:0002009)	3	0	.16	-	 < 0.01	8.50E-01
trehalose catabolic process (GO:0005993)	1	0	.05	-	 < 0.01	9.47E-01
histone H3 deacetylation (GO:0070932)	2	0	.11	-	 < 0.01	8.97E-01
maltose transport (GO:0015768)	1	0	.05	-	 < 0.01	9.47E-01
N-methylnicotinate transport (GO:2001143)	1	0	.05	-	 < 0.01	9.47E-01
nicotinate transport (GO:2001142)	1	0	.05	-	 < 0.01	9.47E-01
glucose-6-phosphate transport (GO:0015760)	2	0	.11	-	 < 0.01	8.97E-01
sucrose catabolic process (GO:0005987)	3	0	.16	-	 < 0.01	8.50E-01
sucrose biosynthetic process (GO:0005986)	13	0	.71	-	 < 0.01	4.94E-01
response to cycloheximide (GO:0046898)	2	0	.11	-	 < 0.01	8.97E-01
small RNA loading onto RISC (GO:0070922)	2	0	.11	-	 < 0.01	8.97E-01
fructose transmembrane transport (GO:0015755)	3	0	.16	-	 < 0.01	8.50E-01
regulation of lipid biosynthetic process (GO:0046890)	31	0	1.68	-	 < 0.01	1.86E-01
arabinose transmembrane transport (GO:0015751)	1	0	.05	-	 < 0.01	9.47E-01
negative regulation of protein dephosphorylation (GO:0035308)	1	0	.05	-	 < 0.01	9.47E-01
pentose transmembrane transport (GO:0015750)	1	0	.05	-	 < 0.01	9.47E-01
positive regulation of dephosphorylation (GO:0035306)	1	0	.05	-	 < 0.01	9.47E-01
negative regulation of dephosphorylation (GO:0035305)	1	0	.05	-	 < 0.01	9.47E-01
regulation of protein dephosphorylation (GO:0035304)	22	0	1.19	-	 < 0.01	3.03E-01
glycogen biosynthetic process (GO:0005978)	9	0	.49	-	 < 0.01	6.14E-01
regulation of dephosphorylation (GO:0035303)	24	0	1.30	-	 < 0.01	2.72E-01
cysteine catabolic process (GO:0009093)	1	0	.05	-	 < 0.01	9.47E-01
positive regulation of lipid biosynthetic process (GO:0046889)	10	0	.54	-	 < 0.01	5.81E-01
UV-damage excision repair (GO:0070914)	1	0	.05	-	 < 0.01	9.47E-01
citrate transport (GO:0015746)	2	0	.11	-	 < 0.01	8.97E-01
succinate transport (GO:0015744)	4	0	.22	-	 < 0.01	8.05E-01
alpha-ketoglutarate transport (GO:0015742)	2	0	.11	-	 < 0.01	8.97E-01
fumarate transport (GO:0015741)	1	0	.05	-	 < 0.01	9.47E-01
positive regulation of CENP-A containing nucleosome assembly (GO:1903099)	1	0	.05	-	 < 0.01	9.47E-01
regulation of CENP-A containing nucleosome assembly (GO:1903097)	1	0	.05	-	 < 0.01	9.47E-01
methionine catabolic process (GO:0009087)	1	0	.05	-	 < 0.01	9.47E-01
pollen aperture formation (GO:0062075)	1	0	.05	-	 < 0.01	9.47E-01
branched-chain amino acid catabolic process (GO:0009083)	7	0	.38	-	 < 0.01	6.84E-01
pyruvate family amino acid catabolic process (GO:0009080)	4	0	.22	-	 < 0.01	8.05E-01
quinolinate metabolic process (GO:0046874)	1	0	.05	-	 < 0.01	9.47E-01
negative regulation of chromatin organization (GO:1905268)	14	0	.76	-	 < 0.01	4.68E-01
endonucleolytic cleavage involved in tRNA processing (GO:1905267)	2	0	.11	-	 < 0.01	8.97E-01
mitochondrial respiratory chain complex assembly (GO:0033108)	19	0	1.03	-	 < 0.01	3.56E-01
pyruvate family amino acid metabolic process (GO:0009078)	4	0	.22	-	 < 0.01	8.05E-01
serine family amino acid catabolic process (GO:0009071)	14	0	.76	-	 < 0.01	4.68E-01
positive regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001108)	1	0	.05	-	 < 0.01	9.47E-01
terpenoid transport (GO:0046865)	8	0	.43	-	 < 0.01	6.48E-01
lactate transport (GO:0015727)	1	0	.05	-	 < 0.01	9.47E-01
isoprenoid transport (GO:0046864)	8	0	.43	-	 < 0.01	6.48E-01
mitochondrial double-strand break repair via homologous recombination (GO:0097552)	1	0	.05	-	 < 0.01	9.47E-01
allantoin transport (GO:0015720)	3	0	.16	-	 < 0.01	8.50E-01
mitochondrial double-strand break repair (GO:0097551)	1	0	.05	-	 < 0.01	9.47E-01
aspartate family amino acid catabolic process (GO:0009068)	7	0	.38	-	 < 0.01	6.84E-01
glutamine family amino acid catabolic process (GO:0009065)	17	0	.92	-	 < 0.01	3.97E-01
photosynthetic state transition (GO:0062055)	1	0	.05	-	 < 0.01	9.47E-01
anaerobic respiration (GO:0009061)	2	0	.11	-	 < 0.01	8.97E-01
phosphatidylinositol dephosphorylation (GO:0046856)	27	0	1.47	-	 < 0.01	2.31E-01
inositol phosphate dephosphorylation (GO:0046855)	16	0	.87	-	 < 0.01	4.19E-01
triose phosphate transport (GO:0015717)	4	0	.22	-	 < 0.01	8.05E-01
phosphoenolpyruvate transport (GO:0015714)	4	0	.22	-	 < 0.01	8.05E-01
phosphoglycerate transmembrane transport (GO:0015713)	6	0	.33	-	 < 0.01	7.22E-01
hexose phosphate transport (GO:0015712)	2	0	.11	-	 < 0.01	8.97E-01
pentose-phosphate shunt, non-oxidative branch (GO:0009052)	5	0	.27	-	 < 0.01	7.62E-01
microtubule bundle formation (GO:0001578)	6	0	.33	-	 < 0.01	7.22E-01
thiosulfate transport (GO:0015709)	3	0	.16	-	 < 0.01	8.50E-01
arsenite transport (GO:0015700)	5	0	.27	-	 < 0.01	7.62E-01
L-pipecolic acid biosynthetic process (GO:0062034)	2	0	.11	-	 < 0.01	8.97E-01
phosphorylated carbohydrate dephosphorylation (GO:0046838)	18	0	.98	-	 < 0.01	3.76E-01
fatty acid alpha-oxidation (GO:0001561)	2	0	.11	-	 < 0.01	8.97E-01
regulation of cell growth by extracellular stimulus (GO:0001560)	2	0	.11	-	 < 0.01	8.97E-01
positive regulation of protein export from nucleus (GO:0046827)	1	0	.05	-	 < 0.01	9.47E-01
regulation of protein export from nucleus (GO:0046825)	1	0	.05	-	 < 0.01	9.47E-01
positive regulation of nucleocytoplasmic transport (GO:0046824)	1	0	.05	-	 < 0.01	9.47E-01
regulation of nucleocytoplasmic transport (GO:0046822)	1	0	.05	-	 < 0.01	9.47E-01
histone H3-K4 dimethylation (GO:0044648)	1	0	.05	-	 < 0.01	9.47E-01
base-excision repair, AP site formation via deaminated base removal (GO:0097510)	1	0	.05	-	 < 0.01	9.47E-01
positive regulation of seed maturation (GO:2000693)	3	0	.16	-	 < 0.01	8.50E-01
negative regulation of small molecule metabolic process (GO:0062014)	10	0	.54	-	 < 0.01	5.81E-01
positive regulation of small molecule metabolic process (GO:0062013)	15	0	.81	-	 < 0.01	4.43E-01
mannosylation (GO:0097502)	4	0	.22	-	 < 0.01	8.05E-01
stress response to metal ion (GO:0097501)	12	0	.65	-	 < 0.01	5.21E-01
positive regulation of cellular response to X-ray (GO:2000685)	1	0	.05	-	 < 0.01	9.47E-01
gibberellic acid transmembrane transport (GO:1905200)	2	0	.11	-	 < 0.01	8.97E-01
regulation of cellular response to X-ray (GO:2000683)	1	0	.05	-	 < 0.01	9.47E-01
ribonucleoside biosynthetic process (GO:0042455)	13	0	.71	-	 < 0.01	4.94E-01
purine nucleoside biosynthetic process (GO:0042451)	12	0	.65	-	 < 0.01	5.21E-01
arginine biosynthetic process via ornithine (GO:0042450)	3	0	.16	-	 < 0.01	8.50E-01
fatty acid elongation (GO:0030497)	12	0	.65	-	 < 0.01	5.21E-01
maturation of SSU-rRNA (GO:0030490)	30	0	1.63	-	 < 0.01	1.96E-01
hormone biosynthetic process (GO:0042446)	66	0	3.58	-	 < 0.01	2.76E-02
tRNA methylation (GO:0030488)	12	0	.65	-	 < 0.01	5.21E-01
pseudouridine synthesis (GO:0001522)	14	0	.76	-	 < 0.01	4.68E-01
organelle disassembly (GO:1903008)	24	0	1.30	-	 < 0.01	2.72E-01
indole-containing compound catabolic process (GO:0042436)	13	0	.71	-	 < 0.01	4.94E-01
indole-containing compound biosynthetic process (GO:0042435)	40	0	2.17	-	 < 0.01	1.14E-01
cellular response to fatty acid (GO:0071398)	4	0	.22	-	 < 0.01	8.05E-01
RNA methylation (GO:0001510)	30	0	1.63	-	 < 0.01	1.96E-01
regulation of genetic imprinting (GO:2000653)	1	0	.05	-	 < 0.01	9.47E-01
choline biosynthetic process (GO:0042425)	1	0	.05	-	 < 0.01	9.47E-01
intracellular transport of virus (GO:0075733)	2	0	.11	-	 < 0.01	8.97E-01
positive regulation of gene silencing by miRNA (GO:2000637)	2	0	.11	-	 < 0.01	8.97E-01
positive regulation of primary miRNA processing (GO:2000636)	2	0	.11	-	 < 0.01	8.97E-01
cristae formation (GO:0042407)	4	0	.22	-	 < 0.01	8.05E-01
regulation of primary miRNA processing (GO:2000634)	2	0	.11	-	 < 0.01	8.97E-01
chromosome localization (GO:0050000)	5	0	.27	-	 < 0.01	7.62E-01
protein myristoylation (GO:0018377)	2	0	.11	-	 < 0.01	8.97E-01
positive regulation of miRNA metabolic process (GO:2000630)	1	0	.05	-	 < 0.01	9.47E-01
cellular biogenic amine catabolic process (GO:0042402)	14	0	.76	-	 < 0.01	4.68E-01
cellular response to indolebutyric acid stimulus (GO:0071366)	2	0	.11	-	 < 0.01	8.97E-01
endosomal transport (GO:0016197)	59	0	3.20	-	 < 0.01	4.04E-02
regulation of triglyceride catabolic process (GO:0010896)	2	0	.11	-	 < 0.01	8.97E-01
regulation of miRNA metabolic process (GO:2000628)	1	0	.05	-	 < 0.01	9.47E-01
peptidyl-glutamine methylation (GO:0018364)	5	0	.27	-	 < 0.01	7.62E-01
negative regulation of lipid storage (GO:0010888)	1	0	.05	-	 < 0.01	9.47E-01
regulation of lipid storage (GO:0010883)	1	0	.05	-	 < 0.01	9.47E-01
snRNA processing (GO:0016180)	9	0	.49	-	 < 0.01	6.14E-01
medium-chain fatty acid biosynthetic process (GO:0051792)	1	0	.05	-	 < 0.01	9.47E-01
cellular response to cytokine stimulus (GO:0071345)	1	0	.05	-	 < 0.01	9.47E-01
multi-organism intercellular transport (GO:1902586)	3	0	.16	-	 < 0.01	8.50E-01
mRNA 3'-end processing by stem-loop binding and cleavage (GO:0006398)	2	0	.11	-	 < 0.01	8.97E-01
termination of mitochondrial transcription (GO:0006393)	1	0	.05	-	 < 0.01	9.47E-01
mitochondrial transcription (GO:0006390)	4	0	.22	-	 < 0.01	8.05E-01
positive regulation of nuclear division (GO:0051785)	10	0	.54	-	 < 0.01	5.81E-01
positive regulation of secondary growth (GO:2000605)	1	0	.05	-	 < 0.01	9.47E-01
regulation of secondary growth (GO:2000603)	1	0	.05	-	 < 0.01	9.47E-01
negative regulation of cell division (GO:0051782)	5	0	.27	-	 < 0.01	7.62E-01
positive regulation of cell division (GO:0051781)	11	0	.60	-	 < 0.01	5.50E-01
multi-organism localization (GO:1902579)	13	0	.71	-	 < 0.01	4.94E-01
protein geranylgeranylation (GO:0018344)	7	0	.38	-	 < 0.01	6.84E-01
protein farnesylation (GO:0018343)	2	0	.11	-	 < 0.01	8.97E-01
protein prenylation (GO:0018342)	8	0	.43	-	 < 0.01	6.48E-01
positive regulation of triglyceride biosynthetic process (GO:0010867)	1	0	.05	-	 < 0.01	9.47E-01
regulation of triglyceride biosynthetic process (GO:0010866)	1	0	.05	-	 < 0.01	9.47E-01
stipule development (GO:0010865)	1	0	.05	-	 < 0.01	9.47E-01
transcription by RNA polymerase III (GO:0006383)	3	0	.16	-	 < 0.01	8.50E-01
adenosine to inosine editing (GO:0006382)	3	0	.16	-	 < 0.01	8.50E-01
detection of redox state (GO:0051776)	1	0	.05	-	 < 0.01	9.47E-01
cellular response to sucrose stimulus (GO:0071329)	7	0	.38	-	 < 0.01	6.84E-01
cellular response to mannitol stimulus (GO:0071325)	1	0	.05	-	 < 0.01	9.47E-01
viral RNA genome replication (GO:0039694)	1	0	.05	-	 < 0.01	9.47E-01
regulation of flavonol biosynthetic process (GO:1900384)	1	0	.05	-	 < 0.01	9.47E-01
mRNA cleavage (GO:0006379)	7	0	.38	-	 < 0.01	6.84E-01
mRNA polyadenylation (GO:0006378)	14	0	.76	-	 < 0.01	4.68E-01
mRNA splice site selection (GO:0006376)	2	0	.11	-	 < 0.01	8.97E-01
7-methylguanosine mRNA capping (GO:0006370)	2	0	.11	-	 < 0.01	8.97E-01
actin crosslink formation (GO:0051764)	1	0	.05	-	 < 0.01	9.47E-01
