




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4661)	upload_1 (3776)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
RNA localization (GO:0006403)	175	152	141.77	+	1.07	2.01E-01
protein glycosylation (GO:0006486)	76	66	61.57	+	1.07	3.01E-01
macromolecule glycosylation (GO:0043413)	76	66	61.57	+	1.07	3.01E-01
purine nucleotide biosynthetic process (GO:0006164)	68	59	55.09	+	1.07	3.16E-01
protein-DNA complex assembly (GO:0065004)	98	85	79.39	+	1.07	2.77E-01
cellular calcium ion homeostasis (GO:0006874)	15	13	12.15	+	1.07	4.41E-01
GPI anchor biosynthetic process (GO:0006506)	30	26	24.30	+	1.07	3.92E-01
regulation of translational elongation (GO:0006448)	15	13	12.15	+	1.07	4.41E-01
spindle localization (GO:0051653)	15	13	12.15	+	1.07	4.41E-01
peptidyl-lysine methylation (GO:0018022)	30	26	24.30	+	1.07	3.92E-01
protein stabilization (GO:0050821)	15	13	12.15	+	1.07	4.41E-01
establishment of spindle localization (GO:0051293)	15	13	12.15	+	1.07	4.41E-01
protein localization to nucleus (GO:0034504)	67	58	54.28	+	1.07	3.23E-01
cellular nitrogen compound metabolic process (GO:0034641)	1658	1434	1343.19	+	1.07	1.12E-03
purine-containing compound biosynthetic process (GO:0072522)	74	64	59.95	+	1.07	3.16E-01
ribose phosphate biosynthetic process (GO:0046390)	81	70	65.62	+	1.07	3.09E-01
G2/M transition of mitotic cell cycle (GO:0000086)	22	19	17.82	+	1.07	4.21E-01
cell cycle G2/M phase transition (GO:0044839)	22	19	17.82	+	1.07	4.21E-01
protein insertion into mitochondrial membrane (GO:0051204)	22	19	17.82	+	1.07	4.21E-01
regulation of translation (GO:0006417)	132	114	106.94	+	1.07	2.57E-01
anion transmembrane transport (GO:0098656)	110	95	89.11	+	1.07	2.78E-01
nucleic acid transport (GO:0050657)	153	132	123.95	+	1.06	2.43E-01
snoRNA 3'-end processing (GO:0031126)	29	25	23.49	+	1.06	4.05E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	209	180	169.32	+	1.06	2.10E-01
posttranscriptional regulation of gene expression (GO:0010608)	144	124	116.66	+	1.06	2.57E-01
pyruvate metabolic process (GO:0006090)	36	31	29.16	+	1.06	3.91E-01
establishment of RNA localization (GO:0051236)	151	130	122.33	+	1.06	2.52E-01
RNA transport (GO:0050658)	151	130	122.33	+	1.06	2.52E-01
ribonucleotide metabolic process (GO:0009259)	115	99	93.16	+	1.06	2.84E-01
gene silencing (GO:0016458)	86	74	69.67	+	1.06	3.16E-01
glycoprotein metabolic process (GO:0009100)	86	74	69.67	+	1.06	3.16E-01
regulation of cellular amide metabolic process (GO:0034248)	136	117	110.18	+	1.06	2.67E-01
detoxification (GO:0098754)	50	43	40.51	+	1.06	3.68E-01
organelle assembly (GO:0070925)	156	134	126.38	+	1.06	2.57E-01
purine ribonucleotide metabolic process (GO:0009150)	99	85	80.20	+	1.06	3.09E-01
response to oxidative stress (GO:0006979)	120	103	97.22	+	1.06	2.90E-01
endoplasmic reticulum unfolded protein response (GO:0030968)	21	18	17.01	+	1.06	4.37E-01
snRNA processing (GO:0016180)	21	18	17.01	+	1.06	4.37E-01
regulation of intracellular transport (GO:0032386)	42	36	34.03	+	1.06	3.90E-01
nuclear-transcribed mRNA catabolic process, non-stop decay (GO:0070481)	21	18	17.01	+	1.06	4.37E-01
amino sugar biosynthetic process (GO:0046349)	21	18	17.01	+	1.06	4.37E-01
inorganic anion transmembrane transport (GO:0098661)	21	18	17.01	+	1.06	4.37E-01
regulation of nitrogen utilization (GO:0006808)	14	12	11.34	+	1.06	4.62E-01
regulation of cell projection organization (GO:0031344)	7	6	5.67	+	1.06	5.00E-01
nucleoside phosphate catabolic process (GO:1901292)	14	12	11.34	+	1.06	4.62E-01
protoporphyrinogen IX biosynthetic process (GO:0006782)	7	6	5.67	+	1.06	5.00E-01
peroxisome fission (GO:0016559)	7	6	5.67	+	1.06	5.00E-01
riboflavin metabolic process (GO:0006771)	7	6	5.67	+	1.06	5.00E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	7	6	5.67	+	1.06	5.00E-01
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	7	6	5.67	+	1.06	5.00E-01
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	14	12	11.34	+	1.06	4.62E-01
very long-chain fatty acid biosynthetic process (GO:0042761)	7	6	5.67	+	1.06	5.00E-01
negative regulation of mRNA metabolic process (GO:1903312)	7	6	5.67	+	1.06	5.00E-01
coenzyme A biosynthetic process (GO:0015937)	7	6	5.67	+	1.06	5.00E-01
glucan catabolic process (GO:0009251)	7	6	5.67	+	1.06	5.00E-01
riboflavin biosynthetic process (GO:0009231)	7	6	5.67	+	1.06	5.00E-01
pyrimidine ribonucleoside triphosphate biosynthetic process (GO:0009209)	7	6	5.67	+	1.06	5.00E-01
pyrimidine ribonucleoside triphosphate metabolic process (GO:0009208)	7	6	5.67	+	1.06	5.00E-01
cellular modified amino acid metabolic process (GO:0006575)	56	48	45.37	+	1.06	3.67E-01
negative regulation of programmed cell death (GO:0043069)	7	6	5.67	+	1.06	5.00E-01
deadenylation-independent decapping of nuclear-transcribed mRNA (GO:0031087)	7	6	5.67	+	1.06	5.00E-01
copper ion transmembrane transport (GO:0035434)	7	6	5.67	+	1.06	5.00E-01
tyrosine transport (GO:0015828)	7	6	5.67	+	1.06	5.00E-01
arginine transport (GO:0015809)	7	6	5.67	+	1.06	5.00E-01
cellular response to oxygen levels (GO:0071453)	7	6	5.67	+	1.06	5.00E-01
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431)	14	12	11.34	+	1.06	4.62E-01
dsDNA loop formation (GO:0090579)	7	6	5.67	+	1.06	5.00E-01
regulation of translational initiation (GO:0006446)	28	24	22.68	+	1.06	4.19E-01
tRNA export from nucleus (GO:0006409)	14	12	11.34	+	1.06	4.62E-01
sucrose metabolic process (GO:0005985)	7	6	5.67	+	1.06	5.00E-01
heteroduplex formation (GO:0030491)	7	6	5.67	+	1.06	5.00E-01
protein prenylation (GO:0018342)	7	6	5.67	+	1.06	5.00E-01
transcription initiation from RNA polymerase I promoter (GO:0006361)	7	6	5.67	+	1.06	5.00E-01
protein maturation by iron-sulfur cluster transfer (GO:0097428)	14	12	11.34	+	1.06	4.62E-01
prenylation (GO:0097354)	7	6	5.67	+	1.06	5.00E-01
regulation of membrane lipid metabolic process (GO:1905038)	7	6	5.67	+	1.06	5.00E-01
sulfate transmembrane transport (GO:1902358)	7	6	5.67	+	1.06	5.00E-01
regulation of actomyosin contractile ring contraction (GO:0031991)	7	6	5.67	+	1.06	5.00E-01
regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)	7	6	5.67	+	1.06	5.00E-01
regulation of spindle organization (GO:0090224)	7	6	5.67	+	1.06	5.00E-01
protoporphyrinogen IX metabolic process (GO:0046501)	7	6	5.67	+	1.06	5.00E-01
regulation of lipid transport (GO:0032368)	7	6	5.67	+	1.06	5.00E-01
sulfate transport (GO:0008272)	7	6	5.67	+	1.06	5.00E-01
gluconeogenesis (GO:0006094)	14	12	11.34	+	1.06	4.62E-01
nuclear mRNA surveillance of mRNA 3'-end processing (GO:0071031)	7	6	5.67	+	1.06	5.00E-01
peptidyl-lysine trimethylation (GO:0018023)	7	6	5.67	+	1.06	5.00E-01
karyogamy (GO:0000741)	14	12	11.34	+	1.06	4.62E-01
regulation of sphingolipid biosynthetic process (GO:0090153)	7	6	5.67	+	1.06	5.00E-01
inositol metabolic process (GO:0006020)	7	6	5.67	+	1.06	5.00E-01
negative regulation of DNA recombination (GO:0045910)	14	12	11.34	+	1.06	4.62E-01
Arp2/3 complex-mediated actin nucleation (GO:0034314)	7	6	5.67	+	1.06	5.00E-01
programmed cell death (GO:0012501)	28	24	22.68	+	1.06	4.19E-01
regulation of lipid localization (GO:1905952)	7	6	5.67	+	1.06	5.00E-01
regulation of plasma membrane bounded cell projection organization (GO:0120035)	7	6	5.67	+	1.06	5.00E-01
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	7	6	5.67	+	1.06	5.00E-01
regulation of cell projection assembly (GO:0060491)	7	6	5.67	+	1.06	5.00E-01
alcohol biosynthetic process (GO:0046165)	56	48	45.37	+	1.06	3.67E-01
mRNA 5'-splice site recognition (GO:0000395)	7	6	5.67	+	1.06	5.00E-01
regulation of carbohydrate catabolic process (GO:0043470)	7	6	5.67	+	1.06	5.00E-01
galactose catabolic process (GO:0019388)	7	6	5.67	+	1.06	5.00E-01
hexose biosynthetic process (GO:0019319)	14	12	11.34	+	1.06	4.62E-01
cellular response to decreased oxygen levels (GO:0036294)	7	6	5.67	+	1.06	5.00E-01
nucleoside phosphate metabolic process (GO:0006753)	181	155	146.63	+	1.06	2.51E-01
carbohydrate catabolic process (GO:0016052)	76	65	61.57	+	1.06	3.47E-01
carbohydrate derivative metabolic process (GO:1901135)	324	277	262.48	+	1.06	1.84E-01
polysaccharide metabolic process (GO:0005976)	62	53	50.23	+	1.06	3.66E-01
protein N-linked glycosylation (GO:0006487)	48	41	38.89	+	1.05	3.88E-01
response to unfolded protein (GO:0006986)	41	35	33.22	+	1.05	4.01E-01
ribonucleotide biosynthetic process (GO:0009260)	75	64	60.76	+	1.05	3.55E-01
inorganic anion transport (GO:0015698)	34	29	27.54	+	1.05	4.16E-01
nucleotide phosphorylation (GO:0046939)	27	23	21.87	+	1.05	4.33E-01
apoptotic process (GO:0006915)	27	23	21.87	+	1.05	4.33E-01
mitochondrion organization (GO:0007005)	234	199	189.57	+	1.05	2.51E-01
nucleoside phosphate biosynthetic process (GO:1901293)	120	102	97.22	+	1.05	3.25E-01
purine ribonucleotide biosynthetic process (GO:0009152)	60	51	48.61	+	1.05	3.84E-01
snRNA 3'-end processing (GO:0034472)	20	17	16.20	+	1.05	4.54E-01
nucleotide metabolic process (GO:0009117)	173	147	140.15	+	1.05	2.89E-01
cellular response to oxidative stress (GO:0034599)	106	90	85.87	+	1.05	3.41E-01
carbohydrate metabolic process (GO:0005975)	225	191	182.28	+	1.05	2.64E-01
glycosylation (GO:0070085)	86	73	69.67	+	1.05	3.60E-01
GPI anchor metabolic process (GO:0006505)	33	28	26.73	+	1.05	4.29E-01
mitochondrial RNA metabolic process (GO:0000959)	33	28	26.73	+	1.05	4.29E-01
chromatin silencing (GO:0006342)	79	67	64.00	+	1.05	3.69E-01
negative regulation of gene expression, epigenetic (GO:0045814)	79	67	64.00	+	1.05	3.69E-01
heterocycle metabolic process (GO:0046483)	1373	1164	1112.30	+	1.05	3.42E-02
nucleotide biosynthetic process (GO:0009165)	118	100	95.59	+	1.05	3.38E-01
DNA-templated transcription, initiation (GO:0006352)	59	50	47.80	+	1.05	3.94E-01
cellular aromatic compound metabolic process (GO:0006725)	1361	1153	1102.58	+	1.05	3.74E-02
nucleobase-containing compound metabolic process (GO:0006139)	1272	1077	1030.48	+	1.05	4.68E-02
protein-DNA complex subunit organization (GO:0071824)	150	127	121.52	+	1.05	3.19E-01
organic cyclic compound metabolic process (GO:1901360)	1426	1207	1155.24	+	1.04	3.55E-02
establishment or maintenance of cytoskeleton polarity (GO:0030952)	13	11	10.53	+	1.04	4.83E-01
establishment of protein localization to plasma membrane (GO:0061951)	13	11	10.53	+	1.04	4.83E-01
thiamine metabolic process (GO:0006772)	13	11	10.53	+	1.04	4.83E-01
G protein-coupled receptor signaling pathway (GO:0007186)	13	11	10.53	+	1.04	4.83E-01
mitotic spindle organization (GO:0007052)	26	22	21.06	+	1.04	4.48E-01
cellular response to chemical stress (GO:0062197)	130	110	105.32	+	1.04	3.35E-01
negative regulation of protein dephosphorylation (GO:0035308)	13	11	10.53	+	1.04	4.83E-01
negative regulation of dephosphorylation (GO:0035305)	13	11	10.53	+	1.04	4.83E-01
establishment of mitotic spindle localization (GO:0040001)	13	11	10.53	+	1.04	4.83E-01
fermentation (GO:0006113)	13	11	10.53	+	1.04	4.83E-01
pentose-phosphate shunt (GO:0006098)	13	11	10.53	+	1.04	4.83E-01
acetyl-CoA metabolic process (GO:0006084)	13	11	10.53	+	1.04	4.83E-01
cellular polysaccharide metabolic process (GO:0044264)	52	44	42.13	+	1.04	4.06E-01
regulation of silent mating-type cassette heterochromatin assembly (GO:0090054)	13	11	10.53	+	1.04	4.83E-01
regulation of response to nutrient levels (GO:0032107)	13	11	10.53	+	1.04	4.83E-01
regulation of response to extracellular stimulus (GO:0032104)	13	11	10.53	+	1.04	4.83E-01
regulation of response to external stimulus (GO:0032101)	13	11	10.53	+	1.04	4.83E-01
protein-containing complex localization (GO:0031503)	143	121	115.85	+	1.04	3.26E-01
inorganic ion homeostasis (GO:0098771)	136	115	110.18	+	1.04	3.33E-01
nucleic acid metabolic process (GO:0090304)	1080	913	874.94	+	1.04	7.42E-02
small molecule catabolic process (GO:0044282)	142	120	115.04	+	1.04	3.32E-01
protein localization to membrane (GO:0072657)	129	109	104.51	+	1.04	3.41E-01
monosaccharide metabolic process (GO:0005996)	58	49	46.99	+	1.04	4.03E-01
protein maturation (GO:0051604)	90	76	72.91	+	1.04	3.73E-01
cellular response to heat (GO:0034605)	45	38	36.46	+	1.04	4.21E-01
glycolipid biosynthetic process (GO:0009247)	32	27	25.92	+	1.04	4.42E-01
negative regulation of translation (GO:0017148)	32	27	25.92	+	1.04	4.42E-01
DNA-templated transcription, termination (GO:0006353)	51	43	41.32	+	1.04	4.17E-01
establishment of protein localization to membrane (GO:0090150)	102	86	82.63	+	1.04	3.69E-01
peptidyl-lysine modification (GO:0018205)	108	91	87.49	+	1.04	3.67E-01
chromatin organization involved in regulation of transcription (GO:0034401)	108	91	87.49	+	1.04	3.67E-01
protein import (GO:0017038)	114	96	92.35	+	1.04	3.65E-01
histone methylation (GO:0016571)	19	16	15.39	+	1.04	4.72E-01
glucosamine-containing compound biosynthetic process (GO:1901073)	19	16	15.39	+	1.04	4.72E-01
peptidyl-threonine modification (GO:0018210)	19	16	15.39	+	1.04	4.72E-01
peptidyl-threonine phosphorylation (GO:0018107)	19	16	15.39	+	1.04	4.72E-01
cell wall chitin metabolic process (GO:0006037)	19	16	15.39	+	1.04	4.72E-01
chitin biosynthetic process (GO:0006031)	19	16	15.39	+	1.04	4.72E-01
aminoglycan biosynthetic process (GO:0006023)	19	16	15.39	+	1.04	4.72E-01
heterochromatin assembly (GO:0031507)	57	48	46.18	+	1.04	4.13E-01
response to toxic substance (GO:0009636)	57	48	46.18	+	1.04	4.13E-01
positive regulation of DNA metabolic process (GO:0051054)	19	16	15.39	+	1.04	4.72E-01
peptidyl-amino acid modification (GO:0018193)	221	186	179.04	+	1.04	3.07E-01
chromatin organization involved in negative regulation of transcription (GO:0097549)	107	90	86.68	+	1.04	3.74E-01
protein transmembrane import into intracellular organelle (GO:0044743)	44	37	35.65	+	1.04	4.32E-01
regulation of cell size (GO:0008361)	25	21	20.25	+	1.04	4.63E-01
organic cyclic compound biosynthetic process (GO:1901362)	529	444	428.56	+	1.04	2.21E-01
glucose metabolic process (GO:0006006)	31	26	25.11	+	1.04	4.56E-01
divalent inorganic cation homeostasis (GO:0072507)	31	26	25.11	+	1.04	4.56E-01
regulation of generation of precursor metabolites and energy (GO:0043467)	31	26	25.11	+	1.04	4.56E-01
response to oxygen-containing compound (GO:1901700)	68	57	55.09	+	1.03	4.16E-01
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	37	31	29.97	+	1.03	4.50E-01
peroxisome organization (GO:0007031)	37	31	29.97	+	1.03	4.50E-01
aromatic amino acid family metabolic process (GO:0009072)	37	31	29.97	+	1.03	4.50E-01
regulation of DNA metabolic process (GO:0051052)	80	67	64.81	+	1.03	4.09E-01
transcription initiation from RNA polymerase II promoter (GO:0006367)	43	36	34.84	+	1.03	4.44E-01
cellular glucan metabolic process (GO:0006073)	49	41	39.70	+	1.03	4.39E-01
alcohol metabolic process (GO:0006066)	98	82	79.39	+	1.03	3.99E-01
glucan metabolic process (GO:0044042)	49	41	39.70	+	1.03	4.39E-01
protein acetylation (GO:0006473)	61	51	49.42	+	1.03	4.30E-01
cellular component assembly (GO:0022607)	689	576	558.18	+	1.03	2.13E-01
cellular carbohydrate metabolic process (GO:0044262)	134	112	108.56	+	1.03	3.82E-01
nucleobase-containing compound transport (GO:0015931)	207	173	167.70	+	1.03	3.48E-01
organic hydroxy compound biosynthetic process (GO:1901617)	79	66	64.00	+	1.03	4.17E-01
chromatin assembly (GO:0031497)	85	71	68.86	+	1.03	4.14E-01
DNA-dependent DNA replication (GO:0006261)	97	81	78.58	+	1.03	4.07E-01
organic anion transport (GO:0015711)	157	131	127.19	+	1.03	3.78E-01
establishment or maintenance of actin cytoskeleton polarity (GO:0030950)	12	10	9.72	+	1.03	5.07E-01
spermine transport (GO:0000296)	6	5	4.86	+	1.03	5.35E-01
calcium ion transport (GO:0006816)	12	10	9.72	+	1.03	5.07E-01
regulation of mitotic spindle organization (GO:0060236)	6	5	4.86	+	1.03	5.35E-01
osmosensory signaling pathway (GO:0007231)	12	10	9.72	+	1.03	5.07E-01
positive regulation of transcription by pheromones (GO:0009371)	6	5	4.86	+	1.03	5.35E-01
protein-DNA complex disassembly (GO:0032986)	18	15	14.58	+	1.03	4.91E-01
thiamine-containing compound biosynthetic process (GO:0042724)	12	10	9.72	+	1.03	5.07E-01
phosphatidylethanolamine biosynthetic process (GO:0006646)	6	5	4.86	+	1.03	5.35E-01
protein processing involved in protein targeting to mitochondrion (GO:0006627)	6	5	4.86	+	1.03	5.35E-01
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	12	10	9.72	+	1.03	5.07E-01
nuclear migration (GO:0007097)	18	15	14.58	+	1.03	4.91E-01
thiamine biosynthetic process (GO:0009228)	12	10	9.72	+	1.03	5.07E-01
microtubule-based movement (GO:0007018)	18	15	14.58	+	1.03	4.91E-01
ADP transport (GO:0015866)	6	5	4.86	+	1.03	5.35E-01
Golgi to plasma membrane protein transport (GO:0043001)	12	10	9.72	+	1.03	5.07E-01
aromatic amino acid transport (GO:0015801)	12	10	9.72	+	1.03	5.07E-01
pteridine-containing compound biosynthetic process (GO:0042559)	12	10	9.72	+	1.03	5.07E-01
regulation of double-strand break repair (GO:2000779)	6	5	4.86	+	1.03	5.35E-01
pyrimidine-containing compound salvage (GO:0008655)	6	5	4.86	+	1.03	5.35E-01
translational frameshifting (GO:0006452)	6	5	4.86	+	1.03	5.35E-01
negative regulation of phosphatase activity (GO:0010923)	12	10	9.72	+	1.03	5.07E-01
pyridoxine biosynthetic process (GO:0008615)	6	5	4.86	+	1.03	5.35E-01
histone H4 deacetylation (GO:0070933)	6	5	4.86	+	1.03	5.35E-01
regulation of phospholipid transport (GO:2001138)	6	5	4.86	+	1.03	5.35E-01
regulation of glycogen biosynthetic process (GO:0005979)	12	10	9.72	+	1.03	5.07E-01
valine biosynthetic process (GO:0009099)	6	5	4.86	+	1.03	5.35E-01
positive regulation of small molecule metabolic process (GO:0062013)	18	15	14.58	+	1.03	4.91E-01
regulation of transcription regulatory region DNA binding (GO:2000677)	6	5	4.86	+	1.03	5.35E-01
regulation of protein localization to nucleolus (GO:1904749)	6	5	4.86	+	1.03	5.35E-01
telomere maintenance via telomere lengthening (GO:0010833)	12	10	9.72	+	1.03	5.07E-01
reactive nitrogen species metabolic process (GO:2001057)	6	5	4.86	+	1.03	5.35E-01
microtubule polymerization (GO:0046785)	6	5	4.86	+	1.03	5.35E-01
negative regulation of response to DNA damage stimulus (GO:2001021)	6	5	4.86	+	1.03	5.35E-01
nucleosome organization (GO:0034728)	72	60	58.33	+	1.03	4.30E-01
negative regulation of phosphoprotein phosphatase activity (GO:0032515)	12	10	9.72	+	1.03	5.07E-01
premeiotic DNA replication (GO:0006279)	6	5	4.86	+	1.03	5.35E-01
cellular response to phosphate starvation (GO:0016036)	6	5	4.86	+	1.03	5.35E-01
nucleus localization (GO:0051647)	18	15	14.58	+	1.03	4.91E-01
endoplasmic reticulum localization (GO:0051643)	6	5	4.86	+	1.03	5.35E-01
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	210	175	170.13	+	1.03	3.62E-01
regulation of ribosomal protein gene transcription by RNA polymerase II (GO:0060962)	12	10	9.72	+	1.03	5.07E-01
regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle (GO:0010672)	6	5	4.86	+	1.03	5.35E-01
negative regulation of mRNA catabolic process (GO:1902373)	6	5	4.86	+	1.03	5.35E-01
negative regulation of RNA catabolic process (GO:1902369)	6	5	4.86	+	1.03	5.35E-01
negative regulation of protein localization to nucleus (GO:1900181)	6	5	4.86	+	1.03	5.35E-01
cellular component maintenance (GO:0043954)	6	5	4.86	+	1.03	5.35E-01
regulation of glutamine family amino acid metabolic process (GO:0000820)	6	5	4.86	+	1.03	5.35E-01
gene looping (GO:0090202)	6	5	4.86	+	1.03	5.35E-01
sphingoid metabolic process (GO:0046519)	6	5	4.86	+	1.03	5.35E-01
intracellular mRNA localization (GO:0008298)	30	25	24.30	+	1.03	4.71E-01
(1->6)-beta-D-glucan biosynthetic process (GO:0006078)	6	5	4.86	+	1.03	5.35E-01
(1->6)-beta-D-glucan metabolic process (GO:0006077)	6	5	4.86	+	1.03	5.35E-01
regulation of reciprocal meiotic recombination (GO:0010520)	6	5	4.86	+	1.03	5.35E-01
cell death (GO:0008219)	30	25	24.30	+	1.03	4.71E-01
regulation of spindle assembly (GO:0090169)	6	5	4.86	+	1.03	5.35E-01
recombinational repair (GO:0000725)	72	60	58.33	+	1.03	4.30E-01
galactose metabolic process (GO:0006012)	12	10	9.72	+	1.03	5.07E-01
fructose 6-phosphate metabolic process (GO:0006002)	6	5	4.86	+	1.03	5.35E-01
sulfur compound catabolic process (GO:0044273)	12	10	9.72	+	1.03	5.07E-01
regulation of nucleobase-containing compound transport (GO:0032239)	6	5	4.86	+	1.03	5.35E-01
protein localization to plasma membrane (GO:0072659)	24	20	19.44	+	1.03	4.80E-01
regulation of phospholipid translocation (GO:0061091)	6	5	4.86	+	1.03	5.35E-01
regulation of phosphoprotein phosphatase activity (GO:0043666)	36	30	29.16	+	1.03	4.63E-01
positive regulation of mRNA catabolic process (GO:0061014)	12	10	9.72	+	1.03	5.07E-01
regulation of mRNA catabolic process (GO:0061013)	30	25	24.30	+	1.03	4.71E-01
glycerol catabolic process (GO:0019563)	6	5	4.86	+	1.03	5.35E-01
pyrimidine-containing compound catabolic process (GO:0072529)	6	5	4.86	+	1.03	5.35E-01
cellular divalent inorganic cation homeostasis (GO:0072503)	30	25	24.30	+	1.03	4.71E-01
mitotic spindle orientation checkpoint (GO:0031578)	12	10	9.72	+	1.03	5.07E-01
regulation of histone H3-K36 methylation (GO:0000414)	6	5	4.86	+	1.03	5.35E-01
regulation of phosphorylation of RNA polymerase II C-terminal domain (GO:1901407)	6	5	4.86	+	1.03	5.35E-01
regulation of mRNA stability (GO:0043488)	18	15	14.58	+	1.03	4.91E-01
negative regulation of DNA metabolic process (GO:0051053)	30	25	24.30	+	1.03	4.71E-01
negative regulation of transcription involved in meiotic cell cycle (GO:0051038)	6	5	4.86	+	1.03	5.35E-01
kynurenine metabolic process (GO:0070189)	6	5	4.86	+	1.03	5.35E-01
hexose metabolic process (GO:0019318)	48	40	38.89	+	1.03	4.50E-01
positive regulation of transcription from RNA polymerase II promoter by pheromones (GO:0007329)	6	5	4.86	+	1.03	5.35E-01
nitrogen compound metabolic process (GO:0006807)	2542	2116	2059.34	+	1.03	3.31E-02
metal ion homeostasis (GO:0055065)	107	89	86.68	+	1.03	4.15E-01
heterocycle biosynthetic process (GO:0018130)	486	404	393.72	+	1.03	3.00E-01
organic substance metabolic process (GO:0071704)	2923	2429	2368.00	+	1.03	2.06E-02
aromatic compound biosynthetic process (GO:0019438)	473	393	383.19	+	1.03	3.06E-01
organonitrogen compound metabolic process (GO:1901564)	1742	1446	1411.24	+	1.02	1.25E-01
primary metabolic process (GO:0044238)	2747	2280	2225.42	+	1.02	3.66E-02
cation homeostasis (GO:0055080)	141	117	114.23	+	1.02	4.09E-01
protein methylation (GO:0006479)	47	39	38.08	+	1.02	4.62E-01
protein alkylation (GO:0008213)	47	39	38.08	+	1.02	4.62E-01
anion transport (GO:0006820)	192	159	155.54	+	1.02	4.00E-01
regulation of gene expression, epigenetic (GO:0040029)	93	77	75.34	+	1.02	4.39E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	87	72	70.48	+	1.02	4.44E-01
cellular response to starvation (GO:0009267)	58	48	46.99	+	1.02	4.61E-01
negative regulation of phosphorylation (GO:0042326)	29	24	23.49	+	1.02	4.86E-01
regulation of protein transport (GO:0051223)	29	24	23.49	+	1.02	4.86E-01
metabolic process (GO:0008152)	3158	2609	2558.38	+	1.02	4.01E-02
cellular metabolic process (GO:0044237)	2945	2433	2385.82	+	1.02	5.74E-02
NADP metabolic process (GO:0006739)	23	19	18.63	+	1.02	4.97E-01
regulation of DNA recombination (GO:0000018)	23	19	18.63	+	1.02	4.97E-01
sterol metabolic process (GO:0016125)	46	38	37.27	+	1.02	4.74E-01
regulation of phospholipid metabolic process (GO:1903725)	23	19	18.63	+	1.02	4.97E-01
macromolecule metabolic process (GO:0043170)	2152	1777	1743.39	+	1.02	1.40E-01
DNA replication (GO:0006260)	109	90	88.30	+	1.02	4.42E-01
regulation of chromatin organization (GO:1902275)	63	52	51.04	+	1.02	4.65E-01
cellular metal ion homeostasis (GO:0006875)	103	85	83.44	+	1.02	4.47E-01
transition metal ion homeostasis (GO:0055076)	80	66	64.81	+	1.02	4.58E-01
cellular cation homeostasis (GO:0030003)	137	113	110.99	+	1.02	4.36E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	403	332	326.48	+	1.02	3.83E-01
spindle organization (GO:0007051)	34	28	27.54	+	1.02	4.91E-01
regulation of chromatin assembly or disassembly (GO:0001672)	17	14	13.77	+	1.02	5.11E-01
regulation of chromatin assembly (GO:0010847)	17	14	13.77	+	1.02	5.11E-01
nucleosome disassembly (GO:0006337)	17	14	13.77	+	1.02	5.11E-01
second-messenger-mediated signaling (GO:0019932)	17	14	13.77	+	1.02	5.11E-01
DNA synthesis involved in DNA repair (GO:0000731)	17	14	13.77	+	1.02	5.11E-01
negative regulation of autophagy (GO:0010507)	17	14	13.77	+	1.02	5.11E-01
regulation of heterochromatin organization (GO:0120261)	17	14	13.77	+	1.02	5.11E-01
negative regulation of cellular amide metabolic process (GO:0034249)	34	28	27.54	+	1.02	4.91E-01
chromatin disassembly (GO:0031498)	17	14	13.77	+	1.02	5.11E-01
regulation of heterochromatin assembly (GO:0031445)	17	14	13.77	+	1.02	5.11E-01
heterochromatin organization (GO:0070828)	62	51	50.23	+	1.02	4.75E-01
chromatin assembly or disassembly (GO:0006333)	107	88	86.68	+	1.02	4.58E-01
cellular lipid catabolic process (GO:0044242)	45	37	36.46	+	1.01	4.86E-01
cellular response to topologically incorrect protein (GO:0035967)	56	46	45.37	+	1.01	4.82E-01
generation of precursor metabolites and energy (GO:0006091)	184	151	149.06	+	1.01	4.47E-01
nucleoside triphosphate metabolic process (GO:0009141)	39	32	31.59	+	1.01	4.95E-01
cellular transition metal ion homeostasis (GO:0046916)	78	64	63.19	+	1.01	4.76E-01
positive regulation of DNA-templated transcription, elongation (GO:0032786)	50	41	40.51	+	1.01	4.90E-01
