




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9213)	upload_1 (169)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
urea catabolic process (GO:0043419)	1	0	.02	-	 < 0.01	9.82E-01
homocysteine catabolic process (GO:0043418)	1	0	.02	-	 < 0.01	9.82E-01
cellular response to misfolded protein (GO:0071218)	11	0	.20	-	 < 0.01	8.17E-01
cellular response to biotic stimulus (GO:0071216)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of phosphorylation (GO:0042327)	24	0	.44	-	 < 0.01	6.44E-01
negative regulation of phosphorylation (GO:0042326)	11	0	.20	-	 < 0.01	8.17E-01
positive regulation of MAPK cascade (GO:0043410)	5	0	.09	-	 < 0.01	9.12E-01
regulation of phosphorylation (GO:0042325)	55	0	1.01	-	 < 0.01	3.64E-01
regulation of mitochondrial translation (GO:0070129)	5	0	.09	-	 < 0.01	9.12E-01
tRNA aminoacylation for mitochondrial protein translation (GO:0070127)	4	0	.07	-	 < 0.01	9.29E-01
mitochondrial translational termination (GO:0070126)	2	0	.04	-	 < 0.01	9.64E-01
membrane disassembly (GO:0030397)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial translational elongation (GO:0070125)	2	0	.04	-	 < 0.01	9.64E-01
mitochondrial translational initiation (GO:0070124)	1	0	.02	-	 < 0.01	9.82E-01
indole alkaloid biosynthetic process (GO:0035835)	1	0	.02	-	 < 0.01	9.82E-01
indole alkaloid metabolic process (GO:0035834)	1	0	.02	-	 < 0.01	9.82E-01
regulation of NADP metabolic process (GO:1902031)	1	0	.02	-	 < 0.01	9.82E-01
response to X-ray (GO:0010165)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of MAPK cascade (GO:0043409)	1	0	.02	-	 < 0.01	9.82E-01
regulation of MAPK cascade (GO:0043408)	7	0	.13	-	 < 0.01	8.79E-01
negative regulation of MAP kinase activity (GO:0043407)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of MAP kinase activity (GO:0043406)	3	0	.06	-	 < 0.01	9.46E-01
regulation of MAP kinase activity (GO:0043405)	4	0	.07	-	 < 0.01	9.29E-01
fructose 1,6-bisphosphate metabolic process (GO:0030388)	4	0	.07	-	 < 0.01	9.29E-01
L-histidine transport (GO:1902024)	2	0	.04	-	 < 0.01	9.64E-01
homologous recombination (GO:0035825)	20	0	.37	-	 < 0.01	6.93E-01
L-arginine transport (GO:1902023)	2	0	.04	-	 < 0.01	9.64E-01
L-lysine transport (GO:1902022)	2	0	.04	-	 < 0.01	9.64E-01
gene conversion (GO:0035822)	1	0	.02	-	 < 0.01	9.82E-01
pointed-end actin filament capping (GO:0051694)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of formin-nucleated actin cable assembly (GO:0090338)	1	0	.02	-	 < 0.01	9.82E-01
actin filament capping (GO:0051693)	6	0	.11	-	 < 0.01	8.96E-01
regulation of formin-nucleated actin cable assembly (GO:0090337)	1	0	.02	-	 < 0.01	9.82E-01
nuclear envelope reassembly (GO:0031468)	1	0	.02	-	 < 0.01	9.82E-01
regulation of fatty acid biosynthetic process (GO:0042304)	1	0	.02	-	 < 0.01	9.82E-01
movement of cell or subcellular component (GO:0006928)	30	0	.55	-	 < 0.01	5.76E-01
histone H3-K79 methylation (GO:0034729)	1	0	.02	-	 < 0.01	9.82E-01
piecemeal microautophagy of the nucleus (GO:0034727)	9	0	.17	-	 < 0.01	8.48E-01
cellular component disassembly involved in execution phase of apoptosis (GO:0006921)	1	0	.02	-	 < 0.01	9.82E-01
mRNA 5'-splice site recognition (GO:0000395)	2	0	.04	-	 < 0.01	9.64E-01
DNA replication-independent nucleosome organization (GO:0034724)	6	0	.11	-	 < 0.01	8.96E-01
RNA splicing, via endonucleolytic cleavage and ligation (GO:0000394)	7	0	.13	-	 < 0.01	8.79E-01
DNA replication-dependent nucleosome organization (GO:0034723)	2	0	.04	-	 < 0.01	9.64E-01
spliceosomal conformational changes to generate catalytic conformation (GO:0000393)	5	0	.09	-	 < 0.01	9.12E-01
establishment of ER localization (GO:0051686)	1	0	.02	-	 < 0.01	9.82E-01
histone H3-K4 demethylation, trimethyl-H3-K4-specific (GO:0034721)	2	0	.04	-	 < 0.01	9.64E-01
maintenance of ER location (GO:0051685)	1	0	.02	-	 < 0.01	9.82E-01
histone H3-K4 demethylation (GO:0034720)	3	0	.06	-	 < 0.01	9.46E-01
spliceosomal complex disassembly (GO:0000390)	3	0	.06	-	 < 0.01	9.46E-01
farnesyl diphosphate biosynthetic process, mevalonate pathway (GO:0010142)	2	0	.04	-	 < 0.01	9.64E-01
mitochondrial translation (GO:0032543)	29	0	.53	-	 < 0.01	5.87E-01
regulation of cellular localization (GO:0060341)	29	0	.53	-	 < 0.01	5.87E-01
negative regulation of heterochromatin assembly (GO:0031452)	2	0	.04	-	 < 0.01	9.64E-01
mRNA pseudouridine synthesis (GO:1990481)	4	0	.07	-	 < 0.01	9.29E-01
fatty acid transmembrane transport (GO:1902001)	2	0	.04	-	 < 0.01	9.64E-01
mRNA 3'-splice site recognition (GO:0000389)	1	0	.02	-	 < 0.01	9.82E-01
homogentisate catabolic process (GO:1902000)	1	0	.02	-	 < 0.01	9.82E-01
spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) (GO:0000388)	1	0	.02	-	 < 0.01	9.82E-01
spliceosomal snRNP assembly (GO:0000387)	13	0	.24	-	 < 0.01	7.88E-01
phagocytosis, engulfment (GO:0006911)	1	0	.02	-	 < 0.01	9.82E-01
pyrimidine ribonucleotide salvage (GO:0010138)	1	0	.02	-	 < 0.01	9.82E-01
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	9	0	.17	-	 < 0.01	8.48E-01
alternative mRNA splicing, via spliceosome (GO:0000380)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of intracellular protein transport (GO:0090316)	5	0	.09	-	 < 0.01	9.12E-01
sulfate assimilation via adenylyl sulfate reduction (GO:0010134)	1	0	.02	-	 < 0.01	9.82E-01
proline catabolic process to glutamate (GO:0010133)	2	0	.04	-	 < 0.01	9.64E-01
nuclear-transcribed mRNA catabolic process, meiosis-specific transcripts (GO:0033621)	1	0	.02	-	 < 0.01	9.82E-01
regulation of cellular component size (GO:0032535)	28	0	.51	-	 < 0.01	5.98E-01
regulation of protein deacetylation (GO:0090311)	1	0	.02	-	 < 0.01	9.82E-01
regulation of heterochromatin assembly (GO:0031445)	3	0	.06	-	 < 0.01	9.46E-01
DNA biosynthetic process (GO:0071897)	27	0	.50	-	 < 0.01	6.09E-01
phagocytosis (GO:0006909)	1	0	.02	-	 < 0.01	9.82E-01
regulation of mRNA 3'-end processing (GO:0031440)	2	0	.04	-	 < 0.01	9.64E-01
vesicle fusion (GO:0006906)	24	0	.44	-	 < 0.01	6.44E-01
tRNA-type intron splice site recognition and cleavage (GO:0000379)	4	0	.07	-	 < 0.01	9.29E-01
vesicle docking involved in exocytosis (GO:0006904)	10	0	.18	-	 < 0.01	8.32E-01
vesicle targeting (GO:0006903)	3	0	.06	-	 < 0.01	9.46E-01
RNA splicing, via transesterification reactions with guanosine as nucleophile (GO:0000376)	1	0	.02	-	 < 0.01	9.82E-01
vesicle coating (GO:0006901)	2	0	.04	-	 < 0.01	9.64E-01
vesicle budding from membrane (GO:0006900)	13	0	.24	-	 < 0.01	7.88E-01
localization within membrane (GO:0051668)	4	0	.07	-	 < 0.01	9.29E-01
membrane protein proteolysis (GO:0033619)	1	0	.02	-	 < 0.01	9.82E-01
actin cortical patch localization (GO:0051666)	6	0	.11	-	 < 0.01	8.96E-01
Group I intron splicing (GO:0000372)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial cytochrome c oxidase assembly (GO:0033617)	17	0	.31	-	 < 0.01	7.32E-01
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	5	0	.09	-	 < 0.01	9.12E-01
mitotic spindle assembly (GO:0090307)	8	0	.15	-	 < 0.01	8.63E-01
phenylacetate catabolic process (GO:0010124)	3	0	.06	-	 < 0.01	9.46E-01
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	140	0	2.57	-	 < 0.01	7.52E-02
inorganic ion import across plasma membrane (GO:0099587)	5	0	.09	-	 < 0.01	9.12E-01
protein exit from endoplasmic reticulum (GO:0032527)	3	0	.06	-	 < 0.01	9.46E-01
arginine catabolic process to proline via ornithine (GO:0010121)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of Golgi to plasma membrane protein transport (GO:0042998)	1	0	.02	-	 < 0.01	9.82E-01
regulation of Golgi to plasma membrane protein transport (GO:0042996)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of anion transport (GO:1903793)	1	0	.02	-	 < 0.01	9.82E-01
guanine nucleotide transmembrane transport (GO:1903790)	1	0	.02	-	 < 0.01	9.82E-01
inositol phosphorylation (GO:0052746)	1	0	.02	-	 < 0.01	9.82E-01
oxalate metabolic process (GO:0033609)	1	0	.02	-	 < 0.01	9.82E-01
maintenance of organelle location (GO:0051657)	1	0	.02	-	 < 0.01	9.82E-01
nuclear membrane fusion involved in karyogamy (GO:0048288)	1	0	.02	-	 < 0.01	9.82E-01
establishment of mitochondrion localization (GO:0051654)	3	0	.06	-	 < 0.01	9.46E-01
spindle localization (GO:0051653)	10	0	.18	-	 < 0.01	8.32E-01
positive regulation of transcription from RNA polymerase II promoter in response to heat stress (GO:0061408)	1	0	.02	-	 < 0.01	9.82E-01
maintenance of location in cell (GO:0051651)	16	0	.29	-	 < 0.01	7.45E-01
organelle fusion (GO:0048284)	35	0	.64	-	 < 0.01	5.26E-01
establishment of vesicle localization (GO:0051650)	11	0	.20	-	 < 0.01	8.17E-01
fatty acid oxidation (GO:0019395)	16	0	.29	-	 < 0.01	7.45E-01
negative regulation of phosphoprotein phosphatase activity (GO:0032515)	5	0	.09	-	 < 0.01	9.12E-01
vesicle fusion with Golgi apparatus (GO:0048280)	4	0	.07	-	 < 0.01	9.29E-01
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	19	0	.35	-	 < 0.01	7.05E-01
mitochondrion-endoplasmic reticulum membrane tethering (GO:1990456)	4	0	.07	-	 < 0.01	9.29E-01
regulation of amino acid transmembrane transport (GO:1903789)	1	0	.02	-	 < 0.01	9.82E-01
sequestering of actin monomers (GO:0042989)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of growth of unicellular organism as a thread of attached cells (GO:0070786)	1	0	.02	-	 < 0.01	9.82E-01
regulation of apoptotic process (GO:0042981)	3	0	.06	-	 < 0.01	9.46E-01
regulation of growth of unicellular organism as a thread of attached cells (GO:0070784)	1	0	.02	-	 < 0.01	9.82E-01
growth of unicellular organism as a thread of attached cells (GO:0070783)	1	0	.02	-	 < 0.01	9.82E-01
vesicle localization (GO:0051648)	11	0	.20	-	 < 0.01	8.17E-01
cis assembly of pre-catalytic spliceosome (GO:0000354)	1	0	.02	-	 < 0.01	9.82E-01
nucleus localization (GO:0051647)	12	0	.22	-	 < 0.01	8.02E-01
mitochondrion localization (GO:0051646)	12	0	.22	-	 < 0.01	8.02E-01
Golgi localization (GO:0051645)	1	0	.02	-	 < 0.01	9.82E-01
vesicle docking (GO:0048278)	22	0	.40	-	 < 0.01	6.68E-01
generation of catalytic spliceosome for second transesterification step (GO:0000350)	2	0	.04	-	 < 0.01	9.64E-01
cellular response to iron ion starvation (GO:0010106)	3	0	.06	-	 < 0.01	9.46E-01
endoplasmic reticulum localization (GO:0051643)	6	0	.11	-	 < 0.01	8.96E-01
galactose catabolic process (GO:0019388)	6	0	.11	-	 < 0.01	8.96E-01
centrosome localization (GO:0051642)	1	0	.02	-	 < 0.01	9.82E-01
endosome transport via multivesicular body sorting pathway (GO:0032509)	24	0	.44	-	 < 0.01	6.44E-01
DNA duplex unwinding (GO:0032508)	32	0	.59	-	 < 0.01	5.55E-01
maintenance of protein location in cell (GO:0032507)	13	0	.24	-	 < 0.01	7.88E-01
cytokinetic process (GO:0032506)	20	0	.37	-	 < 0.01	6.93E-01
reproduction of a single-celled organism (GO:0032505)	14	0	.26	-	 < 0.01	7.73E-01
protein-chromophore linkage (GO:0018298)	6	0	.11	-	 < 0.01	8.96E-01
multicellular organismal process (GO:0032501)	1	0	.02	-	 < 0.01	9.82E-01
guanine metabolic process (GO:0046098)	2	0	.04	-	 < 0.01	9.64E-01
protein-FAD linkage (GO:0018293)	1	0	.02	-	 < 0.01	9.82E-01
regulation of nucleosome density (GO:0060303)	4	0	.07	-	 < 0.01	9.29E-01
protein localization to vacuolar membrane (GO:1903778)	1	0	.02	-	 < 0.01	9.82E-01
prenylcysteine metabolic process (GO:0030329)	1	0	.02	-	 < 0.01	9.82E-01
prenylcysteine catabolic process (GO:0030328)	1	0	.02	-	 < 0.01	9.82E-01
regulation of DNA double-strand break processing (GO:1903775)	1	0	.02	-	 < 0.01	9.82E-01
L-aspartate transmembrane transport (GO:0070778)	1	0	.02	-	 < 0.01	9.82E-01
cellular lipid biosynthetic process (GO:0097384)	23	0	.42	-	 < 0.01	6.55E-01
generation of catalytic spliceosome for first transesterification step (GO:0000349)	2	0	.04	-	 < 0.01	9.64E-01
actin filament network formation (GO:0051639)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of RNA biosynthetic process (GO:1902680)	132	0	2.42	-	 < 0.01	8.73E-02
clathrin coat assembly (GO:0048268)	3	0	.06	-	 < 0.01	9.46E-01
sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) (GO:0019379)	3	0	.06	-	 < 0.01	9.46E-01
glycolipid catabolic process (GO:0019377)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of receptor-mediated endocytosis (GO:0048260)	2	0	.04	-	 < 0.01	9.64E-01
iron incorporation into metallo-sulfur cluster (GO:0018283)	1	0	.02	-	 < 0.01	9.82E-01
cytidine metabolic process (GO:0046087)	3	0	.06	-	 < 0.01	9.46E-01
N-terminal peptidyl-serine acetylation (GO:0017198)	1	0	.02	-	 < 0.01	9.82E-01
metal incorporation into metallo-sulfur cluster (GO:0018282)	1	0	.02	-	 < 0.01	9.82E-01
adenosine metabolic process (GO:0046085)	3	0	.06	-	 < 0.01	9.46E-01
N-terminal peptidyl-methionine acetylation (GO:0017196)	6	0	.11	-	 < 0.01	8.96E-01
adenine biosynthetic process (GO:0046084)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of protein modification process (GO:0031401)	33	0	.61	-	 < 0.01	5.45E-01
adenine metabolic process (GO:0046083)	3	0	.06	-	 < 0.01	9.46E-01
fungal-type cell wall disassembly (GO:0071853)	5	0	.09	-	 < 0.01	9.12E-01
dUTP catabolic process (GO:0046081)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of RNA biosynthetic process (GO:1902679)	80	0	1.47	-	 < 0.01	2.29E-01
dUTP metabolic process (GO:0046080)	1	0	.02	-	 < 0.01	9.82E-01
mitotic G1 cell cycle arrest in response to nitrogen starvation (GO:0071851)	1	0	.02	-	 < 0.01	9.82E-01
mitotic cell cycle arrest (GO:0071850)	3	0	.06	-	 < 0.01	9.46E-01
protein deneddylation (GO:0000338)	4	0	.07	-	 < 0.01	9.29E-01
regulation of receptor-mediated endocytosis (GO:0048259)	2	0	.04	-	 < 0.01	9.64E-01
fatty acid elongation, unsaturated fatty acid (GO:0019368)	2	0	.04	-	 < 0.01	9.64E-01
fatty acid elongation, saturated fatty acid (GO:0019367)	2	0	.04	-	 < 0.01	9.64E-01
mRNA stabilization (GO:0048255)	2	0	.04	-	 < 0.01	9.64E-01
snoRNA localization (GO:0048254)	2	0	.04	-	 < 0.01	9.64E-01
pyridine nucleotide salvage (GO:0019365)	2	0	.04	-	 < 0.01	9.64E-01
pyridine nucleotide catabolic process (GO:0019364)	2	0	.04	-	 < 0.01	9.64E-01
protein N-linked glycosylation via asparagine (GO:0018279)	6	0	.11	-	 < 0.01	8.96E-01
pyridine nucleotide biosynthetic process (GO:0019363)	20	0	.37	-	 < 0.01	6.93E-01
pyridine nucleotide metabolic process (GO:0019362)	24	0	.44	-	 < 0.01	6.44E-01
iron import into the mitochondrion (GO:0048250)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of hydroxymethylglutaryl-CoA reductase (NADPH) activity (GO:1900490)	1	0	.02	-	 < 0.01	9.82E-01
mitotic recombination-dependent replication fork processing (GO:1990426)	1	0	.02	-	 < 0.01	9.82E-01
dUMP metabolic process (GO:0046078)	2	0	.04	-	 < 0.01	9.64E-01
G1 cell cycle arrest in response to nitrogen starvation (GO:0071849)	1	0	.02	-	 < 0.01	9.82E-01
dUDP metabolic process (GO:0046077)	1	0	.02	-	 < 0.01	9.82E-01
dTTP metabolic process (GO:0046075)	2	0	.04	-	 < 0.01	9.64E-01
actin filament debranching (GO:0071846)	1	0	.02	-	 < 0.01	9.82E-01
peptidyl-pyroglutamic acid biosynthetic process, using glutaminyl-peptide cyclotransferase (GO:0017186)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of cell growth (GO:0030307)	3	0	.06	-	 < 0.01	9.46E-01
dTMP metabolic process (GO:0046073)	2	0	.04	-	 < 0.01	9.64E-01
dTDP metabolic process (GO:0046072)	1	0	.02	-	 < 0.01	9.82E-01
peptidyl-diphthamide biosynthetic process from peptidyl-histidine (GO:0017183)	6	0	.11	-	 < 0.01	8.96E-01
peptidyl-diphthamide metabolic process (GO:0017182)	6	0	.11	-	 < 0.01	8.96E-01
dGTP metabolic process (GO:0046070)	1	0	.02	-	 < 0.01	9.82E-01
beta-ketoadipate pathway (GO:0042952)	1	0	.02	-	 < 0.01	9.82E-01
polyprenol catabolic process (GO:0016095)	1	0	.02	-	 < 0.01	9.82E-01
polyprenol biosynthetic process (GO:0016094)	3	0	.06	-	 < 0.01	9.46E-01
polyprenol metabolic process (GO:0016093)	5	0	.09	-	 < 0.01	9.12E-01
cellular modified histidine biosynthetic process (GO:0052703)	2	0	.04	-	 < 0.01	9.64E-01
cellular modified histidine metabolic process (GO:0052701)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of glucose mediated signaling pathway (GO:1902660)	1	0	.02	-	 < 0.01	9.82E-01
nicotinamide nucleotide biosynthetic process (GO:0019359)	20	0	.37	-	 < 0.01	6.93E-01
nicotinate nucleotide salvage (GO:0019358)	2	0	.04	-	 < 0.01	9.64E-01
fatty acid derivative transport (GO:1901571)	2	0	.04	-	 < 0.01	9.64E-01
nicotinate nucleotide biosynthetic process (GO:0019357)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of isopentenyl diphosphate biosynthetic process, mevalonate pathway (GO:1900486)	1	0	.02	-	 < 0.01	9.82E-01
fatty acid derivative biosynthetic process (GO:1901570)	2	0	.04	-	 < 0.01	9.64E-01
regulation of multivesicular body size (GO:0010796)	1	0	.02	-	 < 0.01	9.82E-01
siroheme biosynthetic process (GO:0019354)	2	0	.04	-	 < 0.01	9.64E-01
regulation of ubiquinone biosynthetic process (GO:0010795)	1	0	.02	-	 < 0.01	9.82E-01
regulation of dolichol biosynthetic process (GO:0010794)	1	0	.02	-	 < 0.01	9.82E-01
regulation of mRNA export from nucleus (GO:0010793)	2	0	.04	-	 < 0.01	9.64E-01
DNA double-strand break processing involved in repair via single-strand annealing (GO:0010792)	1	0	.02	-	 < 0.01	9.82E-01
cGMP catabolic process (GO:0046069)	1	0	.02	-	 < 0.01	9.82E-01
cGMP metabolic process (GO:0046068)	1	0	.02	-	 < 0.01	9.82E-01
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	6	0	.11	-	 < 0.01	8.96E-01
UDP-glucosylation (GO:0097359)	1	0	.02	-	 < 0.01	9.82E-01
guanine nucleotide transport (GO:0001408)	1	0	.02	-	 < 0.01	9.82E-01
dCDP metabolic process (GO:0046062)	1	0	.02	-	 < 0.01	9.82E-01
glycerophosphodiester transmembrane transport (GO:0001407)	1	0	.02	-	 < 0.01	9.82E-01
prenylation (GO:0097354)	7	0	.13	-	 < 0.01	8.79E-01
regulation of glucose mediated signaling pathway (GO:1902659)	1	0	.02	-	 < 0.01	9.82E-01
autophagosome maturation (GO:0097352)	1	0	.02	-	 < 0.01	9.82E-01
calcium ion import into cytosol (GO:1902656)	1	0	.02	-	 < 0.01	9.82E-01
invasive growth in response to glucose limitation (GO:0001403)	1	0	.02	-	 < 0.01	9.82E-01
signal transduction involved in filamentous growth (GO:0001402)	1	0	.02	-	 < 0.01	9.82E-01
secondary alcohol biosynthetic process (GO:1902653)	24	0	.44	-	 < 0.01	6.44E-01
secondary alcohol metabolic process (GO:1902652)	30	0	.55	-	 < 0.01	5.76E-01
defense response to virus (GO:0051607)	2	0	.04	-	 < 0.01	9.64E-01
detection of stimulus (GO:0051606)	4	0	.07	-	 < 0.01	9.29E-01
protein maturation (GO:0051604)	48	0	.88	-	 < 0.01	4.14E-01
detection of chemical stimulus (GO:0009593)	1	0	.02	-	 < 0.01	9.82E-01
dolichol metabolic process (GO:0019348)	5	0	.09	-	 < 0.01	9.12E-01
exocyst localization (GO:0051601)	2	0	.04	-	 < 0.01	9.64E-01
transsulfuration (GO:0019346)	10	0	.18	-	 < 0.01	8.32E-01
cysteine biosynthetic process (GO:0019344)	9	0	.17	-	 < 0.01	8.48E-01
cysteine biosynthetic process via cystathionine (GO:0019343)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of hydrogen sulfide biosynthetic process (GO:1904828)	2	0	.04	-	 < 0.01	9.64E-01
regulation of hydrogen sulfide biosynthetic process (GO:1904826)	2	0	.04	-	 < 0.01	9.64E-01
protein localization to microtubule plus-end (GO:1904825)	1	0	.02	-	 < 0.01	9.82E-01
cAMP metabolic process (GO:0046058)	2	0	.04	-	 < 0.01	9.64E-01
purine nucleobase transmembrane transport (GO:1904823)	2	0	.04	-	 < 0.01	9.64E-01
dipeptide transport (GO:0042938)	2	0	.04	-	 < 0.01	9.64E-01
UTP metabolic process (GO:0046051)	3	0	.06	-	 < 0.01	9.46E-01
tRNA catabolic process (GO:0016078)	7	0	.13	-	 < 0.01	8.79E-01
snoRNA catabolic process (GO:0016077)	1	0	.02	-	 < 0.01	9.82E-01
snRNA catabolic process (GO:0016076)	1	0	.02	-	 < 0.01	9.82E-01
rRNA catabolic process (GO:0016075)	13	0	.24	-	 < 0.01	7.88E-01
histone H3-K27 methylation (GO:0070734)	1	0	.02	-	 < 0.01	9.82E-01
snoRNA metabolic process (GO:0016074)	16	0	.29	-	 < 0.01	7.45E-01
snRNA metabolic process (GO:0016073)	13	0	.24	-	 < 0.01	7.88E-01
detection of visible light (GO:0009584)	2	0	.04	-	 < 0.01	9.64E-01
detection of light stimulus (GO:0009583)	3	0	.06	-	 < 0.01	9.46E-01
detection of abiotic stimulus (GO:0009582)	3	0	.06	-	 < 0.01	9.46E-01
detection of external stimulus (GO:0009581)	3	0	.06	-	 < 0.01	9.46E-01
vesicle cytoskeletal trafficking (GO:0099518)	8	0	.15	-	 < 0.01	8.63E-01
phenol-containing compound catabolic process (GO:0019336)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of heterochromatin organization (GO:0120262)	2	0	.04	-	 < 0.01	9.64E-01
regulation of heterochromatin organization (GO:0120261)	3	0	.06	-	 < 0.01	9.46E-01
actin filament-based transport (GO:0099515)	2	0	.04	-	 < 0.01	9.64E-01
interstrand cross-link repair (GO:0036297)	10	0	.18	-	 < 0.01	8.32E-01
cellular response to decreased oxygen levels (GO:0036294)	1	0	.02	-	 < 0.01	9.82E-01
response to decreased oxygen levels (GO:0036293)	2	0	.04	-	 < 0.01	9.64E-01
UDP metabolic process (GO:0046048)	2	0	.04	-	 < 0.01	9.64E-01
rRNA acetylation involved in maturation of SSU-rRNA (GO:1904812)	1	0	.02	-	 < 0.01	9.82E-01
regulation of exocytosis (GO:0017157)	4	0	.07	-	 < 0.01	9.29E-01
tail-anchored membrane protein insertion into ER membrane (GO:0071816)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of phospholipid metabolic process (GO:1903727)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of phospholipid metabolic process (GO:1903726)	1	0	.02	-	 < 0.01	9.82E-01
regulation of phospholipid metabolic process (GO:1903725)	3	0	.06	-	 < 0.01	9.46E-01
ITP metabolic process (GO:0046041)	1	0	.02	-	 < 0.01	9.82E-01
IMP metabolic process (GO:0046040)	12	0	.22	-	 < 0.01	8.02E-01
cell wall assembly (GO:0070726)	3	0	.06	-	 < 0.01	9.46E-01
hydrocarbon catabolic process (GO:0120253)	2	0	.04	-	 < 0.01	9.64E-01
hydrocarbon metabolic process (GO:0120252)	3	0	.06	-	 < 0.01	9.46E-01
hydrocarbon biosynthetic process (GO:0120251)	1	0	.02	-	 < 0.01	9.82E-01
nervous system development (GO:0007399)	1	0	.02	-	 < 0.01	9.82E-01
Golgi vesicle docking (GO:0048211)	3	0	.06	-	 < 0.01	9.46E-01
hexose catabolic process (GO:0019320)	10	0	.18	-	 < 0.01	8.32E-01
GTP metabolic process (GO:0046039)	3	0	.06	-	 < 0.01	9.46E-01
negative regulation of gene silencing (GO:0060969)	4	0	.07	-	 < 0.01	9.29E-01
GMP metabolic process (GO:0046037)	5	0	.09	-	 < 0.01	9.12E-01
regulation of gene silencing (GO:0060968)	6	0	.11	-	 < 0.01	8.96E-01
production of miRNAs involved in gene silencing by miRNA (GO:0035196)	2	0	.04	-	 < 0.01	9.64E-01
CTP metabolic process (GO:0046036)	3	0	.06	-	 < 0.01	9.46E-01
ergothioneine biosynthesis from histidine via hercynylcysteine sulfoxide synthase (GO:0140479)	1	0	.02	-	 < 0.01	9.82E-01
RITS complex assembly (GO:1904802)	1	0	.02	-	 < 0.01	9.82E-01
peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine (GO:0018231)	6	0	.11	-	 < 0.01	8.96E-01
gene silencing by miRNA (GO:0035195)	2	0	.04	-	 < 0.01	9.64E-01
protein transmembrane transport (GO:0071806)	44	0	.81	-	 < 0.01	4.45E-01
peptidyl-L-cysteine S-palmitoylation (GO:0018230)	6	0	.11	-	 < 0.01	8.96E-01
post-transcriptional gene silencing by RNA (GO:0035194)	8	0	.15	-	 < 0.01	8.63E-01
AMP metabolic process (GO:0046033)	8	0	.15	-	 < 0.01	8.63E-01
drug metabolic process (GO:0017144)	41	0	.75	-	 < 0.01	4.71E-01
positive regulation of ribosomal protein gene transcription by RNA polymerase II (GO:0060963)	1	0	.02	-	 < 0.01	9.82E-01
regulation of ribosomal protein gene transcription by RNA polymerase II (GO:0060962)	1	0	.02	-	 < 0.01	9.82E-01
dynein-driven meiotic oscillatory nuclear movement (GO:0030989)	2	0	.04	-	 < 0.01	9.64E-01
cysteine transmembrane transport (GO:1903712)	1	0	.02	-	 < 0.01	9.82E-01
spermidine transmembrane transport (GO:1903711)	1	0	.02	-	 < 0.01	9.82E-01
assembly of large subunit precursor of preribosome (GO:1902626)	6	0	.11	-	 < 0.01	8.96E-01
plasma membrane tubulation (GO:0097320)	3	0	.06	-	 < 0.01	9.46E-01
vesicle organization (GO:0016050)	45	0	.83	-	 < 0.01	4.37E-01
regulation of vesicle targeting, to, from or within Golgi (GO:0048209)	1	0	.02	-	 < 0.01	9.82E-01
COPII vesicle coating (GO:0048208)	1	0	.02	-	 < 0.01	9.82E-01
hexose biosynthetic process (GO:0019319)	11	0	.20	-	 < 0.01	8.17E-01
vesicle targeting, rough ER to cis-Golgi (GO:0048207)	1	0	.02	-	 < 0.01	9.82E-01
