




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	fly_background.txt (Drosophila melanogaster)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	fly_background.txt - REFLIST (5878)	upload_1 (995)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
cell competition in a multicellular organism (GO:0035212)	18	3	3.05	-	.98	6.37E-01
heterochromatin organization (GO:0070828)	36	6	6.09	-	.98	5.91E-01
autophagosome maturation (GO:0097352)	18	3	3.05	-	.98	6.37E-01
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	36	6	6.09	-	.98	5.91E-01
histone H3-K4 methylation (GO:0051568)	18	3	3.05	-	.98	6.37E-01
somatic stem cell population maintenance (GO:0035019)	18	3	3.05	-	.98	6.37E-01
pyrimidine-containing compound metabolic process (GO:0072527)	18	3	3.05	-	.98	6.37E-01
negative regulation of neuron apoptotic process (GO:0043524)	18	3	3.05	-	.98	6.37E-01
imaginal disc-derived leg morphogenesis (GO:0007480)	72	12	12.19	-	.98	5.54E-01
apposition of dorsal and ventral imaginal disc-derived wing surfaces (GO:0007475)	18	3	3.05	-	.98	6.37E-01
negative regulation of MAPK cascade (GO:0043409)	36	6	6.09	-	.98	5.91E-01
organelle fusion (GO:0048284)	54	9	9.14	-	.98	5.69E-01
multi-organism reproductive process (GO:0044703)	890	148	150.65	-	.98	4.28E-01
sexual reproduction (GO:0019953)	890	148	150.65	-	.98	4.28E-01
negative regulation of response to stimulus (GO:0048585)	325	54	55.01	-	.98	4.80E-01
multi-organism process (GO:0051704)	891	148	150.82	-	.98	4.22E-01
RNA processing (GO:0006396)	283	47	47.90	-	.98	4.85E-01
organelle assembly (GO:0070925)	265	44	44.86	-	.98	4.87E-01
germ cell development (GO:0007281)	615	102	104.10	-	.98	4.39E-01
positive regulation of molecular function (GO:0044093)	187	31	31.65	-	.98	5.00E-01
cellular component assembly (GO:0022607)	718	119	121.54	-	.98	4.26E-01
ameboidal-type cell migration (GO:0001667)	151	25	25.56	-	.98	5.08E-01
microtubule-based process (GO:0007017)	333	55	56.37	-	.98	4.61E-01
multicellular organismal reproductive process (GO:0048609)	884	146	149.64	-	.98	3.94E-01
oocyte construction (GO:0007308)	109	18	18.45	-	.98	5.20E-01
positive regulation of catabolic process (GO:0009896)	109	18	18.45	-	.98	5.20E-01
regulation of cell death (GO:0010941)	200	33	33.86	-	.97	4.86E-01
epithelial cell development (GO:0002064)	285	47	48.24	-	.97	4.65E-01
negative regulation of cell cycle (GO:0045786)	85	14	14.39	-	.97	5.29E-01
cellular process involved in reproduction in multicellular organism (GO:0022412)	741	122	125.43	-	.97	3.94E-01
positive regulation of response to biotic stimulus (GO:0002833)	79	13	13.37	-	.97	5.32E-01
positive regulation of intracellular signal transduction (GO:1902533)	146	24	24.71	-	.97	4.96E-01
RNA localization (GO:0006403)	140	23	23.70	-	.97	4.97E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	950	156	160.81	-	.97	3.58E-01
regulation of cell growth (GO:0001558)	67	11	11.34	-	.97	5.38E-01
oxidative phosphorylation (GO:0006119)	67	11	11.34	-	.97	5.38E-01
regulation of humoral immune response (GO:0002920)	67	11	11.34	-	.97	5.38E-01
cellular component assembly involved in morphogenesis (GO:0010927)	128	21	21.67	-	.97	4.99E-01
olfactory behavior (GO:0042048)	61	10	10.33	-	.97	5.42E-01
regulation of multicellular organismal development (GO:2000026)	244	40	41.30	-	.97	4.59E-01
transport along microtubule (GO:0010970)	55	9	9.31	-	.97	5.46E-01
reproduction (GO:0000003)	1059	173	179.26	-	.97	3.20E-01
regulation of defense response to bacterium (GO:1900424)	49	8	8.29	-	.96	5.51E-01
phosphatidylinositol metabolic process (GO:0046488)	49	8	8.29	-	.96	5.51E-01
regulation of cellular response to stress (GO:0080135)	98	16	16.59	-	.96	5.07E-01
ovarian follicle cell development (GO:0030707)	258	42	43.67	-	.96	4.37E-01
negative regulation of mitotic cell cycle phase transition (GO:1901991)	43	7	7.28	-	.96	5.57E-01
negative regulation of cell cycle phase transition (GO:1901988)	43	7	7.28	-	.96	5.57E-01
cell-cell signaling by wnt (GO:0198738)	43	7	7.28	-	.96	5.57E-01
cellular macromolecule catabolic process (GO:0044265)	289	47	48.92	-	.96	4.26E-01
embryonic development via the syncytial blastoderm (GO:0001700)	160	26	27.08	-	.96	4.67E-01
chromatin remodeling (GO:0006338)	80	13	13.54	-	.96	5.13E-01
germ-line stem cell population maintenance (GO:0030718)	74	12	12.53	-	.96	5.16E-01
columnar/cuboidal epithelial cell development (GO:0002066)	259	42	43.84	-	.96	4.27E-01
oocyte dorsal/ventral axis specification (GO:0007310)	37	6	6.26	-	.96	5.64E-01
nucleic acid metabolic process (GO:0090304)	630	102	106.64	-	.96	3.40E-01
ncRNA processing (GO:0034470)	105	17	17.77	-	.96	4.89E-01
negative regulation of cell death (GO:0060548)	105	17	17.77	-	.96	4.89E-01
columnar/cuboidal epithelial cell differentiation (GO:0002065)	272	44	46.04	-	.96	4.16E-01
nervous system process (GO:0050877)	439	71	74.31	-	.96	3.73E-01
modification-dependent protein catabolic process (GO:0019941)	198	32	33.52	-	.95	4.40E-01
neurotransmitter transport (GO:0006836)	93	15	15.74	-	.95	4.92E-01
ribosomal small subunit biogenesis (GO:0042274)	31	5	5.25	-	.95	5.72E-01
gene silencing (GO:0016458)	112	18	18.96	-	.95	4.72E-01
microtubule-based transport (GO:0099111)	56	9	9.48	-	.95	5.24E-01
regulation of metabolic process (GO:0019222)	1562	251	264.41	-	.95	1.77E-01
establishment of organelle localization (GO:0051656)	137	22	23.19	-	.95	4.55E-01
female gamete generation (GO:0007292)	567	91	95.98	-	.95	3.19E-01
regulation of gene expression (GO:0010468)	1103	177	186.71	-	.95	2.28E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	231	37	39.10	-	.95	4.06E-01
gamete generation (GO:0007276)	787	126	133.22	-	.95	2.68E-01
regulation of cellular metabolic process (GO:0031323)	1437	230	243.25	-	.95	1.74E-01
mesoderm formation (GO:0001707)	25	4	4.23	-	.95	5.84E-01
positive regulation of peptidase activity (GO:0010952)	25	4	4.23	-	.95	5.84E-01
proton transmembrane transport (GO:1902600)	50	8	8.46	-	.95	5.28E-01
regulation of mitochondrion organization (GO:0010821)	25	4	4.23	-	.95	5.84E-01
establishment of mitotic spindle localization (GO:0040001)	25	4	4.23	-	.95	5.84E-01
adult locomotory behavior (GO:0008344)	75	12	12.70	-	.95	4.96E-01
antimicrobial humoral response (GO:0019730)	25	4	4.23	-	.95	5.84E-01
positive regulation of GTPase activity (GO:0043547)	50	8	8.46	-	.95	5.28E-01
regulation of compound eye photoreceptor cell differentiation (GO:0110116)	25	4	4.23	-	.95	5.84E-01
histone exchange (GO:0043486)	25	4	4.23	-	.95	5.84E-01
movement of cell or subcellular component (GO:0006928)	569	91	96.32	-	.94	3.06E-01
embryo development ending in birth or egg hatching (GO:0009792)	169	27	28.61	-	.94	4.28E-01
cell fate determination (GO:0001709)	119	19	20.14	-	.94	4.57E-01
secretion (GO:0046903)	163	26	27.59	-	.94	4.28E-01
regulation of GTPase activity (GO:0043087)	69	11	11.68	-	.94	4.98E-01
sensory perception (GO:0007600)	276	44	46.72	-	.94	3.77E-01
regulation of RNA biosynthetic process (GO:2001141)	835	133	141.34	-	.94	2.40E-01
regulation of transcription, DNA-templated (GO:0006355)	835	133	141.34	-	.94	2.40E-01
regulation of nucleic acid-templated transcription (GO:1903506)	835	133	141.34	-	.94	2.40E-01
cellular protein-containing complex assembly (GO:0034622)	245	39	41.47	-	.94	3.86E-01
sleep (GO:0030431)	44	7	7.45	-	.94	5.32E-01
positive regulation of response to external stimulus (GO:0032103)	88	14	14.90	-	.94	4.76E-01
protein-containing complex assembly (GO:0065003)	264	42	44.69	-	.94	3.77E-01
dorsal/ventral pattern formation (GO:0009953)	132	21	22.34	-	.94	4.41E-01
regulation of RNA metabolic process (GO:0051252)	918	146	155.39	-	.94	2.20E-01
organelle localization (GO:0051640)	195	31	33.01	-	.94	4.05E-01
response to oxidative stress (GO:0006979)	107	17	18.11	-	.94	4.57E-01
regulation of nitrogen compound metabolic process (GO:0051171)	1336	212	226.15	-	.94	1.51E-01
cognition (GO:0050890)	145	23	24.54	-	.94	4.28E-01
learning or memory (GO:0007611)	145	23	24.54	-	.94	4.28E-01
regulation of macromolecule metabolic process (GO:0060255)	1439	228	243.59	-	.94	1.33E-01
regulation of actomyosin structure organization (GO:0110020)	19	3	3.22	-	.93	5.99E-01
Golgi to plasma membrane transport (GO:0006893)	19	3	3.22	-	.93	5.99E-01
pole cell formation (GO:0007279)	19	3	3.22	-	.93	5.99E-01
basement membrane organization (GO:0071711)	19	3	3.22	-	.93	5.99E-01
negative regulation of defense response to bacterium (GO:1900425)	19	3	3.22	-	.93	5.99E-01
cellular response to lipid (GO:0071396)	19	3	3.22	-	.93	5.99E-01
positive regulation of innate immune response (GO:0045089)	38	6	6.43	-	.93	5.37E-01
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	19	3	3.22	-	.93	5.99E-01
encapsulation of foreign target (GO:0035010)	38	6	6.43	-	.93	5.37E-01
gliogenesis (GO:0042063)	76	12	12.86	-	.93	4.77E-01
positive regulation of TORC1 signaling (GO:1904263)	19	3	3.22	-	.93	5.99E-01
regulation of mRNA catabolic process (GO:0061013)	19	3	3.22	-	.93	5.99E-01
negative regulation of cell size (GO:0045792)	19	3	3.22	-	.93	5.99E-01
proximal/distal pattern formation, imaginal disc (GO:0007449)	19	3	3.22	-	.93	5.99E-01
Golgi organization (GO:0007030)	57	9	9.65	-	.93	5.02E-01
synapse assembly (GO:0007416)	57	9	9.65	-	.93	5.02E-01
multicellular organism reproduction (GO:0032504)	945	149	159.97	-	.93	1.84E-01
positive regulation of organelle organization (GO:0010638)	127	20	21.50	-	.93	4.27E-01
positive regulation of catalytic activity (GO:0043085)	159	25	26.91	-	.93	4.02E-01
regulation of growth (GO:0040008)	280	44	47.40	-	.93	3.40E-01
regulation of primary metabolic process (GO:0080090)	1351	212	228.69	-	.93	1.11E-01
regulation of stem cell proliferation (GO:0072091)	51	8	8.63	-	.93	5.05E-01
recombinational repair (GO:0000725)	51	8	8.63	-	.93	5.05E-01
double-strand break repair via homologous recombination (GO:0000724)	51	8	8.63	-	.93	5.05E-01
regulation of neural precursor cell proliferation (GO:2000177)	51	8	8.63	-	.93	5.05E-01
spindle assembly (GO:0051225)	51	8	8.63	-	.93	5.05E-01
regulation of molecular function (GO:0065009)	338	53	57.22	-	.93	3.12E-01
striated muscle cell differentiation (GO:0051146)	83	13	14.05	-	.93	4.58E-01
chorion-containing eggshell formation (GO:0007304)	96	15	16.25	-	.92	4.41E-01
pole plasm mRNA localization (GO:0019094)	32	5	5.42	-	.92	5.43E-01
histone lysine methylation (GO:0034968)	32	5	5.42	-	.92	5.43E-01
positive regulation of proteasomal protein catabolic process (GO:1901800)	32	5	5.42	-	.92	5.43E-01
membrane lipid biosynthetic process (GO:0046467)	32	5	5.42	-	.92	5.43E-01
positive regulation of protein transport (GO:0051222)	32	5	5.42	-	.92	5.43E-01
modification-dependent macromolecule catabolic process (GO:0043632)	205	32	34.70	-	.92	3.60E-01
oogenesis (GO:0048477)	519	81	87.85	-	.92	2.41E-01
regulation of cellular macromolecule biosynthetic process (GO:2000112)	942	147	159.46	-	.92	1.51E-01
regulation of response to biotic stimulus (GO:0002831)	141	22	23.87	-	.92	4.00E-01
protein catabolic process (GO:0030163)	212	33	35.89	-	.92	3.51E-01
regulation of imaginal disc growth (GO:0045570)	45	7	7.62	-	.92	5.07E-01
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	45	7	7.62	-	.92	5.07E-01
periodic partitioning (GO:0007365)	45	7	7.62	-	.92	5.07E-01
protein-containing complex subunit organization (GO:0043933)	341	53	57.72	-	.92	2.88E-01
positive regulation of cellular protein metabolic process (GO:0032270)	219	34	37.07	-	.92	3.41E-01
regulation of macromolecule biosynthetic process (GO:0010556)	947	147	160.30	-	.92	1.34E-01
positive regulation of kinase activity (GO:0033674)	58	9	9.82	-	.92	4.80E-01
positive regulation of multicellular organismal process (GO:0051240)	187	29	31.65	-	.92	3.58E-01
nucleoside phosphate biosynthetic process (GO:1901293)	71	11	12.02	-	.92	4.59E-01
nucleotide biosynthetic process (GO:0009165)	71	11	12.02	-	.92	4.59E-01
regulation of cellular biosynthetic process (GO:0031326)	988	153	167.24	-	.91	1.21E-01
export from cell (GO:0140352)	155	24	26.24	-	.91	3.76E-01
regulation of programmed cell death (GO:0043067)	168	26	28.44	-	.91	3.66E-01
leg disc development (GO:0035218)	97	15	16.42	-	.91	4.25E-01
positive regulation of developmental growth (GO:0048639)	97	15	16.42	-	.91	4.25E-01
proteolysis involved in cellular protein catabolic process (GO:0051603)	207	32	35.04	-	.91	3.39E-01
regulation of biosynthetic process (GO:0009889)	990	153	167.58	-	.91	1.16E-01
positive regulation of protein metabolic process (GO:0051247)	233	36	39.44	-	.91	3.23E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	195	30	33.01	-	.91	3.37E-01
response to UV (GO:0009411)	26	4	4.40	-	.91	5.51E-01
establishment of protein localization to plasma membrane (GO:0061951)	13	2	2.20	-	.91	6.22E-01
male germ-line stem cell population maintenance (GO:0036098)	13	2	2.20	-	.91	6.22E-01
regulation of response to oxidative stress (GO:1902882)	13	2	2.20	-	.91	6.22E-01
ribosomal small subunit assembly (GO:0000028)	13	2	2.20	-	.91	6.22E-01
inter-male aggressive behavior (GO:0002121)	13	2	2.20	-	.91	6.22E-01
regulation of apoptotic signaling pathway (GO:2001233)	13	2	2.20	-	.91	6.22E-01
nonassociative learning (GO:0046958)	13	2	2.20	-	.91	6.22E-01
multi-multicellular organism process (GO:0044706)	13	2	2.20	-	.91	6.22E-01
regulation of receptor signaling pathway via STAT (GO:1904892)	26	4	4.40	-	.91	5.51E-01
dorsal appendage formation (GO:0046843)	52	8	8.80	-	.91	4.81E-01
cellular pigmentation (GO:0033059)	13	2	2.20	-	.91	6.22E-01
regulation of mitotic sister chromatid segregation (GO:0033047)	13	2	2.20	-	.91	6.22E-01
cellular response to metal ion (GO:0071248)	13	2	2.20	-	.91	6.22E-01
negative regulation of locomotion (GO:0040013)	13	2	2.20	-	.91	6.22E-01
induction of programmed cell death by hormones (GO:0035081)	13	2	2.20	-	.91	6.22E-01
induction of programmed cell death by ecdysone (GO:0035078)	13	2	2.20	-	.91	6.22E-01
ecdysone-mediated induction of salivary gland cell autophagic cell death (GO:0035072)	13	2	2.20	-	.91	6.22E-01
protein localization to chromosome (GO:0034502)	13	2	2.20	-	.91	6.22E-01
nuclear RNA surveillance (GO:0071027)	13	2	2.20	-	.91	6.22E-01
cellular protein catabolic process (GO:0044257)	208	32	35.21	-	.91	3.29E-01
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	26	4	4.40	-	.91	5.51E-01
flight behavior (GO:0007629)	13	2	2.20	-	.91	6.22E-01
detoxification (GO:0098754)	26	4	4.40	-	.91	5.51E-01
protein homooligomerization (GO:0051260)	13	2	2.20	-	.91	6.22E-01
negative regulation of mitotic nuclear division (GO:0045839)	13	2	2.20	-	.91	6.22E-01
induction of programmed cell death (GO:0012502)	13	2	2.20	-	.91	6.22E-01
terminal button organization (GO:0072553)	13	2	2.20	-	.91	6.22E-01
regulation of lipid localization (GO:1905952)	26	4	4.40	-	.91	5.51E-01
muscle tissue development (GO:0060537)	13	2	2.20	-	.91	6.22E-01
regulation of animal organ morphogenesis (GO:2000027)	26	4	4.40	-	.91	5.51E-01
maturation of LSU-rRNA (GO:0000470)	13	2	2.20	-	.91	6.22E-01
intestinal stem cell homeostasis (GO:0036335)	26	4	4.40	-	.91	5.51E-01
response to osmotic stress (GO:0006970)	13	2	2.20	-	.91	6.22E-01
positive regulation of cation transmembrane transport (GO:1904064)	13	2	2.20	-	.91	6.22E-01
regulation of secondary metabolic process (GO:0043455)	13	2	2.20	-	.91	6.22E-01
fatty acid oxidation (GO:0019395)	13	2	2.20	-	.91	6.22E-01
response to reactive oxygen species (GO:0000302)	26	4	4.40	-	.91	5.51E-01
insemination (GO:0007320)	13	2	2.20	-	.91	6.22E-01
secretion by cell (GO:0032940)	150	23	25.39	-	.91	3.62E-01
regulation of transcription by RNA polymerase II (GO:0006357)	614	94	103.94	-	.90	1.64E-01
eggshell formation (GO:0030703)	98	15	16.59	-	.90	4.08E-01
positive regulation of nervous system development (GO:0051962)	98	15	16.59	-	.90	4.08E-01
chromatin organization (GO:0006325)	268	41	45.37	-	.90	2.84E-01
oocyte differentiation (GO:0009994)	144	22	24.38	-	.90	3.61E-01
motor neuron axon guidance (GO:0008045)	72	11	12.19	-	.90	4.39E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	308	47	52.14	-	.90	2.59E-01
ovarian follicle cell migration (GO:0007297)	105	16	17.77	-	.90	3.94E-01
germarium-derived egg chamber formation (GO:0007293)	92	14	15.57	-	.90	4.07E-01
morphogenesis of follicular epithelium (GO:0016333)	46	7	7.79	-	.90	4.83E-01
positive regulation of defense response (GO:0031349)	66	10	11.17	-	.90	4.39E-01
male meiosis cytokinesis (GO:0007112)	33	5	5.59	-	.90	5.14E-01
cytoskeleton-dependent intracellular transport (GO:0030705)	66	10	11.17	-	.90	4.39E-01
positive regulation of establishment of protein localization (GO:1904951)	33	5	5.59	-	.90	5.14E-01
negative regulation of hippo signaling (GO:0035331)	33	5	5.59	-	.90	5.14E-01
intracellular mRNA localization (GO:0008298)	66	10	11.17	-	.90	4.39E-01
peptidyl-lysine methylation (GO:0018022)	33	5	5.59	-	.90	5.14E-01
positive regulation of transferase activity (GO:0051347)	66	10	11.17	-	.90	4.39E-01
larval somatic muscle development (GO:0007526)	33	5	5.59	-	.90	5.14E-01
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	33	5	5.59	-	.90	5.14E-01
regulation of hydrolase activity (GO:0051336)	152	23	25.73	-	.89	3.37E-01
protein ubiquitination (GO:0016567)	119	18	20.14	-	.89	3.68E-01
negative regulation of programmed cell death (GO:0043069)	86	13	14.56	-	.89	4.06E-01
signal release (GO:0023061)	86	13	14.56	-	.89	4.06E-01
regulation of innate immune response (GO:0045088)	73	11	12.36	-	.89	4.20E-01
chaeta development (GO:0022416)	73	11	12.36	-	.89	4.20E-01
negative regulation of metabolic process (GO:0009892)	598	90	101.23	-	.89	1.29E-01
sodium ion transport (GO:0006814)	60	9	10.16	-	.89	4.38E-01
R8 cell fate specification (GO:0045464)	20	3	3.39	-	.89	5.61E-01
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	20	3	3.39	-	.89	5.61E-01
endosome transport via multivesicular body sorting pathway (GO:0032509)	20	3	3.39	-	.89	5.61E-01
regulation of gene silencing (GO:0060968)	60	9	10.16	-	.89	4.38E-01
hemocyte migration (GO:0035099)	20	3	3.39	-	.89	5.61E-01
liquid clearance, open tracheal system (GO:0035002)	20	3	3.39	-	.89	5.61E-01
apical constriction (GO:0003383)	20	3	3.39	-	.89	5.61E-01
negative regulation of mitotic cell cycle (GO:0045930)	60	9	10.16	-	.89	4.38E-01
learning (GO:0007612)	60	9	10.16	-	.89	4.38E-01
positive regulation of protein kinase activity (GO:0045860)	40	6	6.77	-	.89	4.84E-01
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	40	6	6.77	-	.89	4.84E-01
mesoderm development (GO:0007498)	80	12	13.54	-	.89	4.04E-01
multivesicular body sorting pathway (GO:0071985)	20	3	3.39	-	.89	5.61E-01
regulation of defense response (GO:0031347)	127	19	21.50	-	.88	3.42E-01
mushroom body development (GO:0016319)	67	10	11.34	-	.88	4.19E-01
DNA-dependent DNA replication (GO:0006261)	67	10	11.34	-	.88	4.19E-01
synapse organization (GO:0050808)	161	24	27.25	-	.88	3.04E-01
regulation of apoptotic process (GO:0042981)	141	21	23.87	-	.88	3.21E-01
cellular response to DNA damage stimulus (GO:0006974)	168	25	28.44	-	.88	2.95E-01
DNA replication (GO:0006260)	74	11	12.53	-	.88	4.02E-01
negative regulation of macromolecule metabolic process (GO:0010605)	559	83	94.62	-	.88	1.13E-01
negative regulation of RNA biosynthetic process (GO:1902679)	283	42	47.90	-	.88	2.14E-01
negative regulation of transcription, DNA-templated (GO:0045892)	283	42	47.90	-	.88	2.14E-01
negative regulation of nucleic acid-templated transcription (GO:1903507)	283	42	47.90	-	.88	2.14E-01
germarium-derived oocyte fate determination (GO:0007294)	27	4	4.57	-	.88	5.19E-01
lipoprotein metabolic process (GO:0042157)	27	4	4.57	-	.88	5.19E-01
sex determination (GO:0007530)	27	4	4.57	-	.88	5.19E-01
imaginal disc-derived genitalia development (GO:0007484)	27	4	4.57	-	.88	5.19E-01
negative regulation of gene expression (GO:0010629)	426	63	72.11	-	.87	1.46E-01
regulation of protein metabolic process (GO:0051246)	447	66	75.67	-	.87	1.36E-01
positive regulation of proteolysis (GO:0045862)	61	9	10.33	-	.87	4.17E-01
cell surface receptor signaling pathway (GO:0007166)	278	41	47.06	-	.87	2.05E-01
negative regulation of cellular metabolic process (GO:0031324)	509	75	86.16	-	.87	1.13E-01
spermatogenesis (GO:0007283)	197	29	33.35	-	.87	2.54E-01
oocyte fate determination (GO:0030716)	34	5	5.76	-	.87	4.85E-01
microtubule organizing center organization (GO:0031023)	68	10	11.51	-	.87	4.00E-01
chaeta morphogenesis (GO:0008407)	34	5	5.76	-	.87	4.85E-01
negative regulation of phosphorus metabolic process (GO:0010563)	68	10	11.51	-	.87	4.00E-01
dorsal/ventral axis specification (GO:0009950)	68	10	11.51	-	.87	4.00E-01
actin filament-based movement (GO:0030048)	34	5	5.76	-	.87	4.85E-01
negative regulation of phosphate metabolic process (GO:0045936)	68	10	11.51	-	.87	4.00E-01
tight junction organization (GO:0120193)	34	5	5.76	-	.87	4.85E-01
tight junction assembly (GO:0120192)	34	5	5.76	-	.87	4.85E-01
long-term memory (GO:0007616)	68	10	11.51	-	.87	4.00E-01
ventral cord development (GO:0007419)	68	10	11.51	-	.87	4.00E-01
pole plasm RNA localization (GO:0007316)	34	5	5.76	-	.87	4.85E-01
male gamete generation (GO:0048232)	238	35	40.29	-	.87	2.24E-01
eggshell chorion assembly (GO:0007306)	75	11	12.70	-	.87	3.84E-01
external encapsulating structure organization (GO:0045229)	75	11	12.70	-	.87	3.84E-01
regulation of neuron differentiation (GO:0045664)	75	11	12.70	-	.87	3.84E-01
regulation of cellular protein metabolic process (GO:0032268)	423	62	71.60	-	.87	1.31E-01
protein localization to nucleus (GO:0034504)	41	6	6.94	-	.86	4.58E-01
animal organ formation (GO:0048645)	41	6	6.94	-	.86	4.58E-01
posttranscriptional regulation of gene expression (GO:0010608)	137	20	23.19	-	.86	2.94E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	466	68	78.88	-	.86	1.10E-01
muscle cell differentiation (GO:0042692)	96	14	16.25	-	.86	3.43E-01
brain development (GO:0007420)	103	15	17.44	-	.86	3.31E-01
positive regulation of growth (GO:0045927)	117	17	19.81	-	.86	3.10E-01
cell fate commitment (GO:0045165)	276	40	46.72	-	.86	1.76E-01
regulation of cell cycle process (GO:0010564)	152	22	25.73	-	.86	2.65E-01
negative regulation of protein modification process (GO:0031400)	76	11	12.86	-	.86	3.66E-01
regulation of protein modification process (GO:0031399)	249	36	42.15	-	.85	1.88E-01
Golgi vesicle transport (GO:0048193)	104	15	17.60	-	.85	3.17E-01
negative regulation of cellular biosynthetic process (GO:0031327)	347	50	58.74	-	.85	1.33E-01
negative regulation of biosynthetic process (GO:0009890)	347	50	58.74	-	.85	1.33E-01
meiotic nuclear division (GO:0140013)	153	22	25.90	-	.85	2.55E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	334	48	56.54	-	.85	1.34E-01
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	334	48	56.54	-	.85	1.34E-01
nuclear division (GO:0000280)	223	32	37.75	-	.85	1.93E-01
positive regulation of cell differentiation (GO:0045597)	105	15	17.77	-	.84	3.03E-01
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	49	7	8.29	-	.84	4.12E-01
cilium organization (GO:0044782)	63	9	10.66	-	.84	3.77E-01
negative regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030948)	7	1	1.18	-	.84	6.68E-01
regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030947)	7	1	1.18	-	.84	6.68E-01
copper ion transport (GO:0006825)	7	1	1.18	-	.84	6.68E-01
histone lysine demethylation (GO:0070076)	7	1	1.18	-	.84	6.68E-01
central nervous system morphogenesis (GO:0021551)	14	2	2.37	-	.84	5.77E-01
vitellogenesis (GO:0007296)	7	1	1.18	-	.84	6.68E-01
pole cell migration (GO:0007280)	21	3	3.55	-	.84	5.25E-01
regulation of TORC1 signaling (GO:1903432)	28	4	4.74	-	.84	4.87E-01
toxin metabolic process (GO:0009404)	7	1	1.18	-	.84	6.68E-01
male germ-line stem cell asymmetric division (GO:0048133)	7	1	1.18	-	.84	6.68E-01
dopamine receptor signaling pathway (GO:0007212)	7	1	1.18	-	.84	6.68E-01
response to fibroblast growth factor (GO:0071774)	21	3	3.55	-	.84	5.25E-01
histone demethylation (GO:0016577)	7	1	1.18	-	.84	6.68E-01
regulation of entry into reproductive diapause (GO:0061963)	7	1	1.18	-	.84	6.68E-01
sulfur compound metabolic process (GO:0006790)	77	11	13.03	-	.84	3.48E-01
heme biosynthetic process (GO:0006783)	7	1	1.18	-	.84	6.68E-01
porphyrin-containing compound biosynthetic process (GO:0006779)	7	1	1.18	-	.84	6.68E-01
membrane assembly (GO:0071709)	7	1	1.18	-	.84	6.68E-01
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	14	2	2.37	-	.84	5.77E-01
protein-DNA complex assembly (GO:0065004)	56	8	9.48	-	.84	3.93E-01
chromatin-mediated maintenance of transcription (GO:0048096)	7	1	1.18	-	.84	6.68E-01
negative regulation of cell adhesion (GO:0007162)	14	2	2.37	-	.84	5.77E-01
regulation of compound eye pigmentation (GO:0048076)	7	1	1.18	-	.84	6.68E-01
regulation of eye pigmentation (GO:0048073)	7	1	1.18	-	.84	6.68E-01
neuron cell-cell adhesion (GO:0007158)	7	1	1.18	-	.84	6.68E-01
mitochondrial respiratory chain complex I assembly (GO:0032981)	7	1	1.18	-	.84	6.68E-01
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	7	1	1.18	-	.84	6.68E-01
regulation of cytokinetic process (GO:0032954)	7	1	1.18	-	.84	6.68E-01
germline ring canal formation (GO:0030725)	14	2	2.37	-	.84	5.77E-01
glycosphingolipid biosynthetic process (GO:0006688)	7	1	1.18	-	.84	6.68E-01
glycosphingolipid metabolic process (GO:0006687)	7	1	1.18	-	.84	6.68E-01
sulfur amino acid metabolic process (GO:0000096)	7	1	1.18	-	.84	6.68E-01
activation of immune response (GO:0002253)	7	1	1.18	-	.84	6.68E-01
guanosine-containing compound metabolic process (GO:1901068)	7	1	1.18	-	.84	6.68E-01
positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	7	1	1.18	-	.84	6.68E-01
regulation of potassium ion transmembrane transporter activity (GO:1901016)	7	1	1.18	-	.84	6.68E-01
establishment or maintenance of polarity of follicular epithelium (GO:0016334)	28	4	4.74	-	.84	4.87E-01
regulation of purine nucleotide metabolic process (GO:1900542)	7	1	1.18	-	.84	6.68E-01
dsRNA transport (GO:0033227)	21	3	3.55	-	.84	5.25E-01
