




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (830)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
anterior mesonephric tubule development (GO:0072165)	1	0	.05	-	 < 0.01	9.50E-01
release of cytochrome c from mitochondria (GO:0001836)	22	0	1.12	-	 < 0.01	3.25E-01
male somatic sex determination (GO:0019102)	1	0	.05	-	 < 0.01	9.50E-01
metanephric mesenchymal cell differentiation (GO:0072162)	5	0	.26	-	 < 0.01	7.75E-01
blastocyst hatching (GO:0001835)	23	0	1.17	-	 < 0.01	3.09E-01
female somatic sex determination (GO:0019101)	1	0	.05	-	 < 0.01	9.50E-01
mesenchymal cell differentiation involved in kidney development (GO:0072161)	7	0	.36	-	 < 0.01	6.99E-01
trophectodermal cell proliferation (GO:0001834)	2	0	.10	-	 < 0.01	9.03E-01
male germ-line sex determination (GO:0019100)	2	0	.10	-	 < 0.01	9.03E-01
trophectodermal cellular morphogenesis (GO:0001831)	2	0	.10	-	 < 0.01	9.03E-01
meiosis II (GO:0007135)	10	0	.51	-	 < 0.01	6.00E-01
negative regulation of lipase activity (GO:0060192)	15	0	.77	-	 < 0.01	4.65E-01
synaptonemal complex assembly (GO:0007130)	18	0	.92	-	 < 0.01	3.99E-01
positive regulation of type B pancreatic cell apoptotic process (GO:2000676)	4	0	.20	-	 < 0.01	8.15E-01
negative regulation of type B pancreatic cell apoptotic process (GO:2000675)	5	0	.26	-	 < 0.01	7.75E-01
regulation of type B pancreatic cell apoptotic process (GO:2000674)	9	0	.46	-	 < 0.01	6.31E-01
distal tubule morphogenesis (GO:0072156)	3	0	.15	-	 < 0.01	8.58E-01
negative regulation of motor neuron apoptotic process (GO:2000672)	4	0	.20	-	 < 0.01	8.15E-01
inner cell mass cellular morphogenesis (GO:0001828)	2	0	.10	-	 < 0.01	9.03E-01
regulation of motor neuron apoptotic process (GO:2000671)	5	0	.26	-	 < 0.01	7.75E-01
inner cell mass cell fate commitment (GO:0001827)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of dendritic cell apoptotic process (GO:2000670)	4	0	.20	-	 < 0.01	8.15E-01
inner cell mass cell differentiation (GO:0001826)	7	0	.36	-	 < 0.01	6.99E-01
histamine secretion (GO:0001821)	5	0	.26	-	 < 0.01	7.75E-01
serotonin secretion (GO:0001820)	3	0	.15	-	 < 0.01	8.58E-01
cell cycle switching (GO:0060184)	3	0	.15	-	 < 0.01	8.58E-01
apelin receptor signaling pathway (GO:0060183)	2	0	.10	-	 < 0.01	9.03E-01
female mating behavior (GO:0060180)	9	0	.46	-	 < 0.01	6.31E-01
negative regulation of dendritic cell apoptotic process (GO:2000669)	7	0	.36	-	 < 0.01	6.99E-01
regulation of dendritic cell apoptotic process (GO:2000668)	11	0	.56	-	 < 0.01	5.70E-01
positive regulation of interleukin-1-mediated signaling pathway (GO:2000661)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of interleukin-1-mediated signaling pathway (GO:2000660)	5	0	.26	-	 < 0.01	7.75E-01
positive regulation of antibody-dependent cellular cytotoxicity (GO:0001815)	1	0	.05	-	 < 0.01	9.50E-01
renal interstitial fibroblast development (GO:0072141)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of antibody-dependent cellular cytotoxicity (GO:0001814)	1	0	.05	-	 < 0.01	9.50E-01
regulation of antibody-dependent cellular cytotoxicity (GO:0001813)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of type I hypersensitivity (GO:0001812)	1	0	.05	-	 < 0.01	9.50E-01
regulation of exocyst localization (GO:0060178)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of type I hypersensitivity (GO:0001811)	1	0	.05	-	 < 0.01	9.50E-01
regulation of angiotensin metabolic process (GO:0060177)	2	0	.10	-	 < 0.01	9.03E-01
regulation of type I hypersensitivity (GO:0001810)	2	0	.10	-	 < 0.01	9.03E-01
limb bud formation (GO:0060174)	11	0	.56	-	 < 0.01	5.70E-01
endomitotic cell cycle (GO:0007113)	3	0	.15	-	 < 0.01	8.58E-01
ribonucleoprotein complex disassembly (GO:0032988)	5	0	.26	-	 < 0.01	7.75E-01
regulation of interleukin-1-mediated signaling pathway (GO:2000659)	8	0	.41	-	 < 0.01	6.65E-01
negative regulation of apolipoprotein binding (GO:2000657)	1	0	.05	-	 < 0.01	9.50E-01
keratinocyte activation (GO:0032980)	1	0	.05	-	 < 0.01	9.50E-01
glomerular parietal epithelial cell differentiation (GO:0072139)	3	0	.15	-	 < 0.01	8.58E-01
regulation of apolipoprotein binding (GO:2000656)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of cellular response to testosterone stimulus (GO:2000655)	1	0	.05	-	 < 0.01	9.50E-01
condensed mesenchymal cell proliferation (GO:0072137)	2	0	.10	-	 < 0.01	9.03E-01
regulation of cellular response to testosterone stimulus (GO:2000654)	1	0	.05	-	 < 0.01	9.50E-01
metanephric mesenchymal cell proliferation involved in metanephros development (GO:0072136)	3	0	.15	-	 < 0.01	8.58E-01
regulation of genetic imprinting (GO:2000653)	4	0	.20	-	 < 0.01	8.15E-01
positive regulation of type IV hypersensitivity (GO:0001809)	1	0	.05	-	 < 0.01	9.50E-01
kidney mesenchymal cell proliferation (GO:0072135)	3	0	.15	-	 < 0.01	8.58E-01
negative regulation of type IV hypersensitivity (GO:0001808)	2	0	.10	-	 < 0.01	9.03E-01
nephrogenic mesenchyme morphogenesis (GO:0072134)	2	0	.10	-	 < 0.01	9.03E-01
regulation of type IV hypersensitivity (GO:0001807)	4	0	.20	-	 < 0.01	8.15E-01
metanephric mesenchyme morphogenesis (GO:0072133)	3	0	.15	-	 < 0.01	8.58E-01
negative regulation of sodium ion transmembrane transporter activity (GO:2000650)	13	0	.66	-	 < 0.01	5.15E-01
positive regulation of type III hypersensitivity (GO:0001805)	1	0	.05	-	 < 0.01	9.50E-01
kidney mesenchyme morphogenesis (GO:0072131)	3	0	.15	-	 < 0.01	8.58E-01
renal capsule specification (GO:0072130)	1	0	.05	-	 < 0.01	9.50E-01
regulation of type III hypersensitivity (GO:0001803)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of adenosine receptor signaling pathway (GO:0060169)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of protein autoubiquitination (GO:1902499)	3	0	.15	-	 < 0.01	8.58E-01
positive regulation of adenosine receptor signaling pathway (GO:0060168)	3	0	.15	-	 < 0.01	8.58E-01
regulation of adenosine receptor signaling pathway (GO:0060167)	4	0	.20	-	 < 0.01	8.15E-01
olfactory pit development (GO:0060166)	3	0	.15	-	 < 0.01	8.58E-01
regulation of timing of subpallium neuron differentiation (GO:0060165)	1	0	.05	-	 < 0.01	9.50E-01
regulation of timing of neuron differentiation (GO:0060164)	3	0	.15	-	 < 0.01	8.58E-01
subpallium neuron fate commitment (GO:0060163)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of dopamine receptor signaling pathway (GO:0060161)	5	0	.26	-	 < 0.01	7.75E-01
negative regulation of sperm capacitation (GO:1902491)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of dopamine receptor signaling pathway (GO:0060160)	4	0	.20	-	 < 0.01	8.15E-01
regulation of sperm capacitation (GO:1902490)	2	0	.10	-	 < 0.01	9.03E-01
protein insertion into mitochondrial inner membrane from matrix (GO:0032979)	4	0	.20	-	 < 0.01	8.15E-01
protein insertion into membrane from inner side (GO:0032978)	4	0	.20	-	 < 0.01	8.15E-01
release of matrix enzymes from mitochondria (GO:0032976)	1	0	.05	-	 < 0.01	9.50E-01
amino acid transmembrane export from vacuole (GO:0032974)	1	0	.05	-	 < 0.01	9.50E-01
regulation of muscle filament sliding speed (GO:0032972)	2	0	.10	-	 < 0.01	9.03E-01
regulation of muscle filament sliding (GO:0032971)	4	0	.20	-	 < 0.01	8.15E-01
renal capsule formation (GO:0072129)	1	0	.05	-	 < 0.01	9.50E-01
renal capsule morphogenesis (GO:0072128)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of receptor catabolic process (GO:2000645)	3	0	.15	-	 < 0.01	8.58E-01
renal capsule development (GO:0072127)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of glomerular mesangial cell proliferation (GO:0072126)	6	0	.31	-	 < 0.01	7.36E-01
positive regulation of early endosome to late endosome transport (GO:2000643)	8	0	.41	-	 < 0.01	6.65E-01
negative regulation of glomerular mesangial cell proliferation (GO:0072125)	3	0	.15	-	 < 0.01	8.58E-01
negative regulation of early endosome to late endosome transport (GO:2000642)	2	0	.10	-	 < 0.01	9.03E-01
regulation of glomerular mesangial cell proliferation (GO:0072124)	9	0	.46	-	 < 0.01	6.31E-01
regulation of early endosome to late endosome transport (GO:2000641)	17	0	.87	-	 < 0.01	4.19E-01
positive regulation of SREBP signaling pathway (GO:2000640)	1	0	.05	-	 < 0.01	9.50E-01
regulation of dopamine receptor signaling pathway (GO:0060159)	10	0	.51	-	 < 0.01	6.00E-01
phospholipase C-activating dopamine receptor signaling pathway (GO:0060158)	8	0	.41	-	 < 0.01	6.65E-01
urinary bladder development (GO:0060157)	4	0	.20	-	 < 0.01	8.15E-01
platelet dense granule organization (GO:0060155)	7	0	.36	-	 < 0.01	6.99E-01
cytotoxic T cell pyroptotic process (GO:1902483)	2	0	.10	-	 < 0.01	9.03E-01
microtubule-based peroxisome localization (GO:0060152)	2	0	.10	-	 < 0.01	9.03E-01
peroxisome localization (GO:0060151)	2	0	.10	-	 < 0.01	9.03E-01
protein localization to mitotic spindle (GO:1902480)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968)	11	0	.56	-	 < 0.01	5.70E-01
positive regulation of collagen biosynthetic process (GO:0032967)	20	0	1.02	-	 < 0.01	3.60E-01
positive regulation of inositol trisphosphate biosynthetic process (GO:0032962)	6	0	.31	-	 < 0.01	7.36E-01
regulation of inositol trisphosphate biosynthetic process (GO:0032960)	7	0	.36	-	 < 0.01	6.99E-01
negative regulation of primary miRNA processing (GO:2000635)	3	0	.15	-	 < 0.01	8.58E-01
regulation of primary miRNA processing (GO:2000634)	3	0	.15	-	 < 0.01	8.58E-01
negative regulation of pre-miRNA processing (GO:2000632)	2	0	.10	-	 < 0.01	9.03E-01
pronephros morphogenesis (GO:0072114)	2	0	.10	-	 < 0.01	9.03E-01
regulation of pre-miRNA processing (GO:2000631)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of miRNA metabolic process (GO:2000630)	6	0	.31	-	 < 0.01	7.36E-01
glomerular visceral epithelial cell differentiation (GO:0072112)	19	0	.97	-	 < 0.01	3.79E-01
glomerular mesangial cell proliferation (GO:0072110)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of posttranscriptional gene silencing (GO:0060149)	20	0	1.02	-	 < 0.01	3.60E-01
positive regulation of protein localization to synapse (GO:1902474)	11	0	.56	-	 < 0.01	5.70E-01
positive regulation of syncytium formation by plasma membrane fusion (GO:0060143)	22	0	1.12	-	 < 0.01	3.25E-01
regulation of syncytium formation by plasma membrane fusion (GO:0060142)	25	0	1.28	-	 < 0.01	2.79E-01
inositol trisphosphate biosynthetic process (GO:0032959)	2	0	.10	-	 < 0.01	9.03E-01
inositol trisphosphate metabolic process (GO:0032957)	5	0	.26	-	 < 0.01	7.75E-01
regulation of cytokinetic process (GO:0032954)	3	0	.15	-	 < 0.01	8.58E-01
regulation of miRNA metabolic process (GO:2000628)	9	0	.46	-	 < 0.01	6.31E-01
positive regulation of miRNA catabolic process (GO:2000627)	3	0	.15	-	 < 0.01	8.58E-01
positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis (GO:0072108)	4	0	.20	-	 < 0.01	8.15E-01
regulation of miRNA catabolic process (GO:2000625)	3	0	.15	-	 < 0.01	8.58E-01
positive regulation of ureteric bud formation (GO:0072107)	4	0	.20	-	 < 0.01	8.15E-01
regulation of ureteric bud formation (GO:0072106)	4	0	.20	-	 < 0.01	8.15E-01
negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:2000623)	4	0	.20	-	 < 0.01	8.15E-01
ureteric peristalsis (GO:0072105)	2	0	.10	-	 < 0.01	9.03E-01
regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:2000622)	4	0	.20	-	 < 0.01	8.15E-01
glomerular capillary formation (GO:0072104)	6	0	.31	-	 < 0.01	7.36E-01
glomerulus vasculature morphogenesis (GO:0072103)	6	0	.31	-	 < 0.01	7.36E-01
specification of ureteric bud anterior/posterior symmetry by BMP signaling pathway (GO:0072101)	1	0	.05	-	 < 0.01	9.50E-01
specification of ureteric bud anterior/posterior symmetry (GO:0072100)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of apoptotic process by virus (GO:0060139)	2	0	.10	-	 < 0.01	9.03E-01
embryonic process involved in female pregnancy (GO:0060136)	7	0	.36	-	 < 0.01	6.99E-01
positive regulation of histone H3-K27 trimethylation (GO:1902466)	1	0	.05	-	 < 0.01	9.50E-01
regulation of histone H3-K27 trimethylation (GO:1902464)	1	0	.05	-	 < 0.01	9.50E-01
somatotropin secreting cell development (GO:0060133)	2	0	.10	-	 < 0.01	9.03E-01
protein localization to cell leading edge (GO:1902463)	3	0	.15	-	 < 0.01	8.58E-01
positive regulation of mesenchymal stem cell proliferation (GO:1902462)	3	0	.15	-	 < 0.01	8.58E-01
regulation of mesenchymal stem cell proliferation (GO:1902460)	3	0	.15	-	 < 0.01	8.58E-01
negative regulation of histone H4-K16 acetylation (GO:2000619)	3	0	.15	-	 < 0.01	8.58E-01
secretion by tissue (GO:0032941)	16	0	.82	-	 < 0.01	4.41E-01
positive regulation of histone H3-K9 acetylation (GO:2000617)	7	0	.36	-	 < 0.01	6.99E-01
negative regulation of histone H3-K9 acetylation (GO:2000616)	1	0	.05	-	 < 0.01	9.50E-01
regulation of histone H3-K9 acetylation (GO:2000615)	9	0	.46	-	 < 0.01	6.31E-01
regulation of thyroid-stimulating hormone secretion (GO:2000612)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of thyroid hormone generation (GO:2000611)	4	0	.20	-	 < 0.01	8.15E-01
somatotropin secreting cell differentiation (GO:0060126)	3	0	.15	-	 < 0.01	8.58E-01
negative regulation of growth hormone secretion (GO:0060125)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of stem cell population maintenance (GO:1902455)	7	0	.36	-	 < 0.01	6.99E-01
positive regulation of growth hormone secretion (GO:0060124)	8	0	.41	-	 < 0.01	6.65E-01
regulation of growth hormone secretion (GO:0060123)	12	0	.61	-	 < 0.01	5.42E-01
regulation of thyroid hormone generation (GO:2000609)	6	0	.31	-	 < 0.01	7.36E-01
negative regulation of cell proliferation involved in mesonephros development (GO:2000607)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of superoxide anion generation (GO:0032930)	20	0	1.02	-	 < 0.01	3.60E-01
regulation of cell proliferation involved in mesonephros development (GO:2000606)	1	0	.05	-	 < 0.01	9.50E-01
vestibular receptor cell development (GO:0060118)	2	0	.10	-	 < 0.01	9.03E-01
vestibular receptor cell morphogenesis (GO:0060116)	1	0	.05	-	 < 0.01	9.50E-01
regulation of mitochondrial membrane permeability involved in programmed necrotic cell death (GO:1902445)	3	0	.15	-	 < 0.01	8.58E-01
vestibular receptor cell differentiation (GO:0060114)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of ripoptosome assembly involved in necroptotic process (GO:1902443)	1	0	.05	-	 < 0.01	9.50E-01
generation of ovulation cycle rhythm (GO:0060112)	1	0	.05	-	 < 0.01	9.50E-01
regulation of ripoptosome assembly involved in necroptotic process (GO:1902442)	1	0	.05	-	 < 0.01	9.50E-01
ganglioside catabolic process (GO:0006689)	7	0	.36	-	 < 0.01	6.99E-01
glycosphingolipid biosynthetic process (GO:0006688)	25	0	1.28	-	 < 0.01	2.79E-01
positive regulation by organism of apoptotic process in other organism involved in symbiotic interaction (GO:0052501)	1	0	.05	-	 < 0.01	9.50E-01
sphingomyelin catabolic process (GO:0006685)	6	0	.31	-	 < 0.01	7.36E-01
negative regulation of superoxide anion generation (GO:0032929)	3	0	.15	-	 < 0.01	8.58E-01
regulation of superoxide anion generation (GO:0032928)	23	0	1.17	-	 < 0.01	3.09E-01
galactosylceramide catabolic process (GO:0006683)	3	0	.15	-	 < 0.01	8.58E-01
positive regulation of activin receptor signaling pathway (GO:0032927)	8	0	.41	-	 < 0.01	6.65E-01
galactosylceramide biosynthetic process (GO:0006682)	6	0	.31	-	 < 0.01	7.36E-01
negative regulation of activin receptor signaling pathway (GO:0032926)	10	0	.51	-	 < 0.01	6.00E-01
galactosylceramide metabolic process (GO:0006681)	9	0	.46	-	 < 0.01	6.31E-01
regulation of activin receptor signaling pathway (GO:0032925)	23	0	1.17	-	 < 0.01	3.09E-01
glucosylceramide catabolic process (GO:0006680)	3	0	.15	-	 < 0.01	8.58E-01
putrescine acetylation (GO:0032920)	1	0	.05	-	 < 0.01	9.50E-01
glucosylceramide biosynthetic process (GO:0006679)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of phagocytosis, engulfment (GO:0060101)	1	0	.05	-	 < 0.01	9.50E-01
glucosylceramide metabolic process (GO:0006678)	6	0	.31	-	 < 0.01	7.36E-01
negative regulation of amyloid-beta formation (GO:1902430)	12	0	.61	-	 < 0.01	5.42E-01
glycosylceramide metabolic process (GO:0006677)	15	0	.77	-	 < 0.01	4.65E-01
spermine acetylation (GO:0032919)	1	0	.05	-	 < 0.01	9.50E-01
spermidine acetylation (GO:0032918)	2	0	.10	-	 < 0.01	9.03E-01
polyamine acetylation (GO:0032917)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of transforming growth factor beta3 production (GO:0032916)	2	0	.10	-	 < 0.01	9.03E-01
phytosphingosine metabolic process (GO:0006671)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of transforming growth factor beta2 production (GO:0032915)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of transforming growth factor beta1 production (GO:0032914)	7	0	.36	-	 < 0.01	6.99E-01
negative regulation of transforming growth factor beta3 production (GO:0032913)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of transforming growth factor beta2 production (GO:0032912)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of transforming growth factor beta1 production (GO:0032911)	6	0	.31	-	 < 0.01	7.36E-01
regulation of transforming growth factor beta3 production (GO:0032910)	4	0	.20	-	 < 0.01	8.15E-01
olfactory placode morphogenesis (GO:0071699)	3	0	.15	-	 < 0.01	8.58E-01
olfactory placode development (GO:0071698)	3	0	.15	-	 < 0.01	8.58E-01
ectodermal placode morphogenesis (GO:0071697)	12	0	.61	-	 < 0.01	5.42E-01
ectodermal placode development (GO:0071696)	13	0	.66	-	 < 0.01	5.15E-01
maintenance of protein location in extracellular region (GO:0071694)	6	0	.31	-	 < 0.01	7.36E-01
deactivation of mitotic spindle assembly checkpoint (GO:1902426)	1	0	.05	-	 < 0.01	9.50E-01
protein transport within extracellular region (GO:0071693)	1	0	.05	-	 < 0.01	9.50E-01
cardiac muscle thin filament assembly (GO:0071691)	3	0	.15	-	 < 0.01	8.58E-01
sphinganine-1-phosphate biosynthetic process (GO:0006669)	1	0	.05	-	 < 0.01	9.50E-01
sphinganine-1-phosphate metabolic process (GO:0006668)	2	0	.10	-	 < 0.01	9.03E-01
3-keto-sphinganine metabolic process (GO:0006666)	1	0	.05	-	 < 0.01	9.50E-01
regulation of transforming growth factor beta2 production (GO:0032909)	8	0	.41	-	 < 0.01	6.65E-01
regulation of transforming growth factor beta1 production (GO:0032908)	12	0	.61	-	 < 0.01	5.42E-01
phosphatidylserine catabolic process (GO:0006660)	2	0	.10	-	 < 0.01	9.03E-01
nerve growth factor production (GO:0032902)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of neurotrophin production (GO:0032901)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of neurotrophin production (GO:0032900)	1	0	.05	-	 < 0.01	9.50E-01
striated muscle myosin thick filament assembly (GO:0071688)	3	0	.15	-	 < 0.01	8.58E-01
organism emergence from protective structure (GO:0071684)	23	0	1.17	-	 < 0.01	3.09E-01
positive regulation of mRNA binding (GO:1902416)	6	0	.31	-	 < 0.01	7.36E-01
regulation of mRNA binding (GO:1902415)	7	0	.36	-	 < 0.01	6.99E-01
regulation of mitotic cytokinesis (GO:1902412)	6	0	.31	-	 < 0.01	7.36E-01
phosphatidylserine biosynthetic process (GO:0006659)	4	0	.20	-	 < 0.01	8.15E-01
diacylglycerol biosynthetic process (GO:0006651)	8	0	.41	-	 < 0.01	6.65E-01
alpha-beta intraepithelial T cell differentiation (GO:0002299)	1	0	.05	-	 < 0.01	9.50E-01
T-helper 1 cell lineage commitment (GO:0002296)	2	0	.10	-	 < 0.01	9.03E-01
T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:0002291)	4	0	.20	-	 < 0.01	8.15E-01
olfactory bulb axon guidance (GO:0071678)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of mononuclear cell migration (GO:0071676)	8	0	.41	-	 < 0.01	6.65E-01
mononuclear cell migration (GO:0071674)	39	0	1.99	-	 < 0.01	1.36E-01
positive regulation of smooth muscle cell chemotaxis (GO:0071673)	4	0	.20	-	 < 0.01	8.15E-01
negative regulation of smooth muscle cell chemotaxis (GO:0071672)	4	0	.20	-	 < 0.01	8.15E-01
regulation of smooth muscle cell chemotaxis (GO:0071671)	7	0	.36	-	 < 0.01	6.99E-01
smooth muscle cell chemotaxis (GO:0071670)	2	0	.10	-	 < 0.01	9.03E-01
phospholipid transfer to membrane (GO:0006649)	1	0	.05	-	 < 0.01	9.50E-01
phosphatidylethanolamine biosynthetic process (GO:0006646)	15	0	.77	-	 < 0.01	4.65E-01
triglyceride mobilization (GO:0006642)	3	0	.15	-	 < 0.01	8.58E-01
microglial cell activation involved in immune response (GO:0002282)	3	0	.15	-	 < 0.01	8.58E-01
macrophage activation involved in immune response (GO:0002281)	15	0	.77	-	 < 0.01	4.65E-01
monocyte activation involved in immune response (GO:0002280)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of granzyme B production (GO:0071663)	3	0	.15	-	 < 0.01	8.58E-01
regulation of granzyme B production (GO:0071661)	3	0	.15	-	 < 0.01	8.58E-01
positive regulation of IP-10 production (GO:0071660)	1	0	.05	-	 < 0.01	9.50E-01
tRNA demethylation (GO:1990983)	1	0	.05	-	 < 0.01	9.50E-01
mast cell activation involved in immune response (GO:0002279)	16	0	.82	-	 < 0.01	4.41E-01
eosinophil activation involved in immune response (GO:0002278)	3	0	.15	-	 < 0.01	8.58E-01
myeloid dendritic cell activation involved in immune response (GO:0002277)	3	0	.15	-	 < 0.01	8.58E-01
basophil activation involved in immune response (GO:0002276)	2	0	.10	-	 < 0.01	9.03E-01
plasmacytoid dendritic cell differentiation (GO:0002273)	1	0	.05	-	 < 0.01	9.50E-01
plasmacytoid dendritic cell activation (GO:0002270)	3	0	.15	-	 < 0.01	8.58E-01
negative regulation of IP-10 production (GO:0071659)	1	0	.05	-	 < 0.01	9.50E-01
regulation of IP-10 production (GO:0071658)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of granulocyte colony-stimulating factor production (GO:0071657)	3	0	.15	-	 < 0.01	8.58E-01
negative regulation of granulocyte colony-stimulating factor production (GO:0071656)	1	0	.05	-	 < 0.01	9.50E-01
regulation of granulocyte colony-stimulating factor production (GO:0071655)	4	0	.20	-	 < 0.01	8.15E-01
positive regulation of chemokine (C-C motif) ligand 1 production (GO:0071654)	1	0	.05	-	 < 0.01	9.50E-01
regulation of chemokine (C-C motif) ligand 1 production (GO:0071652)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of chemokine (C-C motif) ligand 5 production (GO:0071651)	4	0	.20	-	 < 0.01	8.15E-01
negative regulation of chemokine (C-C motif) ligand 5 production (GO:0071650)	4	0	.20	-	 < 0.01	8.15E-01
protein processing involved in protein targeting to mitochondrion (GO:0006627)	5	0	.26	-	 < 0.01	7.75E-01
vacuolar protein processing (GO:0006624)	2	0	.10	-	 < 0.01	9.03E-01
protein retention in ER lumen (GO:0006621)	9	0	.46	-	 < 0.01	6.31E-01
posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620)	11	0	.56	-	 < 0.01	5.70E-01
follicular dendritic cell differentiation (GO:0002268)	1	0	.05	-	 < 0.01	9.50E-01
follicular dendritic cell activation (GO:0002266)	2	0	.10	-	 < 0.01	9.03E-01
astrocyte activation involved in immune response (GO:0002265)	4	0	.20	-	 < 0.01	8.15E-01
endothelial cell activation involved in immune response (GO:0002264)	1	0	.05	-	 < 0.01	9.50E-01
regulation of chemokine (C-C motif) ligand 5 production (GO:0071649)	8	0	.41	-	 < 0.01	6.65E-01
negative regulation of chemokine (C-C motif) ligand 4 production (GO:0071644)	1	0	.05	-	 < 0.01	9.50E-01
regulation of chemokine (C-C motif) ligand 4 production (GO:0071643)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of macrophage inflammatory protein 1 alpha production (GO:0071642)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of macrophage inflammatory protein 1 alpha production (GO:0071641)	3	0	.15	-	 < 0.01	8.58E-01
regulation of macrophage inflammatory protein 1 alpha production (GO:0071640)	5	0	.26	-	 < 0.01	7.75E-01
modulation by host of viral RNA-binding transcription factor activity (GO:1990969)	1	0	.05	-	 < 0.01	9.50E-01
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)	2	0	.10	-	 < 0.01	9.03E-01
modulation by host of RNA binding by virus (GO:1990968)	1	0	.05	-	 < 0.01	9.50E-01
SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)	8	0	.41	-	 < 0.01	6.65E-01
ATP generation from poly-ADP-D-ribose (GO:1990966)	4	0	.20	-	 < 0.01	8.15E-01
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	92	0	4.70	-	 < 0.01	8.98E-03
cotranslational protein targeting to membrane (GO:0006613)	96	0	4.90	-	 < 0.01	7.31E-03
establishment of blood-retinal barrier (GO:1990963)	1	0	.05	-	 < 0.01	9.50E-01
xenobiotic transport across blood-brain barrier (GO:1990962)	5	0	.26	-	 < 0.01	7.75E-01
ribosomal protein import into nucleus (GO:0006610)	4	0	.20	-	 < 0.01	8.15E-01
xenobiotic detoxification by transmembrane export across the plasma membrane (GO:1990961)	7	0	.36	-	 < 0.01	6.99E-01
kinin cascade (GO:0002254)	3	0	.15	-	 < 0.01	8.58E-01
organ or tissue specific immune response (GO:0002251)	30	0	1.53	-	 < 0.01	2.16E-01
positive regulation of monocyte chemotactic protein-1 production (GO:0071639)	10	0	.51	-	 < 0.01	6.00E-01
negative regulation of monocyte chemotactic protein-1 production (GO:0071638)	5	0	.26	-	 < 0.01	7.75E-01
regulation of monocyte chemotactic protein-1 production (GO:0071637)	15	0	.77	-	 < 0.01	4.65E-01
negative regulation of transforming growth factor beta production (GO:0071635)	13	0	.66	-	 < 0.01	5.15E-01
nuclear protein quality control by the ubiquitin-proteasome system (GO:0071630)	2	0	.10	-	 < 0.01	9.03E-01
homogentisate metabolic process (GO:1901999)	1	0	.05	-	 < 0.01	9.50E-01
NLS-bearing protein import into nucleus (GO:0006607)	12	0	.61	-	 < 0.01	5.42E-01
negative regulation of meiotic cell cycle phase transition (GO:1901994)	3	0	.15	-	 < 0.01	8.58E-01
phosphocreatine metabolic process (GO:0006603)	3	0	.15	-	 < 0.01	8.58E-01
