




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_bg.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_bg.txt - REFLIST (18060)	upload_1 (421)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
positive regulation of histone H3-K79 methylation (GO:2001162)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of histone H3-K79 methylation (GO:2001161)	1	0	.02	-	 < 0.01	9.77E-01
plasma cell differentiation (GO:0002317)	4	0	.09	-	 < 0.01	9.11E-01
regulation of histone H3-K79 methylation (GO:2001160)	3	0	.07	-	 < 0.01	9.32E-01
follicular B cell differentiation (GO:0002316)	1	0	.02	-	 < 0.01	9.77E-01
marginal zone B cell differentiation (GO:0002315)	10	0	.23	-	 < 0.01	7.92E-01
germinal center B cell differentiation (GO:0002314)	6	0	.14	-	 < 0.01	8.69E-01
mature B cell differentiation involved in immune response (GO:0002313)	22	0	.51	-	 < 0.01	5.99E-01
bone resorption (GO:0045453)	26	0	.61	-	 < 0.01	5.45E-01
cholesterol biosynthetic process via 24,25-dihydrolanosterol (GO:0033488)	1	0	.02	-	 < 0.01	9.77E-01
nitric oxide homeostasis (GO:0033484)	2	0	.05	-	 < 0.01	9.54E-01
gas homeostasis (GO:0033483)	7	0	.16	-	 < 0.01	8.49E-01
positive regulation of renal water transport (GO:2001153)	1	0	.02	-	 < 0.01	9.77E-01
T cell proliferation involved in immune response (GO:0002309)	4	0	.09	-	 < 0.01	9.11E-01
regulation of renal water transport (GO:2001151)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of dipeptide transmembrane transport (GO:2001150)	2	0	.05	-	 < 0.01	9.54E-01
CD8-positive, gamma-delta intraepithelial T cell differentiation (GO:0002305)	3	0	.07	-	 < 0.01	9.32E-01
gamma-delta intraepithelial T cell differentiation (GO:0002304)	3	0	.07	-	 < 0.01	9.32E-01
CD8-positive, alpha-beta T cell differentiation involved in immune response (GO:0002302)	2	0	.05	-	 < 0.01	9.54E-01
CD8-positive, alpha-beta intraepithelial T cell differentiation (GO:0002300)	1	0	.02	-	 < 0.01	9.77E-01
S-methylmethionine metabolic process (GO:0033477)	1	0	.02	-	 < 0.01	9.77E-01
regulation of dipeptide transmembrane transport (GO:2001148)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity (GO:2001145)	1	0	.02	-	 < 0.01	9.77E-01
regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity (GO:2001144)	1	0	.02	-	 < 0.01	9.77E-01
nicotinate transport (GO:2001142)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of phospholipid transport (GO:2001139)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of endocytic recycling (GO:2001136)	1	0	.02	-	 < 0.01	9.77E-01
intracellular protein transmembrane transport (GO:0065002)	47	0	1.10	-	 < 0.01	3.34E-01
specification of axis polarity (GO:0065001)	5	0	.12	-	 < 0.01	8.90E-01
negative regulation of cellular response to hepatocyte growth factor stimulus (GO:2001113)	1	0	.02	-	 < 0.01	9.77E-01
regulation of cellular response to hepatocyte growth factor stimulus (GO:2001112)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of lens epithelial cell proliferation (GO:2001111)	2	0	.05	-	 < 0.01	9.54E-01
maternal placenta development (GO:0001893)	32	0	.75	-	 < 0.01	4.74E-01
adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway (GO:0007197)	7	0	.16	-	 < 0.01	8.49E-01
adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway (GO:0007196)	4	0	.09	-	 < 0.01	9.11E-01
adenylate cyclase-inhibiting dopamine receptor signaling pathway (GO:0007195)	5	0	.12	-	 < 0.01	8.90E-01
negative regulation of adenylate cyclase activity (GO:0007194)	13	0	.30	-	 < 0.01	7.38E-01
adenylate cyclase-activating serotonin receptor signaling pathway (GO:0007192)	1	0	.02	-	 < 0.01	9.77E-01
adenylate cyclase-activating dopamine receptor signaling pathway (GO:0007191)	10	0	.23	-	 < 0.01	7.92E-01
regulation of lens epithelial cell proliferation (GO:2001109)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001108)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001107)	1	0	.02	-	 < 0.01	9.77E-01
regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001106)	2	0	.05	-	 < 0.01	9.54E-01
selenium compound metabolic process (GO:0001887)	3	0	.07	-	 < 0.01	9.32E-01
endothelial cell morphogenesis (GO:0001886)	16	0	.37	-	 < 0.01	6.89E-01
Mullerian duct regression (GO:0001880)	4	0	.09	-	 < 0.01	9.11E-01
common-partner SMAD protein phosphorylation (GO:0007182)	6	0	.14	-	 < 0.01	8.69E-01
detection of yeast (GO:0001879)	1	0	.02	-	 < 0.01	9.77E-01
response to yeast (GO:0001878)	11	0	.26	-	 < 0.01	7.74E-01
negative regulation of epidermal growth factor-activated receptor activity (GO:0007175)	13	0	.30	-	 < 0.01	7.38E-01
epidermal growth factor catabolic process (GO:0007174)	1	0	.02	-	 < 0.01	9.77E-01
signal complex assembly (GO:0007172)	2	0	.05	-	 < 0.01	9.54E-01
regulation of mesenchymal cell proliferation involved in ureter development (GO:0072199)	4	0	.09	-	 < 0.01	9.11E-01
mesenchymal cell proliferation involved in ureter development (GO:0072198)	1	0	.02	-	 < 0.01	9.77E-01
ureter morphogenesis (GO:0072197)	9	0	.21	-	 < 0.01	8.11E-01
negative regulation of complement activation, lectin pathway (GO:0001869)	2	0	.05	-	 < 0.01	9.54E-01
kidney smooth muscle cell differentiation (GO:0072195)	1	0	.02	-	 < 0.01	9.77E-01
regulation of complement activation, lectin pathway (GO:0001868)	2	0	.05	-	 < 0.01	9.54E-01
kidney smooth muscle tissue development (GO:0072194)	2	0	.05	-	 < 0.01	9.54E-01
complement activation, lectin pathway (GO:0001867)	9	0	.21	-	 < 0.01	8.11E-01
ureter smooth muscle cell differentiation (GO:0072193)	4	0	.09	-	 < 0.01	9.11E-01
NK T cell proliferation (GO:0001866)	2	0	.05	-	 < 0.01	9.54E-01
ureter epithelial cell differentiation (GO:0072192)	1	0	.02	-	 < 0.01	9.77E-01
NK T cell differentiation (GO:0001865)	6	0	.14	-	 < 0.01	8.69E-01
ureter smooth muscle development (GO:0072191)	4	0	.09	-	 < 0.01	9.11E-01
ureter urothelium development (GO:0072190)	3	0	.07	-	 < 0.01	9.32E-01
receptor guanylyl cyclase signaling pathway (GO:0007168)	12	0	.28	-	 < 0.01	7.56E-01
establishment of tissue polarity (GO:0007164)	29	0	.68	-	 < 0.01	5.08E-01
calcium-independent cell-matrix adhesion (GO:0007161)	3	0	.07	-	 < 0.01	9.32E-01
ureter development (GO:0072189)	19	0	.44	-	 < 0.01	6.42E-01
metanephric cap morphogenesis (GO:0072186)	1	0	.02	-	 < 0.01	9.77E-01
metanephric cap development (GO:0072185)	1	0	.02	-	 < 0.01	9.77E-01
renal vesicle progenitor cell differentiation (GO:0072184)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of nephron tubule epithelial cell differentiation (GO:0072183)	1	0	.02	-	 < 0.01	9.77E-01
regulation of nephron tubule epithelial cell differentiation (GO:0072182)	11	0	.26	-	 < 0.01	7.74E-01
mesonephric duct formation (GO:0072181)	2	0	.05	-	 < 0.01	9.54E-01
mesonephric duct morphogenesis (GO:0072180)	4	0	.09	-	 < 0.01	9.11E-01
positive regulation of epithelial cell differentiation involved in kidney development (GO:2000698)	6	0	.14	-	 < 0.01	8.69E-01
negative regulation of epithelial cell differentiation involved in kidney development (GO:2000697)	5	0	.12	-	 < 0.01	8.90E-01
nephric duct formation (GO:0072179)	5	0	.12	-	 < 0.01	8.90E-01
regulation of epithelial cell differentiation involved in kidney development (GO:2000696)	17	0	.40	-	 < 0.01	6.73E-01
nephric duct morphogenesis (GO:0072178)	11	0	.26	-	 < 0.01	7.74E-01
mesonephric duct development (GO:0072177)	6	0	.14	-	 < 0.01	8.69E-01
nephric duct development (GO:0072176)	12	0	.28	-	 < 0.01	7.56E-01
metanephric tubule formation (GO:0072174)	6	0	.14	-	 < 0.01	8.69E-01
negative regulation of cardiac muscle cell myoblast differentiation (GO:2000691)	1	0	.02	-	 < 0.01	9.77E-01
metanephric tubule morphogenesis (GO:0072173)	10	0	.23	-	 < 0.01	7.92E-01
regulation of cardiac muscle cell myoblast differentiation (GO:2000690)	1	0	.02	-	 < 0.01	9.77E-01
mesonephric tubule formation (GO:0072172)	10	0	.23	-	 < 0.01	7.92E-01
protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:0001844)	1	0	.02	-	 < 0.01	9.77E-01
metanephric tubule development (GO:0072170)	18	0	.42	-	 < 0.01	6.57E-01
female meiosis II (GO:0007147)	2	0	.05	-	 < 0.01	9.54E-01
female meiosis I (GO:0007144)	11	0	.26	-	 < 0.01	7.74E-01
male meiosis I (GO:0007141)	22	0	.51	-	 < 0.01	5.99E-01
male meiotic nuclear division (GO:0007140)	47	0	1.10	-	 < 0.01	3.34E-01
specification of posterior mesonephric tubule identity (GO:0072169)	1	0	.02	-	 < 0.01	9.77E-01
specification of anterior mesonephric tubule identity (GO:0072168)	1	0	.02	-	 < 0.01	9.77E-01
specification of mesonephric tubule identity (GO:0072167)	1	0	.02	-	 < 0.01	9.77E-01
posterior mesonephric tubule development (GO:0072166)	2	0	.05	-	 < 0.01	9.54E-01
regulation of cellular response to X-ray (GO:2000683)	1	0	.02	-	 < 0.01	9.77E-01
neural plate morphogenesis (GO:0001839)	7	0	.16	-	 < 0.01	8.49E-01
anterior mesonephric tubule development (GO:0072165)	1	0	.02	-	 < 0.01	9.77E-01
release of cytochrome c from mitochondria (GO:0001836)	20	0	.47	-	 < 0.01	6.27E-01
male somatic sex determination (GO:0019102)	1	0	.02	-	 < 0.01	9.77E-01
metanephric mesenchymal cell differentiation (GO:0072162)	4	0	.09	-	 < 0.01	9.11E-01
female somatic sex determination (GO:0019101)	1	0	.02	-	 < 0.01	9.77E-01
mesenchymal cell differentiation involved in kidney development (GO:0072161)	7	0	.16	-	 < 0.01	8.49E-01
trophectodermal cell proliferation (GO:0001834)	4	0	.09	-	 < 0.01	9.11E-01
male germ-line sex determination (GO:0019100)	2	0	.05	-	 < 0.01	9.54E-01
nephron tubule epithelial cell differentiation (GO:0072160)	2	0	.05	-	 < 0.01	9.54E-01
inner cell mass cell proliferation (GO:0001833)	18	0	.42	-	 < 0.01	6.57E-01
trophectodermal cellular morphogenesis (GO:0001831)	3	0	.07	-	 < 0.01	9.32E-01
cloacal septation (GO:0060197)	2	0	.05	-	 < 0.01	9.54E-01
trophectodermal cell fate commitment (GO:0001830)	2	0	.05	-	 < 0.01	9.54E-01
meiosis II (GO:0007135)	13	0	.30	-	 < 0.01	7.38E-01
negative regulation of lipase activity (GO:0060192)	17	0	.40	-	 < 0.01	6.73E-01
reciprocal meiotic recombination (GO:0007131)	43	0	1.00	-	 < 0.01	3.67E-01
synaptonemal complex assembly (GO:0007130)	21	0	.49	-	 < 0.01	6.13E-01
positive regulation of transcription regulatory region DNA binding (GO:2000679)	25	0	.58	-	 < 0.01	5.58E-01
positive regulation of type B pancreatic cell apoptotic process (GO:2000676)	6	0	.14	-	 < 0.01	8.69E-01
negative regulation of type B pancreatic cell apoptotic process (GO:2000675)	7	0	.16	-	 < 0.01	8.49E-01
regulation of type B pancreatic cell apoptotic process (GO:2000674)	13	0	.30	-	 < 0.01	7.38E-01
distal tubule morphogenesis (GO:0072156)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of motor neuron apoptotic process (GO:2000672)	6	0	.14	-	 < 0.01	8.69E-01
inner cell mass cellular morphogenesis (GO:0001828)	3	0	.07	-	 < 0.01	9.32E-01
regulation of motor neuron apoptotic process (GO:2000671)	8	0	.19	-	 < 0.01	8.30E-01
inner cell mass cell fate commitment (GO:0001827)	3	0	.07	-	 < 0.01	9.32E-01
positive regulation of dendritic cell apoptotic process (GO:2000670)	4	0	.09	-	 < 0.01	9.11E-01
inner cell mass cell differentiation (GO:0001826)	8	0	.19	-	 < 0.01	8.30E-01
homologous chromosome pairing at meiosis (GO:0007129)	45	0	1.05	-	 < 0.01	3.50E-01
meiotic prophase I (GO:0007128)	11	0	.26	-	 < 0.01	7.74E-01
histamine secretion (GO:0001821)	11	0	.26	-	 < 0.01	7.74E-01
meiosis I (GO:0007127)	102	0	2.38	-	 < 0.01	9.21E-02
serotonin secretion (GO:0001820)	7	0	.16	-	 < 0.01	8.49E-01
cell cycle switching (GO:0060184)	3	0	.07	-	 < 0.01	9.32E-01
apelin receptor signaling pathway (GO:0060183)	1	0	.02	-	 < 0.01	9.77E-01
female mating behavior (GO:0060180)	12	0	.28	-	 < 0.01	7.56E-01
glomerular mesangial cell development (GO:0072144)	4	0	.09	-	 < 0.01	9.11E-01
positive regulation of interleukin-1-mediated signaling pathway (GO:2000661)	1	0	.02	-	 < 0.01	9.77E-01
mesangial cell development (GO:0072143)	5	0	.12	-	 < 0.01	8.90E-01
negative regulation of interleukin-1-mediated signaling pathway (GO:2000660)	4	0	.09	-	 < 0.01	9.11E-01
positive regulation of antibody-dependent cellular cytotoxicity (GO:0001815)	1	0	.02	-	 < 0.01	9.77E-01
renal interstitial fibroblast development (GO:0072141)	2	0	.05	-	 < 0.01	9.54E-01
regulation of antibody-dependent cellular cytotoxicity (GO:0001813)	1	0	.02	-	 < 0.01	9.77E-01
male mating behavior (GO:0060179)	8	0	.19	-	 < 0.01	8.30E-01
positive regulation of type I hypersensitivity (GO:0001812)	4	0	.09	-	 < 0.01	9.11E-01
regulation of exocyst localization (GO:0060178)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of type I hypersensitivity (GO:0001811)	1	0	.02	-	 < 0.01	9.77E-01
regulation of angiotensin metabolic process (GO:0060177)	3	0	.07	-	 < 0.01	9.32E-01
regulation of type I hypersensitivity (GO:0001810)	5	0	.12	-	 < 0.01	8.90E-01
endomitotic cell cycle (GO:0007113)	2	0	.05	-	 < 0.01	9.54E-01
male meiosis cytokinesis (GO:0007112)	1	0	.02	-	 < 0.01	9.77E-01
ribonucleoprotein complex disassembly (GO:0032988)	7	0	.16	-	 < 0.01	8.49E-01
regulation of interleukin-1-mediated signaling pathway (GO:2000659)	7	0	.16	-	 < 0.01	8.49E-01
mitochondrial respiratory chain complex I assembly (GO:0032981)	44	0	1.03	-	 < 0.01	3.58E-01
negative regulation of apolipoprotein binding (GO:2000657)	1	0	.02	-	 < 0.01	9.77E-01
glomerular parietal epithelial cell differentiation (GO:0072139)	1	0	.02	-	 < 0.01	9.77E-01
regulation of apolipoprotein binding (GO:2000656)	1	0	.02	-	 < 0.01	9.77E-01
mesenchymal cell proliferation involved in ureteric bud development (GO:0072138)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of cellular response to testosterone stimulus (GO:2000655)	1	0	.02	-	 < 0.01	9.77E-01
condensed mesenchymal cell proliferation (GO:0072137)	3	0	.07	-	 < 0.01	9.32E-01
regulation of cellular response to testosterone stimulus (GO:2000654)	1	0	.02	-	 < 0.01	9.77E-01
metanephric mesenchymal cell proliferation involved in metanephros development (GO:0072136)	2	0	.05	-	 < 0.01	9.54E-01
regulation of genetic imprinting (GO:2000653)	8	0	.19	-	 < 0.01	8.30E-01
positive regulation of type IV hypersensitivity (GO:0001809)	1	0	.02	-	 < 0.01	9.77E-01
kidney mesenchymal cell proliferation (GO:0072135)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of type IV hypersensitivity (GO:0001808)	2	0	.05	-	 < 0.01	9.54E-01
nephrogenic mesenchyme morphogenesis (GO:0072134)	2	0	.05	-	 < 0.01	9.54E-01
regulation of type IV hypersensitivity (GO:0001807)	4	0	.09	-	 < 0.01	9.11E-01
metanephric mesenchyme morphogenesis (GO:0072133)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of sodium ion transmembrane transporter activity (GO:2000650)	13	0	.30	-	 < 0.01	7.38E-01
type IV hypersensitivity (GO:0001806)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of type III hypersensitivity (GO:0001805)	4	0	.09	-	 < 0.01	9.11E-01
kidney mesenchyme morphogenesis (GO:0072131)	3	0	.07	-	 < 0.01	9.32E-01
renal capsule specification (GO:0072130)	1	0	.02	-	 < 0.01	9.77E-01
regulation of type III hypersensitivity (GO:0001803)	4	0	.09	-	 < 0.01	9.11E-01
negative regulation of adenosine receptor signaling pathway (GO:0060169)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of protein autoubiquitination (GO:1902499)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of adenosine receptor signaling pathway (GO:0060168)	3	0	.07	-	 < 0.01	9.32E-01
regulation of adenosine receptor signaling pathway (GO:0060167)	4	0	.09	-	 < 0.01	9.11E-01
olfactory pit development (GO:0060166)	3	0	.07	-	 < 0.01	9.32E-01
regulation of timing of subpallium neuron differentiation (GO:0060165)	1	0	.02	-	 < 0.01	9.77E-01
regulation of timing of neuron differentiation (GO:0060164)	5	0	.12	-	 < 0.01	8.90E-01
subpallium neuron fate commitment (GO:0060163)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of dopamine receptor signaling pathway (GO:0060161)	5	0	.12	-	 < 0.01	8.90E-01
negative regulation of sperm capacitation (GO:1902491)	1	0	.02	-	 < 0.01	9.77E-01
mitotic centrosome separation (GO:0007100)	5	0	.12	-	 < 0.01	8.90E-01
negative regulation of dopamine receptor signaling pathway (GO:0060160)	4	0	.09	-	 < 0.01	9.11E-01
regulation of sperm capacitation (GO:1902490)	2	0	.05	-	 < 0.01	9.54E-01
protein insertion into mitochondrial inner membrane from matrix (GO:0032979)	3	0	.07	-	 < 0.01	9.32E-01
protein insertion into membrane from inner side (GO:0032978)	4	0	.09	-	 < 0.01	9.11E-01
release of matrix enzymes from mitochondria (GO:0032976)	1	0	.02	-	 < 0.01	9.77E-01
amino acid transmembrane export from vacuole (GO:0032974)	1	0	.02	-	 < 0.01	9.77E-01
amino acid export across plasma membrane (GO:0032973)	1	0	.02	-	 < 0.01	9.77E-01
regulation of muscle filament sliding speed (GO:0032972)	2	0	.05	-	 < 0.01	9.54E-01
regulation of muscle filament sliding (GO:0032971)	4	0	.09	-	 < 0.01	9.11E-01
negative regulation of stem cell proliferation (GO:2000647)	6	0	.14	-	 < 0.01	8.69E-01
renal capsule formation (GO:0072129)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of receptor catabolic process (GO:2000646)	8	0	.19	-	 < 0.01	8.30E-01
renal capsule morphogenesis (GO:0072128)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of receptor catabolic process (GO:2000645)	3	0	.07	-	 < 0.01	9.32E-01
renal capsule development (GO:0072127)	1	0	.02	-	 < 0.01	9.77E-01
regulation of receptor catabolic process (GO:2000644)	12	0	.28	-	 < 0.01	7.56E-01
positive regulation of glomerular mesangial cell proliferation (GO:0072126)	8	0	.19	-	 < 0.01	8.30E-01
positive regulation of early endosome to late endosome transport (GO:2000643)	8	0	.19	-	 < 0.01	8.30E-01
negative regulation of glomerular mesangial cell proliferation (GO:0072125)	4	0	.09	-	 < 0.01	9.11E-01
negative regulation of early endosome to late endosome transport (GO:2000642)	2	0	.05	-	 < 0.01	9.54E-01
regulation of glomerular mesangial cell proliferation (GO:0072124)	12	0	.28	-	 < 0.01	7.56E-01
regulation of early endosome to late endosome transport (GO:2000641)	18	0	.42	-	 < 0.01	6.57E-01
positive regulation of SREBP signaling pathway (GO:2000640)	1	0	.02	-	 < 0.01	9.77E-01
regulation of dopamine receptor signaling pathway (GO:0060159)	11	0	.26	-	 < 0.01	7.74E-01
phospholipase C-activating dopamine receptor signaling pathway (GO:0060158)	8	0	.19	-	 < 0.01	8.30E-01
urinary bladder development (GO:0060157)	5	0	.12	-	 < 0.01	8.90E-01
milk ejection reflex (GO:0060156)	1	0	.02	-	 < 0.01	9.77E-01
platelet dense granule organization (GO:0060155)	5	0	.12	-	 < 0.01	8.90E-01
cytotoxic T cell pyroptotic process (GO:1902483)	1	0	.02	-	 < 0.01	9.77E-01
microtubule-based peroxisome localization (GO:0060152)	2	0	.05	-	 < 0.01	9.54E-01
peroxisome localization (GO:0060151)	2	0	.05	-	 < 0.01	9.54E-01
protein localization to mitotic spindle (GO:1902480)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968)	16	0	.37	-	 < 0.01	6.89E-01
positive regulation of collagen biosynthetic process (GO:0032967)	30	0	.70	-	 < 0.01	4.97E-01
negative regulation of collagen biosynthetic process (GO:0032966)	17	0	.40	-	 < 0.01	6.73E-01
regulation of collagen biosynthetic process (GO:0032965)	47	0	1.10	-	 < 0.01	3.34E-01
collagen biosynthetic process (GO:0032964)	8	0	.19	-	 < 0.01	8.30E-01
negative regulation of SREBP signaling pathway (GO:2000639)	2	0	.05	-	 < 0.01	9.54E-01
regulation of SREBP signaling pathway (GO:2000638)	5	0	.12	-	 < 0.01	8.90E-01
negative regulation of primary miRNA processing (GO:2000635)	4	0	.09	-	 < 0.01	9.11E-01
regulation of primary miRNA processing (GO:2000634)	4	0	.09	-	 < 0.01	9.11E-01
negative regulation of pre-miRNA processing (GO:2000632)	2	0	.05	-	 < 0.01	9.54E-01
pronephros morphogenesis (GO:0072114)	2	0	.05	-	 < 0.01	9.54E-01
regulation of pre-miRNA processing (GO:2000631)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of miRNA metabolic process (GO:2000630)	7	0	.16	-	 < 0.01	8.49E-01
glomerular visceral epithelial cell differentiation (GO:0072112)	14	0	.33	-	 < 0.01	7.21E-01
glomerular mesangial cell proliferation (GO:0072110)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of posttranscriptional gene silencing (GO:0060149)	21	0	.49	-	 < 0.01	6.13E-01
positive regulation of protein localization to synapse (GO:1902474)	9	0	.21	-	 < 0.01	8.11E-01
inositol trisphosphate biosynthetic process (GO:0032959)	4	0	.09	-	 < 0.01	9.11E-01
inositol phosphate biosynthetic process (GO:0032958)	15	0	.35	-	 < 0.01	7.05E-01
inositol trisphosphate metabolic process (GO:0032957)	10	0	.23	-	 < 0.01	7.92E-01
regulation of cytokinetic process (GO:0032954)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of miRNA metabolic process (GO:2000629)	1	0	.02	-	 < 0.01	9.77E-01
regulation of miRNA metabolic process (GO:2000628)	12	0	.28	-	 < 0.01	7.56E-01
positive regulation of miRNA catabolic process (GO:2000627)	3	0	.07	-	 < 0.01	9.32E-01
glomerular mesangium development (GO:0072109)	6	0	.14	-	 < 0.01	8.69E-01
positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis (GO:0072108)	4	0	.09	-	 < 0.01	9.11E-01
regulation of miRNA catabolic process (GO:2000625)	3	0	.07	-	 < 0.01	9.32E-01
positive regulation of ureteric bud formation (GO:0072107)	4	0	.09	-	 < 0.01	9.11E-01
regulation of ureteric bud formation (GO:0072106)	4	0	.09	-	 < 0.01	9.11E-01
negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:2000623)	4	0	.09	-	 < 0.01	9.11E-01
ureteric peristalsis (GO:0072105)	3	0	.07	-	 < 0.01	9.32E-01
regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:2000622)	4	0	.09	-	 < 0.01	9.11E-01
glomerular capillary formation (GO:0072104)	6	0	.14	-	 < 0.01	8.69E-01
glomerulus vasculature morphogenesis (GO:0072103)	6	0	.14	-	 < 0.01	8.69E-01
positive regulation of histone H4-K16 acetylation (GO:2000620)	2	0	.05	-	 < 0.01	9.54E-01
glomerulus morphogenesis (GO:0072102)	11	0	.26	-	 < 0.01	7.74E-01
specification of ureteric bud anterior/posterior symmetry by BMP signaling pathway (GO:0072101)	1	0	.02	-	 < 0.01	9.77E-01
specification of ureteric bud anterior/posterior symmetry (GO:0072100)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of apoptotic process by virus (GO:0060139)	3	0	.07	-	 < 0.01	9.32E-01
positive regulation of histone H3-K27 trimethylation (GO:1902466)	3	0	.07	-	 < 0.01	9.32E-01
regulation of histone H3-K27 trimethylation (GO:1902464)	3	0	.07	-	 < 0.01	9.32E-01
somatotropin secreting cell development (GO:0060133)	2	0	.05	-	 < 0.01	9.54E-01
protein localization to cell leading edge (GO:1902463)	3	0	.07	-	 < 0.01	9.32E-01
positive regulation of mesenchymal stem cell proliferation (GO:1902462)	5	0	.12	-	 < 0.01	8.90E-01
regulation of mesenchymal stem cell proliferation (GO:1902460)	5	0	.12	-	 < 0.01	8.90E-01
positive regulation of mononuclear cell proliferation (GO:0032946)	137	0	3.19	-	 < 0.01	4.05E-02
negative regulation of histone H4-K16 acetylation (GO:2000619)	4	0	.09	-	 < 0.01	9.11E-01
regulation of histone H4-K16 acetylation (GO:2000618)	7	0	.16	-	 < 0.01	8.49E-01
secretion by tissue (GO:0032941)	18	0	.42	-	 < 0.01	6.57E-01
positive regulation of histone H3-K9 acetylation (GO:2000617)	9	0	.21	-	 < 0.01	8.11E-01
negative regulation of histone H3-K9 acetylation (GO:2000616)	1	0	.02	-	 < 0.01	9.77E-01
regulation of histone H3-K9 acetylation (GO:2000615)	12	0	.28	-	 < 0.01	7.56E-01
positive regulation of thyroid-stimulating hormone secretion (GO:2000614)	1	0	.02	-	 < 0.01	9.77E-01
regulation of thyroid-stimulating hormone secretion (GO:2000612)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of thyroid hormone generation (GO:2000611)	4	0	.09	-	 < 0.01	9.11E-01
thyroid-stimulating hormone-secreting cell differentiation (GO:0060129)	4	0	.09	-	 < 0.01	9.11E-01
positive regulation of stem cell population maintenance (GO:1902459)	12	0	.28	-	 < 0.01	7.56E-01
corticotropin hormone secreting cell differentiation (GO:0060128)	3	0	.07	-	 < 0.01	9.32E-01
somatotropin secreting cell differentiation (GO:0060126)	4	0	.09	-	 < 0.01	9.11E-01
negative regulation of stem cell population maintenance (GO:1902455)	6	0	.14	-	 < 0.01	8.69E-01
positive regulation of growth hormone secretion (GO:0060124)	11	0	.26	-	 < 0.01	7.74E-01
bile acid biosynthetic process (GO:0006699)	14	0	.33	-	 < 0.01	7.21E-01
vestibular receptor cell stereocilium organization (GO:0060121)	1	0	.02	-	 < 0.01	9.77E-01
inner ear receptor cell fate commitment (GO:0060120)	5	0	.12	-	 < 0.01	8.90E-01
ergosterol biosynthetic process (GO:0006696)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of translation in response to oxidative stress (GO:0032938)	1	0	.02	-	 < 0.01	9.77E-01
leukotriene metabolic process (GO:0006691)	23	0	.54	-	 < 0.01	5.85E-01
regulation of thyroid hormone generation (GO:2000609)	6	0	.14	-	 < 0.01	8.69E-01
negative regulation of cell proliferation involved in mesonephros development (GO:2000607)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of superoxide anion generation (GO:0032930)	22	0	.51	-	 < 0.01	5.99E-01
regulation of cell proliferation involved in mesonephros development (GO:2000606)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of Arp2/3 complex-mediated actin nucleation (GO:2000601)	11	0	.26	-	 < 0.01	7.74E-01
vestibular receptor cell development (GO:0060118)	3	0	.07	-	 < 0.01	9.32E-01
