




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_bg.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	arabidopsis_bg.txt - REFLIST (14244)	upload_1 (1540)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
base-excision repair (GO:0006284)	21	1	2.27	-	.44	3.38E-01
positive regulation of cytoskeleton organization (GO:0051495)	21	1	2.27	-	.44	3.38E-01
negative regulation of mitotic cell cycle (GO:0045930)	21	1	2.27	-	.44	3.38E-01
heterochromatin assembly (GO:0031507)	21	1	2.27	-	.44	3.38E-01
meiotic chromosome segregation (GO:0045132)	43	2	4.65	-	.43	1.57E-01
lipoprotein metabolic process (GO:0042157)	43	2	4.65	-	.43	1.57E-01
DNA replication (GO:0006260)	87	4	9.41	-	.43	4.23E-02
chromosome segregation (GO:0007059)	66	3	7.14	-	.42	7.45E-02
cellular response to amino acid stimulus (GO:0071230)	22	1	2.38	-	.42	3.13E-01
establishment of plastid localization (GO:0051667)	22	1	2.38	-	.42	3.13E-01
chloroplast relocation (GO:0009902)	22	1	2.38	-	.42	3.13E-01
actin polymerization or depolymerization (GO:0008154)	22	1	2.38	-	.42	3.13E-01
negative regulation of cellular component organization (GO:0051129)	44	2	4.76	-	.42	1.46E-01
double fertilization forming a zygote and endosperm (GO:0009567)	22	1	2.38	-	.42	3.13E-01
fertilization (GO:0009566)	22	1	2.38	-	.42	3.13E-01
defense response to oomycetes (GO:0002229)	68	3	7.35	-	.41	6.47E-02
purine nucleobase transport (GO:0006863)	23	1	2.49	-	.40	2.90E-01
ATP biosynthetic process (GO:0006754)	23	1	2.49	-	.40	2.90E-01
homologous chromosome pairing at meiosis (GO:0007129)	23	1	2.49	-	.40	2.90E-01
ATP synthesis coupled proton transport (GO:0015986)	23	1	2.49	-	.40	2.90E-01
energy coupled proton transport, down electrochemical gradient (GO:0015985)	23	1	2.49	-	.40	2.90E-01
indolalkylamine metabolic process (GO:0006586)	23	1	2.49	-	.40	2.90E-01
tryptophan metabolic process (GO:0006568)	23	1	2.49	-	.40	2.90E-01
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	23	1	2.49	-	.40	2.90E-01
mRNA export from nucleus (GO:0006406)	23	1	2.49	-	.40	2.90E-01
plastid localization (GO:0051644)	23	1	2.49	-	.40	2.90E-01
regulation of DNA-dependent DNA replication (GO:0090329)	23	1	2.49	-	.40	2.90E-01
amino sugar metabolic process (GO:0006040)	23	1	2.49	-	.40	2.90E-01
chloroplast localization (GO:0019750)	23	1	2.49	-	.40	2.90E-01
response to insect (GO:0009625)	23	1	2.49	-	.40	2.90E-01
regulation of DNA-templated transcription, elongation (GO:0032784)	24	1	2.59	-	.39	2.68E-01
organelle disassembly (GO:1903008)	24	1	2.59	-	.39	2.68E-01
cellular modified amino acid biosynthetic process (GO:0042398)	24	1	2.59	-	.39	2.68E-01
regulation of defense response to fungus (GO:1900150)	24	1	2.59	-	.39	2.68E-01
mRNA transport (GO:0051028)	24	1	2.59	-	.39	2.68E-01
xylan biosynthetic process (GO:0045492)	25	1	2.70	-	.37	2.48E-01
one-carbon metabolic process (GO:0006730)	25	1	2.70	-	.37	2.48E-01
establishment of vesicle localization (GO:0051650)	25	1	2.70	-	.37	2.48E-01
vesicle localization (GO:0051648)	25	1	2.70	-	.37	2.48E-01
dehiscence (GO:0009900)	25	1	2.70	-	.37	2.48E-01
positive regulation of hydrolase activity (GO:0051345)	25	1	2.70	-	.37	2.48E-01
auxin biosynthetic process (GO:0009851)	25	1	2.70	-	.37	2.48E-01
lignin metabolic process (GO:0009808)	50	2	5.41	-	.37	9.40E-02
protein homooligomerization (GO:0051260)	25	1	2.70	-	.37	2.48E-01
zinc ion transport (GO:0006829)	26	1	2.81	-	.36	2.29E-01
homologous chromosome segregation (GO:0045143)	26	1	2.81	-	.36	2.29E-01
carbohydrate derivative transport (GO:1901264)	54	2	5.84	-	.34	6.92E-02
positive regulation of protein catabolic process (GO:0045732)	27	1	2.92	-	.34	2.11E-01
cytoplasmic microtubule organization (GO:0031122)	28	1	3.03	-	.33	1.95E-01
tetrahydrofolate metabolic process (GO:0046653)	28	1	3.03	-	.33	1.95E-01
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	57	2	6.16	-	.32	5.48E-02
endoplasmic reticulum unfolded protein response (GO:0030968)	29	1	3.14	-	.32	1.80E-01
histone acetylation (GO:0016573)	29	1	3.14	-	.32	1.80E-01
cytoskeleton-dependent intracellular transport (GO:0030705)	29	1	3.14	-	.32	1.80E-01
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	29	1	3.14	-	.32	1.80E-01
purine ribonucleoside triphosphate metabolic process (GO:0009205)	29	1	3.14	-	.32	1.80E-01
internal protein amino acid acetylation (GO:0006475)	29	1	3.14	-	.32	1.80E-01
peptidyl-lysine acetylation (GO:0018394)	29	1	3.14	-	.32	1.80E-01
internal peptidyl-lysine acetylation (GO:0018393)	29	1	3.14	-	.32	1.80E-01
nuclear chromosome segregation (GO:0098813)	58	2	6.27	-	.32	5.06E-02
purine nucleoside triphosphate biosynthetic process (GO:0009145)	30	1	3.24	-	.31	1.65E-01
production of siRNA involved in RNA interference (GO:0030422)	30	1	3.24	-	.31	1.65E-01
sister chromatid segregation (GO:0000819)	30	1	3.24	-	.31	1.65E-01
cortical cytoskeleton organization (GO:0030865)	31	1	3.35	-	.30	1.52E-01
purine nucleoside triphosphate metabolic process (GO:0009144)	31	1	3.35	-	.30	1.52E-01
ribosomal small subunit assembly (GO:0000028)	32	1	3.46	-	.29	1.40E-01
RNA interference (GO:0016246)	32	1	3.46	-	.29	1.40E-01
protein transmembrane import into intracellular organelle (GO:0044743)	36	1	3.89	-	.26	9.95E-02
chromosome organization involved in meiotic cell cycle (GO:0070192)	37	1	4.00	-	.25	9.13E-02
cellular response to unfolded protein (GO:0034620)	41	1	4.43	-	.23	6.43E-02
response to unfolded protein (GO:0006986)	41	1	4.43	-	.23	6.43E-02
plant-type secondary cell wall biogenesis (GO:0009834)	46	1	4.97	-	.20	4.11E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	114	2	12.33	-	.16	3.83E-04
plasma membrane to endosome transport (GO:0048227)	1	0	.11	-	 < 0.01	8.98E-01
maintenance of meiotic sister chromatid cohesion (GO:0034090)	3	0	.32	-	 < 0.01	7.23E-01
UDP metabolic process (GO:0046048)	3	0	.32	-	 < 0.01	7.23E-01
IMP metabolic process (GO:0046040)	11	0	1.19	-	 < 0.01	3.04E-01
7-methylguanosine cap hypermethylation (GO:0036261)	1	0	.11	-	 < 0.01	8.98E-01
establishment of mitotic sister chromatid cohesion (GO:0034087)	1	0	.11	-	 < 0.01	8.98E-01
RNA capping (GO:0036260)	3	0	.32	-	 < 0.01	7.23E-01
maintenance of sister chromatid cohesion (GO:0034086)	3	0	.32	-	 < 0.01	7.23E-01
establishment of sister chromatid cohesion (GO:0034085)	1	0	.11	-	 < 0.01	8.98E-01
inter-Golgi cisterna vesicle-mediated transport (GO:0048219)	1	0	.11	-	 < 0.01	8.98E-01
GTP metabolic process (GO:0046039)	6	0	.65	-	 < 0.01	5.23E-01
multivesicular body assembly (GO:0036258)	1	0	.11	-	 < 0.01	8.98E-01
multivesicular body organization (GO:0036257)	2	0	.22	-	 < 0.01	8.06E-01
establishment or maintenance of cytoskeleton polarity (GO:0030952)	1	0	.11	-	 < 0.01	8.98E-01
establishment or maintenance of microtubule cytoskeleton polarity (GO:0030951)	1	0	.11	-	 < 0.01	8.98E-01
regulation of vesicle targeting, to, from or within Golgi (GO:0048209)	3	0	.32	-	 < 0.01	7.23E-01
xenobiotic transport (GO:0042908)	3	0	.32	-	 < 0.01	7.23E-01
xanthine transport (GO:0042906)	1	0	.11	-	 < 0.01	8.98E-01
COPI coating of Golgi vesicle (GO:0048205)	3	0	.32	-	 < 0.01	7.23E-01
Golgi transport vesicle coating (GO:0048200)	3	0	.32	-	 < 0.01	7.23E-01
benzoate metabolic process (GO:0018874)	3	0	.32	-	 < 0.01	7.23E-01
1-aminocyclopropane-1-carboxylate metabolic process (GO:0018871)	4	0	.43	-	 < 0.01	6.49E-01
positive regulation of plant-type hypersensitive response (GO:0034052)	7	0	.76	-	 < 0.01	4.69E-01
protein localization to nuclear inner membrane (GO:0036228)	1	0	.11	-	 < 0.01	8.98E-01
cell volume homeostasis (GO:0006884)	3	0	.32	-	 < 0.01	7.23E-01
purine nucleoside bisphosphate catabolic process (GO:0034034)	3	0	.32	-	 < 0.01	7.23E-01
ribonucleoside bisphosphate catabolic process (GO:0034031)	3	0	.32	-	 < 0.01	7.23E-01
chloroplast mRNA modification (GO:1900871)	3	0	.32	-	 < 0.01	7.23E-01
positive regulation of cell differentiation (GO:0045597)	4	0	.43	-	 < 0.01	6.49E-01
negative regulation of cell differentiation (GO:0045596)	9	0	.97	-	 < 0.01	3.78E-01
glycolate transport (GO:1900866)	1	0	.11	-	 < 0.01	8.98E-01
regulation of cell differentiation (GO:0045595)	25	0	2.70	-	 < 0.01	6.69E-02
drug transmembrane transport (GO:0006855)	4	0	.43	-	 < 0.01	6.49E-01
mitochondrial calcium ion transmembrane transport (GO:0006851)	7	0	.76	-	 < 0.01	4.69E-01
mitochondrial pyruvate transmembrane transport (GO:0006850)	4	0	.43	-	 < 0.01	6.49E-01
specification of carpel identity (GO:0010094)	1	0	.11	-	 < 0.01	8.98E-01
RNA localization to chromatin (GO:1990280)	1	0	.11	-	 < 0.01	8.98E-01
acyl carnitine transport (GO:0006844)	1	0	.11	-	 < 0.01	8.98E-01
phloem development (GO:0010088)	8	0	.86	-	 < 0.01	4.21E-01
regulation of floral meristem growth (GO:0010080)	1	0	.11	-	 < 0.01	8.98E-01
negative regulation of DNA binding (GO:0043392)	1	0	.11	-	 < 0.01	8.98E-01
maintenance of inflorescence meristem identity (GO:0010077)	9	0	.97	-	 < 0.01	3.78E-01
maintenance of floral meristem identity (GO:0010076)	9	0	.97	-	 < 0.01	3.78E-01
primary shoot apical meristem specification (GO:0010072)	8	0	.86	-	 < 0.01	4.21E-01
zygote asymmetric cell division (GO:0010070)	3	0	.32	-	 < 0.01	7.23E-01
RNA fragment catabolic process (GO:0000292)	1	0	.11	-	 < 0.01	8.98E-01
deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)	4	0	.43	-	 < 0.01	6.49E-01
positive regulation of DNA binding (GO:0043388)	1	0	.11	-	 < 0.01	8.98E-01
copper ion transport (GO:0006825)	8	0	.86	-	 < 0.01	4.21E-01
cobalt ion transport (GO:0006824)	2	0	.22	-	 < 0.01	8.06E-01
zygote asymmetric cytokinesis in embryo sac (GO:0010069)	3	0	.32	-	 < 0.01	7.23E-01
protoderm histogenesis (GO:0010068)	1	0	.11	-	 < 0.01	8.98E-01
procambium histogenesis (GO:0010067)	8	0	.86	-	 < 0.01	4.21E-01
primary meristem tissue development (GO:0010065)	9	0	.97	-	 < 0.01	3.78E-01
embryonic shoot morphogenesis (GO:0010064)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of trichoblast fate specification (GO:0010063)	1	0	.11	-	 < 0.01	8.98E-01
negative regulation of trichoblast fate specification (GO:0010062)	1	0	.11	-	 < 0.01	8.98E-01
regulation of trichoblast fate specification (GO:0010061)	2	0	.22	-	 < 0.01	8.06E-01
histone glutamine methylation (GO:1990258)	3	0	.32	-	 < 0.01	7.23E-01
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	8	0	.86	-	 < 0.01	4.21E-01
positive regulation of atrichoblast fate specification (GO:0010059)	1	0	.11	-	 < 0.01	8.98E-01
regulation of atrichoblast fate specification (GO:0010058)	1	0	.11	-	 < 0.01	8.98E-01
atrichoblast differentiation (GO:0010055)	1	0	.11	-	 < 0.01	8.98E-01
M phase (GO:0000279)	2	0	.22	-	 < 0.01	8.06E-01
fruit dehiscence (GO:0010047)	9	0	.97	-	 < 0.01	3.78E-01
response to mycotoxin (GO:0010046)	1	0	.11	-	 < 0.01	8.98E-01
response to nickel cation (GO:0010045)	3	0	.32	-	 < 0.01	7.23E-01
response to boron-containing substance (GO:0010036)	5	0	.54	-	 < 0.01	5.82E-01
protein glycosylation in endoplasmic reticulum (GO:0033577)	1	0	.11	-	 < 0.01	8.98E-01
response to acetate (GO:0010034)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of protein ubiquitination (GO:0031398)	3	0	.32	-	 < 0.01	7.23E-01
negative regulation of protein ubiquitination (GO:0031397)	1	0	.11	-	 < 0.01	8.98E-01
regulation of protein ubiquitination (GO:0031396)	6	0	.65	-	 < 0.01	5.23E-01
DNA replication, Okazaki fragment processing (GO:0033567)	1	0	.11	-	 < 0.01	8.98E-01
immune response-activating cell surface receptor signaling pathway (GO:0002429)	1	0	.11	-	 < 0.01	8.98E-01
phytochromobilin biosynthetic process (GO:0010024)	3	0	.32	-	 < 0.01	7.23E-01
gamma-tubulin complex localization (GO:0033566)	1	0	.11	-	 < 0.01	8.98E-01
proanthocyanidin biosynthetic process (GO:0010023)	4	0	.43	-	 < 0.01	6.49E-01
spliceosomal complex assembly (GO:0000245)	5	0	.54	-	 < 0.01	5.82E-01
spliceosomal tri-snRNP complex assembly (GO:0000244)	3	0	.32	-	 < 0.01	7.23E-01
protein unfolding (GO:0043335)	2	0	.22	-	 < 0.01	8.06E-01
response to dsRNA (GO:0043331)	1	0	.11	-	 < 0.01	8.98E-01
response to exogenous dsRNA (GO:0043330)	1	0	.11	-	 < 0.01	8.98E-01
far-red light signaling pathway (GO:0010018)	2	0	.22	-	 < 0.01	8.06E-01
fatty acid beta-oxidation, unsaturated, even number (GO:0033542)	1	0	.11	-	 < 0.01	8.98E-01
glycine betaine biosynthetic process from choline (GO:0019285)	2	0	.22	-	 < 0.01	8.06E-01
lipid droplet disassembly (GO:1905691)	1	0	.11	-	 < 0.01	8.98E-01
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)	1	0	.11	-	 < 0.01	8.98E-01
raffinose metabolic process (GO:0033530)	1	0	.11	-	 < 0.01	8.98E-01
meiotic spindle organization (GO:0000212)	5	0	.54	-	 < 0.01	5.82E-01
UDP-N-acetylgalactosamine metabolic process (GO:0019276)	2	0	.22	-	 < 0.01	8.06E-01
S-methylmethionine cycle (GO:0033528)	3	0	.32	-	 < 0.01	7.23E-01
histone H2B ubiquitination (GO:0033523)	4	0	.43	-	 < 0.01	6.49E-01
glycine biosynthetic process, by transamination of glyoxylate (GO:0019265)	1	0	.11	-	 < 0.01	8.98E-01
glycine biosynthetic process from serine (GO:0019264)	7	0	.76	-	 < 0.01	4.69E-01
histone lysine demethylation (GO:0070076)	5	0	.54	-	 < 0.01	5.82E-01
response to insecticide (GO:0017085)	1	0	.11	-	 < 0.01	8.98E-01
L-lysine catabolic process to acetyl-CoA via saccharopine (GO:0033512)	3	0	.32	-	 < 0.01	7.23E-01
positive regulation of sulfur amino acid metabolic process (GO:0031337)	2	0	.22	-	 < 0.01	8.06E-01
negative regulation of sulfur amino acid metabolic process (GO:0031336)	3	0	.32	-	 < 0.01	7.23E-01
glucosinolate biosynthetic process from homomethionine (GO:0033506)	3	0	.32	-	 < 0.01	7.23E-01
methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione (GO:0019243)	6	0	.65	-	 < 0.01	5.23E-01
citrulline biosynthetic process (GO:0019240)	1	0	.11	-	 < 0.01	8.98E-01
respiratory chain complex III assembly (GO:0017062)	1	0	.11	-	 < 0.01	8.98E-01
response to pheromone (GO:0019236)	2	0	.22	-	 < 0.01	8.06E-01
vesicle targeting, to, from or within Golgi (GO:0048199)	3	0	.32	-	 < 0.01	7.23E-01
negative regulation of DNA methylation (GO:1905642)	1	0	.11	-	 < 0.01	8.98E-01
Golgi vesicle budding (GO:0048194)	4	0	.43	-	 < 0.01	6.49E-01
7-methylguanosine RNA capping (GO:0009452)	2	0	.22	-	 < 0.01	8.06E-01
positive regulation of mitochondrial mRNA catabolic process (GO:1905639)	1	0	.11	-	 < 0.01	8.98E-01
regulation of mitochondrial mRNA catabolic process (GO:1905637)	1	0	.11	-	 < 0.01	8.98E-01
regulation of protein localization to chromatin (GO:1905634)	1	0	.11	-	 < 0.01	8.98E-01
lactate catabolic process (GO:1903457)	1	0	.11	-	 < 0.01	8.98E-01
L-arabinose transmembrane transport (GO:0042882)	1	0	.11	-	 < 0.01	8.98E-01
putrescine biosynthetic process (GO:0009446)	6	0	.65	-	 < 0.01	5.23E-01
putrescine metabolic process (GO:0009445)	6	0	.65	-	 < 0.01	5.23E-01
pyridoxal 5'-phosphate salvage (GO:0009443)	2	0	.22	-	 < 0.01	8.06E-01
lipooligosaccharide biosynthetic process (GO:1901271)	2	0	.22	-	 < 0.01	8.06E-01
cell-cell signaling (GO:0007267)	34	0	3.68	-	 < 0.01	2.52E-02
cyanate catabolic process (GO:0009440)	1	0	.11	-	 < 0.01	8.98E-01
nitric oxide mediated signal transduction (GO:0007263)	2	0	.22	-	 < 0.01	8.06E-01
germ-line stem-cell niche homeostasis (GO:0060250)	1	0	.11	-	 < 0.01	8.98E-01
cyclic purine nucleotide metabolic process (GO:0052652)	1	0	.11	-	 < 0.01	8.98E-01
regulation of steroid metabolic process (GO:0019218)	3	0	.32	-	 < 0.01	7.23E-01
monoacylglycerol catabolic process (GO:0052651)	1	0	.11	-	 < 0.01	8.98E-01
aldonate transmembrane transport (GO:0042873)	6	0	.65	-	 < 0.01	5.23E-01
lipooligosaccharide metabolic process (GO:1901269)	2	0	.22	-	 < 0.01	8.06E-01
cyanate metabolic process (GO:0009439)	1	0	.11	-	 < 0.01	8.98E-01
methylglyoxal metabolic process (GO:0009438)	7	0	.76	-	 < 0.01	4.69E-01
antisense RNA metabolic process (GO:0042868)	5	0	.54	-	 < 0.01	5.82E-01
pyruvate biosynthetic process (GO:0042866)	1	0	.11	-	 < 0.01	8.98E-01
nucleotide-excision repair involved in interstrand cross-link repair (GO:1901255)	1	0	.11	-	 < 0.01	8.98E-01
regulation of mitotic spindle organization (GO:0060236)	1	0	.11	-	 < 0.01	8.98E-01
protein-phytochromobilin linkage (GO:0017012)	1	0	.11	-	 < 0.01	8.98E-01
response to flooding (GO:0009413)	3	0	.32	-	 < 0.01	7.23E-01
negative regulation of protein phosphorylation (GO:0001933)	13	0	1.41	-	 < 0.01	2.45E-01
protein-phycocyanobilin linkage (GO:0017009)	1	0	.11	-	 < 0.01	8.98E-01
flavonoid transport from endoplasmic reticulum to plant-type vacuole (GO:1903415)	1	0	.11	-	 < 0.01	8.98E-01
protein-bilin linkage (GO:0017007)	2	0	.22	-	 < 0.01	8.06E-01
protein-tetrapyrrole linkage (GO:0017006)	7	0	.76	-	 < 0.01	4.69E-01
D-xylose catabolic process (GO:0042843)	1	0	.11	-	 < 0.01	8.98E-01
cytochrome complex assembly (GO:0017004)	14	0	1.51	-	 < 0.01	2.20E-01
protein-heme linkage (GO:0017003)	1	0	.11	-	 < 0.01	8.98E-01
antibiotic catabolic process (GO:0017001)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	1	0	.11	-	 < 0.01	8.98E-01
regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)	3	0	.32	-	 < 0.01	7.23E-01
L-arginine transmembrane transport (GO:1903400)	3	0	.32	-	 < 0.01	7.23E-01
pyridoxal phosphate biosynthetic process (GO:0042823)	7	0	.76	-	 < 0.01	4.69E-01
pyridoxal phosphate metabolic process (GO:0042822)	7	0	.76	-	 < 0.01	4.69E-01
pyridoxal biosynthetic process (GO:0042821)	1	0	.11	-	 < 0.01	8.98E-01
vitamin B6 catabolic process (GO:0042820)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of cytosolic calcium ion concentration (GO:0007204)	1	0	.11	-	 < 0.01	8.98E-01
cortical actin cytoskeleton organization (GO:0030866)	1	0	.11	-	 < 0.01	8.98E-01
vitamin B6 biosynthetic process (GO:0042819)	7	0	.76	-	 < 0.01	4.69E-01
pyridoxal metabolic process (GO:0042817)	2	0	.22	-	 < 0.01	8.06E-01
vitamin B6 metabolic process (GO:0042816)	8	0	.86	-	 < 0.01	4.21E-01
regulation of epithelial cell differentiation (GO:0030856)	4	0	.43	-	 < 0.01	6.49E-01
somatic stem cell division (GO:0048103)	1	0	.11	-	 < 0.01	8.98E-01
protein arginylation (GO:0016598)	2	0	.22	-	 < 0.01	8.06E-01
positive regulation of amyloid precursor protein catabolic process (GO:1902993)	1	0	.11	-	 < 0.01	8.98E-01
regulation of amyloid precursor protein catabolic process (GO:1902991)	1	0	.11	-	 < 0.01	8.98E-01
histone demethylation (GO:0016577)	5	0	.54	-	 < 0.01	5.82E-01
histone ubiquitination (GO:0016574)	5	0	.54	-	 < 0.01	5.82E-01
histone phosphorylation (GO:0016572)	4	0	.43	-	 < 0.01	6.49E-01
polyphosphate biosynthetic process (GO:0006799)	1	0	.11	-	 < 0.01	8.98E-01
histone H3-K9 dimethylation (GO:0036123)	1	0	.11	-	 < 0.01	8.98E-01
polyphosphate metabolic process (GO:0006797)	1	0	.11	-	 < 0.01	8.98E-01
transcriptional activation by promoter-enhancer looping (GO:0071733)	1	0	.11	-	 < 0.01	8.98E-01
cellular response to nitric oxide (GO:0071732)	4	0	.43	-	 < 0.01	6.49E-01
response to nitric oxide (GO:0071731)	5	0	.54	-	 < 0.01	5.82E-01
mitotic DNA replication initiation (GO:1902975)	4	0	.43	-	 < 0.01	6.49E-01
protein import into peroxisome matrix, docking (GO:0016560)	3	0	.32	-	 < 0.01	7.23E-01
heme oxidation (GO:0006788)	3	0	.32	-	 < 0.01	7.23E-01
heme A biosynthetic process (GO:0006784)	1	0	.11	-	 < 0.01	8.98E-01
mitotic DNA replication (GO:1902969)	6	0	.65	-	 < 0.01	5.23E-01
peroxisome fission (GO:0016559)	5	0	.54	-	 < 0.01	5.82E-01
detoxification of arsenic-containing substance (GO:0071722)	1	0	.11	-	 < 0.01	8.98E-01
protein import into peroxisome matrix (GO:0016558)	9	0	.97	-	 < 0.01	3.78E-01
regulation of nucleotide biosynthetic process (GO:0030808)	1	0	.11	-	 < 0.01	8.98E-01
Kdo2-lipid A biosynthetic process (GO:0036104)	1	0	.11	-	 < 0.01	8.98E-01
Kdo2-lipid A metabolic process (GO:0036103)	1	0	.11	-	 < 0.01	8.98E-01
Mo-molybdopterin cofactor biosynthetic process (GO:0006777)	4	0	.43	-	 < 0.01	6.49E-01
fusion of sperm to egg plasma membrane involved in double fertilization forming a zygote and endosperm (GO:0061936)	3	0	.32	-	 < 0.01	7.23E-01
positive regulation of alcohol biosynthetic process (GO:1902932)	3	0	.32	-	 < 0.01	7.23E-01
negative regulation of alcohol biosynthetic process (GO:1902931)	1	0	.11	-	 < 0.01	8.98E-01
gibberellin catabolic process (GO:0045487)	6	0	.65	-	 < 0.01	5.23E-01
regulation of alcohol biosynthetic process (GO:1902930)	7	0	.76	-	 < 0.01	4.69E-01
NADP catabolic process (GO:0006742)	1	0	.11	-	 < 0.01	8.98E-01
NADP biosynthetic process (GO:0006741)	3	0	.32	-	 < 0.01	7.23E-01
stress response to cadmium ion (GO:1990170)	9	0	.97	-	 < 0.01	3.78E-01
response to ether (GO:0045472)	1	0	.11	-	 < 0.01	8.98E-01
response to ethanol (GO:0045471)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of protein polyubiquitination (GO:1902916)	2	0	.22	-	 < 0.01	8.06E-01
stress response to copper ion (GO:1990169)	3	0	.32	-	 < 0.01	7.23E-01
regulation of protein polyubiquitination (GO:1902914)	2	0	.22	-	 < 0.01	8.06E-01
tetrahydrobiopterin biosynthetic process (GO:0006729)	3	0	.32	-	 < 0.01	7.23E-01
inactivation of MAPK activity (GO:0000188)	2	0	.22	-	 < 0.01	8.06E-01
activation of MAPK activity (GO:0000187)	8	0	.86	-	 < 0.01	4.21E-01
activation of MAPKK activity (GO:0000186)	1	0	.11	-	 < 0.01	8.98E-01
rDNA heterochromatin assembly (GO:0000183)	2	0	.22	-	 < 0.01	8.06E-01
response to alkaloid (GO:0043279)	1	0	.11	-	 < 0.01	8.98E-01
negative regulation of ion transport (GO:0043271)	5	0	.54	-	 < 0.01	5.82E-01
oligopeptide transmembrane transport (GO:0035672)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of potassium ion transport (GO:0043268)	3	0	.32	-	 < 0.01	7.23E-01
negative regulation of potassium ion transport (GO:0043267)	1	0	.11	-	 < 0.01	8.98E-01
steroid catabolic process (GO:0006706)	1	0	.11	-	 < 0.01	8.98E-01
UDP-rhamnose metabolic process (GO:0033478)	4	0	.43	-	 < 0.01	6.49E-01
S-methylmethionine metabolic process (GO:0033477)	3	0	.32	-	 < 0.01	7.23E-01
indoleacetic acid conjugate metabolic process (GO:0033473)	1	0	.11	-	 < 0.01	8.98E-01
replication fork processing (GO:0031297)	5	0	.54	-	 < 0.01	5.82E-01
retrograde transport, endosome to plasma membrane (GO:1990126)	1	0	.11	-	 < 0.01	8.98E-01
membrane protein intracellular domain proteolysis (GO:0031293)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of protein-containing complex disassembly (GO:0043243)	5	0	.54	-	 < 0.01	5.82E-01
trans-zeatin biosynthetic process (GO:0033466)	2	0	.22	-	 < 0.01	8.06E-01
ribosome-associated ubiquitin-dependent protein catabolic process (GO:1990116)	1	0	.11	-	 < 0.01	8.98E-01
response to leucine (GO:0043201)	1	0	.11	-	 < 0.01	8.98E-01
FMN biosynthetic process (GO:0009398)	1	0	.11	-	 < 0.01	8.98E-01
folic acid-containing compound biosynthetic process (GO:0009396)	14	0	1.51	-	 < 0.01	2.20E-01
2'-deoxyribonucleotide metabolic process (GO:0009394)	7	0	.76	-	 < 0.01	4.69E-01
trans-zeatin metabolic process (GO:0033400)	2	0	.22	-	 < 0.01	8.06E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	4	0	.43	-	 < 0.01	6.49E-01
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	4	0	.43	-	 < 0.01	6.49E-01
selenium compound metabolic process (GO:0001887)	4	0	.43	-	 < 0.01	6.49E-01
receptor recycling (GO:0001881)	1	0	.11	-	 < 0.01	8.98E-01
UDP-D-galactose metabolic process (GO:0052573)	1	0	.11	-	 < 0.01	8.98E-01
chromatin-mediated maintenance of transcription (GO:0048096)	1	0	.11	-	 < 0.01	8.98E-01
plastid rRNA transcription (GO:0042794)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of cellular protein catabolic process (GO:1903364)	21	0	2.27	-	 < 0.01	1.03E-01
plastid transcription (GO:0042793)	7	0	.76	-	 < 0.01	4.69E-01
positive regulation of camalexin biosynthetic process (GO:1901183)	2	0	.22	-	 < 0.01	8.06E-01
regulation of camalexin biosynthetic process (GO:1901182)	2	0	.22	-	 < 0.01	8.06E-01
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	1	0	.11	-	 < 0.01	8.98E-01
posttranslational protein targeting to membrane, translocation (GO:0031204)	3	0	.32	-	 < 0.01	7.23E-01
L-ornithine transmembrane transport (GO:1903352)	2	0	.22	-	 < 0.01	8.06E-01
lycopene biosynthetic process (GO:1901177)	1	0	.11	-	 < 0.01	8.98E-01
lycopene metabolic process (GO:1901175)	1	0	.11	-	 < 0.01	8.98E-01
enzyme linked receptor protein signaling pathway (GO:0007167)	1	0	.11	-	 < 0.01	8.98E-01
