




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	fly_background.txt (Drosophila melanogaster)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	fly_background.txt - REFLIST (5878)	upload_1 (1025)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of terminal button organization (GO:2000331)	23	3	4.01	-	.75	4.31E-01
positive regulation of neural precursor cell proliferation (GO:2000179)	23	3	4.01	-	.75	4.31E-01
regulation of DNA-templated transcription, initiation (GO:2000142)	23	3	4.01	-	.75	4.31E-01
regulation of hemocyte differentiation (GO:0045610)	23	3	4.01	-	.75	4.31E-01
striated muscle cell development (GO:0055002)	54	7	9.42	-	.74	2.76E-01
regulation of neuron projection development (GO:0010975)	85	11	14.82	-	.74	1.95E-01
blastoderm segmentation (GO:0007350)	170	22	29.64	-	.74	8.71E-02
negative regulation of gene expression (GO:0010629)	426	55	74.29	-	.74	9.54E-03
germarium-derived oocyte differentiation (GO:0030706)	31	4	5.41	-	.74	3.72E-01
sarcomere organization (GO:0045214)	31	4	5.41	-	.74	3.72E-01
spindle localization (GO:0051653)	31	4	5.41	-	.74	3.72E-01
regulation of dendrite morphogenesis (GO:0048814)	31	4	5.41	-	.74	3.72E-01
establishment of spindle localization (GO:0051293)	31	4	5.41	-	.74	3.72E-01
cell fate commitment involved in pattern specification (GO:0060581)	31	4	5.41	-	.74	3.72E-01
protein-containing complex localization (GO:0031503)	62	8	10.81	-	.74	2.48E-01
negative regulation of RNA metabolic process (GO:0051253)	296	38	51.62	-	.74	2.65E-02
regulation of ERBB signaling pathway (GO:1901184)	39	5	6.80	-	.74	3.26E-01
protein autophosphorylation (GO:0046777)	39	5	6.80	-	.74	3.26E-01
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	39	5	6.80	-	.74	3.26E-01
positive regulation of neuromuscular junction development (GO:1904398)	39	5	6.80	-	.74	3.26E-01
regulation of DNA metabolic process (GO:0051052)	39	5	6.80	-	.74	3.26E-01
mitotic cell cycle (GO:0000278)	351	45	61.21	-	.74	1.60E-02
negative regulation of translation (GO:0017148)	47	6	8.20	-	.73	2.89E-01
negative regulation of cellular amide metabolic process (GO:0034249)	55	7	9.59	-	.73	2.58E-01
spermatogenesis (GO:0007283)	197	25	34.35	-	.73	5.71E-02
response to heat (GO:0009408)	71	9	12.38	-	.73	2.09E-01
positive regulation of cellular catabolic process (GO:0031331)	95	12	16.57	-	.72	1.56E-01
male gamete generation (GO:0048232)	238	30	41.50	-	.72	3.58E-02
cellular zinc ion homeostasis (GO:0006882)	8	1	1.40	-	.72	5.93E-01
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	8	1	1.40	-	.72	5.93E-01
polysaccharide biosynthetic process (GO:0000271)	8	1	1.40	-	.72	5.93E-01
peptidoglycan metabolic process (GO:0000270)	8	1	1.40	-	.72	5.93E-01
mitochondrial fission (GO:0000266)	8	1	1.40	-	.72	5.93E-01
regulation of synaptic vesicle recycling (GO:1903421)	8	1	1.40	-	.72	5.93E-01
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	8	1	1.40	-	.72	5.93E-01
regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)	8	1	1.40	-	.72	5.93E-01
female germ-line cyst encapsulation (GO:0048139)	8	1	1.40	-	.72	5.93E-01
positive regulation of potassium ion transport (GO:0043268)	8	1	1.40	-	.72	5.93E-01
regulation of potassium ion transport (GO:0043266)	8	1	1.40	-	.72	5.93E-01
negative regulation of female receptivity, post-mating (GO:0045434)	8	1	1.40	-	.72	5.93E-01
proteasome assembly (GO:0043248)	8	1	1.40	-	.72	5.93E-01
mitochondrial ATP synthesis coupled proton transport (GO:0042776)	8	1	1.40	-	.72	5.93E-01
regulation of syncytium formation by plasma membrane fusion (GO:0060142)	8	1	1.40	-	.72	5.93E-01
male courtship behavior, veined wing extension (GO:0048065)	16	2	2.79	-	.72	4.72E-01
R3/R4 cell differentiation (GO:0048056)	16	2	2.79	-	.72	4.72E-01
hydrogen peroxide catabolic process (GO:0042744)	8	1	1.40	-	.72	5.93E-01
amine metabolic process (GO:0009308)	16	2	2.79	-	.72	4.72E-01
central complex development (GO:0048036)	8	1	1.40	-	.72	5.93E-01
activin receptor signaling pathway (GO:0032924)	8	1	1.40	-	.72	5.93E-01
germarium-derived female germ-line cyst encapsulation (GO:0030708)	8	1	1.40	-	.72	5.93E-01
DNA replication checkpoint (GO:0000076)	16	2	2.79	-	.72	4.72E-01
regulation of SNARE complex assembly (GO:0035542)	8	1	1.40	-	.72	5.93E-01
rRNA 3'-end processing (GO:0031125)	8	1	1.40	-	.72	5.93E-01
peptidoglycan catabolic process (GO:0009253)	8	1	1.40	-	.72	5.93E-01
Bolwig's organ morphogenesis (GO:0001746)	8	1	1.40	-	.72	5.93E-01
cellular biogenic amine metabolic process (GO:0006576)	16	2	2.79	-	.72	4.72E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	32	4	5.58	-	.72	3.45E-01
female meiosis chromosome segregation (GO:0016321)	16	2	2.79	-	.72	4.72E-01
Bolwig's organ development (GO:0055034)	8	1	1.40	-	.72	5.93E-01
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	8	1	1.40	-	.72	5.93E-01
negative regulation of apoptotic signaling pathway (GO:2001234)	8	1	1.40	-	.72	5.93E-01
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	8	1	1.40	-	.72	5.93E-01
mitotic cell cycle phase transition (GO:0044772)	32	4	5.58	-	.72	3.45E-01
purine nucleoside monophosphate biosynthetic process (GO:0009127)	8	1	1.40	-	.72	5.93E-01
cellular response to ionizing radiation (GO:0071479)	16	2	2.79	-	.72	4.72E-01
female genitalia development (GO:0030540)	8	1	1.40	-	.72	5.93E-01
negative regulation of neuron projection development (GO:0010977)	8	1	1.40	-	.72	5.93E-01
protein N-linked glycosylation (GO:0006487)	16	2	2.79	-	.72	4.72E-01
positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	8	1	1.40	-	.72	5.93E-01
attachment of spindle microtubules to kinetochore (GO:0008608)	8	1	1.40	-	.72	5.93E-01
cell-cell fusion (GO:0140253)	32	4	5.58	-	.72	3.45E-01
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	8	1	1.40	-	.72	5.93E-01
RNA phosphodiester bond hydrolysis (GO:0090501)	24	3	4.19	-	.72	3.98E-01
morphogenesis of an epithelial sheet (GO:0002011)	8	1	1.40	-	.72	5.93E-01
lamellipodium organization (GO:0097581)	8	1	1.40	-	.72	5.93E-01
glutamine family amino acid biosynthetic process (GO:0009084)	8	1	1.40	-	.72	5.93E-01
serine family amino acid metabolic process (GO:0009069)	8	1	1.40	-	.72	5.93E-01
aspartate family amino acid metabolic process (GO:0009066)	8	1	1.40	-	.72	5.93E-01
ubiquitin-dependent ERAD pathway (GO:0030433)	16	2	2.79	-	.72	4.72E-01
mRNA 3'-end processing by stem-loop binding and cleavage (GO:0006398)	8	1	1.40	-	.72	5.93E-01
positive regulation of apoptotic process involved in development (GO:1904747)	8	1	1.40	-	.72	5.93E-01
DNA replication-independent nucleosome assembly (GO:0006336)	8	1	1.40	-	.72	5.93E-01
microtubule polymerization (GO:0046785)	16	2	2.79	-	.72	4.72E-01
protein localization to lysosome (GO:0061462)	8	1	1.40	-	.72	5.93E-01
regulation of cell morphogenesis involved in differentiation (GO:0010769)	16	2	2.79	-	.72	4.72E-01
nucleotide-excision repair (GO:0006289)	24	3	4.19	-	.72	3.98E-01
mitotic cytokinetic process (GO:1902410)	8	1	1.40	-	.72	5.93E-01
negative regulation of gene silencing by RNA (GO:0060967)	8	1	1.40	-	.72	5.93E-01
positive regulation of insulin receptor signaling pathway (GO:0046628)	16	2	2.79	-	.72	4.72E-01
response to calcium ion (GO:0051592)	8	1	1.40	-	.72	5.93E-01
positive regulation of protein localization to nucleus (GO:1900182)	8	1	1.40	-	.72	5.93E-01
glycosaminoglycan metabolic process (GO:0030203)	16	2	2.79	-	.72	4.72E-01
regulation of symbiotic process (GO:0043903)	8	1	1.40	-	.72	5.93E-01
positive regulation of photoreceptor cell differentiation (GO:0046534)	8	1	1.40	-	.72	5.93E-01
isoprenoid biosynthetic process (GO:0008299)	8	1	1.40	-	.72	5.93E-01
regulation of stress fiber assembly (GO:0051492)	8	1	1.40	-	.72	5.93E-01
myotube differentiation (GO:0014902)	32	4	5.58	-	.72	3.45E-01
positive regulation of cellular response to insulin stimulus (GO:1900078)	16	2	2.79	-	.72	4.72E-01
regulation of neuromuscular synaptic transmission (GO:1900073)	24	3	4.19	-	.72	3.98E-01
syncytium formation by plasma membrane fusion (GO:0000768)	32	4	5.58	-	.72	3.45E-01
regulation of myoblast fusion (GO:1901739)	8	1	1.40	-	.72	5.93E-01
regulation of transcriptional start site selection at RNA polymerase II promoter (GO:0001178)	8	1	1.40	-	.72	5.93E-01
sensory perception of bitter taste (GO:0050913)	8	1	1.40	-	.72	5.93E-01
lamellipodium assembly (GO:0030032)	8	1	1.40	-	.72	5.93E-01
positive regulation of antibacterial peptide production (GO:0002803)	24	3	4.19	-	.72	3.98E-01
embryonic organ morphogenesis (GO:0048562)	8	1	1.40	-	.72	5.93E-01
glycosyl compound metabolic process (GO:1901657)	24	3	4.19	-	.72	3.98E-01
negative regulation of cellular protein localization (GO:1903828)	8	1	1.40	-	.72	5.93E-01
digestive tract morphogenesis (GO:0048546)	64	8	11.16	-	.72	2.17E-01
alpha-amino acid biosynthetic process (GO:1901607)	24	3	4.19	-	.72	3.98E-01
cellular amine metabolic process (GO:0044106)	16	2	2.79	-	.72	4.72E-01
positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899)	8	1	1.40	-	.72	5.93E-01
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	32	4	5.58	-	.72	3.45E-01
establishment of spindle orientation (GO:0051294)	24	3	4.19	-	.72	3.98E-01
positive regulation of lipid metabolic process (GO:0045834)	16	2	2.79	-	.72	4.72E-01
regulation of viral process (GO:0050792)	8	1	1.40	-	.72	5.93E-01
regulation of presynapse organization (GO:0099174)	24	3	4.19	-	.72	3.98E-01
myoblast fusion (GO:0007520)	32	4	5.58	-	.72	3.45E-01
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	8	1	1.40	-	.72	5.93E-01
negative regulation of salivary gland boundary specification (GO:0045705)	8	1	1.40	-	.72	5.93E-01
regulation of salivary gland boundary specification (GO:0045704)	8	1	1.40	-	.72	5.93E-01
progression of morphogenetic furrow involved in compound eye morphogenesis (GO:0007458)	8	1	1.40	-	.72	5.93E-01
presynapse assembly (GO:0099054)	8	1	1.40	-	.72	5.93E-01
defasciculation of motor neuron axon (GO:0007415)	8	1	1.40	-	.72	5.93E-01
somatic sex determination (GO:0018993)	16	2	2.79	-	.72	4.72E-01
positive regulation of antibacterial peptide biosynthetic process (GO:0006963)	24	3	4.19	-	.72	3.98E-01
syncytium formation (GO:0006949)	32	4	5.58	-	.72	3.45E-01
cellular polysaccharide biosynthetic process (GO:0033692)	8	1	1.40	-	.72	5.93E-01
nerve development (GO:0021675)	8	1	1.40	-	.72	5.93E-01
positive regulation of potassium ion transmembrane transport (GO:1901381)	8	1	1.40	-	.72	5.93E-01
regulation of potassium ion transmembrane transport (GO:1901379)	8	1	1.40	-	.72	5.93E-01
regulation of neuron death (GO:1901214)	40	5	6.98	-	.72	3.03E-01
cell fate specification (GO:0001708)	80	10	13.95	-	.72	1.77E-01
embryonic pattern specification (GO:0009880)	184	23	32.09	-	.72	5.64E-02
positive regulation of cell differentiation (GO:0045597)	105	13	18.31	-	.71	1.25E-01
negative regulation of RNA biosynthetic process (GO:1902679)	283	35	49.35	-	.71	1.79E-02
negative regulation of transcription, DNA-templated (GO:0045892)	283	35	49.35	-	.71	1.79E-02
negative regulation of nucleic acid-templated transcription (GO:1903507)	283	35	49.35	-	.71	1.79E-02
defense response to Gram-negative bacterium (GO:0050829)	81	10	14.12	-	.71	1.66E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	308	38	53.71	-	.71	1.33E-02
chaeta development (GO:0022416)	73	9	12.73	-	.71	1.83E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	334	41	58.24	-	.70	9.28E-03
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	334	41	58.24	-	.70	9.28E-03
mitotic cell cycle process (GO:1903047)	245	30	42.72	-	.70	2.36E-02
genital disc development (GO:0035215)	49	6	8.54	-	.70	2.50E-01
positive regulation of phosphorus metabolic process (GO:0010562)	131	16	22.84	-	.70	8.45E-02
positive regulation of phosphate metabolic process (GO:0045937)	131	16	22.84	-	.70	8.45E-02
positive regulation of synapse assembly (GO:0051965)	41	5	7.15	-	.70	2.81E-01
protein localization to nucleus (GO:0034504)	41	5	7.15	-	.70	2.81E-01
memory (GO:0007613)	107	13	18.66	-	.70	1.10E-01
male meiosis cytokinesis (GO:0007112)	33	4	5.75	-	.70	3.19E-01
chromatin assembly or disassembly (GO:0006333)	33	4	5.75	-	.70	3.19E-01
peptidyl-lysine methylation (GO:0018022)	33	4	5.75	-	.70	3.19E-01
positive regulation of transferase activity (GO:0051347)	66	8	11.51	-	.70	1.88E-01
regulation of antimicrobial peptide biosynthetic process (GO:0002805)	33	4	5.75	-	.70	3.19E-01
segment specification (GO:0007379)	33	4	5.75	-	.70	3.19E-01
negative regulation of cellular biosynthetic process (GO:0031327)	347	42	60.51	-	.69	6.32E-03
negative regulation of biosynthetic process (GO:0009890)	347	42	60.51	-	.69	6.32E-03
cytoskeleton-dependent cytokinesis (GO:0061640)	91	11	15.87	-	.69	1.32E-01
regulation of chromatin organization (GO:1902275)	91	11	15.87	-	.69	1.32E-01
stem cell proliferation (GO:0072089)	58	7	10.11	-	.69	2.09E-01
Malpighian tubule development (GO:0072002)	58	7	10.11	-	.69	2.09E-01
positive regulation of locomotion (GO:0040017)	58	7	10.11	-	.69	2.09E-01
renal tubule development (GO:0061326)	58	7	10.11	-	.69	2.09E-01
positive regulation of kinase activity (GO:0033674)	58	7	10.11	-	.69	2.09E-01
pole plasm oskar mRNA localization (GO:0045451)	25	3	4.36	-	.69	3.66E-01
positive regulation of stem cell proliferation (GO:2000648)	25	3	4.36	-	.69	3.66E-01
axon choice point recognition (GO:0016198)	25	3	4.36	-	.69	3.66E-01
establishment of mitotic spindle localization (GO:0040001)	25	3	4.36	-	.69	3.66E-01
positive regulation of filopodium assembly (GO:0051491)	25	3	4.36	-	.69	3.66E-01
antimicrobial humoral response (GO:0019730)	25	3	4.36	-	.69	3.66E-01
short-term memory (GO:0007614)	25	3	4.36	-	.69	3.66E-01
central nervous system development (GO:0007417)	251	30	43.77	-	.69	1.62E-02
positive regulation of cell junction assembly (GO:1901890)	42	5	7.32	-	.68	2.60E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	269	32	46.91	-	.68	1.22E-02
extracellular structure organization (GO:0043062)	59	7	10.29	-	.68	1.94E-01
actomyosin structure organization (GO:0031032)	76	9	13.25	-	.68	1.48E-01
DNA packaging (GO:0006323)	76	9	13.25	-	.68	1.48E-01
heart development (GO:0007507)	93	11	16.22	-	.68	1.15E-01
circulatory system development (GO:0072359)	93	11	16.22	-	.68	1.15E-01
cell cycle process (GO:0022402)	441	52	76.90	-	.68	1.19E-03
cell cycle (GO:0007049)	526	62	91.72	-	.68	3.89E-04
lipid transport (GO:0006869)	34	4	5.93	-	.67	2.94E-01
cystoblast division (GO:0007282)	17	2	2.96	-	.67	4.31E-01
oocyte fate determination (GO:0030716)	34	4	5.93	-	.67	2.94E-01
negative regulation of cell cycle G2/M phase transition (GO:1902750)	17	2	2.96	-	.67	4.31E-01
regulation of lamellipodium organization (GO:1902743)	17	2	2.96	-	.67	4.31E-01
cell cycle phase transition (GO:0044770)	34	4	5.93	-	.67	2.94E-01
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	17	2	2.96	-	.67	4.31E-01
positive regulation of macroautophagy (GO:0016239)	17	2	2.96	-	.67	4.31E-01
thermosensory behavior (GO:0040040)	17	2	2.96	-	.67	4.31E-01
peptidyl-tyrosine phosphorylation (GO:0018108)	17	2	2.96	-	.67	4.31E-01
regulation of lamellipodium assembly (GO:0010591)	17	2	2.96	-	.67	4.31E-01
regulation of filopodium assembly (GO:0051489)	34	4	5.93	-	.67	2.94E-01
dorsal/ventral axis specification (GO:0009950)	68	8	11.86	-	.67	1.63E-01
protein refolding (GO:0042026)	17	2	2.96	-	.67	4.31E-01
neuron recognition (GO:0008038)	102	12	17.79	-	.67	9.78E-02
positive regulation of gene expression, epigenetic (GO:0045815)	17	2	2.96	-	.67	4.31E-01
spindle assembly (GO:0051225)	51	6	8.89	-	.67	2.15E-01
tracheal outgrowth, open tracheal system (GO:0007426)	17	2	2.96	-	.67	4.31E-01
histone modification (GO:0016570)	145	17	25.28	-	.67	5.22E-02
covalent chromatin modification (GO:0016569)	145	17	25.28	-	.67	5.22E-02
sperm individualization (GO:0007291)	43	5	7.50	-	.67	2.41E-01
meiotic cytokinesis (GO:0033206)	43	5	7.50	-	.67	2.41E-01
regulation of cell adhesion (GO:0030155)	43	5	7.50	-	.67	2.41E-01
axis specification (GO:0009798)	164	19	28.60	-	.66	3.62E-02
positive regulation of protein phosphorylation (GO:0001934)	104	12	18.14	-	.66	8.49E-02
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	26	3	4.53	-	.66	3.36E-01
mRNA export from nucleus (GO:0006406)	26	3	4.53	-	.66	3.36E-01
secondary metabolite biosynthetic process (GO:0044550)	26	3	4.53	-	.66	3.36E-01
positive regulation of cell migration (GO:0030335)	52	6	9.07	-	.66	1.99E-01
protein polymerization (GO:0051258)	26	3	4.53	-	.66	3.36E-01
regulation of lipid localization (GO:1905952)	26	3	4.53	-	.66	3.36E-01
actin cytoskeleton reorganization (GO:0031532)	26	3	4.53	-	.66	3.36E-01
ovarian follicle cell migration (GO:0007297)	105	12	18.31	-	.66	7.90E-02
segmentation (GO:0035282)	210	24	36.62	-	.66	1.62E-02
olfactory learning (GO:0008355)	35	4	6.10	-	.66	2.71E-01
cell recognition (GO:0008037)	105	12	18.31	-	.66	7.90E-02
ribonucleoprotein complex assembly (GO:0022618)	79	9	13.78	-	.65	1.19E-01
establishment or maintenance of cytoskeleton polarity (GO:0030952)	44	5	7.67	-	.65	2.22E-01
regulation of gene expression, epigenetic (GO:0040029)	88	10	15.35	-	.65	1.01E-01
extracellular matrix organization (GO:0030198)	44	5	7.67	-	.65	2.22E-01
embryonic hindgut morphogenesis (GO:0048619)	44	5	7.67	-	.65	2.22E-01
female meiotic nuclear division (GO:0007143)	53	6	9.24	-	.65	1.84E-01
positive regulation of phosphorylation (GO:0042327)	124	14	21.62	-	.65	5.39E-02
small GTPase mediated signal transduction (GO:0007264)	80	9	13.95	-	.65	1.10E-01
germarium-derived oocyte fate determination (GO:0007294)	27	3	4.71	-	.64	3.08E-01
Ras protein signal transduction (GO:0007265)	63	7	10.99	-	.64	1.43E-01
regulation of endopeptidase activity (GO:0052548)	54	6	9.42	-	.64	1.70E-01
regulation of embryonic cell shape (GO:0016476)	27	3	4.71	-	.64	3.08E-01
regulation of DNA-templated transcription, elongation (GO:0032784)	27	3	4.71	-	.64	3.08E-01
RNA interference (GO:0016246)	27	3	4.71	-	.64	3.08E-01
Rab protein signal transduction (GO:0032482)	27	3	4.71	-	.64	3.08E-01
molting cycle process (GO:0022404)	27	3	4.71	-	.64	3.08E-01
positive regulation of antimicrobial peptide biosynthetic process (GO:0002807)	27	3	4.71	-	.64	3.08E-01
lymph gland development (GO:0048542)	54	6	9.42	-	.64	1.70E-01
positive regulation of cell motility (GO:2000147)	54	6	9.42	-	.64	1.70E-01
sex determination (GO:0007530)	27	3	4.71	-	.64	3.08E-01
photoreceptor cell axon guidance (GO:0072499)	27	3	4.71	-	.64	3.08E-01
AMP metabolic process (GO:0046033)	9	1	1.57	-	.64	5.35E-01
regulation of feeding behavior (GO:0060259)	18	2	3.14	-	.64	3.92E-01
Rho protein signal transduction (GO:0007266)	18	2	3.14	-	.64	3.92E-01
delamination (GO:0060232)	9	1	1.57	-	.64	5.35E-01
response to water (GO:0009415)	9	1	1.57	-	.64	5.35E-01
response to cold (GO:0009409)	9	1	1.57	-	.64	5.35E-01
ommochrome biosynthetic process (GO:0006727)	18	2	3.14	-	.64	3.92E-01
epithelial tube formation (GO:0072175)	9	1	1.57	-	.64	5.35E-01
response to amino acid (GO:0043200)	9	1	1.57	-	.64	5.35E-01
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	18	2	3.14	-	.64	3.92E-01
non-motile cilium assembly (GO:1905515)	18	2	3.14	-	.64	3.92E-01
mating behavior, sex discrimination (GO:0048047)	9	1	1.57	-	.64	5.35E-01
negative regulation of mRNA metabolic process (GO:1903312)	9	1	1.57	-	.64	5.35E-01
very long-chain fatty acid metabolic process (GO:0000038)	9	1	1.57	-	.64	5.35E-01
cell activation (GO:0001775)	9	1	1.57	-	.64	5.35E-01
tyrosine metabolic process (GO:0006570)	9	1	1.57	-	.64	5.35E-01
positive regulation of protein kinase B signaling (GO:0051897)	9	1	1.57	-	.64	5.35E-01
regulation of translational initiation (GO:0006446)	9	1	1.57	-	.64	5.35E-01
translational elongation (GO:0006414)	9	1	1.57	-	.64	5.35E-01
translational initiation (GO:0006413)	9	1	1.57	-	.64	5.35E-01
negative regulation of dephosphorylation (GO:0035305)	9	1	1.57	-	.64	5.35E-01
cellular response to ethanol (GO:0071361)	9	1	1.57	-	.64	5.35E-01
regulation of cell-substrate adhesion (GO:0010810)	9	1	1.57	-	.64	5.35E-01
postreplication repair (GO:0006301)	9	1	1.57	-	.64	5.35E-01
sensory organ precursor cell division (GO:0045035)	9	1	1.57	-	.64	5.35E-01
ocellus pigmentation (GO:0033060)	18	2	3.14	-	.64	3.92E-01
DNA replication-independent nucleosome organization (GO:0034724)	9	1	1.57	-	.64	5.35E-01
peptidyl-tyrosine modification (GO:0018212)	18	2	3.14	-	.64	3.92E-01
epithelial cell type specification, open tracheal system (GO:0035153)	9	1	1.57	-	.64	5.35E-01
positive regulation of mitotic sister chromatid separation (GO:1901970)	9	1	1.57	-	.64	5.35E-01
maintenance of synapse structure (GO:0099558)	9	1	1.57	-	.64	5.35E-01
response to cadmium ion (GO:0046686)	9	1	1.57	-	.64	5.35E-01
regulation of compound eye retinal cell programmed cell death (GO:0046669)	18	2	3.14	-	.64	3.92E-01
regulation of retinal cell programmed cell death (GO:0046668)	18	2	3.14	-	.64	3.92E-01
histone mRNA metabolic process (GO:0008334)	9	1	1.57	-	.64	5.35E-01
polytene chromosome puffing (GO:0035079)	9	1	1.57	-	.64	5.35E-01
maintenance of presynaptic active zone structure (GO:0048790)	9	1	1.57	-	.64	5.35E-01
centromere complex assembly (GO:0034508)	9	1	1.57	-	.64	5.35E-01
glycosaminoglycan catabolic process (GO:0006027)	9	1	1.57	-	.64	5.35E-01
detection of mechanical stimulus involved in sensory perception (GO:0050974)	9	1	1.57	-	.64	5.35E-01
neuron fate determination (GO:0048664)	9	1	1.57	-	.64	5.35E-01
apical constriction involved in gastrulation (GO:0003384)	9	1	1.57	-	.64	5.35E-01
epithelial cell morphogenesis involved in gastrulation (GO:0003381)	9	1	1.57	-	.64	5.35E-01
neuronal stem cell population maintenance (GO:0097150)	9	1	1.57	-	.64	5.35E-01
detection of stimulus involved in sensory perception (GO:0050906)	90	10	15.69	-	.64	8.68E-02
negative regulation of feeding behavior (GO:2000252)	9	1	1.57	-	.64	5.35E-01
response to acid chemical (GO:0001101)	18	2	3.14	-	.64	3.92E-01
regulation of protein localization to cell periphery (GO:1904375)	9	1	1.57	-	.64	5.35E-01
positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101)	9	1	1.57	-	.64	5.35E-01
glycosyl compound catabolic process (GO:1901658)	9	1	1.57	-	.64	5.35E-01
ERAD pathway (GO:0036503)	18	2	3.14	-	.64	3.92E-01
regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045898)	9	1	1.57	-	.64	5.35E-01
ocellus pigment biosynthetic process (GO:0008055)	18	2	3.14	-	.64	3.92E-01
striated muscle tissue development (GO:0014706)	9	1	1.57	-	.64	5.35E-01
positive regulation of mitotic metaphase/anaphase transition (GO:0045842)	9	1	1.57	-	.64	5.35E-01
motor neuron axon guidance (GO:0008045)	72	8	12.56	-	.64	1.20E-01
clathrin-dependent endocytosis (GO:0072583)	18	2	3.14	-	.64	3.92E-01
primary sex determination, soma (GO:0007539)	9	1	1.57	-	.64	5.35E-01
negative regulation of neuron apoptotic process (GO:0043524)	18	2	3.14	-	.64	3.92E-01
positive regulation of chromosome separation (GO:1905820)	9	1	1.57	-	.64	5.35E-01
foregut morphogenesis (GO:0007440)	9	1	1.57	-	.64	5.35E-01
ocellus pigment metabolic process (GO:0046158)	18	2	3.14	-	.64	3.92E-01
ommochrome metabolic process (GO:0046152)	18	2	3.14	-	.64	3.92E-01
chromosome organization (GO:0051276)	443	49	77.25	-	.63	2.50E-04
cell population proliferation (GO:0008283)	109	12	19.01	-	.63	5.87E-02
border follicle cell migration (GO:0007298)	91	10	15.87	-	.63	8.04E-02
ribonucleoprotein complex subunit organization (GO:0071826)	82	9	14.30	-	.63	9.44E-02
photoreceptor cell fate commitment (GO:0046552)	73	8	12.73	-	.63	1.11E-01
positive regulation of chromatin organization (GO:1905269)	46	5	8.02	-	.62	1.88E-01
intracellular mRNA localization involved in pattern specification process (GO:0060810)	46	5	8.02	-	.62	1.88E-01
meiotic spindle organization (GO:0000212)	37	4	6.45	-	.62	2.28E-01
regulation of lipid metabolic process (GO:0019216)	37	4	6.45	-	.62	2.28E-01
protein glycosylation (GO:0006486)	37	4	6.45	-	.62	2.28E-01
macromolecule glycosylation (GO:0043413)	37	4	6.45	-	.62	2.28E-01
nuclear division (GO:0000280)	223	24	38.89	-	.62	6.36E-03
organelle fission (GO:0048285)	233	25	40.63	-	.62	5.11E-03
regulation of protein modification by small protein conjugation or removal (GO:1903320)	28	3	4.88	-	.61	2.81E-01
maintenance of protein location (GO:0045185)	28	3	4.88	-	.61	2.81E-01
muscle cell cellular homeostasis (GO:0046716)	28	3	4.88	-	.61	2.81E-01
regulation of protein secretion (GO:0050708)	28	3	4.88	-	.61	2.81E-01
positive regulation of protein modification process (GO:0031401)	140	15	24.41	-	.61	2.74E-02
adult locomotory behavior (GO:0008344)	75	8	13.08	-	.61	9.48E-02
R7 cell differentiation (GO:0045466)	47	5	8.20	-	.61	1.73E-01
anterior/posterior axis specification, embryo (GO:0008595)	94	10	16.39	-	.61	6.35E-02
chromosome condensation (GO:0030261)	47	5	8.20	-	.61	1.73E-01
tripartite regional subdivision (GO:0007351)	94	10	16.39	-	.61	6.35E-02
eye photoreceptor cell fate commitment (GO:0042706)	66	7	11.51	-	.61	1.12E-01
renal system development (GO:0072001)	66	7	11.51	-	.61	1.12E-01
compound eye photoreceptor fate commitment (GO:0001752)	66	7	11.51	-	.61	1.12E-01
urogenital system development (GO:0001655)	66	7	11.51	-	.61	1.12E-01
eggshell chorion gene amplification (GO:0007307)	19	2	3.31	-	.60	3.56E-01
positive regulation of imaginal disc growth (GO:0045572)	19	2	3.31	-	.60	3.56E-01
glycosylation (GO:0070085)	38	4	6.63	-	.60	2.09E-01
pole cell formation (GO:0007279)	19	2	3.31	-	.60	3.56E-01
