




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	neurospora_background.txt - REFLIST (9213)	upload_1 (169)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
internal protein amino acid acetylation (GO:0006475)	19	0	.35	-	 < 0.01	7.05E-01
energy reserve metabolic process (GO:0006112)	5	0	.09	-	 < 0.01	9.12E-01
N-terminal protein amino acid acetylation (GO:0006474)	5	0	.09	-	 < 0.01	9.12E-01
protein acetylation (GO:0006473)	25	0	.46	-	 < 0.01	6.32E-01
protein dephosphorylation (GO:0006470)	18	0	.33	-	 < 0.01	7.19E-01
basic amino acid transmembrane transport (GO:1990822)	2	0	.04	-	 < 0.01	9.64E-01
sphingolipid catabolic process (GO:0030149)	4	0	.07	-	 < 0.01	9.29E-01
carbohydrate transport (GO:0008643)	31	0	.57	-	 < 0.01	5.66E-01
regulation of mRNA splicing, via spliceosome (GO:0048024)	11	0	.20	-	 < 0.01	8.17E-01
negative regulation of protein kinase activity (GO:0006469)	3	0	.06	-	 < 0.01	9.46E-01
protein phosphorylation (GO:0006468)	90	0	1.65	-	 < 0.01	1.90E-01
response to hormone (GO:0009725)	1	0	.02	-	 < 0.01	9.82E-01
signal peptide processing (GO:0006465)	5	0	.09	-	 < 0.01	9.12E-01
sister chromatid segregation (GO:0000819)	39	0	.72	-	 < 0.01	4.88E-01
apoptotic mitochondrial changes (GO:0008637)	1	0	.02	-	 < 0.01	9.82E-01
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of chromosome separation (GO:1905819)	6	0	.11	-	 < 0.01	8.96E-01
regulation of chromosome separation (GO:1905818)	12	0	.22	-	 < 0.01	8.02E-01
inositol lipid-mediated signaling (GO:0048017)	7	0	.13	-	 < 0.01	8.79E-01
inositol phosphate-mediated signaling (GO:0048016)	1	0	.02	-	 < 0.01	9.82E-01
phosphatidylinositol-mediated signaling (GO:0048015)	7	0	.13	-	 < 0.01	8.79E-01
'de novo' protein folding (GO:0006458)	9	0	.17	-	 < 0.01	8.48E-01
protein folding (GO:0006457)	45	0	.83	-	 < 0.01	4.37E-01
multi-organism process (GO:0051704)	14	0	.26	-	 < 0.01	7.73E-01
intra-S DNA damage checkpoint (GO:0031573)	3	0	.06	-	 < 0.01	9.46E-01
G2 DNA damage checkpoint (GO:0031572)	3	0	.06	-	 < 0.01	9.46E-01
DNA integrity checkpoint (GO:0031570)	21	0	.39	-	 < 0.01	6.80E-01
tRNA methylation (GO:0030488)	13	0	.24	-	 < 0.01	7.88E-01
regulation of translational initiation (GO:0006446)	5	0	.09	-	 < 0.01	9.12E-01
nucleotide-sugar transmembrane transport (GO:0015780)	2	0	.04	-	 < 0.01	9.64E-01
tRNA wobble uridine modification (GO:0002098)	7	0	.13	-	 < 0.01	8.79E-01
negative regulation of intracellular signal transduction (GO:1902532)	6	0	.11	-	 < 0.01	8.96E-01
attachment of spindle microtubules to kinetochore (GO:0008608)	8	0	.15	-	 < 0.01	8.63E-01
organelle transport along microtubule (GO:0072384)	9	0	.17	-	 < 0.01	8.48E-01
regulation of endocytosis (GO:0030100)	3	0	.06	-	 < 0.01	9.46E-01
cell part morphogenesis (GO:0032990)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of proteasomal protein catabolic process (GO:1901799)	1	0	.02	-	 < 0.01	9.82E-01
heme biosynthetic process (GO:0006783)	8	0	.15	-	 < 0.01	8.63E-01
alcohol biosynthetic process (GO:0046165)	20	0	.37	-	 < 0.01	6.93E-01
cellular component morphogenesis (GO:0032989)	2	0	.04	-	 < 0.01	9.64E-01
generation of neurons (GO:0048699)	1	0	.02	-	 < 0.01	9.82E-01
protein-containing complex disassembly (GO:0032984)	21	0	.39	-	 < 0.01	6.80E-01
mitochondrial respiratory chain complex I assembly (GO:0032981)	5	0	.09	-	 < 0.01	9.12E-01
porphyrin-containing compound metabolic process (GO:0006778)	9	0	.17	-	 < 0.01	8.48E-01
translational termination (GO:0006415)	5	0	.09	-	 < 0.01	9.12E-01
translational initiation (GO:0006413)	22	0	.40	-	 < 0.01	6.68E-01
chromosome organization involved in meiotic cell cycle (GO:0070192)	6	0	.11	-	 < 0.01	8.96E-01
actin cytoskeleton reorganization (GO:0031532)	1	0	.02	-	 < 0.01	9.82E-01
organophosphate ester transport (GO:0015748)	15	0	.28	-	 < 0.01	7.59E-01
citrate transport (GO:0015746)	2	0	.04	-	 < 0.01	9.64E-01
regulation of actin filament-based process (GO:0032970)	21	0	.39	-	 < 0.01	6.80E-01
mRNA export from nucleus (GO:0006406)	20	0	.37	-	 < 0.01	6.93E-01
C4-dicarboxylate transport (GO:0015740)	3	0	.06	-	 < 0.01	9.46E-01
mRNA catabolic process (GO:0006402)	43	0	.79	-	 < 0.01	4.54E-01
RNA catabolic process (GO:0006401)	58	0	1.06	-	 < 0.01	3.44E-01
folic acid-containing compound metabolic process (GO:0006760)	13	0	.24	-	 < 0.01	7.88E-01
pigment biosynthetic process (GO:0046148)	15	0	.28	-	 < 0.01	7.59E-01
ubiquitin-dependent ERAD pathway (GO:0030433)	23	0	.42	-	 < 0.01	6.55E-01
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968)	6	0	.11	-	 < 0.01	8.96E-01
mitotic spindle assembly (GO:0090307)	2	0	.04	-	 < 0.01	9.64E-01
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	39	0	.72	-	 < 0.01	4.88E-01
positive regulation of response to DNA damage stimulus (GO:2001022)	2	0	.04	-	 < 0.01	9.64E-01
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	16	0	.29	-	 < 0.01	7.45E-01
mitochondrion distribution (GO:0048311)	6	0	.11	-	 < 0.01	8.96E-01
regulation of response to DNA damage stimulus (GO:2001020)	7	0	.13	-	 < 0.01	8.79E-01
ATP biosynthetic process (GO:0006754)	27	0	.50	-	 < 0.01	6.09E-01
regulation of membrane lipid distribution (GO:0097035)	7	0	.13	-	 < 0.01	8.79E-01
regulation of actin cytoskeleton organization (GO:0032956)	21	0	.39	-	 < 0.01	6.80E-01
protein targeting to ER (GO:0045047)	15	0	.28	-	 < 0.01	7.59E-01
neuron development (GO:0048666)	1	0	.02	-	 < 0.01	9.82E-01
glutathione metabolic process (GO:0006749)	11	0	.20	-	 < 0.01	8.17E-01
heterochromatin assembly (GO:0031507)	11	0	.20	-	 < 0.01	8.17E-01
ubiquinone biosynthetic process (GO:0006744)	6	0	.11	-	 < 0.01	8.96E-01
phosphatidylinositol metabolic process (GO:0046488)	34	0	.62	-	 < 0.01	5.35E-01
monocarboxylic acid transport (GO:0015718)	3	0	.06	-	 < 0.01	9.46E-01
protein insertion into mitochondrial inner membrane (GO:0045039)	4	0	.07	-	 < 0.01	9.29E-01
secretion by cell (GO:0032940)	25	0	.46	-	 < 0.01	6.32E-01
monocarboxylic acid catabolic process (GO:0072329)	25	0	.46	-	 < 0.01	6.32E-01
glycerophospholipid biosynthetic process (GO:0046474)	35	0	.64	-	 < 0.01	5.26E-01
phosphatidylglycerol metabolic process (GO:0046471)	1	0	.02	-	 < 0.01	9.82E-01
phosphatidylcholine metabolic process (GO:0046470)	2	0	.04	-	 < 0.01	9.64E-01
plasma membrane fusion (GO:0045026)	12	0	.22	-	 < 0.01	8.02E-01
anatomical structure formation involved in morphogenesis (GO:0048646)	1	0	.02	-	 < 0.01	9.82E-01
acylglycerol catabolic process (GO:0046464)	1	0	.02	-	 < 0.01	9.82E-01
neutral lipid catabolic process (GO:0046461)	2	0	.04	-	 < 0.01	9.64E-01
glycerolipid biosynthetic process (GO:0045017)	38	0	.70	-	 < 0.01	4.97E-01
positive regulation of DNA-binding transcription factor activity (GO:0051091)	1	0	.02	-	 < 0.01	9.82E-01
regulation of DNA-binding transcription factor activity (GO:0051090)	1	0	.02	-	 < 0.01	9.82E-01
establishment of protein localization to vacuole (GO:0072666)	19	0	.35	-	 < 0.01	7.05E-01
autophagosome maturation (GO:0097352)	1	0	.02	-	 < 0.01	9.82E-01
protein localization to vacuole (GO:0072665)	20	0	.37	-	 < 0.01	6.93E-01
establishment of protein localization to peroxisome (GO:0072663)	13	0	.24	-	 < 0.01	7.88E-01
protein localization to peroxisome (GO:0072662)	13	0	.24	-	 < 0.01	7.88E-01
TORC1 signaling (GO:0038202)	5	0	.09	-	 < 0.01	9.12E-01
cellular response to misfolded protein (GO:0071218)	8	0	.15	-	 < 0.01	8.63E-01
endomembrane system organization (GO:0010256)	30	0	.55	-	 < 0.01	5.76E-01
cellular response to biotic stimulus (GO:0071216)	1	0	.02	-	 < 0.01	9.82E-01
cellular response to abiotic stimulus (GO:0071214)	9	0	.17	-	 < 0.01	8.48E-01
positive regulation of cell cycle G1/S phase transition (GO:1902808)	1	0	.02	-	 < 0.01	9.82E-01
regulation of cell cycle G1/S phase transition (GO:1902806)	1	0	.02	-	 < 0.01	9.82E-01
steroid catabolic process (GO:0006706)	1	0	.02	-	 < 0.01	9.82E-01
activation of MAPK activity (GO:0000187)	3	0	.06	-	 < 0.01	9.46E-01
response to oxygen levels (GO:0070482)	2	0	.04	-	 < 0.01	9.64E-01
protein localization to plasma membrane (GO:0072659)	7	0	.13	-	 < 0.01	8.79E-01
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	8	0	.15	-	 < 0.01	8.63E-01
rDNA heterochromatin assembly (GO:0000183)	1	0	.02	-	 < 0.01	9.82E-01
protein localization to membrane (GO:0072657)	47	0	.86	-	 < 0.01	4.21E-01
establishment of protein localization to mitochondrion (GO:0072655)	27	0	.50	-	 < 0.01	6.09E-01
regulation of reproductive process (GO:2000241)	5	0	.09	-	 < 0.01	9.12E-01
glycogen biosynthetic process (GO:0005978)	3	0	.06	-	 < 0.01	9.46E-01
vesicle cytoskeletal trafficking (GO:0099518)	7	0	.13	-	 < 0.01	8.79E-01
glycogen metabolic process (GO:0005977)	5	0	.09	-	 < 0.01	9.12E-01
branched-chain amino acid biosynthetic process (GO:0009082)	10	0	.18	-	 < 0.01	8.32E-01
rRNA base methylation (GO:0070475)	6	0	.11	-	 < 0.01	8.96E-01
regulation of proteasomal protein catabolic process (GO:0061136)	6	0	.11	-	 < 0.01	8.96E-01
vesicle fusion to plasma membrane (GO:0099500)	20	0	.37	-	 < 0.01	6.93E-01
cellular response to amino acid starvation (GO:0034198)	7	0	.13	-	 < 0.01	8.79E-01
aromatic amino acid family catabolic process (GO:0009074)	8	0	.15	-	 < 0.01	8.63E-01
aromatic amino acid family biosynthetic process (GO:0009073)	17	0	.31	-	 < 0.01	7.32E-01
aromatic amino acid family metabolic process (GO:0009072)	25	0	.46	-	 < 0.01	6.32E-01
MAPK cascade (GO:0000165)	4	0	.07	-	 < 0.01	9.29E-01
microtubule polymerization (GO:0046785)	10	0	.18	-	 < 0.01	8.32E-01
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	7	0	.13	-	 < 0.01	8.79E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	4	0	.07	-	 < 0.01	9.29E-01
negative regulation of DNA metabolic process (GO:0051053)	3	0	.06	-	 < 0.01	9.46E-01
cellular amino acid catabolic process (GO:0009063)	35	0	.64	-	 < 0.01	5.26E-01
fatty acid catabolic process (GO:0009062)	13	0	.24	-	 < 0.01	7.88E-01
meiosis I cell cycle phase (GO:0098764)	16	0	.29	-	 < 0.01	7.45E-01
positive regulation of transport (GO:0051050)	4	0	.07	-	 < 0.01	9.29E-01
aerobic respiration (GO:0009060)	28	0	.51	-	 < 0.01	5.98E-01
meiotic cell cycle phase (GO:0098762)	16	0	.29	-	 < 0.01	7.45E-01
cellular respiration (GO:0045333)	35	0	.64	-	 < 0.01	5.26E-01
phospholipid translocation (GO:0045332)	6	0	.11	-	 < 0.01	8.96E-01
intraciliary transport (GO:0042073)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial gene expression (GO:0140053)	16	0	.29	-	 < 0.01	7.45E-01
protein mannosylation (GO:0035268)	3	0	.06	-	 < 0.01	9.46E-01
cytoskeleton-dependent intracellular transport (GO:0030705)	17	0	.31	-	 < 0.01	7.32E-01
protein autophosphorylation (GO:0046777)	8	0	.15	-	 < 0.01	8.63E-01
peptidyl-lysine acetylation (GO:0018394)	19	0	.35	-	 < 0.01	7.05E-01
regulation of transport (GO:0051049)	18	0	.33	-	 < 0.01	7.19E-01
internal peptidyl-lysine acetylation (GO:0018393)	19	0	.35	-	 < 0.01	7.05E-01
response to ionizing radiation (GO:0010212)	4	0	.07	-	 < 0.01	9.29E-01
regulation of secretion (GO:0051046)	3	0	.06	-	 < 0.01	9.46E-01
late endosome to vacuole transport (GO:0045324)	18	0	.33	-	 < 0.01	7.19E-01
peptidyl-lysine trimethylation (GO:0018023)	3	0	.06	-	 < 0.01	9.46E-01
peptidyl-lysine methylation (GO:0018022)	20	0	.37	-	 < 0.01	6.93E-01
regulation of cell cycle process (GO:0010564)	34	0	.62	-	 < 0.01	5.35E-01
negative regulation of phosphorus metabolic process (GO:0010563)	10	0	.18	-	 < 0.01	8.32E-01
positive regulation of phosphorus metabolic process (GO:0010562)	14	0	.26	-	 < 0.01	7.73E-01
establishment of mitotic spindle orientation (GO:0000132)	5	0	.09	-	 < 0.01	9.12E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	95	0	1.74	-	 < 0.01	1.73E-01
mRNA transport (GO:0051028)	20	0	.37	-	 < 0.01	6.93E-01
microtubule bundle formation (GO:0001578)	1	0	.02	-	 < 0.01	9.82E-01
folic acid-containing compound biosynthetic process (GO:0009396)	5	0	.09	-	 < 0.01	9.12E-01
kinetochore organization (GO:0051383)	5	0	.09	-	 < 0.01	9.12E-01
kinetochore assembly (GO:0051382)	4	0	.07	-	 < 0.01	9.29E-01
retrograde transport, endosome to plasma membrane (GO:1990126)	1	0	.02	-	 < 0.01	9.82E-01
macromolecule deacylation (GO:0098732)	8	0	.15	-	 < 0.01	8.63E-01
exocytic process (GO:0140029)	20	0	.37	-	 < 0.01	6.93E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	22	0	.40	-	 < 0.01	6.68E-01
endosomal transport (GO:0016197)	42	0	.77	-	 < 0.01	4.62E-01
regulation of mRNA stability (GO:0043488)	4	0	.07	-	 < 0.01	9.29E-01
regulation of RNA stability (GO:0043487)	4	0	.07	-	 < 0.01	9.29E-01
establishment of protein localization to extracellular region (GO:0035592)	6	0	.11	-	 < 0.01	8.96E-01
histone exchange (GO:0043486)	9	0	.17	-	 < 0.01	8.48E-01
actin filament bundle assembly (GO:0051017)	2	0	.04	-	 < 0.01	9.64E-01
regulation of RNA splicing (GO:0043484)	11	0	.20	-	 < 0.01	8.17E-01
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	10	0	.18	-	 < 0.01	8.32E-01
intracellular mRNA localization (GO:0008298)	4	0	.07	-	 < 0.01	9.29E-01
endonucleolytic cleavage involved in rRNA processing (GO:0000478)	10	0	.18	-	 < 0.01	8.32E-01
mitotic nuclear division (GO:0140014)	102	0	1.87	-	 < 0.01	1.52E-01
meiotic nuclear division (GO:0140013)	37	0	.68	-	 < 0.01	5.07E-01
maturation of LSU-rRNA (GO:0000470)	20	0	.37	-	 < 0.01	6.93E-01
snRNA processing (GO:0016180)	7	0	.13	-	 < 0.01	8.79E-01
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	2	0	.04	-	 < 0.01	9.64E-01
regulation of cyclin-dependent protein kinase activity (GO:1904029)	12	0	.22	-	 < 0.01	8.02E-01
regulation of cellular localization (GO:0060341)	12	0	.22	-	 < 0.01	8.02E-01
regulation of cell growth (GO:0001558)	1	0	.02	-	 < 0.01	9.82E-01
cleavage involved in rRNA processing (GO:0000469)	15	0	.28	-	 < 0.01	7.59E-01
negative regulation of mitotic sister chromatid segregation (GO:0033048)	6	0	.11	-	 < 0.01	8.96E-01
regulation of mitotic sister chromatid segregation (GO:0033047)	13	0	.24	-	 < 0.01	7.88E-01
insulin receptor signaling pathway (GO:0008286)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of sister chromatid segregation (GO:0033046)	6	0	.11	-	 < 0.01	8.96E-01
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	11	0	.20	-	 < 0.01	8.17E-01
regulation of sister chromatid segregation (GO:0033045)	14	0	.26	-	 < 0.01	7.73E-01
positive regulation of cell population proliferation (GO:0008284)	2	0	.04	-	 < 0.01	9.64E-01
regulation of chromosome organization (GO:0033044)	27	0	.50	-	 < 0.01	6.09E-01
cell population proliferation (GO:0008283)	2	0	.04	-	 < 0.01	9.64E-01
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	9	0	.17	-	 < 0.01	8.48E-01
triglyceride biosynthetic process (GO:0019432)	3	0	.06	-	 < 0.01	9.46E-01
maturation of 5.8S rRNA (GO:0000460)	18	0	.33	-	 < 0.01	7.19E-01
secondary metabolite biosynthetic process (GO:0044550)	14	0	.26	-	 < 0.01	7.73E-01
protein palmitoylation (GO:0018345)	7	0	.13	-	 < 0.01	8.79E-01
protein prenylation (GO:0018342)	7	0	.13	-	 < 0.01	8.79E-01
export from cell (GO:0140352)	50	0	.92	-	 < 0.01	3.99E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	3	0	.06	-	 < 0.01	9.46E-01
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	3	0	.06	-	 < 0.01	9.46E-01
G protein-coupled receptor signaling pathway (GO:0007186)	5	0	.09	-	 < 0.01	9.12E-01
lipid localization (GO:0010876)	19	0	.35	-	 < 0.01	7.05E-01
negative regulation of transferase activity (GO:0051348)	4	0	.07	-	 < 0.01	9.29E-01
positive regulation of transferase activity (GO:0051347)	13	0	.24	-	 < 0.01	7.88E-01
tricarboxylic acid cycle (GO:0006099)	13	0	.24	-	 < 0.01	7.88E-01
negative regulation of hydrolase activity (GO:0051346)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of hydrolase activity (GO:0051345)	17	0	.31	-	 < 0.01	7.32E-01
snRNA 3'-end processing (GO:0034472)	7	0	.13	-	 < 0.01	8.79E-01
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	6	0	.11	-	 < 0.01	8.96E-01
positive regulation of autophagy (GO:0010508)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of autophagy (GO:0010507)	1	0	.02	-	 < 0.01	9.82E-01
regulation of lyase activity (GO:0051339)	4	0	.07	-	 < 0.01	9.29E-01
regulation of transferase activity (GO:0051338)	28	0	.51	-	 < 0.01	5.98E-01
regulation of hydrolase activity (GO:0051336)	28	0	.51	-	 < 0.01	5.98E-01
regulation of telomere maintenance via telomere lengthening (GO:1904356)	1	0	.02	-	 < 0.01	9.82E-01
pseudouridine synthesis (GO:0001522)	10	0	.18	-	 < 0.01	8.32E-01
tetrapyrrole metabolic process (GO:0033013)	9	0	.17	-	 < 0.01	8.48E-01
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	1	0	.02	-	 < 0.01	9.82E-01
enzyme linked receptor protein signaling pathway (GO:0007167)	1	0	.02	-	 < 0.01	9.82E-01
cell surface receptor signaling pathway (GO:0007166)	4	0	.07	-	 < 0.01	9.29E-01
establishment or maintenance of cell polarity (GO:0007163)	15	0	.28	-	 < 0.01	7.59E-01
response to peptide hormone (GO:0043434)	1	0	.02	-	 < 0.01	9.82E-01
telophase (GO:0051326)	16	0	.29	-	 < 0.01	7.45E-01
meiotic cell cycle (GO:0051321)	37	0	.68	-	 < 0.01	5.07E-01
microtubule anchoring (GO:0034453)	1	0	.02	-	 < 0.01	9.82E-01
protein localization to organelle (GO:0033365)	129	0	2.37	-	 < 0.01	9.23E-02
regulation of chromatin assembly (GO:0010847)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of protein polymerization (GO:0032273)	9	0	.17	-	 < 0.01	8.48E-01
protein transmembrane transport (GO:0071806)	29	0	.53	-	 < 0.01	5.87E-01
regulation of protein polymerization (GO:0032271)	17	0	.31	-	 < 0.01	7.32E-01
positive regulation of cellular protein metabolic process (GO:0032270)	37	0	.68	-	 < 0.01	5.07E-01
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	6	0	.11	-	 < 0.01	8.96E-01
localization of cell (GO:0051674)	3	0	.06	-	 < 0.01	9.46E-01
metaphase plate congression (GO:0051310)	6	0	.11	-	 < 0.01	8.96E-01
protein localization to cell periphery (GO:1990778)	7	0	.13	-	 < 0.01	8.79E-01
lipid oxidation (GO:0034440)	11	0	.20	-	 < 0.01	8.17E-01
phytosteroid metabolic process (GO:0016128)	6	0	.11	-	 < 0.01	8.96E-01
secondary metabolic process (GO:0019748)	22	0	.40	-	 < 0.01	6.68E-01
sterol biosynthetic process (GO:0016126)	14	0	.26	-	 < 0.01	7.73E-01
sterol metabolic process (GO:0016125)	21	0	.39	-	 < 0.01	6.80E-01
protein processing (GO:0016485)	14	0	.26	-	 < 0.01	7.73E-01
cytosolic transport (GO:0016482)	17	0	.31	-	 < 0.01	7.32E-01
meiotic chromosome separation (GO:0051307)	10	0	.18	-	 < 0.01	8.32E-01
telomere maintenance via telomere lengthening (GO:0010833)	6	0	.11	-	 < 0.01	8.96E-01
mitotic sister chromatid separation (GO:0051306)	12	0	.22	-	 < 0.01	8.02E-01
positive regulation of MAPK cascade (GO:0043410)	3	0	.06	-	 < 0.01	9.46E-01
chromosome separation (GO:0051304)	22	0	.40	-	 < 0.01	6.68E-01
response to radiation (GO:0009314)	10	0	.18	-	 < 0.01	8.32E-01
establishment of chromosome localization (GO:0051303)	7	0	.13	-	 < 0.01	8.79E-01
regulation of cell division (GO:0051302)	3	0	.06	-	 < 0.01	9.46E-01
oligosaccharide biosynthetic process (GO:0009312)	4	0	.07	-	 < 0.01	9.29E-01
positive regulation of translational initiation (GO:0045948)	3	0	.06	-	 < 0.01	9.46E-01
cell division (GO:0051301)	13	0	.24	-	 < 0.01	7.88E-01
neuron projection development (GO:0031175)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of phosphorylation (GO:0042327)	13	0	.24	-	 < 0.01	7.88E-01
negative regulation of phosphorylation (GO:0042326)	6	0	.11	-	 < 0.01	8.96E-01
regulation of phosphorylation (GO:0042325)	32	0	.59	-	 < 0.01	5.55E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	61	0	1.12	-	 < 0.01	3.25E-01
carotenoid biosynthetic process (GO:0016117)	1	0	.02	-	 < 0.01	9.82E-01
cell migration (GO:0016477)	1	0	.02	-	 < 0.01	9.82E-01
meiotic telophase I (GO:0007134)	16	0	.29	-	 < 0.01	7.45E-01
regulation of MAPK cascade (GO:0043408)	4	0	.07	-	 < 0.01	9.29E-01
positive regulation of MAP kinase activity (GO:0043406)	3	0	.06	-	 < 0.01	9.46E-01
reciprocal meiotic recombination (GO:0007131)	11	0	.20	-	 < 0.01	8.17E-01
regulation of MAP kinase activity (GO:0043405)	3	0	.06	-	 < 0.01	9.46E-01
protein secretion (GO:0009306)	6	0	.11	-	 < 0.01	8.96E-01
UDP-N-acetylglucosamine metabolic process (GO:0006047)	6	0	.11	-	 < 0.01	8.96E-01
regulation of mitochondrion organization (GO:0010821)	1	0	.02	-	 < 0.01	9.82E-01
spindle localization (GO:0051653)	7	0	.13	-	 < 0.01	8.79E-01
positive regulation of phosphate metabolic process (GO:0045937)	14	0	.26	-	 < 0.01	7.73E-01
negative regulation of phosphate metabolic process (GO:0045936)	10	0	.18	-	 < 0.01	8.32E-01
maintenance of location in cell (GO:0051651)	8	0	.15	-	 < 0.01	8.63E-01
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	81	0	1.49	-	 < 0.01	2.25E-01
establishment of vesicle localization (GO:0051650)	13	0	.24	-	 < 0.01	7.88E-01
cell death (GO:0008219)	7	0	.13	-	 < 0.01	8.79E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	51	0	.94	-	 < 0.01	3.91E-01
positive regulation of mitotic cell cycle (GO:0045931)	8	0	.15	-	 < 0.01	8.63E-01
negative regulation of mitotic cell cycle (GO:0045930)	23	0	.42	-	 < 0.01	6.55E-01
protein alkylation (GO:0008213)	24	0	.44	-	 < 0.01	6.44E-01
negative regulation of mitotic sister chromatid separation (GO:2000816)	6	0	.11	-	 < 0.01	8.96E-01
biological phase (GO:0044848)	16	0	.29	-	 < 0.01	7.45E-01
homologous chromosome pairing at meiosis (GO:0007129)	2	0	.04	-	 < 0.01	9.64E-01
calcium-mediated signaling (GO:0019722)	3	0	.06	-	 < 0.01	9.46E-01
regulation of mitotic metaphase/anaphase transition (GO:0030071)	11	0	.20	-	 < 0.01	8.17E-01
cell cycle G1/S phase transition (GO:0044843)	7	0	.13	-	 < 0.01	8.79E-01
meiosis I (GO:0007127)	16	0	.29	-	 < 0.01	7.45E-01
regulation of vesicle-mediated transport (GO:0060627)	13	0	.24	-	 < 0.01	7.88E-01
regulation of hormone levels (GO:0010817)	1	0	.02	-	 < 0.01	9.82E-01
vesicle localization (GO:0051648)	13	0	.24	-	 < 0.01	7.88E-01
nucleus localization (GO:0051647)	8	0	.15	-	 < 0.01	8.63E-01
anatomical structure morphogenesis (GO:0009653)	11	0	.20	-	 < 0.01	8.17E-01
positive regulation of growth (GO:0045927)	1	0	.02	-	 < 0.01	9.82E-01
centrosome localization (GO:0051642)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial transcription (GO:0006390)	1	0	.02	-	 < 0.01	9.82E-01
conjugation with cellular fusion (GO:0000747)	12	0	.22	-	 < 0.01	8.02E-01
ergosterol metabolic process (GO:0008204)	6	0	.11	-	 < 0.01	8.96E-01
conjugation (GO:0000746)	12	0	.22	-	 < 0.01	8.02E-01
cholesterol metabolic process (GO:0008203)	1	0	.02	-	 < 0.01	9.82E-01
cell cycle G2/M phase transition (GO:0044839)	12	0	.22	-	 < 0.01	8.02E-01
steroid metabolic process (GO:0008202)	22	0	.40	-	 < 0.01	6.68E-01
gene silencing (GO:0016458)	21	0	.39	-	 < 0.01	6.80E-01
nucleotide-excision repair, DNA incision (GO:0033683)	6	0	.11	-	 < 0.01	8.96E-01
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	5	0	.09	-	 < 0.01	9.12E-01
glycosaminoglycan biosynthetic process (GO:0006024)	1	0	.02	-	 < 0.01	9.82E-01
aminoglycan biosynthetic process (GO:0006023)	3	0	.06	-	 < 0.01	9.46E-01
transcription by RNA polymerase III (GO:0006383)	7	0	.13	-	 < 0.01	8.79E-01
chromatin organization involved in regulation of transcription (GO:0034401)	25	0	.46	-	 < 0.01	6.32E-01
cellular response to environmental stimulus (GO:0104004)	9	0	.17	-	 < 0.01	8.48E-01
negative regulation of DNA recombination (GO:0045910)	2	0	.04	-	 < 0.01	9.64E-01
mitotic DNA replication checkpoint (GO:0033314)	6	0	.11	-	 < 0.01	8.96E-01
positive regulation of kinase activity (GO:0033674)	11	0	.20	-	 < 0.01	8.17E-01
negative regulation of kinase activity (GO:0033673)	3	0	.06	-	 < 0.01	9.46E-01
DNA synthesis involved in DNA repair (GO:0000731)	9	0	.17	-	 < 0.01	8.48E-01
