




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	human_background.txt - REFLIST (16250)	upload_1 (1652)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of cell adhesion (GO:0030155)	60	7	6.10	+	1.15	4.10E-01
immune system process (GO:0002376)	420	49	42.70	+	1.15	1.83E-01
tube development (GO:0035295)	60	7	6.10	+	1.15	4.10E-01
positive regulation of protein modification process (GO:0031401)	240	28	24.40	+	1.15	2.57E-01
nucleoside triphosphate metabolic process (GO:0009141)	43	5	4.37	+	1.14	4.43E-01
monocarboxylic acid catabolic process (GO:0072329)	43	5	4.37	+	1.14	4.43E-01
cellular response to organic substance (GO:0071310)	423	49	43.00	+	1.14	1.96E-01
purine-containing compound biosynthetic process (GO:0072522)	78	9	7.93	+	1.13	3.98E-01
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	26	3	2.64	+	1.13	4.92E-01
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	26	3	2.64	+	1.13	4.92E-01
activation of MAPK activity (GO:0000187)	26	3	2.64	+	1.13	4.92E-01
protein palmitoylation (GO:0018345)	26	3	2.64	+	1.13	4.92E-01
regulation of neurotransmitter levels (GO:0001505)	52	6	5.29	+	1.13	4.34E-01
DNA damage checkpoint (GO:0000077)	26	3	2.64	+	1.13	4.92E-01
regulation of mRNA catabolic process (GO:0061013)	26	3	2.64	+	1.13	4.92E-01
ATP-dependent chromatin remodeling (GO:0043044)	26	3	2.64	+	1.13	4.92E-01
plasma membrane organization (GO:0007009)	26	3	2.64	+	1.13	4.92E-01
nuclear-transcribed mRNA catabolic process (GO:0000956)	52	6	5.29	+	1.13	4.34E-01
mesenchymal cell differentiation (GO:0048762)	26	3	2.64	+	1.13	4.92E-01
protein-containing complex subunit organization (GO:0043933)	425	49	43.21	+	1.13	2.05E-01
carbohydrate derivative biosynthetic process (GO:1901137)	243	28	24.70	+	1.13	2.78E-01
positive regulation of intracellular signal transduction (GO:1902533)	165	19	16.77	+	1.13	3.24E-01
peptidyl-amino acid modification (GO:0018193)	340	39	34.56	+	1.13	2.45E-01
actin filament bundle organization (GO:0061572)	35	4	3.56	+	1.12	4.76E-01
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	35	4	3.56	+	1.12	4.76E-01
regulation of cellular protein catabolic process (GO:1903362)	35	4	3.56	+	1.12	4.76E-01
monosaccharide metabolic process (GO:0005996)	35	4	3.56	+	1.12	4.76E-01
positive regulation of leukocyte activation (GO:0002696)	35	4	3.56	+	1.12	4.76E-01
actin cytoskeleton organization (GO:0030036)	245	28	24.91	+	1.12	2.92E-01
positive regulation of cell activation (GO:0050867)	35	4	3.56	+	1.12	4.76E-01
reproductive process (GO:0022414)	140	16	14.23	+	1.12	3.53E-01
reproduction (GO:0000003)	140	16	14.23	+	1.12	3.53E-01
RNA processing (GO:0006396)	403	46	40.97	+	1.12	2.33E-01
regulation of anatomical structure size (GO:0090066)	114	13	11.59	+	1.12	3.77E-01
positive regulation of protein metabolic process (GO:0051247)	334	38	33.95	+	1.12	2.64E-01
neurotransmitter secretion (GO:0007269)	44	5	4.47	+	1.12	4.63E-01
steroid metabolic process (GO:0008202)	44	5	4.47	+	1.12	4.63E-01
cellular response to external stimulus (GO:0071496)	44	5	4.47	+	1.12	4.63E-01
lipid catabolic process (GO:0016042)	88	10	8.95	+	1.12	4.05E-01
signal release from synapse (GO:0099643)	44	5	4.47	+	1.12	4.63E-01
negative regulation of macromolecule metabolic process (GO:0010605)	537	61	54.59	+	1.12	2.06E-01
oxoacid metabolic process (GO:0043436)	326	37	33.14	+	1.12	2.72E-01
multicellular organismal reproductive process (GO:0048609)	53	6	5.39	+	1.11	4.52E-01
positive regulation of cell migration (GO:0030335)	53	6	5.39	+	1.11	4.52E-01
developmental process involved in reproduction (GO:0003006)	53	6	5.39	+	1.11	4.52E-01
neurotransmitter transport (GO:0006836)	53	6	5.39	+	1.11	4.52E-01
defense response to other organism (GO:0098542)	159	18	16.16	+	1.11	3.56E-01
inorganic ion transmembrane transport (GO:0098660)	301	34	30.60	+	1.11	2.91E-01
nuclear export (GO:0051168)	62	7	6.30	+	1.11	4.42E-01
anatomical structure morphogenesis (GO:0009653)	452	51	45.95	+	1.11	2.44E-01
peptide metabolic process (GO:0006518)	266	30	27.04	+	1.11	3.08E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	462	52	46.97	+	1.11	2.47E-01
cellular amide metabolic process (GO:0043603)	347	39	35.28	+	1.11	2.85E-01
response to organic substance (GO:0010033)	499	56	50.73	+	1.10	2.44E-01
regulation of protein kinase activity (GO:0045859)	134	15	13.62	+	1.10	3.89E-01
cellular response to cytokine stimulus (GO:0071345)	134	15	13.62	+	1.10	3.89E-01
microtubule-based movement (GO:0007018)	197	22	20.03	+	1.10	3.58E-01
mesenchyme development (GO:0060485)	27	3	2.74	+	1.09	5.17E-01
lipid translocation (GO:0034204)	27	3	2.74	+	1.09	5.17E-01
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	27	3	2.74	+	1.09	5.17E-01
glutamate receptor signaling pathway (GO:0007215)	27	3	2.74	+	1.09	5.17E-01
autophagy of mitochondrion (GO:0000422)	27	3	2.74	+	1.09	5.17E-01
protein localization to cell periphery (GO:1990778)	81	9	8.23	+	1.09	4.40E-01
circulatory system process (GO:0003013)	45	5	4.57	+	1.09	4.82E-01
cellular process involved in reproduction in multicellular organism (GO:0022412)	45	5	4.57	+	1.09	4.82E-01
leukocyte differentiation (GO:0002521)	45	5	4.57	+	1.09	4.82E-01
nucleotide-excision repair (GO:0006289)	27	3	2.74	+	1.09	5.17E-01
cellular modified amino acid metabolic process (GO:0006575)	54	6	5.49	+	1.09	4.69E-01
purine ribonucleoside monophosphate metabolic process (GO:0009167)	9	1	.91	+	1.09	6.00E-01
positive regulation of angiogenesis (GO:0045766)	9	1	.91	+	1.09	6.00E-01
cellular response to chemical stimulus (GO:0070887)	531	59	53.98	+	1.09	2.62E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	9	1	.91	+	1.09	6.00E-01
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	9	1	.91	+	1.09	6.00E-01
cellular response to oxidative stress (GO:0034599)	18	2	1.83	+	1.09	5.46E-01
spermatid development (GO:0007286)	18	2	1.83	+	1.09	5.46E-01
regulation of macroautophagy (GO:0016241)	18	2	1.83	+	1.09	5.46E-01
positive regulation of TOR signaling (GO:0032008)	9	1	.91	+	1.09	6.00E-01
hormone-mediated signaling pathway (GO:0009755)	36	4	3.66	+	1.09	4.98E-01
biomineral tissue development (GO:0031214)	9	1	.91	+	1.09	6.00E-01
intra-S DNA damage checkpoint (GO:0031573)	9	1	.91	+	1.09	6.00E-01
biomineralization (GO:0110148)	9	1	.91	+	1.09	6.00E-01
heme biosynthetic process (GO:0006783)	9	1	.91	+	1.09	6.00E-01
dendritic spine organization (GO:0097061)	9	1	.91	+	1.09	6.00E-01
regulation of chemotaxis (GO:0050920)	36	4	3.66	+	1.09	4.98E-01
protein localization to plasma membrane (GO:0072659)	63	7	6.40	+	1.09	4.59E-01
reproductive structure development (GO:0048608)	9	1	.91	+	1.09	6.00E-01
microtubule polymerization (GO:0046785)	18	2	1.83	+	1.09	5.46E-01
reproductive system development (GO:0061458)	9	1	.91	+	1.09	6.00E-01
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	9	1	.91	+	1.09	6.00E-01
negative regulation of DNA-binding transcription factor activity (GO:0043433)	9	1	.91	+	1.09	6.00E-01
metaphase plate congression (GO:0051310)	9	1	.91	+	1.09	6.00E-01
mitotic sister chromatid separation (GO:0051306)	18	2	1.83	+	1.09	5.46E-01
positive regulation of translational initiation (GO:0045948)	9	1	.91	+	1.09	6.00E-01
antibacterial humoral response (GO:0019731)	18	2	1.83	+	1.09	5.46E-01
negative regulation of DNA recombination (GO:0045910)	9	1	.91	+	1.09	6.00E-01
regulation of telomere maintenance (GO:0032204)	9	1	.91	+	1.09	6.00E-01
mitochondrial translation (GO:0032543)	18	2	1.83	+	1.09	5.46E-01
membrane protein proteolysis (GO:0033619)	18	2	1.83	+	1.09	5.46E-01
regulation of cellular response to transforming growth factor beta stimulus (GO:1903844)	9	1	.91	+	1.09	6.00E-01
regulation of coagulation (GO:0050818)	9	1	.91	+	1.09	6.00E-01
coagulation (GO:0050817)	18	2	1.83	+	1.09	5.46E-01
cholesterol transport (GO:0030301)	9	1	.91	+	1.09	6.00E-01
spermatid differentiation (GO:0048515)	18	2	1.83	+	1.09	5.46E-01
telomere-telomerase complex assembly (GO:1905324)	9	1	.91	+	1.09	6.00E-01
telomere maintenance via telomerase (GO:0007004)	9	1	.91	+	1.09	6.00E-01
RNA-dependent DNA biosynthetic process (GO:0006278)	18	2	1.83	+	1.09	5.46E-01
DNA unwinding involved in DNA replication (GO:0006268)	9	1	.91	+	1.09	6.00E-01
positive regulation of DNA-templated transcription, elongation (GO:0032786)	9	1	.91	+	1.09	6.00E-01
negative regulation of Ras protein signal transduction (GO:0046580)	9	1	.91	+	1.09	6.00E-01
DNA metabolic process (GO:0006259)	271	30	27.55	+	1.09	3.44E-01
response to external biotic stimulus (GO:0043207)	208	23	21.15	+	1.09	3.71E-01
response to other organism (GO:0051707)	208	23	21.15	+	1.09	3.71E-01
G protein-coupled receptor signaling pathway (GO:0007186)	353	39	35.89	+	1.09	3.22E-01
cation transmembrane transport (GO:0098655)	299	33	30.40	+	1.09	3.41E-01
response to biotic stimulus (GO:0009607)	209	23	21.25	+	1.08	3.80E-01
regulation of cytokine production (GO:0001817)	73	8	7.42	+	1.08	4.64E-01
purine-containing compound metabolic process (GO:0072521)	146	16	14.84	+	1.08	4.16E-01
organonitrogen compound biosynthetic process (GO:1901566)	575	63	58.46	+	1.08	2.90E-01
cation homeostasis (GO:0055080)	201	22	20.43	+	1.08	3.93E-01
regulation of protein catabolic process (GO:0042176)	64	7	6.51	+	1.08	4.75E-01
leukocyte migration (GO:0050900)	64	7	6.51	+	1.08	4.75E-01
protein phosphorylation (GO:0006468)	503	55	51.14	+	1.08	3.10E-01
positive regulation of catalytic activity (GO:0043085)	284	31	28.87	+	1.07	3.70E-01
double-strand break repair via homologous recombination (GO:0000724)	55	6	5.59	+	1.07	4.87E-01
DNA conformation change (GO:0071103)	55	6	5.59	+	1.07	4.87E-01
cell morphogenesis involved in differentiation (GO:0000904)	165	18	16.77	+	1.07	4.14E-01
membrane fusion (GO:0061025)	156	17	15.86	+	1.07	4.20E-01
organic acid metabolic process (GO:0006082)	340	37	34.56	+	1.07	3.61E-01
positive regulation of gene expression (GO:0010628)	368	40	37.41	+	1.07	3.56E-01
cellular response to topologically incorrect protein (GO:0035967)	46	5	4.68	+	1.07	5.01E-01
response to topologically incorrect protein (GO:0035966)	46	5	4.68	+	1.07	5.01E-01
regulation of Ras protein signal transduction (GO:0046578)	46	5	4.68	+	1.07	5.01E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	83	9	8.44	+	1.07	4.68E-01
positive regulation of response to stimulus (GO:0048584)	369	40	37.51	+	1.07	3.63E-01
inorganic ion homeostasis (GO:0098771)	203	22	20.64	+	1.07	4.11E-01
regulation of cellular catabolic process (GO:0031329)	120	13	12.20	+	1.07	4.47E-01
response to external stimulus (GO:0009605)	434	47	44.12	+	1.07	3.51E-01
mitotic cell cycle checkpoint (GO:0007093)	37	4	3.76	+	1.06	5.19E-01
neuron projection morphogenesis (GO:0048812)	167	18	16.98	+	1.06	4.34E-01
negative regulation of metabolic process (GO:0009892)	566	61	57.54	+	1.06	3.39E-01
nucleotide metabolic process (GO:0009117)	158	17	16.06	+	1.06	4.40E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	307	33	31.21	+	1.06	3.97E-01
cell morphogenesis involved in neuron differentiation (GO:0048667)	149	16	15.15	+	1.06	4.47E-01
carbohydrate derivative metabolic process (GO:1901135)	373	40	37.92	+	1.05	3.88E-01
negative regulation of cellular metabolic process (GO:0031324)	485	52	49.31	+	1.05	3.68E-01
cell projection morphogenesis (GO:0048858)	168	18	17.08	+	1.05	4.44E-01
plasma membrane bounded cell projection morphogenesis (GO:0120039)	168	18	17.08	+	1.05	4.44E-01
protein methylation (GO:0006479)	28	3	2.85	+	1.05	5.42E-01
mRNA transport (GO:0051028)	28	3	2.85	+	1.05	5.42E-01
carboxylic acid metabolic process (GO:0019752)	308	33	31.31	+	1.05	4.04E-01
sterol metabolic process (GO:0016125)	28	3	2.85	+	1.05	5.42E-01
protein alkylation (GO:0008213)	28	3	2.85	+	1.05	5.42E-01
recombinational repair (GO:0000725)	56	6	5.69	+	1.05	5.04E-01
response to cytokine (GO:0034097)	140	15	14.23	+	1.05	4.54E-01
regulation of cysteine-type endopeptidase activity (GO:2000116)	28	3	2.85	+	1.05	5.42E-01
endoplasmic reticulum unfolded protein response (GO:0030968)	28	3	2.85	+	1.05	5.42E-01
glycolipid biosynthetic process (GO:0009247)	28	3	2.85	+	1.05	5.42E-01
protein transmembrane import into intracellular organelle (GO:0044743)	28	3	2.85	+	1.05	5.42E-01
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	28	3	2.85	+	1.05	5.42E-01
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	28	3	2.85	+	1.05	5.42E-01
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	327	35	33.24	+	1.05	4.03E-01
translational elongation (GO:0006414)	206	22	20.94	+	1.05	4.37E-01
translation (GO:0006412)	206	22	20.94	+	1.05	4.37E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	328	35	33.34	+	1.05	4.09E-01
protein dephosphorylation (GO:0006470)	75	8	7.62	+	1.05	4.94E-01
negative regulation of nucleic acid-templated transcription (GO:1903507)	282	30	28.67	+	1.05	4.26E-01
negative regulation of transcription, DNA-templated (GO:0045892)	282	30	28.67	+	1.05	4.26E-01
negative regulation of RNA biosynthetic process (GO:1902679)	282	30	28.67	+	1.05	4.26E-01
BMP signaling pathway (GO:0030509)	47	5	4.78	+	1.05	5.20E-01
response to chemical (GO:0042221)	743	79	75.53	+	1.05	3.58E-01
phosphorylation (GO:0016310)	650	69	66.08	+	1.04	3.74E-01
negative regulation of gene expression (GO:0010629)	406	43	41.27	+	1.04	4.14E-01
nuclear chromosome segregation (GO:0098813)	85	9	8.64	+	1.04	4.96E-01
cell part morphogenesis (GO:0032990)	170	18	17.28	+	1.04	4.63E-01
cell junction organization (GO:0034330)	123	13	12.50	+	1.04	4.82E-01
positive regulation of metabolic process (GO:0009893)	750	79	76.25	+	1.04	3.89E-01
regulation of angiogenesis (GO:0045765)	19	2	1.93	+	1.04	5.75E-01
regulation of chromosome separation (GO:1905818)	19	2	1.93	+	1.04	5.75E-01
mRNA catabolic process (GO:0006402)	76	8	7.73	+	1.04	5.08E-01
mononuclear cell proliferation (GO:0032943)	38	4	3.86	+	1.04	5.40E-01
cellular response to biotic stimulus (GO:0071216)	38	4	3.86	+	1.04	5.40E-01
heart contraction (GO:0060047)	19	2	1.93	+	1.04	5.75E-01
regulation of mitotic sister chromatid segregation (GO:0033047)	19	2	1.93	+	1.04	5.75E-01
positive regulation of phospholipase activity (GO:0010518)	38	4	3.86	+	1.04	5.40E-01
regulation of blood pressure (GO:0008217)	19	2	1.93	+	1.04	5.75E-01
mRNA polyadenylation (GO:0006378)	19	2	1.93	+	1.04	5.75E-01
regulation of synaptic transmission, glutamatergic (GO:0051966)	19	2	1.93	+	1.04	5.75E-01
regulation of vasculature development (GO:1901342)	19	2	1.93	+	1.04	5.75E-01
cellular response to chemical stress (GO:0062197)	19	2	1.93	+	1.04	5.75E-01
clathrin-dependent endocytosis (GO:0072583)	19	2	1.93	+	1.04	5.75E-01
cellular response to DNA damage stimulus (GO:0006974)	228	24	23.18	+	1.04	4.60E-01
striated muscle contraction (GO:0006941)	19	2	1.93	+	1.04	5.75E-01
cilium movement involved in cell motility (GO:0060294)	19	2	1.93	+	1.04	5.75E-01
peptide biosynthetic process (GO:0043043)	209	22	21.25	+	1.04	4.64E-01
lymphocyte proliferation (GO:0046651)	38	4	3.86	+	1.04	5.40E-01
leukocyte proliferation (GO:0070661)	38	4	3.86	+	1.04	5.40E-01
regulation of DNA repair (GO:0006282)	19	2	1.93	+	1.04	5.75E-01
regulation of dendrite development (GO:0050773)	19	2	1.93	+	1.04	5.75E-01
positive regulation of neurogenesis (GO:0050769)	38	4	3.86	+	1.04	5.40E-01
regulation of hemopoiesis (GO:1903706)	19	2	1.93	+	1.04	5.75E-01
positive regulation of lipase activity (GO:0060193)	38	4	3.86	+	1.04	5.40E-01
positive regulation of biological process (GO:0048518)	1227	129	124.74	+	1.03	3.59E-01
negative regulation of RNA metabolic process (GO:0051253)	295	31	29.99	+	1.03	4.51E-01
interspecies interaction between organisms (GO:0044419)	219	23	22.26	+	1.03	4.66E-01
mitochondrion organization (GO:0007005)	143	15	14.54	+	1.03	4.87E-01
positive regulation of cellular metabolic process (GO:0031325)	687	72	69.84	+	1.03	4.13E-01
amide biosynthetic process (GO:0043604)	239	25	24.30	+	1.03	4.70E-01
cellular response to endogenous stimulus (GO:0071495)	220	23	22.37	+	1.03	4.75E-01
sister chromatid segregation (GO:0000819)	67	7	6.81	+	1.03	5.22E-01
membrane lipid metabolic process (GO:0006643)	67	7	6.81	+	1.03	5.22E-01
positive regulation of macromolecule metabolic process (GO:0010604)	670	70	68.11	+	1.03	4.25E-01
negative regulation of biosynthetic process (GO:0009890)	335	35	34.06	+	1.03	4.58E-01
negative regulation of cellular biosynthetic process (GO:0031327)	335	35	34.06	+	1.03	4.58E-01
macromolecule modification (GO:0043412)	1296	135	131.75	+	1.02	3.97E-01
cellular response to BMP stimulus (GO:0071773)	48	5	4.88	+	1.02	5.38E-01
response to BMP (GO:0071772)	48	5	4.88	+	1.02	5.38E-01
positive regulation of proteolysis (GO:0045862)	48	5	4.88	+	1.02	5.38E-01
activation of protein kinase activity (GO:0032147)	48	5	4.88	+	1.02	5.38E-01
nucleoside phosphate metabolic process (GO:0006753)	164	17	16.67	+	1.02	5.01E-01
response to stress (GO:0006950)	772	80	78.48	+	1.02	4.46E-01
cellular component biogenesis (GO:0044085)	859	89	87.33	+	1.02	4.42E-01
regulation of cellular localization (GO:0060341)	87	9	8.84	+	1.02	5.24E-01
positive regulation of neuron projection development (GO:0010976)	29	3	2.95	+	1.02	5.65E-01
regulation of response to DNA damage stimulus (GO:2001020)	29	3	2.95	+	1.02	5.65E-01
regulation of membrane lipid distribution (GO:0097035)	29	3	2.95	+	1.02	5.65E-01
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	58	6	5.90	+	1.02	5.38E-01
mRNA 3'-end processing (GO:0031124)	29	3	2.95	+	1.02	5.65E-01
positive regulation of response to external stimulus (GO:0032103)	29	3	2.95	+	1.02	5.65E-01
receptor-mediated endocytosis (GO:0006898)	58	6	5.90	+	1.02	5.38E-01
Unclassified (UNCLASSIFIED)	7104	732	722.20	+	1.01	3.22E-01
neuron projection development (GO:0031175)	204	21	20.74	+	1.01	5.07E-01
transmembrane transport (GO:0055085)	486	50	49.41	+	1.01	4.86E-01
regulation of anatomical structure morphogenesis (GO:0022603)	107	11	10.88	+	1.01	5.26E-01
organonitrogen compound metabolic process (GO:1901564)	2288	235	232.60	+	1.01	4.43E-01
chemical homeostasis (GO:0048878)	263	27	26.74	+	1.01	5.06E-01
angiogenesis (GO:0001525)	39	4	3.96	+	1.01	5.60E-01
microtubule polymerization or depolymerization (GO:0031109)	39	4	3.96	+	1.01	5.60E-01
cellular response to starvation (GO:0009267)	39	4	3.96	+	1.01	5.60E-01
microtubule organizing center organization (GO:0031023)	39	4	3.96	+	1.01	5.60E-01
regulation of cell morphogenesis (GO:0022604)	78	8	7.93	+	1.01	5.37E-01
organelle fission (GO:0048285)	293	30	29.79	+	1.01	5.09E-01
cytokine-mediated signaling pathway (GO:0019221)	127	13	12.91	+	1.01	5.27E-01
activation of adenylate cyclase activity (GO:0007190)	88	9	8.95	+	1.01	5.38E-01
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	88	9	8.95	+	1.01	5.38E-01
organic substance transport (GO:0071702)	773	79	78.58	+	1.01	4.97E-01
cell cycle checkpoint (GO:0000075)	49	5	4.98	+	1.00	5.57E-01
nitrogen compound metabolic process (GO:0006807)	4562	465	463.78	+	1.00	4.83E-01
cellular homeostasis (GO:0019725)	216	22	21.96	+	1.00	5.25E-01
ion homeostasis (GO:0050801)	216	22	21.96	+	1.00	5.25E-01
regulation of cell morphogenesis involved in differentiation (GO:0010769)	59	6	6.00	+	1.00	5.54E-01
cytoskeleton organization (GO:0007010)	561	57	57.03	-	1.00	5.33E-01
ion transport (GO:0006811)	591	60	60.08	-	1.00	5.30E-01
positive regulation of cellular process (GO:0048522)	1084	110	110.20	-	1.00	5.17E-01
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	138	14	14.03	-	1.00	5.67E-01
cellular metabolic process (GO:0044237)	4947	501	502.92	-	1.00	4.71E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	632	64	64.25	-	1.00	5.20E-01
establishment of protein localization to organelle (GO:0072594)	158	16	16.06	-	1.00	5.60E-01
small molecule biosynthetic process (GO:0044283)	168	17	17.08	-	1.00	5.56E-01
primary metabolic process (GO:0044238)	4791	484	487.06	-	.99	4.46E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	198	20	20.13	-	.99	5.48E-01
metabolic process (GO:0008152)	5300	535	538.81	-	.99	4.32E-01
regulation of catalytic activity (GO:0050790)	575	58	58.46	-	.99	5.11E-01
cellular protein metabolic process (GO:0044267)	1686	170	171.40	-	.99	4.75E-01
negative regulation of cellular process (GO:0048523)	893	90	90.78	-	.99	4.94E-01
cellular nitrogen compound metabolic process (GO:0034641)	2992	301	304.17	-	.99	4.35E-01
biological_process (GO:0008150)	9146	920	929.80	-	.99	3.22E-01
cellular cation homeostasis (GO:0030003)	179	18	18.20	-	.99	5.44E-01
cell cycle (GO:0007049)	378	38	38.43	-	.99	5.15E-01
microtubule-based process (GO:0007017)	388	39	39.44	-	.99	5.14E-01
organic substance metabolic process (GO:0071704)	5064	508	514.81	-	.99	3.70E-01
positive regulation of cell adhesion (GO:0045785)	30	3	3.05	-	.98	6.36E-01
negative regulation of translation (GO:0017148)	30	3	3.05	-	.98	6.36E-01
regulation of neuron projection development (GO:0010975)	70	7	7.12	-	.98	5.81E-01
mitochondrial transport (GO:0006839)	70	7	7.12	-	.98	5.81E-01
regulation of T cell proliferation (GO:0042129)	20	2	2.03	-	.98	6.68E-01
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	20	2	2.03	-	.98	6.68E-01
regulation of response to wounding (GO:1903034)	10	1	1.02	-	.98	7.30E-01
sperm motility (GO:0097722)	10	1	1.02	-	.98	7.30E-01
regulation of protein dephosphorylation (GO:0035304)	10	1	1.02	-	.98	7.30E-01
endothelial cell proliferation (GO:0001935)	10	1	1.02	-	.98	7.30E-01
protein import into peroxisome matrix (GO:0016558)	10	1	1.02	-	.98	7.30E-01
mesoderm morphogenesis (GO:0048332)	10	1	1.02	-	.98	7.30E-01
pigment biosynthetic process (GO:0046148)	20	2	2.03	-	.98	6.68E-01
NADP metabolic process (GO:0006739)	10	1	1.02	-	.98	7.30E-01
T cell proliferation (GO:0042098)	20	2	2.03	-	.98	6.68E-01
vesicle fusion to plasma membrane (GO:0099500)	100	10	10.17	-	.98	5.62E-01
negative regulation of small GTPase mediated signal transduction (GO:0051058)	10	1	1.02	-	.98	7.30E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	50	5	5.08	-	.98	6.01E-01
regulation of neuron differentiation (GO:0045664)	80	8	8.13	-	.98	5.74E-01
exocytic process (GO:0140029)	100	10	10.17	-	.98	5.62E-01
regulation of phospholipase activity (GO:0010517)	40	4	4.07	-	.98	6.16E-01
homotypic cell-cell adhesion (GO:0034109)	10	1	1.02	-	.98	7.30E-01
endoderm development (GO:0007492)	10	1	1.02	-	.98	7.30E-01
positive regulation of mitotic cell cycle (GO:0045931)	20	2	2.03	-	.98	6.68E-01
positive regulation of ion transmembrane transport (GO:0034767)	10	1	1.02	-	.98	7.30E-01
transcription by RNA polymerase III (GO:0006383)	10	1	1.02	-	.98	7.30E-01
cytokine production (GO:0001816)	80	8	8.13	-	.98	5.74E-01
transcription by RNA polymerase I (GO:0006360)	10	1	1.02	-	.98	7.30E-01
cholesterol homeostasis (GO:0042632)	10	1	1.02	-	.98	7.30E-01
DNA-templated transcription, elongation (GO:0006354)	20	2	2.03	-	.98	6.68E-01
positive regulation of T cell activation (GO:0050870)	20	2	2.03	-	.98	6.68E-01
chromatin silencing (GO:0006342)	20	2	2.03	-	.98	6.68E-01
axon guidance (GO:0007411)	100	10	10.17	-	.98	5.62E-01
defense response to Gram-positive bacterium (GO:0050830)	20	2	2.03	-	.98	6.68E-01
flagellated sperm motility (GO:0030317)	10	1	1.02	-	.98	7.30E-01
chaperone-mediated protein folding (GO:0061077)	20	2	2.03	-	.98	6.68E-01
positive regulation of apoptotic signaling pathway (GO:2001235)	10	1	1.02	-	.98	7.30E-01
regulation of wound healing (GO:0061041)	10	1	1.02	-	.98	7.30E-01
positive regulation of JNK cascade (GO:0046330)	20	2	2.03	-	.98	6.68E-01
ribosomal large subunit assembly (GO:0000027)	20	2	2.03	-	.98	6.68E-01
snRNA metabolic process (GO:0016073)	20	2	2.03	-	.98	6.68E-01
histone H3-K4 methylation (GO:0051568)	10	1	1.02	-	.98	7.30E-01
ectoderm development (GO:0007398)	10	1	1.02	-	.98	7.30E-01
negative regulation of gene expression, epigenetic (GO:0045814)	20	2	2.03	-	.98	6.68E-01
gastrulation (GO:0007369)	10	1	1.02	-	.98	7.30E-01
mesoderm formation (GO:0001707)	10	1	1.02	-	.98	7.30E-01
endoderm formation (GO:0001706)	10	1	1.02	-	.98	7.30E-01
ectoderm formation (GO:0001705)	10	1	1.02	-	.98	7.30E-01
formation of primary germ layer (GO:0001704)	10	1	1.02	-	.98	7.30E-01
positive regulation of ion transmembrane transporter activity (GO:0032414)	10	1	1.02	-	.98	7.30E-01
positive regulation of transporter activity (GO:0032411)	10	1	1.02	-	.98	7.30E-01
pyrimidine nucleobase metabolic process (GO:0006206)	10	1	1.02	-	.98	7.30E-01
Golgi to vacuole transport (GO:0006896)	10	1	1.02	-	.98	7.30E-01
exocytosis (GO:0006887)	100	10	10.17	-	.98	5.62E-01
organophosphate biosynthetic process (GO:0090407)	170	17	17.28	-	.98	5.37E-01
neuron projection guidance (GO:0097485)	100	10	10.17	-	.98	5.62E-01
positive regulation of Ras protein signal transduction (GO:0046579)	20	2	2.03	-	.98	6.68E-01
cellular component assembly (GO:0022607)	741	74	75.33	-	.98	4.68E-01
phosphate-containing compound metabolic process (GO:0006796)	972	97	98.82	-	.98	4.52E-01
phosphorus metabolic process (GO:0006793)	984	98	100.03	-	.98	4.43E-01
cellular process (GO:0009987)	8508	846	864.94	-	.98	1.82E-01
actin filament organization (GO:0007015)	171	17	17.38	-	.98	5.27E-01
macromolecule metabolic process (GO:0043170)	4320	429	439.18	-	.98	2.96E-01
cellular macromolecule metabolic process (GO:0044260)	3698	367	375.94	-	.98	3.12E-01
intracellular protein transport (GO:0006886)	464	46	47.17	-	.98	4.70E-01
