




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	human_background.txt - REFLIST (16250)	upload_1 (830)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
negative regulation of cell motility (GO:2000146)	15	1	.77	+	1.31	5.35E-01
autophagy (GO:0006914)	105	7	5.36	+	1.31	2.92E-01
centriole replication (GO:0007099)	15	1	.77	+	1.31	5.35E-01
regulation of mitotic nuclear division (GO:0007088)	30	2	1.53	+	1.31	4.53E-01
negative regulation of translation (GO:0017148)	30	2	1.53	+	1.31	4.53E-01
negative regulation of multicellular organismal process (GO:0051241)	60	4	3.06	+	1.31	3.67E-01
hexose metabolic process (GO:0019318)	30	2	1.53	+	1.31	4.53E-01
regulation of neurotransmitter secretion (GO:0046928)	15	1	.77	+	1.31	5.35E-01
process utilizing autophagic mechanism (GO:0061919)	105	7	5.36	+	1.31	2.92E-01
meiotic chromosome segregation (GO:0045132)	30	2	1.53	+	1.31	4.53E-01
macromolecule localization (GO:0033036)	813	54	41.53	+	1.30	3.20E-02
vesicle organization (GO:0016050)	317	21	16.19	+	1.30	1.41E-01
regulation of cell differentiation (GO:0045595)	151	10	7.71	+	1.30	2.48E-01
cellular macromolecule biosynthetic process (GO:0034645)	2251	149	114.97	+	1.30	5.61E-04
regulation of primary metabolic process (GO:0080090)	2389	158	122.02	+	1.29	3.83E-04
macromolecule biosynthetic process (GO:0009059)	2260	149	115.43	+	1.29	6.63E-04
regulation of nitrogen compound metabolic process (GO:0051171)	2367	156	120.90	+	1.29	4.91E-04
regulation of macromolecule metabolic process (GO:0060255)	2551	168	130.30	+	1.29	2.93E-04
regulation of cellular amide metabolic process (GO:0034248)	76	5	3.88	+	1.29	3.48E-01
actin polymerization or depolymerization (GO:0008154)	76	5	3.88	+	1.29	3.48E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	198	13	10.11	+	1.29	2.18E-01
generation of precursor metabolites and energy (GO:0006091)	107	7	5.47	+	1.28	3.08E-01
organic substance biosynthetic process (GO:1901576)	2617	171	133.67	+	1.28	3.72E-04
biosynthetic process (GO:0009058)	2623	171	133.97	+	1.28	4.14E-04
cellular macromolecule catabolic process (GO:0044265)	399	26	20.38	+	1.28	1.27E-01
regulation of cellular metabolic process (GO:0031323)	2472	161	126.26	+	1.28	6.64E-04
regulation of cellular component organization (GO:0051128)	369	24	18.85	+	1.27	1.40E-01
neurogenesis (GO:0022008)	339	22	17.32	+	1.27	1.54E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	632	41	32.28	+	1.27	7.38E-02
regulation of multicellular organismal development (GO:2000026)	170	11	8.68	+	1.27	2.56E-01
peptidyl-amino acid modification (GO:0018193)	340	22	17.37	+	1.27	1.58E-01
microtubule cytoskeleton organization (GO:0000226)	294	19	15.02	+	1.27	1.80E-01
response to external stimulus (GO:0009605)	434	28	22.17	+	1.26	1.27E-01
cellular response to organic cyclic compound (GO:0071407)	31	2	1.58	+	1.26	4.70E-01
nucleobase-containing compound catabolic process (GO:0034655)	124	8	6.33	+	1.26	3.03E-01
regulation of metabolic process (GO:0019222)	2701	174	137.96	+	1.26	6.38E-04
negative regulation of RNA metabolic process (GO:0051253)	295	19	15.07	+	1.26	1.83E-01
cellular biosynthetic process (GO:0044249)	2581	166	131.83	+	1.26	9.40E-04
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	327	21	16.70	+	1.26	1.72E-01
plasma membrane bounded cell projection organization (GO:0120036)	343	22	17.52	+	1.26	1.67E-01
intracellular transport (GO:0046907)	655	42	33.46	+	1.26	8.13E-02
ribosome biogenesis (GO:0042254)	156	10	7.97	+	1.26	2.79E-01
regulation of cell morphogenesis (GO:0022604)	78	5	3.98	+	1.26	3.68E-01
positive regulation of cellular metabolic process (GO:0031325)	687	44	35.09	+	1.25	7.70E-02
negative regulation of gene expression (GO:0010629)	406	26	20.74	+	1.25	1.45E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	328	21	16.75	+	1.25	1.76E-01
ribonucleotide metabolic process (GO:0009259)	125	8	6.38	+	1.25	3.10E-01
establishment of protein localization (GO:0045184)	549	35	28.04	+	1.25	1.10E-01
modification-dependent protein catabolic process (GO:0019941)	267	17	13.64	+	1.25	2.12E-01
nucleotide metabolic process (GO:0009117)	158	10	8.07	+	1.24	2.92E-01
primary metabolic process (GO:0044238)	4791	303	244.71	+	1.24	7.94E-06
macromolecule metabolic process (GO:0043170)	4320	273	220.65	+	1.24	3.31E-05
regulation of mitotic cell cycle (GO:0007346)	95	6	4.85	+	1.24	3.58E-01
protein transport (GO:0015031)	539	34	27.53	+	1.23	1.25E-01
cell projection organization (GO:0030030)	349	22	17.83	+	1.23	1.87E-01
organic substance metabolic process (GO:0071704)	5064	319	258.65	+	1.23	5.23E-06
DNA metabolic process (GO:0006259)	271	17	13.84	+	1.23	2.29E-01
positive regulation of macromolecule metabolic process (GO:0010604)	670	42	34.22	+	1.23	1.04E-01
negative regulation of biosynthetic process (GO:0009890)	335	21	17.11	+	1.23	2.00E-01
negative regulation of cellular biosynthetic process (GO:0031327)	335	21	17.11	+	1.23	2.00E-01
regulation of potassium ion transport (GO:0043266)	16	1	.82	+	1.22	5.59E-01
regulation of peptide secretion (GO:0002791)	16	1	.82	+	1.22	5.59E-01
positive regulation of cell cycle process (GO:0090068)	32	2	1.63	+	1.22	4.86E-01
maturation of SSU-rRNA (GO:0030490)	32	2	1.63	+	1.22	4.86E-01
chromosome organization involved in meiotic cell cycle (GO:0070192)	16	1	.82	+	1.22	5.59E-01
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	32	2	1.63	+	1.22	4.86E-01
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	16	1	.82	+	1.22	5.59E-01
skeletal system development (GO:0001501)	32	2	1.63	+	1.22	4.86E-01
taxis (GO:0042330)	160	10	8.17	+	1.22	3.04E-01
negative regulation of phosphorylation (GO:0042326)	48	3	2.45	+	1.22	4.44E-01
nucleosome organization (GO:0034728)	32	2	1.63	+	1.22	4.86E-01
establishment of cell polarity (GO:0030010)	16	1	.82	+	1.22	5.59E-01
DNA duplex unwinding (GO:0032508)	16	1	.82	+	1.22	5.59E-01
energy derivation by oxidation of organic compounds (GO:0015980)	64	4	3.27	+	1.22	4.13E-01
regulation of synapse organization (GO:0050807)	16	1	.82	+	1.22	5.59E-01
response to steroid hormone (GO:0048545)	16	1	.82	+	1.22	5.59E-01
heart morphogenesis (GO:0003007)	16	1	.82	+	1.22	5.59E-01
chemotaxis (GO:0006935)	160	10	8.17	+	1.22	3.04E-01
spliceosomal snRNP assembly (GO:0000387)	16	1	.82	+	1.22	5.59E-01
dendrite development (GO:0016358)	32	2	1.63	+	1.22	4.86E-01
modification-dependent macromolecule catabolic process (GO:0043632)	272	17	13.89	+	1.22	2.33E-01
intracellular protein transport (GO:0006886)	464	29	23.70	+	1.22	1.58E-01
peptide transport (GO:0015833)	544	34	27.79	+	1.22	1.36E-01
nuclear division (GO:0000280)	273	17	13.94	+	1.22	2.38E-01
peptide biosynthetic process (GO:0043043)	209	13	10.68	+	1.22	2.75E-01
cellular macromolecule metabolic process (GO:0044260)	3698	230	188.88	+	1.22	4.96E-04
response to nitrogen compound (GO:1901698)	145	9	7.41	+	1.22	3.25E-01
cellular metabolic process (GO:0044237)	4947	307	252.68	+	1.21	3.26E-05
cell development (GO:0048468)	339	21	17.32	+	1.21	2.15E-01
macromolecule catabolic process (GO:0009057)	436	27	22.27	+	1.21	1.80E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	307	19	15.68	+	1.21	2.30E-01
organelle organization (GO:0006996)	1617	100	82.59	+	1.21	2.74E-02
protein localization to cell periphery (GO:1990778)	81	5	4.14	+	1.21	3.98E-01
organelle localization (GO:0051640)	243	15	12.41	+	1.21	2.65E-01
establishment of localization in cell (GO:0051649)	778	48	39.74	+	1.21	1.06E-01
cell morphogenesis (GO:0000902)	227	14	11.59	+	1.21	2.75E-01
purine-containing compound metabolic process (GO:0072521)	146	9	7.46	+	1.21	3.32E-01
nitrogen compound metabolic process (GO:0006807)	4562	281	233.01	+	1.21	1.56E-04
protein modification by small protein removal (GO:0070646)	65	4	3.32	+	1.20	4.24E-01
pattern specification process (GO:0007389)	65	4	3.32	+	1.20	4.24E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	260	16	13.28	+	1.20	2.60E-01
organelle fission (GO:0048285)	293	18	14.97	+	1.20	2.47E-01
cellular response to DNA damage stimulus (GO:0006974)	228	14	11.65	+	1.20	2.81E-01
cellular localization (GO:0051641)	963	59	49.19	+	1.20	8.81E-02
amide transport (GO:0042886)	555	34	28.35	+	1.20	1.62E-01
Golgi organization (GO:0007030)	49	3	2.50	+	1.20	4.57E-01
metabolic process (GO:0008152)	5300	324	270.71	+	1.20	5.78E-05
cellular protein localization (GO:0034613)	638	39	32.59	+	1.20	1.46E-01
proteolysis involved in cellular protein catabolic process (GO:0051603)	295	18	15.07	+	1.19	2.55E-01
nucleoside phosphate metabolic process (GO:0006753)	164	10	8.38	+	1.19	3.31E-01
cellular macromolecule localization (GO:0070727)	640	39	32.69	+	1.19	1.50E-01
cell cycle (GO:0007049)	378	23	19.31	+	1.19	2.26E-01
cellular protein catabolic process (GO:0044257)	296	18	15.12	+	1.19	2.60E-01
cell cycle process (GO:0022402)	346	21	17.67	+	1.19	2.42E-01
cytoskeleton organization (GO:0007010)	561	34	28.65	+	1.19	1.77E-01
tissue morphogenesis (GO:0048729)	33	2	1.69	+	1.19	5.02E-01
cell recognition (GO:0008037)	33	2	1.69	+	1.19	5.02E-01
regulation of peptide transport (GO:0090087)	33	2	1.69	+	1.19	5.02E-01
regulation of nuclear division (GO:0051783)	33	2	1.69	+	1.19	5.02E-01
cellular amino acid biosynthetic process (GO:0008652)	33	2	1.69	+	1.19	5.02E-01
chromatin organization involved in regulation of transcription (GO:0034401)	33	2	1.69	+	1.19	5.02E-01
cellular monovalent inorganic cation homeostasis (GO:0030004)	33	2	1.69	+	1.19	5.02E-01
phospholipid transport (GO:0015914)	33	2	1.69	+	1.19	5.02E-01
centrosome cycle (GO:0007098)	33	2	1.69	+	1.19	5.02E-01
regulation of response to stress (GO:0080134)	116	7	5.92	+	1.18	3.82E-01
negative regulation of metabolic process (GO:0009892)	566	34	28.91	+	1.18	1.90E-01
positive regulation of metabolic process (GO:0009893)	750	45	38.31	+	1.17	1.53E-01
monocarboxylic acid metabolic process (GO:0032787)	150	9	7.66	+	1.17	3.60E-01
organelle assembly (GO:0070925)	268	16	13.69	+	1.17	2.99E-01
response to stress (GO:0006950)	772	46	39.43	+	1.17	1.61E-01
response to endogenous stimulus (GO:0009719)	235	14	12.00	+	1.17	3.18E-01
apoptotic process (GO:0006915)	185	11	9.45	+	1.16	3.48E-01
cellular response to endogenous stimulus (GO:0071495)	220	13	11.24	+	1.16	3.37E-01
small molecule metabolic process (GO:0044281)	576	34	29.42	+	1.16	2.18E-01
sulfur compound metabolic process (GO:0006790)	102	6	5.21	+	1.15	4.21E-01
RNA 3'-end processing (GO:0031123)	51	3	2.60	+	1.15	4.83E-01
M phase (GO:0000279)	34	2	1.74	+	1.15	5.18E-01
mitochondrial fission (GO:0000266)	17	1	.87	+	1.15	5.81E-01
positive regulation of cell cycle (GO:0045787)	34	2	1.74	+	1.15	5.18E-01
retrograde transport, endosome to Golgi (GO:0042147)	34	2	1.74	+	1.15	5.18E-01
regulation of dephosphorylation (GO:0035303)	17	1	.87	+	1.15	5.81E-01
DNA geometric change (GO:0032392)	17	1	.87	+	1.15	5.81E-01
protein catabolic process (GO:0030163)	323	19	16.50	+	1.15	2.99E-01
regulation of sodium ion transport (GO:0002028)	17	1	.87	+	1.15	5.81E-01
negative regulation of transport (GO:0051051)	34	2	1.74	+	1.15	5.18E-01
meiosis I cell cycle phase (GO:0098764)	34	2	1.74	+	1.15	5.18E-01
meiotic cell cycle phase (GO:0098762)	34	2	1.74	+	1.15	5.18E-01
positive regulation of leukocyte migration (GO:0002687)	17	1	.87	+	1.15	5.81E-01
snRNA processing (GO:0016180)	17	1	.87	+	1.15	5.81E-01
snRNA 3'-end processing (GO:0034472)	17	1	.87	+	1.15	5.81E-01
telophase (GO:0051326)	34	2	1.74	+	1.15	5.18E-01
meiotic telophase I (GO:0007134)	34	2	1.74	+	1.15	5.18E-01
biological phase (GO:0044848)	34	2	1.74	+	1.15	5.18E-01
meiosis I (GO:0007127)	34	2	1.74	+	1.15	5.18E-01
posttranscriptional gene silencing (GO:0016441)	17	1	.87	+	1.15	5.81E-01
cell cycle phase (GO:0022403)	34	2	1.74	+	1.15	5.18E-01
post-transcriptional gene silencing by RNA (GO:0035194)	17	1	.87	+	1.15	5.81E-01
positive regulation of protein kinase activity (GO:0045860)	68	4	3.47	+	1.15	4.58E-01
mitotic DNA damage checkpoint (GO:0044773)	17	1	.87	+	1.15	5.81E-01
nitrogen compound transport (GO:0071705)	663	39	33.86	+	1.15	2.05E-01
regulation of response to biotic stimulus (GO:0002831)	17	1	.87	+	1.15	5.81E-01
gene silencing by RNA (GO:0031047)	17	1	.87	+	1.15	5.81E-01
pteridine-containing compound metabolic process (GO:0042558)	17	1	.87	+	1.15	5.81E-01
histone H4 acetylation (GO:0043967)	17	1	.87	+	1.15	5.81E-01
organophosphate biosynthetic process (GO:0090407)	170	10	8.68	+	1.15	3.71E-01
L-amino acid transport (GO:0015807)	17	1	.87	+	1.15	5.81E-01
protein modification by small protein conjugation or removal (GO:0070647)	324	19	16.55	+	1.15	3.03E-01
amide biosynthetic process (GO:0043604)	239	14	12.21	+	1.15	3.40E-01
carboxylic acid metabolic process (GO:0019752)	308	18	15.73	+	1.14	3.15E-01
cellular component organization or biogenesis (GO:0071840)	2295	134	117.22	+	1.14	5.43E-02
translational elongation (GO:0006414)	206	12	10.52	+	1.14	3.63E-01
translation (GO:0006412)	206	12	10.52	+	1.14	3.63E-01
membrane organization (GO:0061024)	431	25	22.01	+	1.14	2.87E-01
vesicle-mediated transport (GO:0016192)	621	36	31.72	+	1.13	2.42E-01
programmed cell death (GO:0012501)	190	11	9.70	+	1.13	3.80E-01
negative regulation of macromolecule metabolic process (GO:0010605)	537	31	27.43	+	1.13	2.69E-01
establishment or maintenance of cell polarity (GO:0007163)	52	3	2.66	+	1.13	4.96E-01
cellular response to lipid (GO:0071396)	52	3	2.66	+	1.13	4.96E-01
ribonucleoprotein complex biogenesis (GO:0022613)	208	12	10.62	+	1.13	3.76E-01
protein modification by small protein conjugation (GO:0032446)	261	15	13.33	+	1.13	3.58E-01
cellular component organization (GO:0016043)	2181	125	111.40	+	1.12	9.26E-02
TOR signaling (GO:0031929)	35	2	1.79	+	1.12	5.34E-01
monosaccharide metabolic process (GO:0005996)	35	2	1.79	+	1.12	5.34E-01
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	70	4	3.58	+	1.12	4.80E-01
establishment of protein localization to vacuole (GO:0072666)	35	2	1.79	+	1.12	5.34E-01
actin cytoskeleton organization (GO:0030036)	245	14	12.51	+	1.12	3.73E-01
cellular response to organic substance (GO:0071310)	423	24	21.61	+	1.11	3.29E-01
microtubule-based process (GO:0007017)	388	22	19.82	+	1.11	3.40E-01
I-kappaB kinase/NF-kappaB signaling (GO:0007249)	53	3	2.71	+	1.11	5.08E-01
positive regulation of cell migration (GO:0030335)	53	3	2.71	+	1.11	5.08E-01
phosphate-containing compound metabolic process (GO:0006796)	972	55	49.65	+	1.11	2.35E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	462	26	23.60	+	1.10	3.35E-01
regulation of protein-containing complex assembly (GO:0043254)	89	5	4.55	+	1.10	4.77E-01
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	89	5	4.55	+	1.10	4.77E-01
response to organic substance (GO:0010033)	499	28	25.49	+	1.10	3.33E-01
regulation of anatomical structure morphogenesis (GO:0022603)	107	6	5.47	+	1.10	4.65E-01
phosphorus metabolic process (GO:0006793)	984	55	50.26	+	1.09	2.64E-01
organic acid metabolic process (GO:0006082)	340	19	17.37	+	1.09	3.78E-01
regulation of cell cycle (GO:0051726)	179	10	9.14	+	1.09	4.31E-01
establishment of organelle localization (GO:0051656)	197	11	10.06	+	1.09	4.25E-01
negative regulation of cellular metabolic process (GO:0031324)	485	27	24.77	+	1.09	3.52E-01
organic substance transport (GO:0071702)	773	43	39.48	+	1.09	3.05E-01
regulation of cellular process (GO:0050794)	4301	239	219.68	+	1.09	7.03E-02
regulation of cell projection assembly (GO:0060491)	18	1	.92	+	1.09	6.01E-01
organelle disassembly (GO:1903008)	36	2	1.84	+	1.09	5.49E-01
protein localization to vacuole (GO:0072665)	36	2	1.84	+	1.09	5.49E-01
regulation of Notch signaling pathway (GO:0008593)	18	1	.92	+	1.09	6.01E-01
membrane protein proteolysis (GO:0033619)	18	1	.92	+	1.09	6.01E-01
regulation of cellular response to stress (GO:0080135)	72	4	3.68	+	1.09	5.01E-01
ATP metabolic process (GO:0046034)	54	3	2.76	+	1.09	5.21E-01
cilium movement (GO:0003341)	36	2	1.84	+	1.09	5.49E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	18	1	.92	+	1.09	6.01E-01
actomyosin structure organization (GO:0031032)	36	2	1.84	+	1.09	5.49E-01
cell fate commitment (GO:0045165)	54	3	2.76	+	1.09	5.21E-01
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	18	1	.92	+	1.09	6.01E-01
phosphorylation (GO:0016310)	650	36	33.20	+	1.08	3.34E-01
regulation of biological process (GO:0050789)	4501	249	229.90	+	1.08	7.54E-02
oxoacid metabolic process (GO:0043436)	326	18	16.65	+	1.08	4.02E-01
cellular nitrogen compound catabolic process (GO:0044270)	145	8	7.41	+	1.08	4.62E-01
small molecule catabolic process (GO:0044282)	127	7	6.49	+	1.08	4.72E-01
actin filament-based process (GO:0030029)	254	14	12.97	+	1.08	4.24E-01
cellular amino acid metabolic process (GO:0006520)	127	7	6.49	+	1.08	4.72E-01
regulation of developmental process (GO:0050793)	219	12	11.19	+	1.07	4.43E-01
cellular process (GO:0009987)	8508	466	434.56	+	1.07	1.57E-02
cellular amide metabolic process (GO:0043603)	347	19	17.72	+	1.07	4.12E-01
cellular component biogenesis (GO:0044085)	859	47	43.88	+	1.07	3.35E-01
negative regulation of biological process (GO:0048519)	1006	55	51.38	+	1.07	3.21E-01
organic substance catabolic process (GO:1901575)	677	37	34.58	+	1.07	3.60E-01
biological regulation (GO:0065007)	4924	269	251.50	+	1.07	1.00E-01
protein ubiquitination (GO:0016567)	238	13	12.16	+	1.07	4.42E-01
cellular protein metabolic process (GO:0044267)	1686	92	86.12	+	1.07	2.67E-01
regulation of MAP kinase activity (GO:0043405)	55	3	2.81	+	1.07	5.33E-01
ribosomal large subunit biogenesis (GO:0042273)	55	3	2.81	+	1.07	5.33E-01
catabolic process (GO:0009056)	826	45	42.19	+	1.07	3.50E-01
oxidation-reduction process (GO:0055114)	202	11	10.32	+	1.07	4.57E-01
aromatic compound catabolic process (GO:0019439)	147	8	7.51	+	1.07	4.77E-01
heterocycle catabolic process (GO:0046700)	147	8	7.51	+	1.07	4.77E-01
tissue development (GO:0009888)	147	8	7.51	+	1.07	4.77E-01
mitotic cell cycle checkpoint (GO:0007093)	37	2	1.89	+	1.06	5.64E-01
response to chemical (GO:0042221)	743	40	37.95	+	1.05	3.89E-01
nucleotide biosynthetic process (GO:0009165)	93	5	4.75	+	1.05	5.15E-01
biological_process (GO:0008150)	9146	491	467.15	+	1.05	5.08E-02
small molecule biosynthetic process (GO:0044283)	168	9	8.58	+	1.05	4.88E-01
positive regulation of cellular process (GO:0048522)	1084	58	55.37	+	1.05	3.76E-01
cellular catabolic process (GO:0044248)	730	39	37.29	+	1.05	4.10E-01
cell death (GO:0008219)	206	11	10.52	+	1.05	4.82E-01
positive regulation of organelle organization (GO:0010638)	75	4	3.83	+	1.04	5.33E-01
purine nucleotide biosynthetic process (GO:0006164)	75	4	3.83	+	1.04	5.33E-01
regulation of secretion by cell (GO:1903530)	75	4	3.83	+	1.04	5.33E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	75	4	3.83	+	1.04	5.33E-01
negative regulation of protein modification process (GO:0031400)	57	3	2.91	+	1.03	5.57E-01
positive regulation of cell motility (GO:2000147)	57	3	2.91	+	1.03	5.57E-01
positive regulation of cellular component movement (GO:0051272)	57	3	2.91	+	1.03	5.57E-01
peptide metabolic process (GO:0006518)	266	14	13.59	+	1.03	4.92E-01
regulation of angiogenesis (GO:0045765)	19	1	.97	+	1.03	6.21E-01
negative regulation of Wnt signaling pathway (GO:0030178)	38	2	1.94	+	1.03	5.78E-01
rRNA modification (GO:0000154)	19	1	.97	+	1.03	6.21E-01
regulation of mitotic sister chromatid segregation (GO:0033047)	19	1	.97	+	1.03	6.21E-01
maturation of 5.8S rRNA (GO:0000460)	19	1	.97	+	1.03	6.21E-01
regulation of blood pressure (GO:0008217)	19	1	.97	+	1.03	6.21E-01
mRNA polyadenylation (GO:0006378)	19	1	.97	+	1.03	6.21E-01
regulation of vasculature development (GO:1901342)	19	1	.97	+	1.03	6.21E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	19	1	.97	+	1.03	6.21E-01
proteasomal protein catabolic process (GO:0010498)	190	10	9.70	+	1.03	5.05E-01
regulation of DNA repair (GO:0006282)	19	1	.97	+	1.03	6.21E-01
nucleoside phosphate biosynthetic process (GO:1901293)	95	5	4.85	+	1.03	5.34E-01
Golgi vesicle budding (GO:0048194)	19	1	.97	+	1.03	6.21E-01
regulation of dendrite development (GO:0050773)	19	1	.97	+	1.03	6.21E-01
extrinsic apoptotic signaling pathway in absence of ligand (GO:0097192)	19	1	.97	+	1.03	6.21E-01
cellular protein modification process (GO:0006464)	1212	63	61.91	+	1.02	4.61E-01
protein modification process (GO:0036211)	1212	63	61.91	+	1.02	4.61E-01
regulation of secretion (GO:0051046)	77	4	3.93	+	1.02	5.54E-01
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	58	3	2.96	+	1.01	5.69E-01
protein deubiquitination (GO:0016579)	58	3	2.96	+	1.01	5.69E-01
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	58	3	2.96	+	1.01	5.69E-01
positive regulation of locomotion (GO:0040017)	58	3	2.96	+	1.01	5.69E-01
protein metabolic process (GO:0019538)	1895	98	96.79	+	1.01	4.64E-01
macromolecule modification (GO:0043412)	1296	67	66.20	+	1.01	4.77E-01
organophosphate ester transport (GO:0015748)	39	2	1.99	+	1.00	5.92E-01
tRNA modification (GO:0006400)	39	2	1.99	+	1.00	5.92E-01
negative regulation of kinase activity (GO:0033673)	39	2	1.99	+	1.00	5.92E-01
microtubule polymerization or depolymerization (GO:0031109)	39	2	1.99	+	1.00	5.92E-01
sensory organ development (GO:0007423)	39	2	1.99	+	1.00	5.92E-01
ribose phosphate biosynthetic process (GO:0046390)	78	4	3.98	+	1.00	5.64E-01
purine-containing compound biosynthetic process (GO:0072522)	78	4	3.98	+	1.00	5.64E-01
microtubule organizing center organization (GO:0031023)	39	2	1.99	+	1.00	5.92E-01
membrane fission (GO:0090148)	39	2	1.99	+	1.00	5.92E-01
homeostatic process (GO:0042592)	332	17	16.96	+	1.00	5.29E-01
proteolysis (GO:0006508)	586	30	29.93	+	1.00	5.21E-01
organonitrogen compound metabolic process (GO:1901564)	2288	117	116.86	+	1.00	5.10E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	196	10	10.01	-	1.00	5.82E-01
cellular protein-containing complex assembly (GO:0034622)	334	17	17.06	-	1.00	5.58E-01
cellular response to chemical stimulus (GO:0070887)	531	27	27.12	-	1.00	5.41E-01
protein acylation (GO:0043543)	79	4	4.04	-	.99	6.22E-01
establishment of protein localization to organelle (GO:0072594)	158	8	8.07	-	.99	5.83E-01
negative regulation of response to stimulus (GO:0048585)	237	12	12.11	-	.99	5.64E-01
regulation of multicellular organismal process (GO:0051239)	297	15	15.17	-	.99	5.51E-01
negative regulation of cellular process (GO:0048523)	893	45	45.61	-	.99	5.02E-01
enzyme linked receptor protein signaling pathway (GO:0007167)	298	15	15.22	-	.99	5.45E-01
cellular response to stimulus (GO:0051716)	2107	106	107.62	-	.98	4.59E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	179	9	9.14	-	.98	5.69E-01
establishment of localization (GO:0051234)	1654	83	84.48	-	.98	4.61E-01
nervous system development (GO:0007399)	439	22	22.42	-	.98	5.20E-01
localization (GO:0051179)	2058	103	105.12	-	.98	4.38E-01
ceramide biosynthetic process (GO:0046513)	20	1	1.02	-	.98	7.28E-01
peptidyl-threonine phosphorylation (GO:0018107)	20	1	1.02	-	.98	7.28E-01
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	20	1	1.02	-	.98	7.28E-01
integrin-mediated signaling pathway (GO:0007229)	20	1	1.02	-	.98	7.28E-01
Notch signaling pathway (GO:0007219)	40	2	2.04	-	.98	6.65E-01
regulation of leukocyte migration (GO:0002685)	20	1	1.02	-	.98	7.28E-01
negative regulation of transferase activity (GO:0051348)	40	2	2.04	-	.98	6.65E-01
epidermal growth factor receptor signaling pathway (GO:0007173)	20	1	1.02	-	.98	7.28E-01
cytosolic transport (GO:0016482)	40	2	2.04	-	.98	6.65E-01
aminoglycan biosynthetic process (GO:0006023)	20	1	1.02	-	.98	7.28E-01
DNA-templated transcription, elongation (GO:0006354)	20	1	1.02	-	.98	7.28E-01
positive regulation of T cell activation (GO:0050870)	20	1	1.02	-	.98	7.28E-01
anterior/posterior pattern specification (GO:0009952)	40	2	2.04	-	.98	6.65E-01
G2/M transition of mitotic cell cycle (GO:0000086)	20	1	1.02	-	.98	7.28E-01
positive regulation of axonogenesis (GO:0050772)	20	1	1.02	-	.98	7.28E-01
lipid transport (GO:0006869)	80	4	4.09	-	.98	6.12E-01
positive regulation of Ras protein signal transduction (GO:0046579)	20	1	1.02	-	.98	7.28E-01
reproductive process (GO:0022414)	140	7	7.15	-	.98	5.76E-01
reproduction (GO:0000003)	140	7	7.15	-	.98	5.76E-01
cellular component assembly (GO:0022607)	741	37	37.85	-	.98	4.87E-01
positive regulation of biological process (GO:0048518)	1227	61	62.67	-	.97	4.46E-01
intracellular signal transduction (GO:0035556)	705	35	36.01	-	.97	4.76E-01
protein-containing complex subunit organization (GO:0043933)	425	21	21.71	-	.97	4.96E-01
embryo development (GO:0009790)	81	4	4.14	-	.97	6.02E-01
positive regulation of DNA-binding transcription factor activity (GO:0051091)	81	4	4.14	-	.97	6.02E-01
organic cyclic compound catabolic process (GO:1901361)	163	8	8.33	-	.96	5.47E-01
positive regulation of supramolecular fiber organization (GO:1902905)	41	2	2.09	-	.96	6.51E-01
histone acetylation (GO:0016573)	41	2	2.09	-	.96	6.51E-01
internal protein amino acid acetylation (GO:0006475)	41	2	2.09	-	.96	6.51E-01
peptidyl-lysine acetylation (GO:0018394)	41	2	2.09	-	.96	6.51E-01
internal peptidyl-lysine acetylation (GO:0018393)	41	2	2.09	-	.96	6.51E-01
regulation of cellular response to growth factor stimulus (GO:0090287)	41	2	2.09	-	.96	6.51E-01
positive regulation of cellular protein metabolic process (GO:0032270)	308	15	15.73	-	.95	4.93E-01
response to stimulus (GO:0050896)	2444	119	124.83	-	.95	3.05E-01
transport (GO:0006810)	1627	79	83.10	-	.95	3.43E-01
organonitrogen compound catabolic process (GO:1901565)	433	21	22.12	-	.95	4.61E-01
