




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_background.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	arabidopsis_background.txt - REFLIST (14244)	upload_1 (1970)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
pseudouridine synthesis (GO:0001522)	6	1	.83	+	1.21	5.64E-01
protein secretion (GO:0009306)	6	1	.83	+	1.21	5.64E-01
steroid hormone mediated signaling pathway (GO:0043401)	12	2	1.66	+	1.21	4.94E-01
plant-type cell wall organization (GO:0009664)	6	1	.83	+	1.21	5.64E-01
maintenance of location in cell (GO:0051651)	30	5	4.15	+	1.21	4.00E-01
negative regulation of mitotic sister chromatid separation (GO:2000816)	6	1	.83	+	1.21	5.64E-01
cell cycle G1/S phase transition (GO:0044843)	6	1	.83	+	1.21	5.64E-01
positive regulation of kinase activity (GO:0033674)	6	1	.83	+	1.21	5.64E-01
DNA synthesis involved in DNA repair (GO:0000731)	6	1	.83	+	1.21	5.64E-01
response to toxic substance (GO:0009636)	18	3	2.49	+	1.21	4.54E-01
negative regulation of chromosome segregation (GO:0051985)	6	1	.83	+	1.21	5.64E-01
chromatin assembly (GO:0031497)	30	5	4.15	+	1.21	4.00E-01
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	6	1	.83	+	1.21	5.64E-01
copper ion homeostasis (GO:0055070)	6	1	.83	+	1.21	5.64E-01
cellular response to chemical stress (GO:0062197)	30	5	4.15	+	1.21	4.00E-01
nuclear envelope organization (GO:0006998)	6	1	.83	+	1.21	5.64E-01
nucleus organization (GO:0006997)	12	2	1.66	+	1.21	4.94E-01
response to steroid hormone (GO:0048545)	12	2	1.66	+	1.21	4.94E-01
G1/S transition of mitotic cell cycle (GO:0000082)	6	1	.83	+	1.21	5.64E-01
transition metal ion transport (GO:0000041)	30	5	4.15	+	1.21	4.00E-01
vesicle budding from membrane (GO:0006900)	66	11	9.13	+	1.21	3.09E-01
mitotic spindle assembly checkpoint (GO:0007094)	6	1	.83	+	1.21	5.64E-01
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	6	1	.83	+	1.21	5.64E-01
negative regulation of mitotic nuclear division (GO:0045839)	6	1	.83	+	1.21	5.64E-01
pattern specification process (GO:0007389)	6	1	.83	+	1.21	5.64E-01
regulation of DNA replication (GO:0006275)	6	1	.83	+	1.21	5.64E-01
regulation of mitotic cell cycle (GO:0007346)	30	5	4.15	+	1.21	4.00E-01
positive regulation of DNA-templated transcription, elongation (GO:0032786)	18	3	2.49	+	1.21	4.54E-01
COPII-coated vesicle budding (GO:0090114)	6	1	.83	+	1.21	5.64E-01
cellular response to steroid hormone stimulus (GO:0071383)	12	2	1.66	+	1.21	4.94E-01
cellular copper ion homeostasis (GO:0006878)	6	1	.83	+	1.21	5.64E-01
protein sumoylation (GO:0016925)	12	2	1.66	+	1.21	4.94E-01
cortical cytoskeleton organization (GO:0030865)	6	1	.83	+	1.21	5.64E-01
protein localization to extracellular region (GO:0071692)	6	1	.83	+	1.21	5.64E-01
regulation of cell morphogenesis (GO:0022604)	6	1	.83	+	1.21	5.64E-01
negative regulation of chromatin silencing (GO:0031936)	6	1	.83	+	1.21	5.64E-01
organonitrogen compound catabolic process (GO:1901565)	427	71	59.06	+	1.20	6.83E-02
signaling (GO:0023052)	379	63	52.42	+	1.20	8.19E-02
signal transduction (GO:0007165)	379	63	52.42	+	1.20	8.19E-02
homeostatic process (GO:0042592)	169	28	23.37	+	1.20	1.93E-01
response to chemical (GO:0042221)	260	43	35.96	+	1.20	1.36E-01
inorganic ion homeostasis (GO:0098771)	97	16	13.42	+	1.19	2.74E-01
establishment of localization (GO:0051234)	867	143	119.91	+	1.19	1.86E-02
cellular response to chemical stimulus (GO:0070887)	188	31	26.00	+	1.19	1.85E-01
organelle organization (GO:0006996)	813	134	112.44	+	1.19	2.26E-02
cellular process (GO:0009987)	4597	755	635.78	+	1.19	8.44E-09
protein catabolic process (GO:0030163)	323	53	44.67	+	1.19	1.20E-01
negative regulation of biological process (GO:0048519)	183	30	25.31	+	1.19	1.98E-01
plant-type cell wall organization or biogenesis (GO:0071669)	55	9	7.61	+	1.18	3.53E-01
plant-type cell wall biogenesis (GO:0009832)	55	9	7.61	+	1.18	3.53E-01
localization (GO:0051179)	936	153	129.45	+	1.18	2.00E-02
ion homeostasis (GO:0050801)	104	17	14.38	+	1.18	2.78E-01
regulation of biological process (GO:0050789)	1248	204	172.60	+	1.18	7.96E-03
negative regulation of cellular metabolic process (GO:0031324)	98	16	13.55	+	1.18	2.87E-01
cellular amide metabolic process (GO:0043603)	337	55	46.61	+	1.18	1.22E-01
cellular protein catabolic process (GO:0044257)	319	52	44.12	+	1.18	1.32E-01
proteolysis involved in cellular protein catabolic process (GO:0051603)	319	52	44.12	+	1.18	1.32E-01
lipid biosynthetic process (GO:0008610)	148	24	20.47	+	1.17	2.44E-01
glutathione metabolic process (GO:0006749)	37	6	5.12	+	1.17	4.05E-01
nucleosome organization (GO:0034728)	31	5	4.29	+	1.17	4.27E-01
biological_process (GO:0008150)	5227	843	722.91	+	1.17	1.55E-08
cellular lipid catabolic process (GO:0044242)	56	9	7.75	+	1.16	3.72E-01
lipid catabolic process (GO:0016042)	56	9	7.75	+	1.16	3.72E-01
positive regulation of RNA metabolic process (GO:0051254)	131	21	18.12	+	1.16	2.78E-01
membrane invagination (GO:0010324)	50	8	6.92	+	1.16	3.89E-01
folic acid-containing compound metabolic process (GO:0006760)	25	4	3.46	+	1.16	4.54E-01
inorganic anion transport (GO:0015698)	25	4	3.46	+	1.16	4.54E-01
protein localization to endoplasmic reticulum (GO:0070972)	25	4	3.46	+	1.16	4.54E-01
vacuole organization (GO:0007033)	25	4	3.46	+	1.16	4.54E-01
endocytosis (GO:0006897)	50	8	6.92	+	1.16	3.89E-01
ncRNA processing (GO:0034470)	150	24	20.75	+	1.16	2.64E-01
cellular biosynthetic process (GO:0044249)	1389	222	192.10	+	1.16	1.41E-02
positive regulation of biological process (GO:0048518)	213	34	29.46	+	1.15	2.23E-01
cellular modified amino acid metabolic process (GO:0006575)	69	11	9.54	+	1.15	3.60E-01
cellular metabolic process (GO:0044237)	3304	526	456.96	+	1.15	1.57E-04
peptidyl-amino acid modification (GO:0018193)	176	28	24.34	+	1.15	2.53E-01
cellular amino acid biosynthetic process (GO:0008652)	107	17	14.80	+	1.15	3.16E-01
biosynthetic process (GO:0009058)	1448	230	200.26	+	1.15	1.60E-02
organonitrogen compound metabolic process (GO:1901564)	1808	287	250.05	+	1.15	7.62E-03
positive regulation of cellular process (GO:0048522)	208	33	28.77	+	1.15	2.37E-01
amide biosynthetic process (GO:0043604)	246	39	34.02	+	1.15	2.16E-01
organic substance metabolic process (GO:0071704)	3400	539	470.23	+	1.15	1.88E-04
cellular component organization (GO:0016043)	959	152	132.63	+	1.15	4.71E-02
organic substance biosynthetic process (GO:1901576)	1426	226	197.22	+	1.15	1.83E-02
peptide metabolic process (GO:0006518)	272	43	37.62	+	1.14	2.08E-01
biological regulation (GO:0065007)	1474	233	203.86	+	1.14	1.85E-02
purine nucleoside triphosphate biosynthetic process (GO:0009145)	38	6	5.26	+	1.14	4.29E-01
purine nucleoside triphosphate metabolic process (GO:0009144)	38	6	5.26	+	1.14	4.29E-01
organophosphate ester transport (GO:0015748)	19	3	2.63	+	1.14	4.89E-01
nucleosome assembly (GO:0006334)	19	3	2.63	+	1.14	4.89E-01
Golgi organization (GO:0007030)	19	3	2.63	+	1.14	4.89E-01
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	38	6	5.26	+	1.14	4.29E-01
purine ribonucleoside triphosphate metabolic process (GO:0009205)	38	6	5.26	+	1.14	4.29E-01
response to oxygen-containing compound (GO:1901700)	133	21	18.39	+	1.14	3.01E-01
chemical homeostasis (GO:0048878)	133	21	18.39	+	1.14	3.01E-01
metabolic process (GO:0008152)	3626	572	501.49	+	1.14	1.76E-04
DNA repair (GO:0006281)	127	20	17.56	+	1.14	3.10E-01
cellular component organization or biogenesis (GO:0071840)	1125	177	155.59	+	1.14	4.23E-02
regulation of cellular process (GO:0050794)	1139	179	157.53	+	1.14	4.27E-02
regulation of translation (GO:0006417)	51	8	7.05	+	1.13	4.09E-01
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	134	21	18.53	+	1.13	3.12E-01
glucan biosynthetic process (GO:0009250)	32	5	4.43	+	1.13	4.54E-01
cellular response to oxygen-containing compound (GO:1901701)	77	12	10.65	+	1.13	3.79E-01
cellular response to DNA damage stimulus (GO:0006974)	135	21	18.67	+	1.12	3.24E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	90	14	12.45	+	1.12	3.66E-01
primary metabolic process (GO:0044238)	3089	480	427.22	+	1.12	2.38E-03
organic hydroxy compound biosynthetic process (GO:1901617)	71	11	9.82	+	1.12	3.94E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	252	39	34.85	+	1.12	2.61E-01
chromosome organization (GO:0051276)	181	28	25.03	+	1.12	3.01E-01
translational elongation (GO:0006414)	214	33	29.60	+	1.11	2.88E-01
translation (GO:0006412)	214	33	29.60	+	1.11	2.88E-01
heterocycle metabolic process (GO:0046483)	1410	217	195.01	+	1.11	5.41E-02
ribonucleoside triphosphate metabolic process (GO:0009199)	39	6	5.39	+	1.11	4.53E-01
cellular response to topologically incorrect protein (GO:0035967)	39	6	5.39	+	1.11	4.53E-01
response to topologically incorrect protein (GO:0035966)	39	6	5.39	+	1.11	4.53E-01
response to stress (GO:0006950)	507	78	70.12	+	1.11	1.84E-01
ribonucleoside triphosphate biosynthetic process (GO:0009201)	39	6	5.39	+	1.11	4.53E-01
regulation of cellular amide metabolic process (GO:0034248)	52	8	7.19	+	1.11	4.30E-01
regulation of transcription elongation from RNA polymerase II promoter (GO:0034243)	13	2	1.80	+	1.11	5.37E-01
cell-cell signaling (GO:0007267)	13	2	1.80	+	1.11	5.37E-01
sister chromatid segregation (GO:0000819)	26	4	3.60	+	1.11	4.84E-01
branched-chain amino acid biosynthetic process (GO:0009082)	13	2	1.80	+	1.11	5.37E-01
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	13	2	1.80	+	1.11	5.37E-01
amino sugar metabolic process (GO:0006040)	13	2	1.80	+	1.11	5.37E-01
negative regulation of chromosome organization (GO:2001251)	13	2	1.80	+	1.11	5.37E-01
Wnt signaling pathway (GO:0016055)	13	2	1.80	+	1.11	5.37E-01
tissue development (GO:0009888)	13	2	1.80	+	1.11	5.37E-01
cell-cell signaling by wnt (GO:0198738)	13	2	1.80	+	1.11	5.37E-01
proteolysis (GO:0006508)	444	68	61.41	+	1.11	2.13E-01
phosphorylation (GO:0016310)	458	70	63.34	+	1.11	2.14E-01
methylation (GO:0032259)	72	11	9.96	+	1.10	4.12E-01
peptide biosynthetic process (GO:0043043)	216	33	29.87	+	1.10	3.06E-01
cellular nitrogen compound metabolic process (GO:0034641)	1639	250	226.68	+	1.10	5.51E-02
organic cyclic compound metabolic process (GO:1901360)	1504	229	208.01	+	1.10	6.80E-02
chromatin assembly or disassembly (GO:0006333)	33	5	4.56	+	1.10	4.80E-01
negative regulation of cellular process (GO:0048523)	133	20	18.39	+	1.09	3.84E-01
nucleobase-containing compound metabolic process (GO:0006139)	1318	198	182.28	+	1.09	1.19E-01
cellular aromatic compound metabolic process (GO:0006725)	1458	219	201.65	+	1.09	1.06E-01
calcium ion transmembrane transport (GO:0070588)	20	3	2.77	+	1.08	5.23E-01
glycerolipid biosynthetic process (GO:0045017)	20	3	2.77	+	1.08	5.23E-01
organelle localization (GO:0051640)	100	15	13.83	+	1.08	4.12E-01
mRNA 3'-end processing (GO:0031124)	20	3	2.77	+	1.08	5.23E-01
acyl-CoA metabolic process (GO:0006637)	20	3	2.77	+	1.08	5.23E-01
endoplasmic reticulum unfolded protein response (GO:0030968)	20	3	2.77	+	1.08	5.23E-01
regulation of DNA-templated transcription, elongation (GO:0032784)	20	3	2.77	+	1.08	5.23E-01
calcium ion transport (GO:0006816)	20	3	2.77	+	1.08	5.23E-01
regulation of biological quality (GO:0065008)	274	41	37.90	+	1.08	3.27E-01
regulation of organelle organization (GO:0033043)	67	10	9.27	+	1.08	4.48E-01
response to lipid (GO:0033993)	47	7	6.50	+	1.08	4.74E-01
nitrogen compound metabolic process (GO:0006807)	2808	418	388.36	+	1.08	5.04E-02
protein metabolic process (GO:0019538)	1326	197	183.39	+	1.07	1.55E-01
heterocycle biosynthetic process (GO:0018130)	761	113	105.25	+	1.07	2.32E-01
cellular response to organic substance (GO:0071310)	135	20	18.67	+	1.07	4.09E-01
receptor-mediated endocytosis (GO:0006898)	27	4	3.73	+	1.07	5.13E-01
cellular respiration (GO:0045333)	61	9	8.44	+	1.07	4.68E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	997	147	137.89	+	1.07	2.22E-01
regulation of hormone levels (GO:0010817)	34	5	4.70	+	1.06	5.06E-01
DNA packaging (GO:0006323)	34	5	4.70	+	1.06	5.06E-01
transmembrane transport (GO:0055085)	218	32	30.15	+	1.06	3.91E-01
vesicle-mediated transport (GO:0016192)	266	39	36.79	+	1.06	3.79E-01
modification-dependent macromolecule catabolic process (GO:0043632)	273	40	37.76	+	1.06	3.78E-01
aromatic amino acid family metabolic process (GO:0009072)	41	6	5.67	+	1.06	5.00E-01
cell surface receptor signaling pathway (GO:0007166)	48	7	6.64	+	1.05	4.95E-01
cellular response to endogenous stimulus (GO:0071495)	96	14	13.28	+	1.05	4.58E-01
dephosphorylation (GO:0016311)	55	8	7.61	+	1.05	4.91E-01
cellular macromolecule metabolic process (GO:0044260)	2003	291	277.02	+	1.05	1.91E-01
cellular protein metabolic process (GO:0044267)	1267	184	175.23	+	1.05	2.54E-01
gene expression (GO:0010467)	1131	164	156.42	+	1.05	2.75E-01
modification-dependent protein catabolic process (GO:0019941)	269	39	37.20	+	1.05	4.05E-01
reproductive process (GO:0022414)	97	14	13.42	+	1.04	4.73E-01
reproduction (GO:0000003)	97	14	13.42	+	1.04	4.73E-01
macromolecule metabolic process (GO:0043170)	2476	355	342.44	+	1.04	2.36E-01
regulation of phosphorylation (GO:0042325)	49	7	6.78	+	1.03	5.17E-01
regulation of gene expression (GO:0010468)	665	95	91.97	+	1.03	3.88E-01
positive regulation of actin filament polymerization (GO:0030838)	7	1	.97	+	1.03	6.20E-01
electron transport chain (GO:0022900)	28	4	3.87	+	1.03	5.41E-01
negative regulation of nuclear division (GO:0051784)	7	1	.97	+	1.03	6.20E-01
translational termination (GO:0006415)	7	1	.97	+	1.03	6.20E-01
positive regulation of transferase activity (GO:0051347)	7	1	.97	+	1.03	6.20E-01
aminoglycan metabolic process (GO:0006022)	7	1	.97	+	1.03	6.20E-01
regulation of gene silencing (GO:0060968)	7	1	.97	+	1.03	6.20E-01
metal ion transport (GO:0030001)	84	12	11.62	+	1.03	4.94E-01
regulation of protein localization (GO:0032880)	7	1	.97	+	1.03	6.20E-01
triglyceride metabolic process (GO:0006641)	7	1	.97	+	1.03	6.20E-01
acylglycerol metabolic process (GO:0006639)	7	1	.97	+	1.03	6.20E-01
neutral lipid metabolic process (GO:0006638)	7	1	.97	+	1.03	6.20E-01
protein targeting to mitochondrion (GO:0006626)	28	4	3.87	+	1.03	5.41E-01
negative regulation of mitotic cell cycle phase transition (GO:1901991)	14	2	1.94	+	1.03	5.77E-01
negative regulation of cell cycle phase transition (GO:1901988)	14	2	1.94	+	1.03	5.77E-01
ribosomal subunit export from nucleus (GO:0000054)	14	2	1.94	+	1.03	5.77E-01
Arp2/3 complex-mediated actin nucleation (GO:0034314)	7	1	.97	+	1.03	6.20E-01
second-messenger-mediated signaling (GO:0019932)	35	5	4.84	+	1.03	5.31E-01
dicarboxylic acid transport (GO:0006835)	7	1	.97	+	1.03	6.20E-01
regulation of chromatin silencing (GO:0031935)	7	1	.97	+	1.03	6.20E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	702	100	97.09	+	1.03	3.95E-01
organic cyclic compound biosynthetic process (GO:1901362)	826	117	114.24	+	1.02	4.08E-01
cellular macromolecule biosynthetic process (GO:0034645)	926	131	128.07	+	1.02	4.07E-01
regulation of RNA metabolic process (GO:0051252)	524	74	72.47	+	1.02	4.44E-01
positive regulation of metabolic process (GO:0009893)	185	26	25.59	+	1.02	4.94E-01
response to organic substance (GO:0010033)	185	26	25.59	+	1.02	4.94E-01
macromolecule biosynthetic process (GO:0009059)	941	132	130.14	+	1.01	4.46E-01
mitochondrial transport (GO:0006839)	50	7	6.92	+	1.01	5.38E-01
positive regulation of gene expression (GO:0010628)	143	20	19.78	+	1.01	5.10E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	143	20	19.78	+	1.01	5.10E-01
positive regulation of biosynthetic process (GO:0009891)	143	20	19.78	+	1.01	5.10E-01
positive regulation of cellular biosynthetic process (GO:0031328)	143	20	19.78	+	1.01	5.10E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	179	25	24.76	+	1.01	5.08E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	537	75	74.27	+	1.01	4.82E-01
ribosomal large subunit biogenesis (GO:0042273)	72	10	9.96	+	1.00	5.37E-01
lipid transport (GO:0006869)	36	5	4.98	+	1.00	5.56E-01
positive regulation of macromolecule metabolic process (GO:0010604)	180	25	24.89	+	1.00	5.19E-01
protein polyubiquitination (GO:0000209)	65	9	8.99	+	1.00	5.43E-01
regulation of cellular macromolecule biosynthetic process (GO:2000112)	542	75	74.96	+	1.00	5.14E-01
hormone-mediated signaling pathway (GO:0009755)	94	13	13.00	-	1.00	5.73E-01
cellular response to hormone stimulus (GO:0032870)	94	13	13.00	-	1.00	5.73E-01
positive regulation of nucleic acid-templated transcription (GO:1903508)	123	17	17.01	-	1.00	5.63E-01
positive regulation of transcription, DNA-templated (GO:0045893)	123	17	17.01	-	1.00	5.63E-01
positive regulation of RNA biosynthetic process (GO:1902680)	123	17	17.01	-	1.00	5.63E-01
regulation of macromolecule biosynthetic process (GO:0010556)	543	75	75.10	-	1.00	5.26E-01
nucleic acid-templated transcription (GO:0097659)	529	73	73.16	-	1.00	5.23E-01
transcription, DNA-templated (GO:0006351)	529	73	73.16	-	1.00	5.23E-01
regulation of cellular biosynthetic process (GO:0031326)	552	76	76.34	-	1.00	5.14E-01
regulation of metabolic process (GO:0019222)	799	110	110.50	-	1.00	5.06E-01
ribosome biogenesis (GO:0042254)	189	26	26.14	-	.99	5.41E-01
ribonucleoprotein complex biogenesis (GO:0022613)	211	29	29.18	-	.99	5.36E-01
DNA metabolic process (GO:0006259)	182	25	25.17	-	.99	5.39E-01
positive regulation of cellular metabolic process (GO:0031325)	182	25	25.17	-	.99	5.39E-01
aromatic compound biosynthetic process (GO:0019438)	794	109	109.81	-	.99	4.94E-01
regulation of transcription, DNA-templated (GO:0006355)	481	66	66.52	-	.99	5.07E-01
regulation of nucleic acid-templated transcription (GO:1903506)	481	66	66.52	-	.99	5.07E-01
regulation of RNA biosynthetic process (GO:2001141)	481	66	66.52	-	.99	5.07E-01
regulation of biosynthetic process (GO:0009889)	555	76	76.76	-	.99	4.95E-01
regulation of macromolecule metabolic process (GO:0060255)	775	106	107.19	-	.99	4.79E-01
response to endogenous stimulus (GO:0009719)	117	16	16.18	-	.99	5.48E-01
nucleic acid metabolic process (GO:0090304)	1134	155	156.84	-	.99	4.60E-01
ion transport (GO:0006811)	249	34	34.44	-	.99	5.15E-01
posttranscriptional regulation of gene expression (GO:0010608)	88	12	12.17	-	.99	5.56E-01
regulation of mitotic cell cycle phase transition (GO:1901990)	22	3	3.04	-	.99	6.38E-01
regulation of cell cycle phase transition (GO:1901987)	22	3	3.04	-	.99	6.38E-01
cell cycle checkpoint (GO:0000075)	22	3	3.04	-	.99	6.38E-01
cellular protein modification process (GO:0006464)	800	109	110.64	-	.99	4.61E-01
protein modification process (GO:0036211)	800	109	110.64	-	.99	4.61E-01
RNA biosynthetic process (GO:0032774)	537	73	74.27	-	.98	4.71E-01
protein phosphorylation (GO:0006468)	377	51	52.14	-	.98	4.73E-01
chromosome segregation (GO:0007059)	37	5	5.12	-	.98	5.95E-01
transcription by RNA polymerase II (GO:0006366)	274	37	37.90	-	.98	4.85E-01
RNA processing (GO:0006396)	290	39	40.11	-	.97	4.71E-01
RNA metabolic process (GO:0016070)	983	132	135.95	-	.97	3.84E-01
interspecies interaction between organisms (GO:0044419)	97	13	13.42	-	.97	5.27E-01
regulation of supramolecular fiber organization (GO:1902903)	15	2	2.07	-	.96	6.56E-01
phospholipid dephosphorylation (GO:0046839)	15	2	2.07	-	.96	6.56E-01
divalent metal ion transport (GO:0070838)	60	8	8.30	-	.96	5.51E-01
negative regulation of cell cycle process (GO:0010948)	15	2	2.07	-	.96	6.56E-01
porphyrin-containing compound metabolic process (GO:0006778)	15	2	2.07	-	.96	6.56E-01
tetrapyrrole metabolic process (GO:0033013)	15	2	2.07	-	.96	6.56E-01
regulation of protein polymerization (GO:0032271)	15	2	2.07	-	.96	6.56E-01
calcium-mediated signaling (GO:0019722)	30	4	4.15	-	.96	6.00E-01
response to wounding (GO:0009611)	15	2	2.07	-	.96	6.56E-01
developmental growth (GO:0048589)	15	2	2.07	-	.96	6.56E-01
divalent inorganic cation transport (GO:0072511)	60	8	8.30	-	.96	5.51E-01
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	30	4	4.15	-	.96	6.00E-01
alternative mRNA splicing, via spliceosome (GO:0000380)	30	4	4.15	-	.96	6.00E-01
developmental growth involved in morphogenesis (GO:0060560)	15	2	2.07	-	.96	6.56E-01
regulation of protein phosphorylation (GO:0001932)	45	6	6.22	-	.96	5.70E-01
regulation of cellular metabolic process (GO:0031323)	694	92	95.98	-	.96	3.63E-01
cell wall biogenesis (GO:0042546)	83	11	11.48	-	.96	5.22E-01
regulation of transcription by RNA polymerase II (GO:0006357)	249	33	34.44	-	.96	4.47E-01
regulation of phosphorus metabolic process (GO:0051174)	68	9	9.40	-	.96	5.34E-01
regulation of phosphate metabolic process (GO:0019220)	68	9	9.40	-	.96	5.34E-01
polysaccharide biosynthetic process (GO:0000271)	53	7	7.33	-	.95	5.50E-01
cellular polysaccharide biosynthetic process (GO:0033692)	53	7	7.33	-	.95	5.50E-01
regulation of nitrogen compound metabolic process (GO:0051171)	672	88	92.94	-	.95	3.23E-01
response to hormone (GO:0009725)	115	15	15.90	-	.94	4.76E-01
protein-DNA complex subunit organization (GO:0071824)	69	9	9.54	-	.94	5.16E-01
respiratory electron transport chain (GO:0022904)	23	3	3.18	-	.94	6.07E-01
regulation of cell communication (GO:0010646)	46	6	6.36	-	.94	5.48E-01
regulation of signaling (GO:0023051)	46	6	6.36	-	.94	5.48E-01
oxidative phosphorylation (GO:0006119)	23	3	3.18	-	.94	6.07E-01
ubiquitin-dependent ERAD pathway (GO:0030433)	23	3	3.18	-	.94	6.07E-01
regulation of signal transduction (GO:0009966)	46	6	6.36	-	.94	5.48E-01
regulation of primary metabolic process (GO:0080090)	676	88	93.49	-	.94	3.02E-01
cellular component biogenesis (GO:0044085)	518	67	71.64	-	.94	3.14E-01
macromolecule modification (GO:0043412)	945	122	130.70	-	.93	2.31E-01
response to abscisic acid (GO:0009737)	31	4	4.29	-	.93	5.73E-01
protein transmembrane transport (GO:0071806)	31	4	4.29	-	.93	5.73E-01
intracellular protein transmembrane transport (GO:0065002)	31	4	4.29	-	.93	5.73E-01
defense response (GO:0006952)	118	15	16.32	-	.92	4.35E-01
ion transmembrane transport (GO:0034220)	134	17	18.53	-	.92	4.19E-01
cell wall organization or biogenesis (GO:0071554)	95	12	13.14	-	.91	4.48E-01
regulation of cytoskeleton organization (GO:0051493)	24	3	3.32	-	.90	5.76E-01
mitotic sister chromatid segregation (GO:0000070)	24	3	3.32	-	.90	5.76E-01
positive regulation of protein metabolic process (GO:0051247)	48	6	6.64	-	.90	5.05E-01
heme metabolic process (GO:0042168)	8	1	1.11	-	.90	6.97E-01
negative regulation of cell communication (GO:0010648)	8	1	1.11	-	.90	6.97E-01
regulation of intracellular pH (GO:0051453)	16	2	2.21	-	.90	6.19E-01
negative regulation of signaling (GO:0023057)	8	1	1.11	-	.90	6.97E-01
regulation of phosphatase activity (GO:0010921)	16	2	2.21	-	.90	6.19E-01
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	16	2	2.21	-	.90	6.19E-01
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	8	1	1.11	-	.90	6.97E-01
leaf development (GO:0048366)	8	1	1.11	-	.90	6.97E-01
heme biosynthetic process (GO:0006783)	8	1	1.11	-	.90	6.97E-01
tRNA modification (GO:0006400)	32	4	4.43	-	.90	5.46E-01
cell population proliferation (GO:0008283)	8	1	1.11	-	.90	6.97E-01
plastid membrane organization (GO:0009668)	8	1	1.11	-	.90	6.97E-01
negative regulation of signal transduction (GO:0009968)	8	1	1.11	-	.90	6.97E-01
cellular monovalent inorganic cation homeostasis (GO:0030004)	16	2	2.21	-	.90	6.19E-01
negative regulation of response to stimulus (GO:0048585)	8	1	1.11	-	.90	6.97E-01
regulation of cellular pH (GO:0030641)	16	2	2.21	-	.90	6.19E-01
DNA replication checkpoint (GO:0000076)	8	1	1.11	-	.90	6.97E-01
mitotic cell cycle checkpoint (GO:0007093)	16	2	2.21	-	.90	6.19E-01
maintenance of location (GO:0051235)	40	5	5.53	-	.90	5.23E-01
sister chromatid cohesion (GO:0007062)	8	1	1.11	-	.90	6.97E-01
regulation of phosphoprotein phosphatase activity (GO:0043666)	16	2	2.21	-	.90	6.19E-01
cytoplasmic translational initiation (GO:0002183)	8	1	1.11	-	.90	6.97E-01
Unclassified (UNCLASSIFIED)	9017	1127	1247.09	-	.90	1.55E-08
protein-DNA complex assembly (GO:0065004)	57	7	7.88	-	.89	4.69E-01
sterol metabolic process (GO:0016125)	49	6	6.78	-	.89	4.83E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	41	5	5.67	-	.88	5.00E-01
peptidyl-serine phosphorylation (GO:0018105)	74	9	10.23	-	.88	4.29E-01
peptidyl-serine modification (GO:0018209)	74	9	10.23	-	.88	4.29E-01
nuclear chromosome segregation (GO:0098813)	33	4	4.56	-	.88	5.20E-01
mRNA metabolic process (GO:0016071)	182	22	25.17	-	.87	3.04E-01
protein-containing complex subunit organization (GO:0043933)	265	32	36.65	-	.87	2.49E-01
steroid metabolic process (GO:0008202)	50	6	6.92	-	.87	4.62E-01
pyrimidine-containing compound metabolic process (GO:0072527)	25	3	3.46	-	.87	5.46E-01
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	59	7	8.16	-	.86	4.31E-01
regulation of protein metabolic process (GO:0051246)	152	18	21.02	-	.86	2.99E-01
response to external biotic stimulus (GO:0043207)	93	11	12.86	-	.86	3.67E-01
response to other organism (GO:0051707)	93	11	12.86	-	.86	3.67E-01
response to biotic stimulus (GO:0009607)	93	11	12.86	-	.86	3.67E-01
defense response to other organism (GO:0098542)	93	11	12.86	-	.86	3.67E-01
cellular protein-containing complex assembly (GO:0034622)	203	24	28.08	-	.85	2.54E-01
glucose 6-phosphate metabolic process (GO:0051156)	17	2	2.35	-	.85	5.82E-01
ATP synthesis coupled electron transport (GO:0042773)	17	2	2.35	-	.85	5.82E-01
regulation of mRNA splicing, via spliceosome (GO:0048024)	34	4	4.70	-	.85	4.94E-01
negative regulation of cellular protein metabolic process (GO:0032269)	34	4	4.70	-	.85	4.94E-01
reciprocal meiotic recombination (GO:0007131)	17	2	2.35	-	.85	5.82E-01
