




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	yeast_background.txt - REFLIST (4661)	upload_1 (3776)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
cellular response to chemical stimulus (GO:0070887)	71	57	57.52	-	.99	5.08E-01
regulation of metabolic process (GO:0019222)	425	341	344.30	-	.99	4.40E-01
ion transmembrane transport (GO:0034220)	116	93	93.97	-	.99	4.87E-01
cellular response to external stimulus (GO:0071496)	25	20	20.25	-	.99	5.37E-01
cellular response to nutrient levels (GO:0031669)	25	20	20.25	-	.99	5.37E-01
cellular response to extracellular stimulus (GO:0031668)	25	20	20.25	-	.99	5.37E-01
regulation of kinase activity (GO:0043549)	35	28	28.35	-	.99	5.23E-01
RNA 3'-end processing (GO:0031123)	35	28	28.35	-	.99	5.23E-01
ribonucleoprotein complex localization (GO:0071166)	35	28	28.35	-	.99	5.23E-01
ribonucleoprotein complex export from nucleus (GO:0071426)	35	28	28.35	-	.99	5.23E-01
ion transport (GO:0006811)	155	124	125.57	-	.99	4.67E-01
positive regulation of supramolecular fiber organization (GO:1902905)	10	8	8.10	-	.99	5.78E-01
calcium ion transmembrane transport (GO:0070588)	5	4	4.05	-	.99	6.19E-01
mitotic cytokinesis (GO:0000281)	5	4	4.05	-	.99	6.19E-01
regulation of establishment of protein localization (GO:0070201)	5	4	4.05	-	.99	6.19E-01
ceramide biosynthetic process (GO:0046513)	5	4	4.05	-	.99	6.19E-01
positive regulation of cytoskeleton organization (GO:0051495)	10	8	8.10	-	.99	5.78E-01
intracellular pH reduction (GO:0051452)	5	4	4.05	-	.99	6.19E-01
regulation of dephosphorylation (GO:0035303)	10	8	8.10	-	.99	5.78E-01
transport along microtubule (GO:0010970)	5	4	4.05	-	.99	6.19E-01
divalent metal ion transport (GO:0070838)	15	12	12.15	-	.99	5.59E-01
small GTPase mediated signal transduction (GO:0007264)	5	4	4.05	-	.99	6.19E-01
regulation of peptide transport (GO:0090087)	5	4	4.05	-	.99	6.19E-01
RNA transport (GO:0050658)	45	36	36.46	-	.99	5.14E-01
nucleic acid transport (GO:0050657)	45	36	36.46	-	.99	5.14E-01
regulation of mRNA metabolic process (GO:1903311)	10	8	8.10	-	.99	5.78E-01
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	5	4	4.05	-	.99	6.19E-01
regulation of translational initiation (GO:0006446)	5	4	4.05	-	.99	6.19E-01
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	10	8	8.10	-	.99	5.78E-01
protein localization to plasma membrane (GO:0072659)	5	4	4.05	-	.99	6.19E-01
cellular response to amino acid starvation (GO:0034198)	5	4	4.05	-	.99	6.19E-01
folic acid-containing compound biosynthetic process (GO:0009396)	5	4	4.05	-	.99	6.19E-01
cell surface receptor signaling pathway (GO:0007166)	5	4	4.05	-	.99	6.19E-01
alcohol metabolic process (GO:0006066)	40	32	32.41	-	.99	5.18E-01
protein localization to cell periphery (GO:1990778)	5	4	4.05	-	.99	6.19E-01
negative regulation of cellular protein metabolic process (GO:0032269)	15	12	12.15	-	.99	5.59E-01
cell cycle G1/S phase transition (GO:0044843)	10	8	8.10	-	.99	5.78E-01
actomyosin contractile ring organization (GO:0044837)	5	4	4.05	-	.99	6.19E-01
mRNA polyadenylation (GO:0006378)	15	12	12.15	-	.99	5.59E-01
protein maturation (GO:0051604)	30	24	24.30	-	.99	5.29E-01
organic cyclic compound catabolic process (GO:1901361)	80	64	64.81	-	.99	4.93E-01
ceramide metabolic process (GO:0006672)	5	4	4.05	-	.99	6.19E-01
regulation of response to stimulus (GO:0048583)	30	24	24.30	-	.99	5.29E-01
phosphatidylinositol biosynthetic process (GO:0006661)	20	16	16.20	-	.99	5.46E-01
microtubule-based transport (GO:0099111)	5	4	4.05	-	.99	6.19E-01
nuclear envelope organization (GO:0006998)	5	4	4.05	-	.99	6.19E-01
mRNA cis splicing, via spliceosome (GO:0045292)	5	4	4.05	-	.99	6.19E-01
response to oxidative stress (GO:0006979)	30	24	24.30	-	.99	5.29E-01
G1/S transition of mitotic cell cycle (GO:0000082)	10	8	8.10	-	.99	5.78E-01
divalent inorganic cation transport (GO:0072511)	15	12	12.15	-	.99	5.59E-01
positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899)	5	4	4.05	-	.99	6.19E-01
negative regulation of protein metabolic process (GO:0051248)	15	12	12.15	-	.99	5.59E-01
establishment of RNA localization (GO:0051236)	45	36	36.46	-	.99	5.14E-01
regulation of protein transport (GO:0051223)	5	4	4.05	-	.99	6.19E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	10	8	8.10	-	.99	5.78E-01
pH reduction (GO:0045851)	5	4	4.05	-	.99	6.19E-01
vacuolar acidification (GO:0007035)	5	4	4.05	-	.99	6.19E-01
mismatch repair (GO:0006298)	15	12	12.15	-	.99	5.59E-01
regulation of protein modification process (GO:0031399)	55	44	44.56	-	.99	5.06E-01
actomyosin structure organization (GO:0031032)	5	4	4.05	-	.99	6.19E-01
microtubule organizing center organization (GO:0031023)	5	4	4.05	-	.99	6.19E-01
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	10	8	8.10	-	.99	5.78E-01
mitochondrial protein processing (GO:0034982)	5	4	4.05	-	.99	6.19E-01
division septum assembly (GO:0000917)	5	4	4.05	-	.99	6.19E-01
cell morphogenesis (GO:0000902)	5	4	4.05	-	.99	6.19E-01
organonitrogen compound metabolic process (GO:1901564)	951	759	770.43	-	.99	3.31E-01
response to stress (GO:0006950)	217	173	175.80	-	.98	4.34E-01
cellular macromolecule metabolic process (GO:0044260)	1077	858	872.51	-	.98	2.95E-01
RNA export from nucleus (GO:0006405)	44	35	35.65	-	.98	5.01E-01
histone modification (GO:0016570)	34	27	27.54	-	.98	5.09E-01
covalent chromatin modification (GO:0016569)	34	27	27.54	-	.98	5.09E-01
regulation of protein kinase activity (GO:0045859)	34	27	27.54	-	.98	5.09E-01
regulation of cellular protein metabolic process (GO:0032268)	92	73	74.53	-	.98	4.59E-01
heterocycle catabolic process (GO:0046700)	77	61	62.38	-	.98	4.63E-01
energy derivation by oxidation of organic compounds (GO:0015980)	48	38	38.89	-	.98	4.86E-01
transition metal ion transport (GO:0000041)	24	19	19.44	-	.98	5.20E-01
cellular modified amino acid metabolic process (GO:0006575)	24	19	19.44	-	.98	5.20E-01
regulation of transcription by RNA polymerase II (GO:0006357)	182	144	147.44	-	.98	4.07E-01
ribose phosphate metabolic process (GO:0019693)	91	72	73.72	-	.98	4.50E-01
cellular protein metabolic process (GO:0044267)	632	500	512.00	-	.98	2.94E-01
transmembrane transport (GO:0055085)	191	151	154.73	-	.98	4.00E-01
cellular response to stress (GO:0033554)	210	166	170.13	-	.98	3.92E-01
RNA catabolic process (GO:0006401)	62	49	50.23	-	.98	4.68E-01
transcription by RNA polymerase II (GO:0006366)	205	162	166.08	-	.98	3.93E-01
purine ribonucleotide metabolic process (GO:0009150)	81	64	65.62	-	.98	4.52E-01
organophosphate ester transport (GO:0015748)	19	15	15.39	-	.97	5.28E-01
regulation of transferase activity (GO:0051338)	38	30	30.78	-	.97	4.91E-01
protein export from nucleus (GO:0006611)	38	30	30.78	-	.97	4.91E-01
cellular response to starvation (GO:0009267)	19	15	15.39	-	.97	5.28E-01
lipid modification (GO:0030258)	19	15	15.39	-	.97	5.28E-01
nucleobase-containing compound catabolic process (GO:0034655)	71	56	57.52	-	.97	4.55E-01
metal ion homeostasis (GO:0055065)	33	26	26.73	-	.97	4.95E-01
cellular metal ion homeostasis (GO:0006875)	33	26	26.73	-	.97	4.95E-01
protein metabolic process (GO:0019538)	655	516	530.63	-	.97	2.55E-01
cellular chemical homeostasis (GO:0055082)	47	37	38.08	-	.97	4.73E-01
nitrogen compound transport (GO:0071705)	310	244	251.14	-	.97	3.35E-01
endomembrane system organization (GO:0010256)	42	33	34.03	-	.97	4.75E-01
regulation of actin filament polymerization (GO:0030833)	14	11	11.34	-	.97	5.38E-01
actin filament polymerization (GO:0030041)	14	11	11.34	-	.97	5.38E-01
transcription elongation from RNA polymerase II promoter (GO:0006368)	14	11	11.34	-	.97	5.38E-01
fungal-type cell wall biogenesis (GO:0009272)	14	11	11.34	-	.97	5.38E-01
cytokinesis (GO:0000910)	14	11	11.34	-	.97	5.38E-01
DNA recombination (GO:0006310)	51	40	41.32	-	.97	4.59E-01
supramolecular fiber organization (GO:0097435)	37	29	29.97	-	.97	4.77E-01
regulation of cell communication (GO:0010646)	23	18	18.63	-	.97	5.03E-01
regulation of signaling (GO:0023051)	23	18	18.63	-	.97	5.03E-01
regulation of signal transduction (GO:0009966)	23	18	18.63	-	.97	5.03E-01
DNA packaging (GO:0006323)	23	18	18.63	-	.97	5.03E-01
nucleus organization (GO:0006997)	23	18	18.63	-	.97	5.03E-01
response to stimulus (GO:0050896)	340	266	275.44	-	.97	2.90E-01
cellular nitrogen compound catabolic process (GO:0044270)	78	61	63.19	-	.97	4.23E-01
cellular component organization (GO:0016043)	746	583	604.35	-	.96	1.78E-01
phosphatidylinositol metabolic process (GO:0046488)	32	25	25.92	-	.96	4.80E-01
DNA-templated transcription, initiation (GO:0006352)	32	25	25.92	-	.96	4.80E-01
regulation of cellular process (GO:0050794)	545	425	441.52	-	.96	2.09E-01
RNA splicing (GO:0008380)	77	60	62.38	-	.96	4.13E-01
regulation of protein metabolic process (GO:0051246)	95	74	76.96	-	.96	3.95E-01
cellular response to DNA damage stimulus (GO:0006974)	113	88	91.54	-	.96	3.79E-01
organic substance transport (GO:0071702)	343	267	277.87	-	.96	2.61E-01
TOR signaling (GO:0031929)	18	14	14.58	-	.96	5.09E-01
regulation of protein dephosphorylation (GO:0035304)	9	7	7.29	-	.96	5.55E-01
regulation of TOR signaling (GO:0032006)	9	7	7.29	-	.96	5.55E-01
chromosome organization involved in meiotic cell cycle (GO:0070192)	9	7	7.29	-	.96	5.55E-01
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	9	7	7.29	-	.96	5.55E-01
regulation of autophagy (GO:0010506)	9	7	7.29	-	.96	5.55E-01
postreplication repair (GO:0006301)	9	7	7.29	-	.96	5.55E-01
endoplasmic reticulum unfolded protein response (GO:0030968)	9	7	7.29	-	.96	5.55E-01
mitotic spindle organization (GO:0007052)	9	7	7.29	-	.96	5.55E-01
microtubule-based movement (GO:0007018)	9	7	7.29	-	.96	5.55E-01
intra-Golgi vesicle-mediated transport (GO:0006891)	18	14	14.58	-	.96	5.09E-01
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	9	7	7.29	-	.96	5.55E-01
macromolecule modification (GO:0043412)	436	339	353.22	-	.96	2.23E-01
cellular response to stimulus (GO:0051716)	319	248	258.43	-	.96	2.63E-01
regulation of biological process (GO:0050789)	602	468	487.70	-	.96	1.76E-01
organophosphate metabolic process (GO:0019637)	215	167	174.18	-	.96	3.05E-01
chromatin organization (GO:0006325)	94	73	76.15	-	.96	3.86E-01
ribonucleotide metabolic process (GO:0009259)	85	66	68.86	-	.96	3.94E-01
purine nucleotide biosynthetic process (GO:0006164)	67	52	54.28	-	.96	4.12E-01
phosphorus metabolic process (GO:0006793)	364	282	294.89	-	.96	2.27E-01
DNA repair (GO:0006281)	102	79	82.63	-	.96	3.70E-01
transcription initiation from RNA polymerase II promoter (GO:0006367)	22	17	17.82	-	.95	4.85E-01
biological regulation (GO:0065007)	716	553	580.05	-	.95	1.15E-01
cytoskeleton organization (GO:0007010)	79	61	64.00	-	.95	3.83E-01
regulation of molecular function (GO:0065009)	79	61	64.00	-	.95	3.83E-01
cell cycle process (GO:0022402)	136	105	110.18	-	.95	3.30E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	105	81	85.06	-	.95	3.54E-01
purine-containing compound biosynthetic process (GO:0072522)	70	54	56.71	-	.95	3.91E-01
phosphate-containing compound metabolic process (GO:0006796)	358	276	290.03	-	.95	2.05E-01
positive regulation of gene expression (GO:0010628)	104	80	84.25	-	.95	3.45E-01
maintenance of location (GO:0051235)	13	10	10.53	-	.95	5.17E-01
protein transmembrane import into intracellular organelle (GO:0044743)	26	20	21.06	-	.95	4.65E-01
chemical homeostasis (GO:0048878)	56	43	45.37	-	.95	3.99E-01
cell cycle (GO:0007049)	159	122	128.81	-	.95	2.89E-01
regulation of supramolecular fiber organization (GO:1902903)	17	13	13.77	-	.94	4.89E-01
regulation of anatomical structure size (GO:0090066)	17	13	13.77	-	.94	4.89E-01
protein deubiquitination (GO:0016579)	17	13	13.77	-	.94	4.89E-01
iron ion homeostasis (GO:0055072)	17	13	13.77	-	.94	4.89E-01
metal ion transport (GO:0030001)	34	26	27.54	-	.94	4.33E-01
regulation of cellular component size (GO:0032535)	17	13	13.77	-	.94	4.89E-01
cellular iron ion homeostasis (GO:0006879)	17	13	13.77	-	.94	4.89E-01
positive regulation of cellular component biogenesis (GO:0044089)	17	13	13.77	-	.94	4.89E-01
positive regulation of biosynthetic process (GO:0009891)	106	81	85.87	-	.94	3.21E-01
positive regulation of cellular biosynthetic process (GO:0031328)	106	81	85.87	-	.94	3.21E-01
nucleotide biosynthetic process (GO:0009165)	89	68	72.10	-	.94	3.40E-01
nucleoside phosphate biosynthetic process (GO:1901293)	89	68	72.10	-	.94	3.40E-01
protein-containing complex localization (GO:0031503)	38	29	30.78	-	.94	4.19E-01
regulation of catalytic activity (GO:0050790)	76	58	61.57	-	.94	3.53E-01
organophosphate biosynthetic process (GO:0090407)	143	109	115.85	-	.94	2.78E-01
regulation of intracellular signal transduction (GO:1902531)	21	16	17.01	-	.94	4.66E-01
protein-containing complex disassembly (GO:0032984)	21	16	17.01	-	.94	4.66E-01
reproductive process (GO:0022414)	42	32	34.03	-	.94	4.07E-01
reproduction (GO:0000003)	42	32	34.03	-	.94	4.07E-01
negative regulation of cellular process (GO:0048523)	113	86	91.54	-	.94	3.01E-01
mitotic cell cycle (GO:0000278)	100	76	81.01	-	.94	3.11E-01
mitotic cell cycle process (GO:1903047)	100	76	81.01	-	.94	3.11E-01
mitotic nuclear division (GO:0140014)	100	76	81.01	-	.94	3.11E-01
negative regulation of biological process (GO:0048519)	162	123	131.24	-	.94	2.48E-01
regulation of biological quality (GO:0065008)	141	107	114.23	-	.94	2.64E-01
cellular macromolecule localization (GO:0070727)	269	204	217.92	-	.94	1.75E-01
intracellular protein transport (GO:0006886)	215	163	174.18	-	.94	2.05E-01
DNA metabolic process (GO:0006259)	148	112	119.90	-	.93	2.49E-01
phosphorylation (GO:0016310)	156	118	126.38	-	.93	2.40E-01
establishment of protein localization (GO:0045184)	242	183	196.05	-	.93	1.79E-01
organelle fission (GO:0048285)	123	93	99.65	-	.93	2.70E-01
protein targeting (GO:0006605)	86	65	69.67	-	.93	3.12E-01
macromolecule localization (GO:0033036)	307	232	248.71	-	.93	1.43E-01
cellular protein localization (GO:0034613)	266	201	215.49	-	.93	1.63E-01
protein phosphorylation (GO:0006468)	106	80	85.87	-	.93	2.83E-01
nuclear division (GO:0000280)	118	89	95.59	-	.93	2.67E-01
protein transport (GO:0015031)	240	181	194.43	-	.93	1.71E-01
organelle organization (GO:0006996)	601	453	486.89	-	.93	5.14E-02
ribose phosphate biosynthetic process (GO:0046390)	69	52	55.90	-	.93	3.30E-01
mRNA splicing, via spliceosome (GO:0000398)	69	52	55.90	-	.93	3.30E-01
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	69	52	55.90	-	.93	3.30E-01
RNA splicing, via transesterification reactions (GO:0000375)	69	52	55.90	-	.93	3.30E-01
protein localization (GO:0008104)	284	214	230.08	-	.93	1.44E-01
transport (GO:0006810)	632	476	512.00	-	.93	4.47E-02
amide transport (GO:0042886)	242	182	196.05	-	.93	1.60E-01
establishment of localization (GO:0051234)	640	481	518.48	-	.93	3.91E-02
peptide transport (GO:0015833)	241	181	195.24	-	.93	1.56E-01
localization (GO:0051179)	686	515	555.75	-	.93	3.13E-02
peptide secretion (GO:0002790)	8	6	6.48	-	.93	5.29E-01
lipoprotein biosynthetic process (GO:0042158)	32	24	25.92	-	.93	4.01E-01
lipoprotein metabolic process (GO:0042157)	32	24	25.92	-	.93	4.01E-01
transcription preinitiation complex assembly (GO:0070897)	12	9	9.72	-	.93	4.93E-01
peptidyl-threonine phosphorylation (GO:0018107)	4	3	3.24	-	.93	5.93E-01
lipid translocation (GO:0034204)	8	6	6.48	-	.93	5.29E-01
cell-cell signaling (GO:0007267)	4	3	3.24	-	.93	5.93E-01
Ras protein signal transduction (GO:0007265)	4	3	3.24	-	.93	5.93E-01
heterochromatin organization (GO:0070828)	4	3	3.24	-	.93	5.93E-01
positive regulation of cell cycle process (GO:0090068)	12	9	9.72	-	.93	4.93E-01
protein lipidation (GO:0006497)	32	24	25.92	-	.93	4.01E-01
sphingolipid biosynthetic process (GO:0030148)	16	12	12.96	-	.93	4.67E-01
organelle transport along microtubule (GO:0072384)	4	3	3.24	-	.93	5.93E-01
ubiquitin-dependent ERAD pathway (GO:0030433)	16	12	12.96	-	.93	4.67E-01
heterochromatin assembly (GO:0031507)	4	3	3.24	-	.93	5.93E-01
activation of MAPK activity (GO:0000187)	4	3	3.24	-	.93	5.93E-01
MAPK cascade (GO:0000165)	4	3	3.24	-	.93	5.93E-01
protein autophosphorylation (GO:0046777)	4	3	3.24	-	.93	5.93E-01
regulation of secretion (GO:0051046)	4	3	3.24	-	.93	5.93E-01
regulation of mRNA stability (GO:0043488)	4	3	3.24	-	.93	5.93E-01
regulation of RNA stability (GO:0043487)	4	3	3.24	-	.93	5.93E-01
establishment of protein localization to extracellular region (GO:0035592)	8	6	6.48	-	.93	5.29E-01
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	4	3	3.24	-	.93	5.93E-01
telomere maintenance via telomere lengthening (GO:0010833)	8	6	6.48	-	.93	5.29E-01
positive regulation of MAPK cascade (GO:0043410)	4	3	3.24	-	.93	5.93E-01
oligosaccharide biosynthetic process (GO:0009312)	4	3	3.24	-	.93	5.93E-01
regulation of MAPK cascade (GO:0043408)	4	3	3.24	-	.93	5.93E-01
positive regulation of MAP kinase activity (GO:0043406)	4	3	3.24	-	.93	5.93E-01
regulation of MAP kinase activity (GO:0043405)	4	3	3.24	-	.93	5.93E-01
protein secretion (GO:0009306)	8	6	6.48	-	.93	5.29E-01
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	92	69	74.53	-	.93	2.82E-01
nucleus localization (GO:0051647)	4	3	3.24	-	.93	5.93E-01
anatomical structure morphogenesis (GO:0009653)	8	6	6.48	-	.93	5.29E-01
DNA synthesis involved in DNA repair (GO:0000731)	4	3	3.24	-	.93	5.93E-01
response to extracellular stimulus (GO:0009991)	28	21	22.68	-	.93	4.14E-01
regulation of secretion by cell (GO:1903530)	4	3	3.24	-	.93	5.93E-01
response to external stimulus (GO:0009605)	28	21	22.68	-	.93	4.14E-01
positive regulation of nucleic acid-templated transcription (GO:1903508)	88	66	71.29	-	.93	2.88E-01
protein processing involved in protein targeting to mitochondrion (GO:0006627)	4	3	3.24	-	.93	5.93E-01
response to osmotic stress (GO:0006970)	4	3	3.24	-	.93	5.93E-01
anatomical structure development (GO:0048856)	8	6	6.48	-	.93	5.29E-01
regulation of mRNA catabolic process (GO:0061013)	4	3	3.24	-	.93	5.93E-01
spliceosomal snRNP assembly (GO:0000387)	8	6	6.48	-	.93	5.29E-01
mRNA metabolic process (GO:0016071)	148	111	119.90	-	.93	2.20E-01
nuclear migration (GO:0007097)	4	3	3.24	-	.93	5.93E-01
Golgi to plasma membrane protein transport (GO:0043001)	4	3	3.24	-	.93	5.93E-01
regulation of exocytosis (GO:0017157)	4	3	3.24	-	.93	5.93E-01
positive regulation of transcription, DNA-templated (GO:0045893)	88	66	71.29	-	.93	2.88E-01
negative regulation of translation (GO:0017148)	8	6	6.48	-	.93	5.29E-01
Wnt signaling pathway (GO:0016055)	4	3	3.24	-	.93	5.93E-01
actin polymerization or depolymerization (GO:0008154)	16	12	12.96	-	.93	4.67E-01
post-translational protein modification (GO:0043687)	4	3	3.24	-	.93	5.93E-01
endosome organization (GO:0007032)	8	6	6.48	-	.93	5.29E-01
translesion synthesis (GO:0019985)	4	3	3.24	-	.93	5.93E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	4	3	3.24	-	.93	5.93E-01
cAMP-mediated signaling (GO:0019933)	4	3	3.24	-	.93	5.93E-01
positive regulation of RNA biosynthetic process (GO:1902680)	88	66	71.29	-	.93	2.88E-01
response to nutrient levels (GO:0031667)	28	21	22.68	-	.93	4.14E-01
Golgi to endosome transport (GO:0006895)	4	3	3.24	-	.93	5.93E-01
protein sumoylation (GO:0016925)	8	6	6.48	-	.93	5.29E-01
cell-cell signaling by wnt (GO:0198738)	4	3	3.24	-	.93	5.93E-01
meiotic sister chromatid segregation (GO:0045144)	4	3	3.24	-	.93	5.93E-01
protein localization to extracellular region (GO:0071692)	8	6	6.48	-	.93	5.29E-01
iron ion transport (GO:0006826)	16	12	12.96	-	.93	4.67E-01
purine ribonucleotide biosynthetic process (GO:0009152)	60	45	48.61	-	.93	3.34E-01
organelle localization (GO:0051640)	60	45	48.61	-	.93	3.34E-01
cellular protein modification process (GO:0006464)	379	284	307.04	-	.92	8.87E-02
protein modification process (GO:0036211)	379	284	307.04	-	.92	8.87E-02
cell communication (GO:0007154)	138	103	111.80	-	.92	2.14E-01
mRNA catabolic process (GO:0006402)	51	38	41.32	-	.92	3.37E-01
membrane invagination (GO:0010324)	47	35	38.08	-	.92	3.46E-01
nuclear-transcribed mRNA catabolic process (GO:0000956)	47	35	38.08	-	.92	3.46E-01
endocytosis (GO:0006897)	47	35	38.08	-	.92	3.46E-01
intracellular transport (GO:0046907)	301	224	243.85	-	.92	9.89E-02
positive regulation of cellular process (GO:0048522)	172	128	139.34	-	.92	1.75E-01
regulation of cellular component biogenesis (GO:0044087)	39	29	31.59	-	.92	3.64E-01
positive regulation of RNA metabolic process (GO:0051254)	89	66	72.10	-	.92	2.56E-01
cation transport (GO:0006812)	85	63	68.86	-	.91	2.61E-01
homeostatic process (GO:0042592)	81	60	65.62	-	.91	2.66E-01
lipid metabolic process (GO:0006629)	123	91	99.65	-	.91	2.06E-01
signaling (GO:0023052)	119	88	96.41	-	.91	2.09E-01
signal transduction (GO:0007165)	119	88	96.41	-	.91	2.09E-01
regulation of cytoskeleton organization (GO:0051493)	23	17	18.63	-	.91	4.10E-01
cellular response to oxidative stress (GO:0034599)	23	17	18.63	-	.91	4.10E-01
cellular lipid metabolic process (GO:0044255)	115	85	93.16	-	.91	2.12E-01
transition metal ion homeostasis (GO:0055076)	23	17	18.63	-	.91	4.10E-01
cellular transition metal ion homeostasis (GO:0046916)	23	17	18.63	-	.91	4.10E-01
positive regulation of biological process (GO:0048518)	175	129	141.77	-	.91	1.46E-01
cellular respiration (GO:0045333)	38	28	30.78	-	.91	3.49E-01
cellular lipid catabolic process (GO:0044242)	19	14	15.39	-	.91	4.26E-01
sphingolipid metabolic process (GO:0006665)	19	14	15.39	-	.91	4.26E-01
lipid catabolic process (GO:0016042)	19	14	15.39	-	.91	4.26E-01
peptidyl-serine modification (GO:0018209)	19	14	15.39	-	.91	4.26E-01
mRNA processing (GO:0006397)	98	72	79.39	-	.91	2.19E-01
ribonucleotide biosynthetic process (GO:0009260)	64	47	51.85	-	.91	2.76E-01
establishment of localization in cell (GO:0051649)	315	231	255.19	-	.91	6.07E-02
regulation of actin filament length (GO:0030832)	15	11	12.15	-	.91	4.44E-01
regulation of actin polymerization or depolymerization (GO:0008064)	15	11	12.15	-	.91	4.44E-01
regulation of actin filament organization (GO:0110053)	15	11	12.15	-	.91	4.44E-01
organic substance catabolic process (GO:1901575)	303	222	245.47	-	.90	6.31E-02
inorganic ion transmembrane transport (GO:0098660)	71	52	57.52	-	.90	2.56E-01
cation transmembrane transport (GO:0098655)	67	49	54.28	-	.90	2.61E-01
positive regulation of cellular component organization (GO:0051130)	26	19	21.06	-	.90	3.79E-01
protein dephosphorylation (GO:0006470)	26	19	21.06	-	.90	3.79E-01
cellular localization (GO:0051641)	375	274	303.80	-	.90	3.83E-02
intracellular signal transduction (GO:0035556)	92	67	74.53	-	.90	2.07E-01
positive regulation of cellular metabolic process (GO:0031325)	136	99	110.18	-	.90	1.51E-01
catabolic process (GO:0009056)	349	254	282.73	-	.90	3.88E-02
RNA polymerase II preinitiation complex assembly (GO:0051123)	11	8	8.91	-	.90	4.67E-01
mRNA 3'-end processing (GO:0031124)	22	16	17.82	-	.90	3.90E-01
response to starvation (GO:0042594)	22	16	17.82	-	.90	3.90E-01
cortical cytoskeleton organization (GO:0030865)	11	8	8.91	-	.90	4.67E-01
meiotic cell cycle process (GO:1903046)	33	24	26.73	-	.90	3.42E-01
aerobic respiration (GO:0009060)	33	24	26.73	-	.90	3.42E-01
meiotic nuclear division (GO:0140013)	33	24	26.73	-	.90	3.42E-01
meiotic cell cycle (GO:0051321)	33	24	26.73	-	.90	3.42E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	73	53	59.14	-	.90	2.33E-01
ATP metabolic process (GO:0046034)	51	37	41.32	-	.90	2.81E-01
regulation of cellular component organization (GO:0051128)	80	58	64.81	-	.89	2.17E-01
regulation of hydrolase activity (GO:0051336)	29	21	23.49	-	.89	3.51E-01
lipid biosynthetic process (GO:0008610)	76	55	61.57	-	.89	2.20E-01
M phase (GO:0000279)	18	13	14.58	-	.89	4.04E-01
peptidyl-serine phosphorylation (GO:0018105)	18	13	14.58	-	.89	4.04E-01
positive regulation of organelle organization (GO:0010638)	18	13	14.58	-	.89	4.04E-01
meiosis I cell cycle phase (GO:0098764)	18	13	14.58	-	.89	4.04E-01
meiotic cell cycle phase (GO:0098762)	18	13	14.58	-	.89	4.04E-01
telophase (GO:0051326)	18	13	14.58	-	.89	4.04E-01
meiotic telophase I (GO:0007134)	18	13	14.58	-	.89	4.04E-01
biological phase (GO:0044848)	18	13	14.58	-	.89	4.04E-01
meiosis I (GO:0007127)	18	13	14.58	-	.89	4.04E-01
cell cycle phase (GO:0022403)	18	13	14.58	-	.89	4.04E-01
positive regulation of metabolic process (GO:0009893)	139	100	112.61	-	.89	1.22E-01
positive regulation of macromolecule metabolic process (GO:0010604)	135	97	109.37	-	.89	1.24E-01
cellular catabolic process (GO:0044248)	312	224	252.76	-	.89	3.12E-02
export from cell (GO:0140352)	39	28	31.59	-	.89	2.97E-01
dephosphorylation (GO:0016311)	39	28	31.59	-	.89	2.97E-01
chromosome organization (GO:0051276)	168	120	136.10	-	.88	8.46E-02
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	7	5	5.67	-	.88	5.00E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	133	95	107.75	-	.88	1.14E-01
peroxisomal transport (GO:0043574)	14	10	11.34	-	.88	4.20E-01
signal transduction by protein phosphorylation (GO:0023014)	7	5	5.67	-	.88	5.00E-01
phospholipid translocation (GO:0045332)	7	5	5.67	-	.88	5.00E-01
resolution of meiotic recombination intermediates (GO:0000712)	7	5	5.67	-	.88	5.00E-01
second-messenger-mediated signaling (GO:0019932)	7	5	5.67	-	.88	5.00E-01
mitochondrial RNA metabolic process (GO:0000959)	7	5	5.67	-	.88	5.00E-01
Golgi vesicle transport (GO:0048193)	98	70	79.39	-	.88	1.56E-01
membrane organization (GO:0061024)	164	117	132.86	-	.88	8.55E-02
chromatin remodeling (GO:0006338)	38	27	30.78	-	.88	2.83E-01
