Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
ENSMUST00000070758	Ensembl Transcript	MGI:103177	Mpz	myelin protein zero	protein coding gene
ENSMUST00000070761	Ensembl Transcript	MGI:1926210	Cenpk	centromere protein K	protein coding gene
ENSMUST00000070804	Ensembl Transcript	MGI:3030157	Olfr323	olfactory receptor 323	protein coding gene
ENSMUST00000070808	Ensembl Transcript	MGI:2177473	Olfr90	olfactory receptor 90	protein coding gene
ENSMUST00000070810	Ensembl Transcript	MGI:108082	Npy5r	neuropeptide Y receptor Y5	protein coding gene
ENSMUST00000070814		No associated gene			
ENSMUST00000070816	Ensembl Transcript	MGI:1333791	Artn	artemin	protein coding gene
ENSMUST00000070820	Ensembl Transcript	MGI:1925022	Dcst1	DC-STAMP domain containing 1	protein coding gene
ENSMUST00000070832	Ensembl Transcript	MGI:1913357	Wfdc21	WAP four-disulfide core domain 21	protein coding gene
ENSMUST00000070849	Ensembl Transcript	MGI:3030205	Olfr371	olfactory receptor 371	protein coding gene
ENSMUST00000070850	Ensembl Transcript	MGI:107682	Ppp1r14b	protein phosphatase 1, regulatory inhibitor subunit 14B	protein coding gene
ENSMUST00000070875	Ensembl Transcript	MGI:2443398	Ankrd33	ankyrin repeat domain 33	protein coding gene
ENSMUST00000070877	Ensembl Transcript	MGI:1098273	Amacr	alpha-methylacyl-CoA racemase	protein coding gene
ENSMUST00000070878	Ensembl Transcript	MGI:95542	Fkbp2	FK506 binding protein 2	protein coding gene
ENSMUST00000070890	Ensembl Transcript	MGI:1919047	Chst13	carbohydrate sulfotransferase 13	protein coding gene
ENSMUST00000070892	Ensembl Transcript	MGI:99499	Dsg3	desmoglein 3	protein coding gene
ENSMUST00000070918	Ensembl Transcript	MGI:1916824	Cmbl	carboxymethylenebutenolidase-like (Pseudomonas)	protein coding gene
ENSMUST00000070923	Ensembl Transcript	MGI:1925301	Them6	thioesterase superfamily member 6	protein coding gene
ENSMUST00000070949	Ensembl Transcript	MGI:1924869	Prelid2	PRELI domain containing 2	protein coding gene
ENSMUST00000070953	Ensembl Transcript	MGI:2387466	Pank4	pantothenate kinase 4	protein coding gene
ENSMUST00000070968	Ensembl Transcript	MGI:103063	Stat1	signal transducer and activator of transcription 1	protein coding gene
ENSMUST00000070980	Ensembl Transcript	MGI:1914681	4933402N03Rik	RIKEN cDNA 4933402N03 gene	protein coding gene
ENSMUST00000070985	Ensembl Transcript	MGI:3031184	Olfr1350	olfactory receptor 1350	protein coding gene
ENSMUST00000070991	Ensembl Transcript	MGI:2681276	Tas2r129	taste receptor, type 2, member 129	protein coding gene
ENSMUST00000071008	Ensembl Transcript	MGI:3645721	Gm5420	predicted gene 5420	lincRNA gene
ENSMUST00000071023	Ensembl Transcript	MGI:1926005	Fam122b	family with sequence similarity 122, member B	protein coding gene
ENSMUST00000071056	Ensembl Transcript	MGI:1276121	Bckdk	branched chain ketoacid dehydrogenase kinase	protein coding gene
ENSMUST00000071065	Ensembl Transcript	MGI:109495	Nfil3	nuclear factor, interleukin 3, regulated	protein coding gene
ENSMUST00000071067	Ensembl Transcript	MGI:3045248	C330011M18Rik	RIKEN cDNA C330011M18 gene	antisense lncRNA gene
ENSMUST00000071077	Ensembl Transcript	MGI:1920722	Spata18	spermatogenesis associated 18	protein coding gene
ENSMUST00000071093	Ensembl Transcript	MGI:2443331	Rims3	regulating synaptic membrane exocytosis 3	protein coding gene
ENSMUST00000071101	Ensembl Transcript	MGI:3641978	Gm10010	predicted gene 10010	lincRNA gene
ENSMUST00000071103	Ensembl Transcript	MGI:2144727	Ddx1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	protein coding gene
ENSMUST00000071104	Ensembl Transcript	MGI:2146034	Krt72	keratin 72	protein coding gene
ENSMUST00000071106	Ensembl Transcript	MGI:1917623	Gpatch2l	G patch domain containing 2 like	protein coding gene
ENSMUST00000071112	Ensembl Transcript	MGI:3030131	Olfr297	olfactory receptor 297	protein coding gene
ENSMUST00000071119	Ensembl Transcript	MGI:1920792	Tssk5	testis-specific serine kinase 5	protein coding gene
ENSMUST00000071126	Ensembl Transcript	MGI:3030633	Olfr799	olfactory receptor 799	protein coding gene
ENSMUST00000071130	Ensembl Transcript	MGI:107505	Alox5ap	arachidonate 5-lipoxygenase activating protein	protein coding gene
ENSMUST00000071132	Ensembl Transcript	MGI:3030804	Olfr970	olfactory receptor 970	protein coding gene
ENSMUST00000071134	Ensembl Transcript	MGI:107813	Tubb3	tubulin, beta 3 class III	protein coding gene
ENSMUST00000071135	Ensembl Transcript	MGI:107848	Tubb4a	tubulin, beta 4A class IVA	protein coding gene
ENSMUST00000071169	Ensembl Transcript	MGI:1919784	Rcc2	regulator of chromosome condensation 2	protein coding gene
ENSMUST00000071189	Ensembl Transcript	MGI:1278318	Fpr-rs3	formyl peptide receptor, related sequence 3	protein coding gene
ENSMUST00000071204	Ensembl Transcript	MGI:1097157	Ppef1	protein phosphatase with EF hand calcium-binding domain 1	protein coding gene
ENSMUST00000071208	Ensembl Transcript	MGI:3030566	Olfr732	olfactory receptor 732	protein coding gene
ENSMUST00000071215	Ensembl Transcript	MGI:1913371	Chchd1	coiled-coil-helix-coiled-coil-helix domain containing 1	protein coding gene
ENSMUST00000071221	Ensembl Transcript	MGI:3031346	Olfr1512	olfactory receptor 1512	protein coding gene
ENSMUST00000071230	Ensembl Transcript	MGI:95299	Eif2s1	eukaryotic translation initiation factor 2, subunit 1 alpha	protein coding gene
ENSMUST00000071235	Ensembl Transcript	MGI:3645905	Gm10064	predicted gene 10064	pseudogene
ENSMUST00000071242	Ensembl Transcript	MGI:3030516	Olfr682-ps1	olfactory receptor 682, pseudogene 1	polymorphic pseudogene
ENSMUST00000071243	Ensembl Transcript	MGI:3030024	Olfr190	olfactory receptor 190	protein coding gene
ENSMUST00000071254		No associated gene			
ENSMUST00000071259	Ensembl Transcript	MGI:3030679	Olfr845	olfactory receptor 845	protein coding gene
ENSMUST00000071263	Ensembl Transcript	MGI:1913364	Dnajc30	DnaJ heat shock protein family (Hsp40) member C30	protein coding gene
ENSMUST00000071281	Ensembl Transcript	MGI:1927549	Foxb1	forkhead box B1	protein coding gene
ENSMUST00000071294	Ensembl Transcript	MGI:3030577	Olfr743	olfactory receptor 743	protein coding gene
ENSMUST00000071296	Ensembl Transcript	MGI:1914226	2410002F23Rik	RIKEN cDNA 2410002F23 gene	protein coding gene
ENSMUST00000071304	Ensembl Transcript	MGI:2148524	Vmn1r11	vomeronasal 1 receptor 11	protein coding gene
ENSMUST00000071308	Ensembl Transcript	MGI:2667157	AF366264	cDNA sequence AF366264	protein coding gene
ENSMUST00000071320	Ensembl Transcript	MGI:2678025	Zfp640	zinc finger protein 640	pseudogene
ENSMUST00000071325	Ensembl Transcript	MGI:97306	Nf1	neurofibromin 1	protein coding gene
ENSMUST00000071329	Ensembl Transcript	MGI:107701	Bckdha	branched chain ketoacid dehydrogenase E1, alpha polypeptide	protein coding gene
ENSMUST00000071355	Ensembl Transcript	MGI:3030960	Olfr1126	olfactory receptor 1126	protein coding gene
ENSMUST00000071361	Ensembl Transcript	MGI:1916463	Zfp428	zinc finger protein 428	protein coding gene
ENSMUST00000071362	Ensembl Transcript	MGI:3030501	Olfr667	olfactory receptor 667	protein coding gene
ENSMUST00000071370	Ensembl Transcript	MGI:2684924	Pcdh17	protocadherin 17	protein coding gene
ENSMUST00000071393	Ensembl Transcript	MGI:3030400	Olfr566	olfactory receptor 566	protein coding gene
ENSMUST00000071399	Ensembl Transcript	MGI:1347249	Psg16	pregnancy specific glycoprotein 16	protein coding gene
ENSMUST00000071402	Ensembl Transcript	MGI:2156528	Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)	protein coding gene
ENSMUST00000071404	Ensembl Transcript	MGI:104617	Ccr1l1	chemokine (C-C motif) receptor 1-like 1	protein coding gene
ENSMUST00000071410	Ensembl Transcript	MGI:3030350	Olfr516	olfactory receptor 516	protein coding gene
ENSMUST00000071414	Ensembl Transcript	MGI:2159444	Vmn1r35	vomeronasal 1 receptor 35	protein coding gene
ENSMUST00000071421	Ensembl Transcript	MGI:3648713	Gm4871	predicted gene 4871	protein coding gene
ENSMUST00000071423	Ensembl Transcript	MGI:1914116	Nhlrc2	NHL repeat containing 2	protein coding gene
ENSMUST00000071425	Ensembl Transcript	MGI:3030753	Olfr919	olfactory receptor 919	protein coding gene
ENSMUST00000071430	Ensembl Transcript	MGI:1914351	2310039H08Rik	RIKEN cDNA 2310039H08 gene	protein coding gene
ENSMUST00000071437	Ensembl Transcript	MGI:3030173	Olfr339	olfactory receptor 339	protein coding gene
ENSMUST00000071449	Ensembl Transcript	MGI:109310	Olfr25	olfactory receptor 25	protein coding gene
ENSMUST00000071458	Ensembl Transcript	MGI:3647516	Gm4968	predicted gene 4968	pseudogene
ENSMUST00000071478	Ensembl Transcript	MGI:3030228	Olfr394	olfactory receptor 394	protein coding gene
ENSMUST00000071484	Ensembl Transcript	MGI:3031281	Olfr1447	olfactory receptor 1447	protein coding gene
ENSMUST00000071492	Ensembl Transcript	MGI:1913738	Fam136a	family with sequence similarity 136, member A	protein coding gene
ENSMUST00000071505		No associated gene			
ENSMUST00000071522	Ensembl Transcript	MGI:3642901	Gm10032	predicted gene 10032	lincRNA gene
ENSMUST00000071526	Ensembl Transcript	MGI:1349426	Ctsj	cathepsin J	protein coding gene
ENSMUST00000071533	Ensembl Transcript	MGI:1277991	Dach1	dachshund family transcription factor 1	protein coding gene
ENSMUST00000071535	Ensembl Transcript	MGI:1203495	Mgam	maltase-glucoamylase	protein coding gene
ENSMUST00000071553	Ensembl Transcript	MGI:3030219	Olfr385	olfactory receptor 385	protein coding gene
ENSMUST00000071555	Ensembl Transcript	MGI:87906	Actg1	actin, gamma, cytoplasmic 1	protein coding gene
ENSMUST00000071557	Ensembl Transcript	MGI:3030649	Olfr815	olfactory receptor 815	protein coding gene
ENSMUST00000071559	Ensembl Transcript	MGI:3030599	Olfr765	olfactory receptor 765	protein coding gene
ENSMUST00000071563	Ensembl Transcript	MGI:2685919	Cracr2a	calcium release activated channel regulator 2A	protein coding gene
ENSMUST00000071592	Ensembl Transcript	MGI:2384879	Prmt7	protein arginine N-methyltransferase 7	protein coding gene
ENSMUST00000071605	Ensembl Transcript	MGI:3030650	Olfr816	olfactory receptor 816	protein coding gene
ENSMUST00000071617	Ensembl Transcript	MGI:3030777	Olfr943	olfactory receptor 943	protein coding gene
ENSMUST00000071625	Ensembl Transcript	MGI:3030145	Olfr311	olfactory receptor 311	protein coding gene
ENSMUST00000071642	Ensembl Transcript	MGI:1926159	Mdn1	midasin AAA ATPase 1	protein coding gene
ENSMUST00000071648	Ensembl Transcript	MGI:103178	Vegfa	vascular endothelial growth factor A	protein coding gene
ENSMUST00000071650	Ensembl Transcript	MGI:96418	Idua	iduronidase, alpha-L	protein coding gene
ENSMUST00000071652	Ensembl Transcript	MGI:1915871	Mthfd2l	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like	protein coding gene
ENSMUST00000071658	Ensembl Transcript	MGI:3030314	Olfr480	olfactory receptor 480	protein coding gene
ENSMUST00000071677	Ensembl Transcript	MGI:1913388	Bud23	BUD23, rRNA methyltransferase and ribosome maturation factor	protein coding gene
ENSMUST00000071681	Ensembl Transcript	MGI:3030755	Olfr921	olfactory receptor 921	protein coding gene
ENSMUST00000071696	Ensembl Transcript	MGI:2681264	Tas2r123	taste receptor, type 2, member 123	protein coding gene
ENSMUST00000071698	Ensembl Transcript	MGI:2387613	Erlin1	ER lipid raft associated 1	protein coding gene
ENSMUST00000071703	Ensembl Transcript	MGI:2387179	Tut7	terminal uridylyl transferase 7	protein coding gene
ENSMUST00000071707	Ensembl Transcript	MGI:2681256	Tas2r120	taste receptor, type 2, member 120	protein coding gene
ENSMUST00000071711	Ensembl Transcript	MGI:3525151	Zfp36l3	zinc finger protein 36, C3H type-like 3	protein coding gene
ENSMUST00000071725	Ensembl Transcript	MGI:1313142	Olfr39	olfactory receptor 39	protein coding gene
ENSMUST00000071739	Ensembl Transcript	MGI:2152453	Gsk3a	glycogen synthase kinase 3 alpha	protein coding gene
ENSMUST00000071745	Ensembl Transcript	MGI:1913434	Rps4l	ribosomal protein S4-like	pseudogene
ENSMUST00000071750	Ensembl Transcript	MGI:88448	Col12a1	collagen, type XII, alpha 1	protein coding gene
ENSMUST00000071782	Ensembl Transcript	MGI:1858209	Nptx2	neuronal pentraxin 2	protein coding gene
ENSMUST00000071792	Ensembl Transcript	MGI:2152337	1110038F14Rik	RIKEN cDNA 1110038F14 gene	protein coding gene
ENSMUST00000071812	Ensembl Transcript	MGI:3028642	Iqgap3	IQ motif containing GTPase activating protein 3	protein coding gene
ENSMUST00000071816	Ensembl Transcript	MGI:88259	Camk2g	calcium/calmodulin-dependent protein kinase II gamma	protein coding gene
ENSMUST00000071825	Ensembl Transcript	MGI:3646221	Gm5434	predicted gene 5434	pseudogene
ENSMUST00000071841	Ensembl Transcript	MGI:2651568	Klhdc3	kelch domain containing 3	protein coding gene
ENSMUST00000071842	Ensembl Transcript	MGI:3644176	Gm5828	predicted gene 5828	pseudogene
ENSMUST00000071844	Ensembl Transcript	MGI:3030437	Olfr603	olfactory receptor 603	protein coding gene
ENSMUST00000071847	Ensembl Transcript	MGI:1921486	Gsdmcl1	gasdermin C-like 1	pseudogene
ENSMUST00000071848	Ensembl Transcript	MGI:2672032	Fmr1nb	Fmr1 neighbor	protein coding gene
ENSMUST00000071857	Ensembl Transcript	MGI:107576	Sipa1	signal-induced proliferation associated gene 1	protein coding gene
ENSMUST00000071858	Ensembl Transcript	MGI:1855689	Hpcal1	hippocalcin-like 1	protein coding gene
ENSMUST00000071865	Ensembl Transcript	MGI:1344384	Vmn1r49	vomeronasal 1, receptor 49	protein coding gene
ENSMUST00000071866	Ensembl Transcript	MGI:3648883	Rpl13a-ps1	ribosomal protein 13A, pseudogene 1	pseudogene
ENSMUST00000071873	Ensembl Transcript	MGI:894672	Serpinb9e	serine (or cysteine) peptidase inhibitor, clade B, member 9e	protein coding gene
ENSMUST00000071874	Ensembl Transcript	MGI:2145890	Ano6	anoctamin 6	protein coding gene
ENSMUST00000071876	Ensembl Transcript	MGI:1919605	Cdpf1	cysteine rich, DPF motif domain containing 1	protein coding gene
ENSMUST00000071880	Ensembl Transcript	MGI:1261811	Myo15	myosin XV	protein coding gene
ENSMUST00000071885	Ensembl Transcript	MGI:3579898	Rhox8	reproductive homeobox 8	protein coding gene
ENSMUST00000071886	Ensembl Transcript	MGI:3611585	AY761184	cDNA sequence AY761184	protein coding gene
ENSMUST00000071889	Ensembl Transcript	MGI:1923709	Car12	carbonic anhydrase 12	protein coding gene
ENSMUST00000071898	Ensembl Transcript	MGI:2679722	Cpsf1	cleavage and polyadenylation specific factor 1	protein coding gene
ENSMUST00000071917	Ensembl Transcript	MGI:3646662	Fbxw26	F-box and WD-40 domain protein 26	protein coding gene
ENSMUST00000071926	Ensembl Transcript	MGI:1917328	Nol7	nucleolar protein 7	protein coding gene
ENSMUST00000071932	Ensembl Transcript	MGI:3030575	Olfr741	olfactory receptor 741	protein coding gene
ENSMUST00000071937	Ensembl Transcript	MGI:2384820	Kcnj14	potassium inwardly-rectifying channel, subfamily J, member 14	protein coding gene
ENSMUST00000071943	Ensembl Transcript	MGI:3030056	Olfr222	olfactory receptor 222	protein coding gene
ENSMUST00000071944	Ensembl Transcript	MGI:98662	Tec	tec protein tyrosine kinase	protein coding gene
ENSMUST00000071949	Ensembl Transcript	MGI:1929230	Bloc1s4	biogenesis of lysosomal organelles complex-1, subunit 4, cappuccino	protein coding gene
ENSMUST00000071968	Ensembl Transcript	MGI:1926945	Trpv4	transient receptor potential cation channel, subfamily V, member 4	protein coding gene
ENSMUST00000071972	Ensembl Transcript	MGI:2686209	Cfap57	cilia and flagella associated protein 57	protein coding gene
ENSMUST00000071973	Ensembl Transcript	MGI:1914725	Ero1lb	ERO1-like beta (S. cerevisiae)	protein coding gene
ENSMUST00000071977	Ensembl Transcript	MGI:99559	Mfap2	microfibrillar-associated protein 2	protein coding gene
ENSMUST00000071979	Ensembl Transcript	MGI:3031163	Olfr1329	olfactory receptor 1329	protein coding gene
ENSMUST00000071982	Ensembl Transcript	MGI:1920480	Bmper	BMP-binding endothelial regulator	protein coding gene
ENSMUST00000071985	Ensembl Transcript	MGI:2442784	Slco4c1	solute carrier organic anion transporter family, member 4C1	protein coding gene
ENSMUST00000071991	Ensembl Transcript	MGI:101800	Dppa5a	developmental pluripotency associated 5A	protein coding gene
ENSMUST00000072008	Ensembl Transcript	MGI:2444628	Sh3rf2	SH3 domain containing ring finger 2	protein coding gene
ENSMUST00000072012	Ensembl Transcript	MGI:1924596	Adtrp	androgen dependent TFPI regulating protein	protein coding gene
ENSMUST00000072014	Ensembl Transcript	MGI:3642221	Gm10330	predicted gene 10330	protein coding gene
ENSMUST00000072018	Ensembl Transcript	MGI:1934606	Alms1	ALMS1, centrosome and basal body associated	protein coding gene
ENSMUST00000072020	Ensembl Transcript	MGI:2149593	Tle6	transducin-like enhancer of split 6	protein coding gene
ENSMUST00000072030	Ensembl Transcript	MGI:3030156	Olfr322	olfactory receptor 322	protein coding gene
ENSMUST00000072035	Ensembl Transcript	MGI:3030320	Olfr486	olfactory receptor 486	protein coding gene
ENSMUST00000072044	Ensembl Transcript	MGI:2159673	Vmn1r210	vomeronasal 1 receptor 210	protein coding gene
ENSMUST00000072057	Ensembl Transcript	MGI:3031036	Olfr1202	olfactory receptor 1202	protein coding gene
ENSMUST00000072063	Ensembl Transcript	MGI:3030635	Olfr801	olfactory receptor 801	protein coding gene
ENSMUST00000072079	Ensembl Transcript	MGI:1929721	Rrs1	ribosome biogenesis regulator 1	protein coding gene
ENSMUST00000072080	Ensembl Transcript	MGI:1914394	Lrrc40	leucine rich repeat containing 40	protein coding gene
ENSMUST00000072093	Ensembl Transcript	MGI:2154238	Plxnb1	plexin B1	protein coding gene
ENSMUST00000072100	Ensembl Transcript	MGI:2679513	Dbpht2	DNA binding protein with his-thr domain	lincRNA gene
ENSMUST00000072103	Ensembl Transcript	MGI:3687012	Try10	trypsin 10	protein coding gene
ENSMUST00000072113	Ensembl Transcript	MGI:1922118	Tmem65	transmembrane protein 65	protein coding gene
ENSMUST00000072114	Ensembl Transcript	MGI:3030172	Olfr338	olfactory receptor 338	protein coding gene
ENSMUST00000072119	Ensembl Transcript	MGI:88302	Ccnb1	cyclin B1	protein coding gene
ENSMUST00000072123	Ensembl Transcript	MGI:3647742	Gm10109	predicted gene 10109	pseudogene
ENSMUST00000072141	Ensembl Transcript	MGI:1341788	Pdcd11	programmed cell death 11	protein coding gene
ENSMUST00000072152	Ensembl Transcript	MGI:1333750	Olfr54	olfactory receptor 54	protein coding gene
ENSMUST00000072154	Ensembl Transcript	MGI:99463	Pigh	phosphatidylinositol glycan anchor biosynthesis, class H	protein coding gene
ENSMUST00000072155	Ensembl Transcript	MGI:2685012	Ccdc189	coiled-coil domain containing 189	protein coding gene
ENSMUST00000072182	Ensembl Transcript	MGI:98307	Sim2	single-minded family bHLH transcription factor 2	protein coding gene
ENSMUST00000072204	Ensembl Transcript	MGI:892018	Klk1b8	kallikrein 1-related peptidase b8	protein coding gene
ENSMUST00000072206	Ensembl Transcript	MGI:1917485	Poc1a	POC1 centriolar protein A	protein coding gene
ENSMUST00000072217	Ensembl Transcript	MGI:1346063	Ggt5	gamma-glutamyltransferase 5	protein coding gene
ENSMUST00000072219	Ensembl Transcript	MGI:3031314	Olfr1480	olfactory receptor 1480	protein coding gene
ENSMUST00000072222	Ensembl Transcript	MGI:1921283	Zfp329	zinc finger protein 329	protein coding gene
ENSMUST00000072228	Ensembl Transcript	MGI:1096345	Gckr	glucokinase regulatory protein	protein coding gene
ENSMUST00000072232	Ensembl Transcript	MGI:1355315	Tmod3	tropomodulin 3	protein coding gene
ENSMUST00000072237	Ensembl Transcript	MGI:1355329	Mink1	misshapen-like kinase 1 (zebrafish)	protein coding gene
ENSMUST00000072249	Ensembl Transcript	MGI:2448759	Cdv3	carnitine deficiency-associated gene expressed in ventricle 3	protein coding gene
ENSMUST00000072265	Ensembl Transcript	MGI:2177499	Olfr116	olfactory receptor 116	protein coding gene
ENSMUST00000072269	Ensembl Transcript	MGI:105118	Mageb1	melanoma antigen, family B, 1	protein coding gene
ENSMUST00000072271	Ensembl Transcript	MGI:1919010	Etnppl	ethanolamine phosphate phospholyase	protein coding gene
ENSMUST00000072280	Ensembl Transcript	MGI:1330293	Krtap8-1	keratin associated protein 8-1	protein coding gene
ENSMUST00000072287	Ensembl Transcript	MGI:1334433	Pi4kb	phosphatidylinositol 4-kinase beta	protein coding gene
ENSMUST00000072290	Ensembl Transcript	MGI:3030723	Olfr889	olfactory receptor 889	protein coding gene
ENSMUST00000072299	Ensembl Transcript	MGI:1349453	Vsnl1	visinin-like 1	protein coding gene
ENSMUST00000072311	Ensembl Transcript	MGI:99147	Yes1	YES proto-oncogene 1, Src family tyrosine kinase	protein coding gene
ENSMUST00000072312	Ensembl Transcript	MGI:1919857	Usp13	ubiquitin specific peptidase 13 (isopeptidase T-3)	protein coding gene
ENSMUST00000072316	Ensembl Transcript	MGI:3031265	Olfr1431	olfactory receptor 1431	protein coding gene
ENSMUST00000072329	Ensembl Transcript	MGI:2137586	Dtnbp1	dystrobrevin binding protein 1	protein coding gene
ENSMUST00000072334	Ensembl Transcript	MGI:892995	Dnajc5	DnaJ heat shock protein family (Hsp40) member C5	protein coding gene
ENSMUST00000072363	Ensembl Transcript	MGI:1920981	Kprp	keratinocyte expressed, proline-rich	protein coding gene
ENSMUST00000072368	Ensembl Transcript	MGI:3030543	Olfr709-ps1	olfactory receptor 709, pseudogene 1	pseudogene
ENSMUST00000072370	Ensembl Transcript	MGI:3030560	Olfr726	olfactory receptor 726	protein coding gene
ENSMUST00000072383	Ensembl Transcript	MGI:1916017	Washc1	WASH complex subunit 1	protein coding gene
ENSMUST00000072385	Ensembl Transcript	MGI:2159675	Vmn1r220	vomeronasal 1 receptor 220	protein coding gene
ENSMUST00000072386	Ensembl Transcript	MGI:2179989	Mill2	MHC I like leukocyte 2	protein coding gene
ENSMUST00000072391	Ensembl Transcript	MGI:2448285	Hist1h2aa	histone cluster 1, H2aa	protein coding gene
ENSMUST00000072395	Ensembl Transcript	MGI:3031240	Olfr1406	olfactory receptor 1406	protein coding gene
ENSMUST00000072403	Ensembl Transcript	MGI:2145969	Ugt3a2	UDP glycosyltransferases 3 family, polypeptide A2	protein coding gene
ENSMUST00000072404	Ensembl Transcript	MGI:2681185	Tas2r104	taste receptor, type 2, member 104	protein coding gene
ENSMUST00000072410	Ensembl Transcript	MGI:2159624	Vmn1r228	vomeronasal 1 receptor 228	protein coding gene
ENSMUST00000072419	Ensembl Transcript	MGI:3030688	Olfr854	olfactory receptor 854	protein coding gene
ENSMUST00000072427	Ensembl Transcript	MGI:3642803	Gm10033	predicted gene 10033	pseudogene
ENSMUST00000072437	Ensembl Transcript	MGI:3642714	Gm10113	predicted gene 10113	lincRNA gene
ENSMUST00000072438	Ensembl Transcript	MGI:88598	Cyp2b10	cytochrome P450, family 2, subfamily b, polypeptide 10	protein coding gene
ENSMUST00000072451	Ensembl Transcript	MGI:2444530	Slc9a7	solute carrier family 9 (sodium/hydrogen exchanger), member 7	protein coding gene
ENSMUST00000072465	Ensembl Transcript	MGI:2143362	Zfp809	zinc finger protein 809	protein coding gene
ENSMUST00000072476	Ensembl Transcript	MGI:2180853	Oas1h	2'-5' oligoadenylate synthetase 1H	protein coding gene
ENSMUST00000072513	Ensembl Transcript	MGI:1341790	Olfr68	olfactory receptor 68	protein coding gene
ENSMUST00000072514	Ensembl Transcript	MGI:97275	Myod1	myogenic differentiation 1	protein coding gene
ENSMUST00000072517	Ensembl Transcript	MGI:3030038	Olfr204	olfactory receptor 204	protein coding gene
ENSMUST00000072572	Ensembl Transcript	MGI:2142632	Alg11	asparagine-linked glycosylation 11 (alpha-1,2-mannosyltransferase)	protein coding gene
ENSMUST00000072578	Ensembl Transcript	MGI:1920568	Ube2d2b	ubiquitin-conjugating enzyme E2D 2B	protein coding gene
ENSMUST00000072581	Ensembl Transcript	MGI:1891751	Gps2	G protein pathway suppressor 2	protein coding gene
ENSMUST00000072593	Ensembl Transcript	MGI:2446782	Ssxa1	synovial sarcoma, X member A1	protein coding gene
ENSMUST00000072600	Ensembl Transcript	MGI:95716	Gja5	gap junction protein, alpha 5	protein coding gene
ENSMUST00000072607	Ensembl Transcript	MGI:1915760	Ints1	integrator complex subunit 1	protein coding gene
ENSMUST00000072608	Ensembl Transcript	MGI:3030028	Olfr194	olfactory receptor 194	protein coding gene
ENSMUST00000072612	Ensembl Transcript	MGI:1924299	4921528I07Rik	RIKEN cDNA 4921528I07 gene	unclassified non-coding RNA gene
ENSMUST00000072631	Ensembl Transcript	MGI:1270158	Nkx2-9	NK2 homeobox 9	protein coding gene
ENSMUST00000072634	Ensembl Transcript	MGI:88047	Aplp2	amyloid beta (A4) precursor-like protein 2	protein coding gene
ENSMUST00000072646	Ensembl Transcript	MGI:1921363	Exoc3l4	exocyst complex component 3-like 4	protein coding gene
ENSMUST00000072655	Ensembl Transcript	MGI:1333824	Olfr46	olfactory receptor 46	protein coding gene
ENSMUST00000072662	Ensembl Transcript	MGI:2159640	Zscan5b	zinc finger and SCAN domain containing 5B	protein coding gene
ENSMUST00000072666	Ensembl Transcript	MGI:1914008	Zfp474	zinc finger protein 474	protein coding gene
ENSMUST00000072697	Ensembl Transcript	MGI:87867	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	protein coding gene
ENSMUST00000072713	Ensembl Transcript	MGI:1891198	Zfp108	zinc finger protein 108	protein coding gene
ENSMUST00000072726	Ensembl Transcript	MGI:1860197	Wdr7	WD repeat domain 7	protein coding gene
ENSMUST00000072727	Ensembl Transcript	MGI:1316687	Nap1l4	nucleosome assembly protein 1-like 4	protein coding gene
ENSMUST00000072729	Ensembl Transcript	MGI:1927656	Ms4a4c	membrane-spanning 4-domains, subfamily A, member 4C	protein coding gene
ENSMUST00000072731	Ensembl Transcript	MGI:3030085	Olfr251	olfactory receptor 251	protein coding gene
ENSMUST00000072735	Ensembl Transcript	MGI:2384888	Fam173a	family with sequence similarity 173, member A	protein coding gene
ENSMUST00000072740	Ensembl Transcript	MGI:107771	Abr	active BCR-related gene	protein coding gene
ENSMUST00000072744	Ensembl Transcript	MGI:2144805	Vipas39	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog	protein coding gene
ENSMUST00000072748	Ensembl Transcript	MGI:1917076	Ms4a10	membrane-spanning 4-domains, subfamily A, member 10	protein coding gene
ENSMUST00000072755	Ensembl Transcript	MGI:88451	Col18a1	collagen, type XVIII, alpha 1	protein coding gene
ENSMUST00000072776	Ensembl Transcript	MGI:88602	Cyp2d10	cytochrome P450, family 2, subfamily d, polypeptide 10	protein coding gene
ENSMUST00000072784	Ensembl Transcript	MGI:3031254	Olfr1420	olfactory receptor 1420	protein coding gene
ENSMUST00000072800	Ensembl Transcript	MGI:3648398	Gm16401	predicted gene 16401	antisense lncRNA gene
ENSMUST00000072804	Ensembl Transcript	MGI:98368	Sox6	SRY (sex determining region Y)-box 6	protein coding gene
ENSMUST00000072818	Ensembl Transcript	MGI:2140794	Ugt2b38	UDP glucuronosyltransferase 2 family, polypeptide B38	protein coding gene
ENSMUST00000072829	Ensembl Transcript	MGI:3642994	Zfp936	zinc finger protein 936	protein coding gene
ENSMUST00000072835	Ensembl Transcript	MGI:1918800	Ccdc112	coiled-coil domain containing 112	protein coding gene
ENSMUST00000072837	Ensembl Transcript	MGI:1347488	Foxk1	forkhead box K1	protein coding gene
